model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_DKXN76.pt,1,11,24,1,1,0.000288,0.000288,0.01152238
conv-bn-relu_prior_WGE325.pt,1,43,15,1,1,0.00066,0.00066,0.011842539999999999
conv-bn-relu_prior_RKYG49.pt,1,42,39,1,1,0.001677,0.001677,0.011893040000000004
conv-bn-relu_prior_OJCBE3.pt,1,32,59,1,1,0.001947,0.001947,0.011994739999999997
conv-bn-relu_prior_FZJ4MJ.pt,1,67,29,1,1,0.001972,0.001972,0.011712300000000002
conv-bn-relu_prior_WCJESN.pt,3,12,92,1,2,0.002691,0.001196,0.09351047999999999
conv-bn-relu_prior_MSK8AI.pt,1,6,471,1,1,0.003297,0.003297,0.01292148
conv-bn-relu_prior_5Q4XMG.pt,1,524,8,1,1,0.0042,0.0042,0.012208160000000001
conv-bn-relu_prior_JIDALQ.pt,1,128,141,1,2,0.00454725,0.018189,0.09108013999999998
conv-bn-relu_prior_O4DJHG.pt,13,8,5,1,1,0.007605,4.5e-05,0.077502
conv-bn-relu_prior_RFJO6Z.pt,7,91,7,1,2,0.007889,0.000644,0.09377080000000002
conv-bn-relu_prior_MF53Y6.pt,8,20,6,1,1,0.008064,0.000126,0.07238572
conv-bn-relu_prior_RQB0WF.pt,3,120,8,1,1,0.008712,0.000968,0.08014158
conv-bn-relu_prior_R938ZF.pt,1,5,237,3,1,0.010902,0.010902,0.09192605999999996
conv-bn-relu_prior_ZLOIGQ.pt,1,234,201,1,2,0.01180875,0.047235,0.09657689999999997
conv-bn-relu_prior_TETSO1.pt,1,468,26,1,1,0.012194,0.012194,0.012216680000000002
conv-bn-relu_prior_RNUY2G.pt,1,36,41,3,1,0.013325,0.013325,0.07839336
conv-bn-relu_prior_Y7HC6B.pt,8,46,5,1,1,0.01504,0.000235,0.06975868000000002
conv-bn-relu_prior_NUON3U.pt,7,9,31,1,1,0.01519,0.00031,0.07375444
conv-bn-relu_prior_0PI3RA.pt,3,36,192,1,2,0.015984,0.007104,0.24007633999999997
conv-bn-relu_prior_Y7QHWI.pt,3,496,15,1,2,0.01677375,0.007455,0.09615054
