model_path,HW,CIN,latency
global-avgpool_prior_7WJPBX.pt,7,193,0.005195120000000001
global-avgpool_prior_W9JQTD.pt,7,228,0.0049276400000000005
global-avgpool_prior_EJI4AP.pt,3,102,0.00456974
global-avgpool_prior_O4YV5A.pt,7,155,0.00481288
global-avgpool_prior_NYKEXJ.pt,3,1075,0.004848760000000001
global-avgpool_prior_8EVJ8C.pt,7,1124,0.11466456000000001
global-avgpool_prior_4936AL.pt,3,175,0.004618540000000001
global-avgpool_prior_UH8Z9I.pt,7,234,0.00502042
global-avgpool_prior_1XAIEU.pt,7,931,0.08860124000000001
global-avgpool_prior_KMDM84.pt,7,64,0.0046744
global-avgpool_prior_4B06Q3.pt,7,164,0.004841560000000001
global-avgpool_prior_G2JVNT.pt,7,102,0.004774079999999999
global-avgpool_prior_MESEYU.pt,3,48,0.0045709800000000005
global-avgpool_prior_FRKTGG.pt,7,990,0.09861711999999997
global-avgpool_prior_I3J8XO.pt,7,227,0.00497906
global-avgpool_prior_FS4GW5.pt,7,948,0.09191803999999996
global-avgpool_prior_RNHI7B.pt,7,516,0.005267520000000001
global-avgpool_prior_1T48FW.pt,7,497,0.005360420000000001
global-avgpool_prior_8OL8ZV.pt,7,527,0.00540388
global-avgpool_prior_CNGAB1.pt,3,129,0.004588999999999999
global-avgpool_prior_I6PGLF.pt,3,541,0.00470326
global-avgpool_prior_B0352W.pt,3,177,0.004651560000000002
global-avgpool_prior_U10AE4.pt,7,81,0.004682239999999999
global-avgpool_prior_SECDY4.pt,7,17,0.004631059999999999
global-avgpool_prior_VDKFNE.pt,7,105,0.004786919999999999
global-avgpool_prior_TFCD5C.pt,7,528,0.005219299999999999
global-avgpool_prior_2D21AM.pt,7,169,0.004848659999999999
global-avgpool_prior_39BZYV.pt,7,17,0.030243919999999997
global-avgpool_prior_GLGAGS.pt,7,225,0.004943480000000001
global-avgpool_prior_U3F619.pt,3,70,0.004707339999999999
global-avgpool_prior_XNTJAQ.pt,7,728,0.09384051999999998
global-avgpool_prior_K11AIK.pt,7,144,0.004778
global-avgpool_prior_F1S286.pt,7,40,0.004640439999999999
global-avgpool_prior_CY9RQH.pt,7,91,0.004806200000000001
global-avgpool_prior_4J3UCY.pt,3,686,0.00474984
global-avgpool_prior_V7ISZE.pt,7,520,0.005174540000000001
global-avgpool_prior_FDZ8UF.pt,3,135,0.004611499999999999
global-avgpool_prior_VBRUIM.pt,3,215,0.00459856
global-avgpool_prior_MJLJGI.pt,3,1149,0.004951279999999999
global-avgpool_prior_5U72D4.pt,3,580,0.00472442
global-avgpool_prior_UP4BIL.pt,3,493,0.004709979999999999
global-avgpool_prior_ALHVAB.pt,7,171,0.00485116
global-avgpool_prior_DW1EMD.pt,7,55,0.00462012
global-avgpool_prior_E43IDR.pt,3,797,0.00478708
global-avgpool_prior_O5ER52.pt,3,150,0.004780820000000001
global-avgpool_prior_78P1OS.pt,7,676,0.09211800000000002
global-avgpool_prior_W5E6EL.pt,7,156,0.004836819999999999
global-avgpool_prior_STNOT7.pt,7,504,0.005115719999999999
global-avgpool_prior_2A57SY.pt,7,454,0.00525214
global-avgpool_prior_5DVPJ1.pt,3,2050,0.00518512
global-avgpool_prior_YYNYJI.pt,7,508,0.005251820000000001
global-avgpool_prior_7S3BTW.pt,7,232,0.0048798800000000005
global-avgpool_prior_ITKZFG.pt,3,504,0.00468382
global-avgpool_prior_NLTAD7.pt,3,179,0.0046358200000000006
global-avgpool_prior_YXJZTC.pt,3,160,0.0046362400000000015
global-avgpool_prior_CABL34.pt,7,114,0.004752220000000001
global-avgpool_prior_TVXSSX.pt,7,502,0.00533892
global-avgpool_prior_38SIGK.pt,3,193,0.004664639999999999
global-avgpool_prior_34RRI2.pt,3,50,0.004656220000000001
global-avgpool_prior_A5FHZZ.pt,7,214,0.00497122
global-avgpool_prior_X8PPQ5.pt,7,311,0.005177919999999999
global-avgpool_prior_8SOBS7.pt,3,70,0.004638000000000001
global-avgpool_prior_403O0S.pt,7,185,0.0049031000000000005
global-avgpool_prior_VQ59FR.pt,3,177,0.0046828
global-avgpool_prior_JU044Z.pt,3,431,0.004701159999999999
global-avgpool_prior_FRETW8.pt,7,163,0.004924879999999999
global-avgpool_prior_SQVKV5.pt,7,2142,0.09867586
global-avgpool_prior_LW0MWN.pt,7,47,0.004663560000000001
global-avgpool_prior_EMQW40.pt,7,758,0.09941092
global-avgpool_prior_EOD3UF.pt,3,47,0.004582159999999999
global-avgpool_prior_Y3JXTS.pt,3,31,0.004590999999999999
global-avgpool_prior_3XBX4V.pt,7,146,0.00486042
global-avgpool_prior_9C9YVS.pt,7,135,0.004965259999999998
global-avgpool_prior_OHR65C.pt,3,510,0.004738740000000001
global-avgpool_prior_64270F.pt,7,990,0.09288788000000002
global-avgpool_prior_F8V66S.pt,7,87,0.0047673
global-avgpool_prior_U6TOWV.pt,3,115,0.004583459999999999
global-avgpool_prior_WFX375.pt,7,386,0.005249960000000001
global-avgpool_prior_LZSA9E.pt,3,824,0.0047261
global-avgpool_prior_XWIE10.pt,7,37,0.00468506
global-avgpool_prior_MYRZZF.pt,7,110,0.004773119999999999
global-avgpool_prior_INVXTD.pt,7,144,0.004808740000000001
global-avgpool_prior_N8O3MH.pt,3,683,0.004733600000000001
global-avgpool_prior_151GSQ.pt,3,471,0.004707139999999999
global-avgpool_prior_D8DUWA.pt,3,195,0.004670720000000001
global-avgpool_prior_B0AEBV.pt,7,490,0.005352240000000001
global-avgpool_prior_9ZWKGY.pt,7,160,0.00475554
global-avgpool_prior_ND6C2S.pt,7,518,0.005388379999999999
global-avgpool_prior_8CZQ9U.pt,3,526,0.0047252399999999995
global-avgpool_prior_QLTC07.pt,3,132,0.004630960000000001
global-avgpool_prior_SO9Q4T.pt,7,133,0.004830899999999999
global-avgpool_prior_V5JU00.pt,3,121,0.0046586200000000005
global-avgpool_prior_6XBTU9.pt,7,87,0.004756539999999999
global-avgpool_prior_4Z0XWQ.pt,7,1659,0.0960701
global-avgpool_prior_BVFEFR.pt,7,75,0.00469046
global-avgpool_prior_E1X3X7.pt,7,312,0.004981320000000003
global-avgpool_prior_FSAM93.pt,7,1143,0.10019196000000004
global-avgpool_prior_M7VZ5A.pt,7,169,0.00490106
global-avgpool_prior_K45LZT.pt,3,174,0.004630399999999999
global-avgpool_prior_KN1T43.pt,3,1378,0.005050100000000001
global-avgpool_prior_DS5ICJ.pt,7,448,0.0050481
global-avgpool_prior_WKKB3J.pt,7,214,0.0049486800000000004
global-avgpool_prior_FWK9YI.pt,3,185,0.004578420000000001
