model_path,HW,CIN,latency
split_prior_GVVH5L.pt,28,1950,0.00355456
split_prior_LGEQ6K.pt,14,1856,0.0034454999999999998
split_prior_F53O6N.pt,28,320,0.003433720000000001
split_prior_G699ER.pt,14,492,0.0034763
split_prior_FBH0QX.pt,56,532,0.0034053599999999996
split_prior_PL42QR.pt,28,764,0.003457320000000001
split_prior_R0N12W.pt,28,788,0.0034873799999999996
split_prior_SCL4OS.pt,28,26,0.00344364
split_prior_9RIY4J.pt,7,608,0.00550078
split_prior_NZZMDR.pt,28,1246,0.003470120000000001
split_prior_AZKVLR.pt,14,56,0.014888359999999995
split_prior_LFWVTA.pt,14,254,0.0035252799999999983
split_prior_Z4MQ29.pt,14,6,0.014716399999999998
split_prior_5LW3CE.pt,14,54,0.015646200000000006
split_prior_RVU1A6.pt,112,434,0.003482299999999999
split_prior_TWX3HH.pt,56,188,0.0034895800000000004
split_prior_XY8NB7.pt,7,118,0.00344298
split_prior_7C1B0O.pt,56,150,0.00349906
split_prior_L6OW4R.pt,7,152,0.010083320000000005
split_prior_1E9HEB.pt,56,934,0.0034992000000000005
split_prior_YACWF3.pt,112,90,0.0034780399999999995
split_prior_52PS5Y.pt,224,506,0.0034598600000000004
split_prior_1J4WXQ.pt,28,436,0.003475859999999999
split_prior_BG8SLN.pt,14,284,0.00349094
split_prior_BKEEUE.pt,7,250,0.004598040000000001
split_prior_894UDG.pt,14,388,0.0034390199999999997
split_prior_JUAXKX.pt,56,246,0.0034147200000000004
split_prior_RU1MOY.pt,28,148,0.00351464
split_prior_CBT2ZJ.pt,7,142,0.01158392
split_prior_3F6DOK.pt,56,294,0.00344362
split_prior_D72JVZ.pt,224,120,0.00343964
split_prior_HL8HCE.pt,14,236,0.0034940400000000003
split_prior_OJTM7P.pt,112,4,0.00351106
split_prior_NZF4W6.pt,14,496,0.00343524
split_prior_Z6XGS1.pt,56,1288,0.003586020000000001
split_prior_45DTB0.pt,28,1172,0.0034844800000000007
split_prior_MWTYV1.pt,56,244,0.00348608
split_prior_JX9H4P.pt,14,232,0.004895599999999999
split_prior_1SHQ3V.pt,14,124,0.003545440000000001
split_prior_Q7RRHI.pt,14,490,0.0034020399999999994
split_prior_J56PSY.pt,14,232,0.0035360800000000005
split_prior_MYJN6A.pt,7,200,0.006138339999999999
split_prior_R5NXUE.pt,7,154,0.00498702
split_prior_WO3YVU.pt,112,166,0.00349574
split_prior_O0K0FX.pt,56,174,0.00345604
split_prior_FMWYJE.pt,28,112,0.00342458
split_prior_6QTF7M.pt,14,694,0.0034885399999999996
split_prior_1YVKM5.pt,7,154,0.0035497800000000006
split_prior_0BATPP.pt,28,100,0.003442479999999998
