feature0,feature1,feature2,feature3,feature4,True,Pred,Error
14,31,31,2,1,0.09886495999999997,0.09757367567387405,0.01306109187851714
224,33,33,3,2,1.40040508,1.1569159327886802,0.17387051124616018
112,492,492,3,2,1.6456636600000007,1.8090913746375754,0.09930808986665877
14,67,67,3,1,0.13177372,0.14862076072797084,0.12784825933403737
56,63,63,2,1,0.75708186,0.7631757842875146,0.008049227711669979
56,73,73,3,2,0.3078385800000001,0.2874906457128776,0.06609936378709419
28,496,496,3,2,0.44707255999999995,0.5123009234085597,0.14590106672742287
112,128,128,2,2,0.535551,1.194890813966022,1.231142905094047
224,49,49,2,2,1.3102035800000005,1.2170917672380956,0.07106667557869503
28,186,186,3,2,0.21644165999999998,0.23373780473333242,0.07991134762749666
56,231,231,2,2,0.7031941400000001,0.7789824710553408,0.1077772506115319
56,18,18,3,1,0.2953463199999999,0.3687077209388684,0.24839111230120806
14,50,50,3,2,0.08558168000000001,0.08517001279214884,0.0048102258316402675
28,52,52,2,2,0.10998546000000003,0.11474674351325904,0.04329011774155428
14,273,273,2,2,0.13937812000000002,0.12312352632395984,0.11662227669622877
28,31,31,3,1,0.1707154,0.18265143433963973,0.06991773641768549
112,51,51,3,2,0.6988399600000001,0.7453401223399622,0.06653907189274352
28,715,715,3,2,0.9795819000000001,0.7371150116475346,0.247520792648849
14,156,156,2,2,0.10051125999999998,0.10325191654761863,0.02726715939705316
14,157,157,2,2,0.11305098,0.10573483916892652,0.06471541273745236
56,38,38,2,2,0.26834078,0.19529988351672523,0.27219454487415135
224,53,53,2,2,1.25362534,1.2595998798030952,0.004765809698051619
28,202,202,3,2,0.26383093999999996,0.27467886084772236,0.041116939687674256
28,364,364,2,2,0.4381566599999999,0.39845844491685967,0.09060278824277203
112,70,70,2,2,0.8000560399999999,0.7086496005317253,0.11425004611961251
224,149,149,3,2,2.06735698,2.0153738729899624,0.02514471739178669
56,173,173,2,1,1.2090799400000003,1.38802441140541,0.14800052956416576
56,57,57,3,2,0.3195733,0.24356329803514526,0.23784841213222363
14,14,14,3,2,0.07414146,0.07868963832432417,0.061344601580872085
28,123,123,3,2,0.17039443999999995,0.1161421587285715,0.31839232120149263
28,42,42,2,1,0.21150822000000005,0.20156091371269352,0.04703035318110344
14,398,398,2,1,0.38371795999999997,0.3869866987915055,0.008518597335150853
14,250,250,3,2,0.1188398,0.12407921420855861,0.04408804296673852
28,56,56,2,2,0.11823834000000001,0.11520307037039891,0.02567077336844462
14,435,435,3,2,0.15957381999999998,0.15666674333706593,0.01821775440942662
14,46,46,2,1,0.09905632,0.12141196889549571,0.2256862449109326
28,71,71,3,2,0.13094661999999996,0.13087862230689343,0.0005192779554487983
28,218,218,2,2,0.21701914000000003,0.225061294593694,0.03705735168655621
112,211,211,3,2,1.3337893799999998,1.2628012392495511,0.053222901467733
14,216,216,2,2,0.10928648,0.11540934950819423,0.056025864390492085
28,348,348,2,2,0.35736158,0.33156348602702546,0.07219045195897823
224,76,76,2,2,1.5494991200000003,1.3715762923259773,0.1148260269254125
28,50,50,2,2,0.10995984,0.11652163325598466,0.05967445256363287
56,28,28,3,2,0.2398453400000001,0.1610422625358837,0.32855788427707777
28,126,126,2,1,0.4969083999999999,0.5487335737657677,0.10429522577152608
112,34,34,2,1,1.3080085399999999,1.3165016304145438,0.006493145996236337
56,235,235,3,2,1.0939362,0.9338463704382232,0.1463429307502364
14,85,85,2,2,0.08848738,0.09136015996816814,0.03246542013299676
28,284,284,3,2,0.28645217999999995,0.3472912434594582,0.2123882019660604
112,208,208,3,2,1.43845294,1.4559290494673516,0.012149239631956035
14,55,55,2,2,0.08271205999999999,0.08459231403103815,0.0227325257167837
56,209,209,3,2,0.9656313399999997,0.8455888387255035,0.12431504271029176
28,71,71,2,2,0.12242366000000002,0.1228615573053944,0.0035769009470422867
14,65,65,2,2,0.08530298,0.08561504451332053,0.0036583072868090396
14,824,824,2,2,0.34339742,0.2214087678818534,0.355240444491827
28,699,699,2,2,0.7602300000000001,0.671868783783785,0.11622958343687444
14,216,216,2,2,0.1243075,0.11540934950819423,0.07158176692320069
28,239,239,2,2,0.36684473999999995,0.2649673853530239,0.27771245853757115
56,495,495,3,2,1.501229860000001,1.057754902702962,0.2954077647356672
14,446,446,3,2,0.15728590000000003,0.1675096047207211,0.06500077070303863
224,168,168,3,2,2.28525256,2.185447037027017,0.043673738614248864
112,176,176,3,2,1.5028189,1.4333794570664178,0.04620612831897595
56,90,90,3,2,0.3390536,0.3633663677823249,0.07170774114277177
28,117,117,3,1,0.4552996000000002,0.46794402510115973,0.0277716587081551
14,381,381,2,2,0.13842054,0.13919885188655085,0.005622806315817266
112,31,31,2,2,0.39606132000000005,0.4471116099656802,0.12889491446849738
14,443,443,2,2,0.11032155999999997,0.15063929325135128,0.36545651866553847
112,518,518,2,2,1.6983233800000002,1.8271223513657662,0.07583889669219887
112,50,50,2,1,1.3541522200000002,1.2978076807297323,0.04160871904804612
28,96,96,3,2,0.19455276,0.15561578630293155,0.20013580736180997
28,30,30,3,1,0.16261520000000004,0.18293363751248434,0.12494796004607377
28,271,271,3,2,0.28436011999999994,0.3681745210344906,0.29474738241948517
224,88,88,2,2,1.5220323800000006,1.60026637276886,0.05140100420784695
28,580,580,3,2,0.5546921000000001,0.5252085962594629,0.05315291806127616
14,507,507,3,1,0.5233941599999999,0.5156272541693672,0.014839496548132628
28,111,111,2,1,0.39801886,0.41688140722522615,0.04739108901830978
28,320,320,2,2,0.28821499999999994,0.24303365277477548,0.156762650192476
112,146,146,3,2,1.3985031600000002,1.446678573034363,0.03444783995651664
14,669,669,2,2,0.19346428000000004,0.19809551850720694,0.023938468161703527
112,29,29,3,2,0.62050932,0.48590896819067053,0.21691914604816812
14,40,40,2,2,0.07890566,0.08943315922490352,0.13341880956199495
28,72,72,3,2,0.12642166000000002,0.13192187207964243,0.043506880701000186
14,124,124,2,1,0.17522344000000004,0.1766730217108104,0.008272761400017942
56,95,95,2,2,0.35413187999999995,0.3377344646703985,0.046303132408190506
112,218,218,2,2,1.2200562200000002,1.6087912893366836,0.3186206200700188
112,238,238,3,2,1.79914768,1.601971190200114,0.10959438849393731
14,282,282,2,2,0.13734384,0.12428006289034728,0.09511731366803722
56,113,113,2,1,1.1106140600000003,1.2425490767643523,0.1187946574027273
28,34,34,2,2,0.09891568,0.09888796809360786,0.0002801568607943817
14,180,180,2,2,0.10300398000000001,0.11406559410868745,0.10739016209555635
56,243,243,2,1,1.4433916400000002,1.282461658180176,0.11149432860773961
112,274,274,3,2,1.2183093600000003,1.5507016691801871,0.2728307933053939
56,148,148,3,2,0.53165022,0.5467808744558958,0.028459791582322487
112,48,48,2,2,0.7411863200000001,0.5815867984126321,0.2153298263618357
224,62,62,3,2,1.3721226399999997,1.373565451185459,0.0010515176584063885
28,465,465,2,2,0.38724423999999985,0.44516494372312304,0.1495715048547222
28,735,735,3,2,0.6556999,0.6407422539468478,0.022811725384054803
14,481,481,3,2,0.20006507999999998,0.22830801937773487,0.1411687605739837
28,355,355,3,2,0.45913705999999993,0.38512026081080897,0.1612085053408474
56,41,41,3,2,0.20035466,0.2420293523898987,0.20800460737922796
56,263,263,3,2,0.9173833399999997,0.9091617462288307,0.008962004663360178
28,959,959,2,2,0.7710670400000003,0.7941501149189188,0.029936534336779046
112,826,826,3,1,9.909877000000002,9.17177041540537,0.07448191179311633
56,144,144,3,1,1.2961349999999998,1.3290925039999955,0.02542752413907166
28,433,433,2,2,0.36211464,0.40849936548918875,0.1280940353286704
112,871,871,3,2,2.669587959999999,2.565466335783771,0.03900288200888807
28,168,168,3,1,0.5942014600000001,0.603163351572201,0.015082244281595929
56,253,253,2,2,0.9676941199999999,0.8672692864395334,0.10377745558737766
14,449,449,3,2,0.16046264000000002,0.16790963070077183,0.04640949881400316
112,70,70,3,2,1.2876758999999995,0.8830103077086264,0.31426043796530884
28,503,503,3,2,0.4609786,0.5913349056543138,0.28278168586202
112,143,143,3,2,1.21417668,1.254434843332181,0.033156758810571965
28,33,33,3,1,0.17342106,0.18568622495542692,0.07072477215527877
28,317,317,3,2,0.32706144000000004,0.32935697597374514,0.007018668950228738
112,59,59,3,1,1.55383874,1.4847212411981907,0.04448177087012857
14,437,437,2,2,0.1497012,0.17916483383333348,0.1968162835924727
14,249,249,2,2,0.11689806000000004,0.11634698092355178,0.004714184961223994
