feature0,feature1,feature2,feature3,feature4,True,Pred,Error
112,495,495,3,2,1.6616613799999995,1.7062355781310128,0.026825079205375333
56,494,494,3,1,1.6691939799999997,1.6177453326666706,0.03082244960728238
28,508,508,2,2,0.5535619000000002,0.4546556692330766,0.17867239556574166
112,190,190,3,1,1.9858723999999994,1.9380120864864845,0.02410039714208977
14,832,832,3,2,0.25066813999999993,0.23919646706126188,0.04576438369366786
56,84,84,3,2,0.3676538200000001,0.38063473272072157,0.03530743328254141
14,201,201,3,2,0.08051779999999999,0.12629509893243232,0.5685363849041124
224,67,67,2,2,1.4009404200000004,1.3796220319990966,0.015217198173855096
56,202,202,2,2,0.5601,0.7453494235630637,0.3307434807410527
28,367,367,3,2,0.35404354,0.40283990391866004,0.13782588412334834
112,186,186,3,2,1.42905896,1.3472927997513457,0.05721678568717301
56,252,252,3,1,1.5849785399999996,1.5027887816216143,0.051855439240448824
224,195,195,3,2,2.3209568200000006,2.4069370431351294,0.03704516275107985
56,252,252,2,2,0.9939069400000001,0.8560225430968661,0.1387296851988316
56,149,149,3,2,0.5144835200000001,0.5571108316036026,0.08285457151980796
112,236,236,3,2,1.4098126600000003,1.536874015657785,0.09012641130473649
56,241,241,3,2,0.9015304799999996,0.8989262263243208,0.0028887028596955894
14,374,374,3,2,0.1417688,0.14757938448648616,0.04098634175140203
112,51,51,3,2,0.7252069199999999,0.8059555072337173,0.1113455829044178
28,238,238,3,2,0.39013216,0.2725942149459473,0.3012772519293274
112,234,234,2,2,1.4798909800000002,1.2775796161366753,0.136706937603826
28,150,150,2,2,0.1812429,0.23576544091891902,0.3008258029358336
56,64,64,3,2,0.27194208,0.2917994205905199,0.07302047770804693
56,201,201,2,2,0.6717042199999997,0.7824627813468471,0.16489186467646044
28,68,68,2,1,0.2861267599999999,0.38802538086486477,0.3561310408885379
224,52,52,2,2,0.9680664999999999,1.2829915885765828,0.32531348680755184
112,826,826,3,1,9.909877000000002,9.444465365162184,0.046964420934570365
56,501,501,3,2,1.2260152999999996,1.0556559699279235,0.1389536738016859
14,79,79,3,2,0.08834151999999999,0.0896501128693696,0.014812886051424081
56,242,242,2,1,1.3035983,1.2466960002702645,0.04365017945308419
56,73,73,3,2,0.3855864600000001,0.32143371182342406,0.16637707708039334
112,52,52,3,1,1.6703662999999995,1.462194742731527,0.12462629141193321
112,51,51,3,2,1.04318024,0.8059555072337173,0.22740531661746463
14,498,498,2,2,0.24478182000000004,0.16637218188056668,0.32032459812347724
56,508,508,3,1,1.52950972,1.6932828325675682,0.10707556181308092
112,505,505,2,1,4.75893976,4.905850096672078,0.030870392163165093
112,503,503,3,2,1.8022158000000004,1.8126159327252223,0.005770747723564451
28,505,505,3,2,0.65537756,0.5166355053954976,0.21169790220541332
112,244,244,2,2,1.27858484,1.4140892260720777,0.10597997241393674
14,511,511,3,2,0.17040038,0.19284711769425078,0.13172938754157
112,50,50,2,2,0.6109988800000001,0.6746002042126132,0.10409401112586834
112,511,511,3,2,1.7785068600000005,1.7490972040223913,0.016536149867653102
112,1051,1051,3,2,2.93290742,3.9823975852432474,0.35783269464511347
14,244,244,2,2,0.13752401999999997,0.11463376244980693,0.1664455238451657
28,233,233,3,1,1.0378397000000004,0.7350265604324293,0.29177255366852023
112,506,506,2,1,4.770624,4.905734032819827,0.028321249551385087
112,66,66,2,2,0.7707777799999996,0.8145749261169236,0.056822014403326467
224,506,506,3,2,5.603144339999999,5.590208841081073,0.0023086142590655295
14,53,53,3,2,0.085703,0.0851721592162163,0.006193958015281792
14,146,146,2,2,0.10713414000000004,0.10117513977284415,0.055621860848053616
28,1049,1049,3,2,0.9724779999999998,1.5756991720926685,0.6202928725304518
56,64,64,2,2,0.24444012000000007,0.2594202025957529,0.061283240229765924
112,58,58,2,2,0.8678569399999999,0.8174052092678884,0.05813369509047368
56,370,370,2,1,1.5174355200000003,1.4871088683243276,0.019985463155411446
28,67,67,2,2,0.12353784000000001,0.15425181431981932,0.24861997198444874
14,236,236,2,2,0.12634798000000003,0.11550575991891902,0.08581237374021335
14,193,193,2,2,0.10624030000000002,0.0881321780243245,0.1704449439212381
56,28,28,3,2,0.16667959999999998,0.1476691818934787,0.11405365807526113
14,192,192,3,2,0.10728829999999999,0.12777484659691113,0.19094856192996945
14,100,100,2,2,0.09423054,0.09545547647927971,0.012999357525487056
56,44,44,3,1,0.8012131199999998,0.6736341910621602,0.1592322014620026
112,511,511,3,2,1.6173094200000002,1.7490972040223913,0.08148581983921857
56,36,36,3,2,0.18797893999999998,0.2508353998342353,0.3343803291700407
112,253,253,2,2,1.3182724599999995,1.3805891245265367,0.04727146050410337
224,497,497,2,1,21.15824834,21.460736923351284,0.014296485157489366
28,192,192,2,2,0.20330158000000004,0.20115779192374578,0.010544866775035688
224,62,62,3,2,1.3721226399999997,1.2673418789173791,0.07636399110987674
28,138,138,3,2,0.056021999999999995,0.18002787409099114,2.213521011227574
14,71,71,3,2,0.09991740000000002,0.09088230687927963,0.0904256227716132
14,232,232,3,2,0.17019799999999993,0.11998516605405424,0.2950259929373184
28,70,70,2,1,0.4672580800000001,0.3177872280540539,0.3198892824837746
112,824,824,3,2,2.4633769400000003,2.5836062724247135,0.0488067134478872
14,508,508,3,2,0.17513170000000006,0.21161594090077332,0.2083245974359482
28,60,60,2,2,0.11916179999999997,0.11533917938738689,0.03207924530019759
56,63,63,2,1,0.80780532,0.8009902734594547,0.00843649623469343
28,86,86,2,2,0.16679915999999997,0.1313399240000005,0.2125864183009044
112,1040,1040,3,2,3.117536359999999,2.937962773756766,0.057601120085487345
112,839,839,2,2,2.4338964399999994,2.3997534028648677,0.01402813882053736
14,506,506,3,1,0.52906352,0.5186262698918925,0.019727782607478733
112,513,513,2,2,1.6310360600000007,1.8250363679189197,0.11894299131493077
14,63,63,3,1,0.16709604000000003,0.13595126167567606,0.18638848846641706
28,848,848,2,2,0.6667925800000001,0.8953849372792788,0.34282378679030695
56,52,52,2,2,0.21012982000000002,0.24028135794285682,0.1434900479277848
14,31,31,3,2,0.08690700000000003,0.08000980858378395,0.07936289845715616
28,63,63,2,2,0.11489924000000004,0.14638643364182727,0.2740417921113074
14,505,505,2,2,0.16454518,0.2168950286106828,0.3181487820590234
14,140,140,2,2,0.09724984,0.09924586199549532,0.020524681536702907
