feature0,feature1,True,Pred,Error
28,146,0.14589748000000002,0.12235682404899195,0.16135066864080222
7,138,0.09727998000000002,0.08396928604555992,0.13682870776124845
7,142,0.07656058,0.08332350348777366,0.08833427708846588
28,460,0.15218838,0.20372409732110686,0.3386310920788226
56,52,0.12087342,0.13538399399755488,0.1200476829194945
112,880,8.49026958,7.636049327837817,0.10061167600312904
7,61,0.08017520000000002,0.08463665850926626,0.05564636582467198
14,157,0.08897286000000001,0.0886071404041829,0.004110462401873091
14,177,0.10132518000000003,0.11798047127906164,0.1643746527670773
28,189,0.17521570000000003,0.1583080709024028,0.09649608509738135
112,68,0.25665886,0.3230134175763815,0.2585321137029189
14,136,0.09494399999999999,0.08741314899291532,0.07931887225190294
56,210,0.19796494000000006,0.3125864449099087,0.5789990132086451
112,77,0.31725912000000006,0.31128245836271806,0.018838423422727762
56,844,1.04513974,1.1325138704864823,0.08360042886368703
56,286,0.28153642000000006,0.4705459593513497,0.6713502265580757
14,107,0.09613205999999998,0.10211060306401079,0.062190938839871056
56,404,0.6286909,0.383824791567567,0.38948568912391296
7,56,0.07345832000000002,0.06884561002027026,0.06279356755953254
56,196,0.20027738,0.24832659769210638,0.23991335263176689
14,185,0.09853963999999998,0.09306790487204081,0.05552826383330787
14,136,0.09510587999999999,0.08741314899291532,0.08088596632600083
7,41,0.09567340000000002,0.07554906553256117,0.2103440921660445
28,141,0.12355733999999996,0.11713991408561578,0.05193884810391828
28,307,0.28705790000000003,0.23321113933333384,0.18758153204167585
14,119,0.08226082,0.09196087242363793,0.1179182559040614
14,2076,0.1806138,0.20807307885405393,0.15203311626273266
28,938,0.36925524000000004,0.326162270810812,0.11670239043645807
28,435,0.15325756000000001,0.17735957507606237,0.1572647709911495
112,51,0.39363646,0.2826692355566283,0.28190281063743866
14,113,0.08926016,0.09336495200669237,0.045986832274246034
28,500,0.28776224,0.2299302061164745,0.20097158641636062
7,61,0.07959076,0.08463665850926626,0.06339804406021832
112,959,9.481877240000001,8.209105153729746,0.13423207810590201
28,507,0.17959606,0.16491768448198277,0.08172994172598905
112,795,7.054850140000001,7.754147354000038,0.0991229012839154
28,416,0.21066031999999996,0.19084217137837794,0.0940763244906398
14,20,0.07566919999999999,0.07464794932102106,0.013496253151598405
7,97,0.08362260000000003,0.09099699359684667,0.08818660980221413
28,457,0.16973381999999998,0.11645401235585529,0.3139021300772274
14,544,0.19815011999999996,0.14002248939034745,0.2933514782108258
14,104,0.09457062,0.11588310776332042,0.22536055873716834
28,255,0.15932594,0.14396378748232896,0.09641965719876522
28,387,0.17222198000000002,0.10541394567567572,0.38791816424549463
7,144,0.06899378,0.08098012243783816,0.1737307687423149
14,122,0.08891094000000002,0.09396058569740454,0.056794424818863834
14,855,0.1447552,0.13956110410810862,0.0358819295741457
28,170,0.14163135999999996,0.11923015532589025,0.15816556922216743
14,1023,0.21781575999999994,0.20891527629729792,0.040862441279281285
28,264,0.22268282,0.19079356857664082,0.14320481222287013
28,268,0.14043148000000005,0.16008852307104218,0.13997604433879157
14,317,0.12350474,0.10381922281081127,0.15939078280873054
28,35,0.11923181999999995,0.10596113195947679,0.1113015639660886
7,126,0.10076172000000003,0.08942448281930512,0.11251532011060253
56,7,0.08582295999999999,0.10495364620167316,0.22290872048311053
112,145,0.7330557799999999,0.7418519856213871,0.011999367389732833
7,701,0.09832347999999996,0.1067305606405403,0.0855043031485495
7,186,0.08321156,0.08007982148507083,0.037635858706761144
28,88,0.10257737999999997,0.1292515851753189,0.2600398370022605
56,118,0.25587938,0.18866531609339304,0.2626787039526473
7,272,0.08980213999999999,0.08153223170038613,0.09209032546010434
14,260,0.10471330000000004,0.18433514701801773,0.7603795030623394
14,680,0.07387879999999998,0.11662268097297306,0.5785676130767295
56,39,0.11101306,0.1189935408648644,0.07188776586164188
7,405,0.10061612000000002,0.1057428866486483,0.05095373036297045
56,253,0.24312225999999992,0.16592161186859697,0.3175383781452302
14,64,0.09003307999999997,0.08399808344182755,0.06703087974078448
112,62,0.3455030800000001,0.29450508738783654,0.14760503035794506
14,82,0.08304348,0.10868967706552979,0.30882854458326875
56,86,0.13718518,0.15368144409086187,0.12024814991576994
7,259,0.08857175999999996,0.09372153104195646,0.058142358715198926
224,150,3.61464466,3.6175168024324207,0.000794585001453645
28,255,0.14120497999999998,0.14396378748232896,0.019537607542800435
7,54,0.07077102000000002,0.09144548820362504,0.2921318387614735
28,11,0.07966565999999999,0.07808401582297271,0.019853525057437236
7,237,0.08259751999999997,0.09091016601190481,0.10064038256723505
14,58,0.08289718,0.08717548399673837,0.05160976521443033
112,75,0.2524304599999999,0.3049784220246675,0.20816807141526272
28,438,0.16273482,0.2162087235864223,0.3285953404835074
28,69,0.11370004000000002,0.12722181656407494,0.11892499390567429
56,16,0.11532796,0.10548460393610039,0.08535099436337559
56,654,0.9727297200000002,0.8808446574594568,0.0944610415939007
14,201,0.07104250000000001,0.1572863085418275,1.2139748536696695
56,201,0.32079882000000004,0.39381937082561025,0.22762100816209424
14,163,0.17244868,0.11232691251664498,0.3486357070599498
14,18,0.08655224,0.08233124835249211,0.0487681387276388
28,210,0.26752766,0.13724170722621187,0.48699993403967323
3,108,0.07708886,0.08635569775111691,0.12020981697118001
56,137,0.17187310000000003,0.20412738115135068,0.18766334668630894
28,221,0.29206029999999994,0.16887423693166087,0.4217829779272948
112,20,0.1187279,0.1280648549549546,0.07864162471461718
28,442,0.15587859999999998,0.18455694125315292,0.1839786940167088
7,528,0.07578731999999999,0.09698273793693693,0.27966971172667066
7,73,0.021476800000000004,0.07530718108931782,2.5064432824870466
56,117,0.17549992000000003,0.15998740643249723,0.088390430989956
7,1155,0.11353996000000002,0.12655020030450512,0.11458732506603923
56,122,0.21281551999999998,0.18930821571126197,0.11045859948906929
28,517,0.15319824,0.22877690992818547,0.49333902222496456
28,661,0.29366824,0.20267164643243135,0.30986188212783466
28,425,0.26224686,0.19962102940270174,0.23880488253433532
28,54,0.09835144,0.10337194608837284,0.0510465946240629
28,149,0.13465739999999998,0.12412983215706089,0.0781803884742992
7,759,0.12025005999999999,0.10787709854054095,0.10289359905067026
7,13,0.08510274000000001,0.07034727812867862,0.1733840986943709
14,4,0.07237813999999998,0.09248959954594582,0.2778664876708057
14,108,0.08637191999999999,0.08859079773307998,0.025689804430421296
14,166,0.15761152,0.07762619387528956,0.5074840095743665
28,695,0.22647521999999995,0.2815088576216218,0.24300070277720395
56,18,0.10890438,0.167910761370656,0.5418182571780493
56,99,0.16458957999999996,0.2587610430659079,0.5721593254318286
28,139,0.055875680000000004,0.1433086888001559,1.564777534701249
14,42,0.08138739999999998,0.0797153702002578,0.020544086673639668
28,121,0.23946688,0.12903115398535156,0.46117327796916396
28,203,0.12985866,0.1381180203259155,0.06360269177208136
28,112,0.13407989999999997,0.13183546512232974,0.016739532753755275
28,229,0.28674053999999993,0.1295568091911201,0.5481740768461965
14,98,0.15193131999999998,0.08737763764221375,0.42488726062398613
28,37,0.09287641999999999,0.08911256366164723,0.04052542441184489
14,162,0.09893199999999996,0.11149027954009787,0.12693849856566033
56,132,0.20407246000000004,0.23923771875345315,0.1723175128748539
7,80,0.07542981999999998,0.08241174950437581,0.09256192715793081
56,144,0.18126308,0.211351702990969,0.16599421675373172
14,157,0.09332204000000001,0.0886071404041829,0.05052289465400791
28,106,0.11769898,0.1269208625974905,0.07835142324504854
7,1178,0.11419749999999997,0.11649987758378344,0.020161365912419054
14,839,0.13251285999999995,0.15281436394594627,0.15320402824258963
112,56,0.2873032199999999,0.21607619398478803,0.2479158639962751
28,381,0.13604356000000004,0.09891398510540554,0.2729241641029865
28,1074,0.26539118,0.333254390648648,0.25571012061760295
28,529,0.22907225999999997,0.1725197689364212,0.2468762086844508
56,164,0.2510131,0.25536383993693557,0.01733272063065863
56,111,0.21046484000000004,0.2210667470803086,0.050373768275539785
56,799,1.08171638,1.0127164563243245,0.06378744461249217
28,773,0.38428189999999984,0.21976245392664098,0.42812176705007166
1,1359,0.00986202,0.03992198048648647,3.048053085117093
56,5,0.023088920000000002,0.0752494183603603,2.259113824308815
14,140,0.15426402,0.08943906947209351,0.4202208040987554
28,11,0.08147186,0.07808401582297271,0.04158299782314143
14,2027,0.22948697999999992,0.19910113025842954,0.13240772849758356
28,533,0.17191431999999998,0.20356359904247073,0.18409914335507802
14,771,0.11253279999999999,0.18170730999999934,0.6147053125844142
7,125,0.07316088,0.09228281763513535,0.2613683383132537
28,8,0.12160076000000002,0.09293107513333325,0.2357689612027652
28,133,0.13723756,0.148940155160575,0.08527253880479206
3,500,0.06865122,0.0850148979189184,0.23835960845150905
14,388,0.16758518000000003,0.11487103624658916,0.3145513448946432
112,240,1.3617307600000002,1.0022457089162111,0.26399128347793877
3,532,0.09337154,0.13058734387387355,0.39857759520592195
56,654,0.8756447399999998,0.8808446574594568,0.005938387135697323
28,361,0.14897385999999999,0.16584218020270386,0.11323006736016557
28,180,0.12889466000000005,0.12111149712162125,0.0603839047977534
28,904,0.38801890000000017,0.1548873065405399,0.6008253553099093
28,227,0.13530306000000003,0.15145193632947263,0.11935337108763534
14,110,0.11614898,0.0488210810751688,0.5796684475819865
56,132,0.22829591999999999,0.23923771875345315,0.04792813972958064
28,89,0.11161898,0.1180068317422058,0.05722908184795988
28,20,0.08262637999999997,0.08861934759658878,0.0725309228915609
7,24,0.11673622000000002,0.07655968837619037,0.34416508966805365
112,83,0.4627713200000001,0.3739802237378369,0.1918681915339161
14,191,0.035974799999999994,0.12503143787713422,2.4755283664435725
14,29,0.07216437999999999,0.08115928144550909,0.1246446161597883
28,154,0.09612696000000001,0.09975793583236806,0.037772710510849856
56,1727,2.5658948600000007,2.662513926216203,0.037655115072097026
14,635,0.13128322000000003,0.1433046162882888,0.09156841436619827
56,152,0.15303736000000007,0.2110287831342346,0.37893637954963744
56,214,0.22383406000000006,0.31271390345945854,0.3970791731135935
28,123,0.10267389999999998,0.11672224236499364,0.13682486362155966
28,44,0.10012598,0.150503691879623,0.5031432589186443
112,109,0.46664926000000007,0.4951819217615201,0.06114369872036232
28,197,0.13643048000000005,0.12757429305143703,0.06491355119884515
28,508,0.28265880000000004,0.1627201766846856,0.42432297637757754
14,202,0.03362206,0.11208059769485186,2.333543444240236
28,1247,0.2167107,0.45299611383783633,1.0903264759785112
