feature0,feature1,True,Pred,Error
14,44,0.00800712,0.008091742781552974,0.01056844178093679
56,210,0.26603945999999995,0.1724436529137612,0.3518117465966844
14,46,0.008170240000000002,0.007837698328464208,0.04070157933375205
56,430,0.30424600000000007,0.3106789584436301,0.021143937615054953
14,502,0.10756913999999998,0.1268080052177607,0.17885115766251106
28,858,0.16945504000000003,0.21729166691891966,0.2822968671744412
7,216,0.008723539999999998,0.008421811161518659,0.0345878896046031
14,238,0.14397998,0.10325538885945997,0.28284898456396534
14,204,0.12116848,0.08172203622535386,0.3255503722968724
7,190,0.00846782,0.008123618187129996,0.04064822030581694
14,196,0.10493890000000002,0.0982714620614757,0.06353638106102037
7,794,0.11874643999999998,0.10619290418648636,0.10571715508703776
56,68,0.14227812,0.13736608450205914,0.03452418051307442
56,48,0.13010788000000004,0.13009363857106407,0.00010945861953917198
7,232,0.009352419999999998,0.009223817146718112,0.01375075683960797
7,280,0.00970552,0.00969259919382244,0.0013312842771495057
112,106,0.23715488,0.1959754367597733,0.17363945131648442
14,34,0.007216600000000001,0.007621531498130988,0.056111118550423576
7,78,0.00717438,0.00977300376036037,0.3622088264575295
7,158,0.00801576,0.007974308409710413,0.005171261401238021
56,558,0.28976394,0.29700820505984554,0.025000574812192106
224,498,9.03562958,8.838638760486498,0.021801559898995102
112,104,0.2628873200000001,0.1940949812510317,0.2616799423759517
56,62,0.13371584,0.1322359549746889,0.011067387568377095
28,250,0.12697410000000003,0.10047161628989712,0.20872354054963105
7,1246,0.12172716000000001,0.1322532249189188,0.08647260741907384
112,36,0.15736386000000002,0.20242750916126095,0.2863659366341225
14,30,0.007619939999999997,0.007330158906478303,0.038029314341280145
7,102,0.007343980000000001,0.007695628172844278,0.047882506875601166
56,30,0.09041239999999999,0.10009955661653756,0.10714411537065241
14,1170,0.12250661999999998,0.14650262034234224,0.1958751318283229
28,70,0.11578870000000001,0.09343763454985882,0.19303321870045342
14,26,0.007011819999999999,0.007303089119616119,0.04153973142723563
112,1244,5.770766720000001,6.839090429729736,0.18512682310085388
14,556,0.10721301999999999,0.11715515001891848,0.09273248733146856
28,288,0.13267774000000004,0.12987926543513495,0.021092268867898212
28,88,0.10229946,0.10933967953052334,0.06881971352071016
112,948,4.156737860000002,4.384906354324309,0.05489123971948228
28,68,0.09501052000000001,0.09742273177297328,0.025388891387745964
14,232,0.09468196000000001,0.1015985179504501,0.07305043062532816
14,884,0.023649439999999994,0.12731058511428556,4.383238889135877
1,1296,0.0069904999999999985,0.006795968918918935,0.02782792090423622
28,64,0.09646003999999998,0.10295587771580866,0.06734226645363905
56,158,0.16580576,0.1304813043913772,0.21304721626451817
28,188,0.13863,0.11231467826154043,0.18982414873014192
1,40,0.006168799999999999,0.006137544172458172,0.0050667597493559095
56,54,0.12089648000000003,0.13261166782308495,0.09690263788561022
56,690,0.39874076,0.30419834302342164,0.2371024647106014
56,146,0.1951207,0.18143544494873404,0.07013738189369949
112,128,0.30835788000000003,0.2441437819466229,0.20824536105053365
56,264,0.19954472000000004,0.19497997019665367,0.022875823541441576
14,698,0.13092548,0.12542733794594588,0.041994438775814553
14,156,0.01002036,0.01231950032252258,0.22944687840781963
28,510,0.09238679999999999,0.16063565022966514,0.7387294530134733
14,204,0.09879798000000002,0.08172203622535386,0.17283697272602294
7,532,0.01033816,0.012700765256242003,0.22853247156573334
56,514,0.39345504,0.25703320090611304,0.34672789829782574
7,122,0.0072578799999999995,0.008523499299463758,0.17437864768551678
28,76,0.09389643999999997,0.1076713247328399,0.14670294989714128
7,34,0.006403379999999999,0.006615046883647283,0.03305549313757484
56,150,0.15167255999999996,0.17650330534469658,0.1637128386617634
112,120,0.38498588000000006,0.23319422569232112,0.394278497454709
14,1184,0.12168719999999998,0.1352676405018016,0.11160122430133666
56,134,0.15519951999999998,0.15308971181041459,0.013594166976710972
7,40,0.02349376,0.0067770279553157,0.7115392361496968
56,62,0.13655666000000002,0.1322359549746889,0.031640383012524774
28,442,0.17080428000000006,0.14591672444678222,0.1457080323351255
28,690,0.18707766,0.20342196860610784,0.08736643705137125
28,1740,0.3713904600000001,0.2898592013513527,0.21952976026537513
14,32,0.007435799999999999,0.007510934147053694,0.010104379764611055
28,128,0.11436355999999996,0.10017055812876446,0.12410423277515585
14,220,0.09913829999999997,0.09415723619517338,0.05024358703777036
14,258,0.11228772,0.11185284681814667,0.0038728471987259728
28,216,0.13461616,0.1307647873091378,0.02861003233833308
56,542,0.19333327999999997,0.3190484184477461,0.6502508954885893
28,26,0.00803124,0.007596492729858415,0.05413202321703565
14,874,0.17384848000000006,0.1349687529601025,0.22364145513321457
28,64,0.09974922,0.10295587771580866,0.032147195895954515
7,118,0.007129959999999999,0.008006859668682977,0.12298802078594796
28,950,0.25705482,0.2011988559189193,0.217292031641658
28,1562,0.24650520000000004,0.181763644216216,0.2626376879018537
56,226,0.19845324,0.22432409906184053,0.1303624927556765
14,694,0.12558606000000003,0.12821450599999978,0.020929440735697545
28,234,0.11567843999999998,0.13202264568880273,0.14128999050127883
7,260,0.009540339999999998,0.010147062812290893,0.06359551255939462
28,252,0.13726822000000005,0.1553557346843844,0.13176767852299934
1,1980,0.00723698,0.007110162810810783,0.01752349587662489
14,98,0.01003584,0.018798712562736825,0.8731578585087868
56,82,0.12765834,0.12616027517390102,0.011734954614786531
28,70,0.10767512000000001,0.09343763454985882,0.1322263253585526
14,1594,0.11858337999999997,0.13794498054054033,0.16327414972098417
14,2024,0.15873986,0.148262380693694,0.06600408559202471
28,98,0.10937211999999999,0.08676631083440316,0.2066871261670418
1,98,0.0061578,0.0183252305666023,1.9759379269548056
28,78,0.09869218,0.11073701993438423,0.12204452201161453
28,62,0.09408094000000002,0.10564750083644356,0.1229426580606395
14,164,0.012826539999999999,0.012607119307464575,0.01710677178221286
7,168,0.008330039999999997,0.008618632620270272,0.03464480605978785
14,998,0.13368474000000005,0.1265789516478766,0.05315332439681179
224,530,9.587260059999998,9.27528460281086,0.03254062737807265
14,460,0.10096554,0.11509122786486538,0.1399060299669112
1,66,0.0063367799999999985,0.006181328216216201,0.02453166810017035
7,62,0.0066127,0.007058604101415701,0.06743147298617826
112,194,0.50981346,0.4314166159054056,0.15377554781428182
14,40,0.007863859999999999,0.007734574468871069,0.016440467038951575
28,64,0.10535939999999998,0.10295587771580866,0.02281260413585608
14,212,0.10877904,0.07923236646613431,0.2716210175587658
14,238,0.11132486,0.10325538885945997,0.07248579643881908
56,44,0.10791221999999998,0.12693163380830114,0.17624893462761831
224,804,14.413186560000002,14.184460684,0.01586920942484506
7,26,0.006613400000000002,0.006618572230232829,0.0007820833811393627
14,48,0.007730980000000001,0.008097283901604855,0.04738130244870045
28,1072,0.23547508000000003,0.1939093092432432,0.17651876689778306
14,202,0.10185232000000001,0.08802897828395578,0.13571945848699593
28,122,0.11126164000000002,0.11530083055306715,0.03630353240404448
112,114,0.15870366000000008,0.2816001891264489,0.7743774096101423
14,206,0.10999428000000001,0.10309361288764492,0.06273659968823012
28,1644,0.12537199999999998,0.23095850302702797,0.8421856796336343
28,202,0.12338801999999997,0.11631510229285756,0.05732256427441184
28,212,0.139025,0.12668592145855812,0.08875438619990572
14,112,0.010520540000000002,0.010650853729348268,0.012386600815952959
56,138,0.18461176,0.17353051955315268,0.060024564236034195
14,32,0.0074484400000000015,0.007510934147053694,0.008390232995592734
56,382,0.20510579999999998,0.27688493785315327,0.34996152158131705
7,198,0.024586399999999994,0.008058374302254206,0.6722426096437782
14,244,0.10863595999999996,0.10976197464967866,0.010365026918146577
7,1188,0.10921584000000001,0.12776717648648686,0.1698593948138553
56,506,0.28743408000000004,0.2519018402535904,0.12361874328336298
56,512,0.22871477999999995,0.3668019414146718,0.6037526801489257
112,112,0.16810678000000004,0.22334597115207105,0.32859585527764557
7,1436,0.12291743999999998,0.11791180967567587,0.040723515917058695
28,200,0.11239547999999998,0.11200880178211087,0.0034403360160845525
7,362,0.010701159999999998,0.01073802901544408,0.0034453288656633415
14,1116,0.11927126000000002,0.12761856654954967,0.06998590062308098
14,4,0.00640444,0.006505777518018024,0.01582300997714465
14,824,0.12418480000000005,0.11967082389189178,0.03634886160068119
1,36,0.006173039999999999,0.0061871640864864805,0.0022880276956703796
14,62,0.00932736,0.008560080024211268,0.08226121601275517
28,340,0.12958742000000004,0.12624241121801769,0.025812758537691
14,100,0.009958040000000003,0.01061667400633557,0.06614092796730754
28,172,0.12016078000000002,0.12269783758051948,0.021113857454316296
28,216,0.13004524000000006,0.1307647873091378,0.0055330537983376395
56,172,0.18317424,0.19047067409927057,0.03983329806238357
56,584,0.26944636,0.21699889539819817,0.19464900027523782
7,40,0.00686108,0.0067770279553157,0.01225055598889678
14,138,0.009684,0.010740222850900892,0.10906886110087693
