feature0,feature1,feature2,feature3,feature4,True,Pred,Error
7,98,283,113,74,0.00582446,0.006178543081081083,0.06079243072852808
14,283,539,0,0,0.17765266000000005,0.2007726218918916,0.13014137751661894
7,176,122,0,0,0.0065355,0.013537365621621627,1.07135882818784
28,3,2182,795,378,0.6203582,0.6364499104864848,0.02593938548162148
7,510,99,1261,179,0.14086588000000003,0.1479808846486488,0.05050907039127417
14,108,85,0,0,0.008579400000000001,0.009213762036036039,0.07394013987412151
7,72,104,151,0,0.010371200000000002,0.00826758913513514,0.2028319639834216
14,21,383,130,453,0.16357776,0.17733886070270252,0.08412574363839274
7,59,157,134,0,0.012373340000000002,0.007725875027027021,0.37560310902092564
14,304,76,734,249,0.20725922000000005,0.2405091034594597,0.16042655887376028
7,151,590,190,55,0.01780698,0.01643693400000002,0.07693870605796035
7,83,160,0,0,0.014060640000000004,0.016736155189189212,0.1902840261317555
14,95,936,260,317,0.17258236,0.1921275275135133,0.1132512471930116
28,559,100,43,988,0.24774060000000003,0.31813825800000006,0.28415874507448524
7,537,138,0,0,0.00795192,0.007452354432432451,0.06282326376114801
7,330,36,0,0,0.016571739999999998,0.013152090486486459,0.2063542822608573
28,175,1017,135,0,0.30683378,0.38051770572973004,0.2401428086885676
7,1044,20,0,0,0.12039135999999999,0.10485152227027057,0.1290776823995461
7,96,406,152,31,0.009338140000000002,0.012294253243243264,0.31656338877370244
56,133,51,0,0,0.26375803999999997,0.23834026091891886,0.09636778875472808
14,144,82,117,700,0.15864364,0.16538889924324315,0.042518308601864854
14,97,198,790,0,0.15182719999999994,0.17420186064864848,0.1473692503625737
7,596,277,0,0,0.009788759999999997,0.010119332972973034,0.033770668907301515
14,7,67,0,0,0.0051369599999999994,0.007024806378378369,0.3675026432711896
56,242,431,0,0,0.4977626999999999,0.48665756027027185,0.022310108269920675
56,156,26,0,0,0.23502148,0.2490325035675676,0.05961592773378666
28,1224,55,0,0,0.21013036000000004,0.3174205536216202,0.5105887298799665
7,183,134,0,0,0.019051380000000003,0.014301767513513513,0.249305430183351
14,120,743,0,0,0.15814064000000003,0.13173462551351386,0.16697804237093108
56,345,21,420,102,0.6711294799999997,0.7075171156756743,0.054218502926848954
28,194,280,0,0,0.18412629999999994,0.23124256330810838,0.25589100149249977
14,48,50,0,0,0.02307946,0.013657429837837881,0.4082430941695394
14,58,103,19,0,0.011351299999999995,0.00808227494504505,0.28798684335317953
28,20,240,0,0,0.12980209999999998,0.15309813827027088,0.17947350828893302
28,6,302,4,145,0.2656022800000001,0.2241359327027026,0.15612195534352138
7,990,1443,0,0,0.16478057999999993,0.16620143972972953,0.008622737762724268
28,135,115,114,76,0.24453508,0.3202487184324326,0.3096228092608741
7,438,188,0,0,0.004874119999999999,0.005564334648648625,0.14160805409974025
14,654,1806,135,503,0.1731165,0.22075125654054067,0.2751601178428438
56,119,83,0,0,0.42538588,0.25018912545945976,0.41185371395153086
28,310,94,687,641,0.42082510000000006,0.3770977108648646,0.1039087001586537
28,126,201,82,61,0.35288848,0.2707388987567567,0.2327919042391049
56,403,59,0,0,0.44197906000000003,0.3332781623243244,0.24594128435785087
14,197,32,0,0,0.10469034000000002,0.11577464486486509,0.10587705479669919
7,35,236,167,0,0.00637698,0.006155564756756759,0.03472101892169031
14,196,138,861,137,0.19145482000000005,0.20663566735135147,0.0792920614448433
28,137,84,634,0,0.36017428000000007,0.2925235503243235,0.18782776403600107
28,1107,272,128,9,0.44235127999999996,0.3214925708108108,0.27321885264848605
14,117,498,0,0,0.13454313999999998,0.1228338105945946,0.08703029679109156
14,51,808,0,0,0.13435988000000001,0.1401070467567568,0.042774426091752936
28,275,340,0,0,0.18826902,0.21503293605405402,0.142157833795778
14,36,42,1197,0,0.16842554000000007,0.16443475913513575,0.023694630071331917
14,175,70,8,264,0.1712039,0.20549938740540521,0.20031954532230414
7,123,20,460,1457,0.12087055999999997,0.14558277756756788,0.20445191589720366
7,288,251,0,0,0.0049738199999999995,0.010645042648648672,1.1402146938668212
14,990,73,0,0,0.16757940000000002,0.15540543416216218,0.07264595670970199
14,54,227,192,419,0.16853334,0.20049910448648653,0.18967027228254377
7,85,375,105,72,0.0054899599999999995,0.008054294864864864,0.4670953640581834
7,308,127,0,0,0.00618476,0.013469433675675671,1.1778425800961834
28,240,79,0,0,0.18747054,0.21113464102702684,0.12622837181258906
14,70,103,36,0,0.010584199999999998,0.01191321502702703,0.12556594046097308
56,33,74,223,170,0.3771918999999999,0.33349635162162133,0.11584434442621538
7,13,270,1017,0,0.11484969999999999,0.1363438305945947,0.18715008044944587
14,232,144,0,0,0.11467602000000003,0.1386629507567565,0.20917128756959355
7,1009,143,83,31,0.14011504000000005,0.13228108762162166,0.05591085995035498
14,33,174,6,206,0.14751395999999997,0.14177192102702676,0.03892539372526646
14,149,294,0,0,0.12527012000000004,0.11982673902702727,0.04345314727065615
7,223,46,35,100,0.027142339999999994,0.0055960952972973115,0.7938241398016047
14,873,1951,97,542,0.18939396000000003,0.26380101951351365,0.39286923148717945
14,482,607,0,0,0.1984487,0.19022452497297312,0.041442322509680746
14,37,489,185,507,0.17464731999999994,0.2090736038378379,0.1971188784221709
56,420,87,395,83,0.6348058,0.6157824529189192,0.029967191668823407
14,104,24,0,0,0.00499954,0.010735810378378336,1.1473596327618811
14,142,556,507,192,0.1635613,0.15501424897297272,0.05225594946376233
28,191,119,721,191,0.22842662000000005,0.2961977278378377,0.29668655885131795
28,112,681,0,0,0.25386882000000005,0.24372673810810802,0.03995008875801301
28,754,56,702,143,0.41474482,0.305242676540541,0.2640229321235622
7,142,529,0,0,0.011733220000000004,0.007638782918918923,0.34896107642071655
7,108,130,148,118,0.0053508,0.0059377201621621635,0.10968830121891368
28,84,746,0,0,0.24565982000000008,0.30014021286486403,0.22177168763236874
14,184,67,219,0,0.18409727999999997,0.18097355151351363,0.01696781444292031
28,140,627,42,954,0.34614294,0.3517014796216207,0.016058509301448334
7,521,21,345,0,0.012195719999999998,0.011529224378378392,0.05464996093888727
28,182,129,600,125,0.22524167999999997,0.3173786116216215,0.40905809094312184
14,1154,25,121,690,0.22091986000000002,0.20605950199999973,0.06726583114800223
7,45,57,0,0,0.013898740000000003,0.017613531027027087,0.2672753808638109
14,279,93,56,0,0.1669829,0.15581725227027063,0.06686701290808438
14,144,135,0,0,0.00872132,0.012499719027027003,0.43323705895747483
7,73,88,0,0,0.01629118,0.01801455381531536,0.1057856960217345
14,211,12,526,65,0.20115331999999989,0.1808118334054063,0.10112428964430516
56,104,76,0,0,0.26172716,0.2615536841891895,0.0006628116501570121
7,44,204,0,0,0.011257120000000004,0.018916232216216248,0.6803793702311285
56,414,67,0,0,0.40444927999999997,0.31977295572973075,0.20936203488919358
14,128,280,159,120,0.17769025999999996,0.1848271849189186,0.0401649753842369
14,2003,221,294,138,0.26194378,0.24226354551351276,0.07513152053653367
7,2433,31,0,0,0.13065828,0.11892082399999983,0.08983323521479206
14,97,46,0,0,0.00578182,0.007026723171171199,0.215313373846159
7,93,93,0,0,0.017743940000000007,0.018509423157657624,0.043140540244027914
56,77,101,163,0,0.28151077999999996,0.30584298708108154,0.08643437058105406
7,899,19,0,0,0.11782552,0.09796316345945986,0.16857431684188737
14,752,67,154,61,0.19653124000000002,0.19001404227027005,0.033161128631407265
7,60,307,94,35,0.0055667,0.0068301879459459385,0.22697252338835192
7,166,125,460,507,0.02019428,0.047847269513513445,1.3693476327709355
7,251,169,298,0,0.011418499999999998,0.009243374324324339,0.1904913671389114
14,79,29,0,0,0.00402252,0.010611537513513512,1.6380322567727474
7,137,169,59,68,0.004232760000000001,0.005950231621621627,0.40575691076782644
7,83,59,0,0,0.019827719999999997,0.011380061891891908,0.42605292530397293
7,205,72,603,204,0.01221188,0.01982462540540543,0.6233884877189614
7,1115,1154,0,0,0.09228194000000002,0.18349309405405423,0.9883965817586213
14,123,128,59,0,0.01658438,0.01481217540540541,0.10685986419718978
56,89,122,120,63,0.50471076,0.31890595918918907,0.36814115239154194
28,164,122,39,0,0.18812854,0.21433817372972958,0.13931769060520835
56,88,871,339,314,1.30893158,1.1313899698378385,0.13563857185122052
14,290,582,46,134,0.20777476000000003,0.21313202648648633,0.025784009985073714
7,209,26,209,33,0.0048603200000000004,0.005164178108108114,0.06251812804673629
28,347,88,878,982,0.42033297999999997,0.4228996980000002,0.006106392127499121
56,117,53,0,0,0.3045625799999999,0.25421467978378426,0.1653121674245591
28,106,301,38,2171,0.42413988,0.4069928777297297,0.04042770576129349
7,124,546,0,0,0.06351559999999999,0.00855786075675673,0.8652636398497892
7,24,40,850,160,0.11120956000000001,0.1337383945945948,0.2025800173527778
7,261,403,0,0,0.017447459999999995,0.012072972108108098,0.3080384131496446
7,477,144,0,0,0.005043859999999999,0.010341494378378356,1.0503135254305944
7,19,417,0,0,0.00706982,0.016176388270270278,1.2880905412401273
14,11,515,32,0,0.1109135,0.12185685362162196,0.09866565946996501
14,119,410,0,0,0.1195809,0.12747574956756733,0.06602099137543974
7,1002,373,0,0,0.13549493999999998,0.12754747821621654,0.058655044858379544
