feature0,feature1,feature2,feature3,feature4,True,Pred,Error
28,699,113,36,0,0.3055013,0.2670926799999992,0.12572326206140788
7,186,168,488,506,0.12822096000000005,0.02629165816216221,0.794950387501683
28,181,2151,523,0,0.49665017999999983,0.46967607324324445,0.05431208493019249
14,920,258,61,527,0.20991460000000006,0.207900031837838,0.009597084538960392
14,806,206,5,0,0.20614476000000004,0.20096011372972977,0.025150512049252498
7,109,140,0,0,0.014727539999999999,0.013392168324324317,0.09067173986121799
56,110,207,0,0,0.31958702,0.313074811081081,0.020376950599930548
7,62,539,0,0,0.004950119999999999,0.009823210702702704,0.9844389030372408
14,417,5,183,1937,0.25819068,0.22431539329729727,0.13120259299329756
7,843,182,230,350,0.18550756000000007,0.13692450832432418,0.2618925701770638
14,101,194,0,0,0.08939324000000003,0.09354563983783769,0.04645093787670813
14,501,62,540,0,0.2594976,0.2128169575675675,0.1798885324274001
56,161,29,218,0,0.36366352,0.36255857881081105,0.003038361365442891
28,253,75,0,0,0.2030608,0.18066516335135105,0.11029030048462807
7,134,2036,209,576,0.1736259,0.13333050616216202,0.23208169885851118
56,346,266,0,0,0.5365991200000001,0.4713376874594603,0.12162046136143453
56,116,224,0,0,0.30552482000000003,0.34804794010810763,0.13918057494676733
56,1008,515,0,0,1.1406998200000003,1.219839974864864,0.06937859853862674
56,1016,823,1058,752,3.537098500000001,3.8095935612432346,0.07703914981254655
56,540,258,0,0,0.23995759999999997,0.654022555081081,1.7255754978424565
7,700,108,958,0,0.18407642,0.1394034405945944,0.24268713725204782
56,2100,134,0,0,1.6280724800000002,1.492155138756757,0.0834835935825431
14,527,141,847,239,0.2430879,0.19901482605405374,0.18130509147492022
28,1328,519,0,0,0.20354609999999995,0.4106052268648643,1.0172591214710789
7,253,204,0,0,0.00581634,0.0061535701621621445,0.05797978834836767
7,978,32,0,0,0.10782329999999997,0.06191193027027053,0.42580193455152504
56,431,29,811,93,1.1771676000000002,0.9440255231351345,0.19805342660201114
7,10,1685,0,0,0.12325866000000003,0.11062471794594594,0.10249942725366384
14,41,79,141,21,0.012639160000000003,0.1045771361621623,7.274057466015326
56,449,64,0,0,0.38486800000000004,0.339072952216217,0.11898897228084176
14,204,36,128,0,0.12387686,0.14458029416216195,0.16712914875435123
28,810,63,1149,191,0.33584374000000006,0.43179229610810754,0.28569404362906237
28,162,103,74,185,0.18315092,0.21191701345945899,0.15706223839584857
14,158,50,0,0,0.01004888,0.012654763621621589,0.25932080208158415
7,127,264,0,0,0.013865800000000001,0.009966029297297292,0.28125104232736003
