feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
28,1010,116,1,1,91.944384,0.117276,0.9786141400000001,1.1701843383243222,0.19575662203728433
112,108,13,1,1,17.774848,0.001417,0.4966748,0.8267516211891864,0.664573320790961
13,176,17,1,1,0.508521,0.003009,0.12530366,0.14603445508108145,0.16544444975574887
56,176,60,1,1,33.30432,0.01062,0.5730885200000001,0.7694095769189184,0.3425667241055855
56,182,132,3,1,678.467328,0.216348,2.2294921199999997,2.318756972486482,0.040038200487778494
7,1038,166,1,1,8.451226,0.172474,0.20319349999999997,0.2500338962702707,0.23052113512622555
27,155,25,3,2,6.360525,0.0349,0.2501394399999999,0.2035304529729729,0.18633201956087775
56,1160,577,5,1,52476.497472,16.733577,124.69843999999998,125.0757184990815,0.0030255270160679383
14,291,152,3,2,19.51376,0.39824,0.3436556600000001,0.4864589603243243,0.4155418255713413
8,40,151,7,1,18.951104,0.296111,0.28368440000000006,0.5173636410810805,0.823729613193677
28,822,479,1,1,309.066128,0.394217,1.28573226,1.568456288162161,0.21989339223872395
56,1235,49,1,1,189.928704,0.060564,1.0720300600000001,1.7912774568108107,0.6709209225073507
14,186,266,7,2,118.80491,2.42459,1.07581534,1.0674136481621594,0.007809604051416903
7,58,11,3,1,0.281897,0.005753,0.10547432000000002,0.13871231989189153,0.31512883791895036
13,28,490,7,1,113.69813,0.67277,1.1244737200000001,1.1545754402162183,0.026769607578039395
56,95,173,5,2,322.261632,0.411048,1.08415958,1.3363310117297347,0.23259623064875265
14,113,214,1,1,4.781616,0.024396,0.14193139999999993,0.16078931551351314,0.13286640950144377
3,103,324,7,1,14.719968,1.635552,0.58946768,0.39441793540540604,0.33089132994466125
112,144,10,1,1,18.1888,0.00145,0.45351087999999995,0.8902426070810779,0.9630016529726432
112,334,169,1,1,710.17856,0.056615,4.0418167799999996,4.246790635297297,0.050713297127065154
56,989,637,5,1,49393.448832,15.750462,115.45784722,124.45608563610848,0.07793526930190131
27,230,209,1,1,35.195391,0.048279,0.35262344000000007,0.46577017832432505,0.32087129070127884
28,412,199,1,1,64.434608,0.082187,0.95476716,0.9754399437297283,0.02165217300700661
224,180,104,1,1,944.513024,0.018824,9.97703748,10.358263127297317,0.038210305219512596
14,29,82,1,1,0.48216,0.00246,0.08861192000000004,0.14747038718918945,0.6642274221029111
