feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
28,185,28,5,1,101.549952,0.129528,0.91782078,1.0469641655135127,0.14070653914973758
13,850,34,1,2,1.2224615,0.028934,0.18904727999999998,0.20116795956756775,0.06411454091044191
14,181,133,5,2,29.495942,0.601958,0.35914335999999997,0.7449754282162169,1.0743121304434444
14,2086,36,1,1,14.725872,0.075132,0.2515254199999999,0.3593679831891893,0.42875413224313247
28,121,25,1,1,2.3912,0.00305,0.1606419,0.1690593585405405,0.05239889804926666
13,513,124,3,1,96.774808,0.572632,1.0707736200000002,0.9396013544324329,0.12250233206862839
56,542,241,3,1,3687.431104,1.175839,9.921409339999999,10.7718102803784,0.08571372385068848
14,493,186,1,1,18.009264,0.091884,0.30650614000000004,0.29047626151351313,0.05229871899625535
28,152,37,7,1,216.080592,0.275613,2.8581991200000014,1.1265639629189181,0.6058483276984153
56,214,2007,1,1,1353.19968,0.431505,7.70561954,5.843856566540541,0.24161106888226389
13,20,184,1,1,0.653016,0.003864,0.21538322,0.16461477854054013,0.23571214813976624
56,181,41,3,1,209.57888,0.06683,1.0784611200000005,1.1212064315135124,0.03963546828049943
112,214,144,1,1,388.36224,0.03096,2.3671461400000005,2.324839694216232,0.01787234217139146
8,176,59,1,1,0.668352,0.010443,0.20785566000000003,0.10013464967567577,0.5182491076948506
7,519,1277,7,1,1591.356536,32.476664,18.073178079999995,17.37326708767569,0.03872650339780781
56,116,500,1,1,183.456,0.0585,1.16917694,1.1319774710270263,0.0318168000926992
13,119,80,5,1,40.23552,0.23808,0.4968934600000001,0.6665975637837824,0.3415301617851486
13,1047,81,1,1,14.346072,0.084888,0.23098704,0.35583229308108166,0.5404859644120366
28,260,50,3,2,22.9418,0.11705,0.28935866,0.37779369270270263,0.3056242819990342
13,16,14,3,1,0.34307,0.00203,0.11898402,0.14319137978378374,0.20345051195768762
8,74,44,1,1,0.2112,0.0033,0.08088773999999999,0.12558609313513522,0.5525973792213164
7,114,239,5,1,33.388061,0.681389,0.26491507999999997,0.6677085393513521,1.5204625548358823
14,109,40,1,1,0.8624,0.0044,0.13654790000000003,0.12637952664864832,0.07446744586589545
27,160,205,1,1,24.060645,0.033005,0.28948515999999996,0.3311918642162154,0.14407199393646095
27,168,367,5,1,1123.948143,1.541767,2.9323064000000003,3.2405490957297283,0.10511953857541215
7,112,183,5,1,25.116567,0.512583,0.40396030000000005,0.6784977930810818,0.6796150341533109
56,94,6,1,1,1.78752,0.00057,0.18068896000000007,0.20790522848648682,0.15062496616554075
8,51,39,1,2,0.032448,0.002028,0.09449064000000001,0.09944603259459474,0.05244321124922768
14,18,100,3,1,3.1948,0.0163,0.15161177999999997,0.15881733216216204,0.04752633444552967
28,258,44,1,1,8.934464,0.011396,0.18129866000000003,0.18999820345945936,0.04798459878004247
14,536,14,7,1,72.07116,0.36771,0.8629408400000002,1.0891657270810804,0.2621557314184831
28,36,47,1,1,1.363376,0.001739,0.15985382,0.14643743318918956,0.08392909728907604
14,218,180,5,1,192.31128,0.98118,1.3540942200000003,1.0449352234594587,0.22831424281579285
56,150,85,1,1,40.25056,0.012835,0.32052212,0.8636951674594596,1.694650738799118
56,773,328,1,2,199.035648,0.253872,2.3569623199999996,1.681343221567568,0.28664823900639685
27,109,67,5,1,133.146018,0.182642,0.8716852999999997,1.0305137700000002,0.1822084988699484
27,502,79,7,1,1416.681009,1.943321,5.48499276,5.096314354864868,0.07086215463575785
27,508,206,1,1,76.438566,0.104854,1.10908174,1.0068114177837837,0.09221170859436947
13,498,102,3,2,19.3194885,0.457266,0.319232,0.38758292945945955,0.21411051980835105
28,10,1014,1,1,8.744736,0.011154,0.6302387200000001,0.36669863951351384,0.4181591389473599
3,1005,105,3,1,8.54847,0.94983,0.6695744200000001,0.3534759158378361,0.47208868009348975
14,181,137,7,1,238.17724,1.21519,1.2023420200000001,1.1450684951891905,0.04763496896732396
14,433,24,3,1,18.336192,0.093552,0.22596061999999997,0.38967671351351374,0.7245337418241895
56,191,314,7,1,9216.82944,2.93904,24.01786344000001,25.72558142189187,0.07110199398701636
112,242,10,1,1,30.48192,0.00243,1.6636251600000003,1.1612052145945937,0.30200309389730945
27,226,24,3,1,35.60436,0.04884,0.46357086000000003,0.5110085424864859,0.10233102763725449
28,13,130,1,2,0.35672,0.00182,0.12735699999999997,0.1438785123783782,0.12972598583806338
14,486,1003,3,2,215.018125,4.388125,1.4515456199999994,1.6214851304864861,0.11707486705549548
27,167,127,3,1,139.244832,0.191008,1.1864861,1.0149971586486495,0.14453514571418116
27,18,391,5,2,32.13814725,0.176341,0.5690694000000001,0.6558682867027035,0.1525277702556198
14,140,205,1,1,5.66538,0.028905,0.16797120000000004,0.256444894702703,0.5267194298945469
14,522,192,7,1,962.588928,4.911168,3.18565196,3.495035220864873,0.09711772181945237
7,217,202,7,1,105.255332,2.148068,1.0600599800000001,1.3370294603783741,0.2612771782766235
56,207,54,3,1,315.657216,0.100656,1.1667999399999998,1.366531164324323,0.17117863780857176
7,134,49,7,1,15.767367,0.321783,0.31039408,0.42704569605405396,0.37581778638965646
112,127,12,3,2,43.051008,0.013728,0.5053174199999999,1.12829724918919,1.2328485117120844
14,163,93,1,1,2.989392,0.015252,0.14545371999999993,0.1864599584324326,0.2819194891160755
28,146,142,7,2,199.13796,1.01601,0.9793906999999997,1.142570932378379,0.16661403092594135
13,166,13,7,1,17.872595,0.105755,0.2446576,0.4871523443783795,0.9911596630490102
8,669,158,1,1,6.77504,0.10586,0.17473376000000002,0.1971841150270272,0.12848321370196114
56,163,156,1,1,80.231424,0.025584,1.2642740000000001,1.3421818610270229,0.06162260793706327
8,16,217,7,1,10.90208,0.170345,0.20035413999999996,0.2534466561081083,0.2649933568036495
14,208,96,7,1,191.791488,0.978528,0.8880882199999999,1.0756114188648638,0.21115379603263282
27,193,4,3,1,5.068008,0.006952,0.23474027999999994,0.25588600037837833,0.09008134598109194
27,35,21,1,1,0.551124,0.000756,0.14468675999999997,0.16008192745945915,0.10640342944619939
1,283,227,3,1,0.578396,0.578396,0.09718042,0.16202647243243223,0.6672748731939235
28,1998,205,1,1,321.27928,0.409795,1.33627454,1.5774119836216187,0.18045501609393733
8,212,2013,1,1,27.441216,0.428769,0.5034427999999999,0.816904921297297,0.6226370131766652
14,1021,506,1,1,101.357872,0.517132,1.3786103999999997,1.3057131712432453,0.052877323975471555
56,207,50,1,1,32.6144,0.0104,0.5249759999999999,0.6093660954594595,0.16075038755954493
13,263,202,1,2,2.253108,0.053328,0.17304403999999998,0.17900621297297303,0.03445465658899926
56,1533,32,1,1,153.939968,0.049088,1.928456979999999,1.690930085513514,0.12316940276597983
56,168,201,1,1,106.526784,0.033969,1.10760512,1.1453489867567548,0.03407700639444017
14,44,162,1,1,1.42884,0.00729,0.12421911999999999,0.14052936881081063,0.13130224083708403
14,111,988,1,1,21.688576,0.110656,0.2968469800000001,0.34649172356756724,0.1672401840421861
28,11,49,1,1,0.460992,0.000588,0.13387056,0.21813771043243252,0.6294673782826674
56,184,251,3,1,1304.284352,0.415907,3.4382458000000002,4.051442154918909,0.1783457002750962
14,164,26,1,1,0.84084,0.00429,0.14578012000000004,0.1778654254054057,0.22009383313311617
14,1020,209,3,1,376.090484,1.918829,1.4822005000000003,1.42607848962162,0.037863980195918266
