feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
56,32,32,5,1,2.609152,0.000832,0.17931187999999995,0.177103411356738,0.012316354294327644
7,147,147,5,1,0.187278,0.003822,0.13918877999999996,0.132481064841699,0.04819149329637749
14,42,42,5,1,0.214032,0.001092,0.10567845999999999,0.18961862517110187,0.7942977705305498
28,307,307,3,1,2.40688,0.00307,0.2021977,0.21542374258281874,0.06541143931320055
112,69,69,7,1,43.2768,0.00345,1.4011284599999996,1.4178256101517135,0.011916930266132712
28,39,39,3,1,0.30576,0.00039,0.1535492,0.14818077521595713,0.034962245222006166
56,35,35,5,1,2.85376,0.00091,0.21279929999999997,0.19018860785559458,0.10625360207672392
28,62,62,5,1,1.263808,0.001612,0.14079482000000004,0.1488867077061454,0.057472907782724916
28,133,133,3,1,1.04272,0.00133,0.16640293999999997,0.21652627525135143,0.3012166446779814
14,168,168,5,1,0.856128,0.004368,0.15057508,0.153508922373397,0.0194842491426669
28,56,56,5,1,1.141504,0.001456,0.3111586799999999,0.18904250755649935,0.3924562620059341
28,56,56,3,1,0.43904,0.00056,0.14018676000000002,0.17243223884121903,0.2300180048473836
7,63,63,3,1,0.03087,0.00063,0.31913652000000003,0.12491794667236068,0.6085752057697419
28,338,338,7,2,3.3124,0.0169,0.18490499999999999,0.19418899086936992,0.05020951769486996
112,54,54,5,1,17.611776,0.001404,0.7616466199999998,0.5885396787595233,0.22727986535340572
56,60,60,3,1,1.8816,0.0006,0.23308896000000004,0.21134570065051458,0.09328309392896794
56,140,140,5,2,2.85376,0.00364,0.21737427999999998,0.28358716860486716,0.304603141663619
14,46,46,3,1,0.09016,0.00046,0.14885558,0.14234140245153395,0.04376172897560194
14,65,65,3,2,0.03185,0.00065,0.12521476,0.12192675840617763,0.026258897863337984
28,434,434,5,1,8.846656,0.011284,0.24619342000000002,0.29435945318919027,0.195643056541439
28,11,11,3,1,0.08624,0.00011,0.13065330000000006,0.14855916434444455,0.13704869562762279
28,129,129,5,1,2.629536,0.003354,0.17655292,0.17240125687052776,0.0235151201660796
7,142,142,3,1,0.06958,0.00142,0.14452132000000004,0.12644421048861004,0.125082648784207
7,127,127,3,1,0.06223,0.00127,0.1265093,0.14805971008996135,0.1703464495492534
56,153,153,7,1,23.9904,0.00765,0.96415166,0.7718210861058574,0.1994816602754618
7,332,332,7,1,0.8134,0.0166,0.12278539999999999,0.14715498801982027,0.19847301079623705
14,152,152,3,1,0.29792,0.00152,0.13763096,0.22823257060347474,0.658293821415434
56,96,96,5,1,7.827456,0.002496,0.22627245999999995,0.2837996836500467,0.2542387334722342
28,771,771,3,1,6.04464,0.00771,0.6705735000000002,0.4543235165837862,0.3224851316316763
14,328,328,5,1,1.671488,0.008528,0.13942517999999998,0.1482075663783781,0.06298995904741246
14,60,60,3,1,0.1176,0.0006,0.13312994,0.1753273377475635,0.31696399583417156
7,148,148,3,2,0.01813,0.00148,0.11592304,0.16913315495045125,0.4590124185015442
28,677,677,3,1,5.30768,0.00677,0.6798718799999999,0.2789862293513509,0.5896488183165467
7,118,118,5,1,0.150332,0.003068,0.37985552,0.14178040887005547,0.6267517479539182
14,42,42,3,1,0.08232,0.00042,0.14012004,0.12208173010884159,0.1287346898499202
14,242,242,3,1,0.47432,0.00242,0.14057582000000005,0.14624311130699183,0.040314837267118785
14,687,687,3,1,1.34652,0.00687,0.17949948000000002,0.18803203855405423,0.04753528285460333
56,77,77,3,1,2.41472,0.00077,0.22316419999999998,0.23624076946139017,0.05859617923210886
7,478,478,3,1,0.23422,0.00478,0.14061298000000003,0.1444802485486494,0.02750292717393076
112,282,282,5,1,91.972608,0.007332,4.445748880000002,3.7774741871567676,0.15031768794894998
14,45,45,3,1,0.0882,0.00045,0.09604734000000001,0.13150870269686796,0.3692071294933097
56,183,183,5,1,14.921088,0.004758,1.0246584000000003,0.6259272441871121,0.38913569225889144
56,64,64,5,1,5.218304,0.001664,0.36110943999999995,0.22156572958331164,0.3864305248200887
7,958,958,5,1,1.220492,0.024908,0.13695890000000005,0.14679041043243285,0.07178438518732844
14,87,87,7,1,0.8526,0.00435,0.14714724,0.1545741280835595,0.05047249329011869
28,1137,1137,5,1,23.176608,0.029562,0.4943240399999999,0.9509600674423462,0.923758487332209
14,51,51,3,1,0.09996,0.00051,0.12285049999999999,0.14844211948626532,0.2083151430907105
7,78,78,3,1,0.03822,0.00078,0.12212560000000001,0.1738217100619936,0.4233028133494826
14,205,205,3,1,0.4018,0.00205,0.15018871999999997,0.17837015334849862,0.18764014600096904
14,78,78,3,1,0.15288,0.00078,0.20081971999999998,0.1585224486152509,0.2106230970979797
56,58,58,3,2,0.45472,0.00058,0.15964612,0.16815107917704977,0.0532738232351013
56,96,96,5,1,7.827456,0.002496,0.22832915999999998,0.2837996836500467,0.24294104025104257
56,56,56,5,1,4.566016,0.001456,0.21447110000000003,0.20478539302091361,0.045160895706164654
14,144,144,3,1,0.28224,0.00144,0.20831119999999997,0.18801810575587746,0.09741720197532593
112,105,105,5,1,34.24512,0.00273,0.96388696,1.3073830118048313,0.3563654931122124
14,53,53,3,1,0.10388,0.00053,0.12315764000000003,0.1542320559692891,0.2523141558192335
56,208,208,7,1,32.6144,0.0104,0.97557018,0.6710540417396375,0.3121417039011612
28,112,112,3,1,0.87808,0.00112,0.1704441,0.17365109162091427,0.01881550385677348
7,226,226,3,2,0.027685,0.00226,0.14721408000000002,0.18395599136846827,0.24958150313114233
56,153,153,5,1,12.475008,0.003978,0.38032325999999983,0.5598802014710275,0.47211664485371657
112,58,58,5,2,4.729088,0.001508,0.2666334,0.2757118048202407,0.034048265597035825
14,108,108,3,1,0.21168,0.00108,0.1432964200000001,0.13906098825972657,0.02955713576287194
14,89,89,3,1,0.17444,0.00089,0.13300559999999997,0.15027848693137422,0.12986586227477825
14,154,154,5,1,0.784784,0.004004,0.14302358,0.14790679694784556,0.034142740293912004
7,153,153,5,1,0.194922,0.003978,0.12788419999999998,0.16505008969559298,0.2906214348261397
112,542,542,5,1,176.770048,0.014092,8.430076779999998,8.966895235513503,0.06367895210481163
14,49,49,3,1,0.09604,0.00049,0.13173554000000004,0.14529810516629887,0.10295297052184119
112,78,78,7,1,48.9216,0.0039,1.0881689400000003,1.0760243639909268,0.011160561161645984
7,42,42,7,2,0.025725,0.0021,0.11369868,0.20403039725253924,0.7944834298211664
14,234,234,3,1,0.45864,0.00234,0.3557575000000001,0.1471801449855854,0.5862908161160753
28,68,68,3,1,0.53312,0.00068,0.15626926000000002,0.17963897551389718,0.14954774543564842
28,60,60,5,1,1.22304,0.00156,0.16809380000000002,0.15421361180321372,0.0825740639856217
28,337,337,7,1,13.2104,0.01685,0.31931677999999997,0.27778335481081073,0.130069660570889
28,485,485,3,1,3.8024,0.00485,0.26138094000000006,0.2613569116997432,9.192828006848616e-05
112,93,93,3,1,11.66592,0.00093,0.6517156599999998,1.0030791586360384,0.5391361911359298
14,33,33,5,1,0.168168,0.000858,0.12592435999999999,0.1247680254004627,0.009182771304434583
7,26,26,3,1,0.01274,0.00026,0.20484653999999997,0.114288339110879,0.44207825472239354
112,61,61,5,1,19.894784,0.001586,0.46981107999999994,1.000915326957327,1.1304634342751712
28,70,70,7,1,2.744,0.0035,0.16092089999999998,0.1653561846670331,0.027561893247136544
14,56,56,3,2,0.02744,0.00056,0.23967196,0.12334322959757797,0.4853664583976449
28,44,44,3,1,0.34496,0.00044,0.13146484,0.17110286641369984,0.3015104754525989
7,40,40,3,2,0.0049,0.0004,0.11864756000000004,0.15073043030836517,0.27040480485536417
112,91,91,3,1,11.41504,0.00091,1.0961562799999998,1.1071113922030777,0.009994115257979446
28,165,165,7,2,1.617,0.00825,0.15615145999999996,0.1663437270002581,0.06527167277371684
14,7,7,7,1,0.0686,0.00035,0.10799422000000002,0.1281776742166052,0.18689383762024653
7,32,32,3,1,0.01568,0.00032,0.11781672000000006,0.1711709312899143,0.4528577207879682
28,43,43,5,1,0.876512,0.001118,0.13205693999999998,0.19280268525878833,0.45999661402716396
14,82,82,3,2,0.04018,0.00082,0.10990280000000001,0.24703969422579583,1.2478016413212023
7,38,38,3,1,0.01862,0.00038,0.12493462000000001,0.16699873594987957,0.33668902942898904
14,59,59,3,1,0.11564,0.00059,0.12508470000000002,0.17399059143049778,0.39098220190397187
7,130,130,5,1,0.16562,0.00338,0.12625955999999997,0.14140453210584217,0.1199510920665509
56,132,132,5,1,10.762752,0.003432,0.5131220600000002,0.6158799805376807,0.2002601886531257
7,39,39,3,1,0.01911,0.00039,0.11916893999999999,0.13985914798843796,0.17362081082904635
14,372,372,3,2,0.18228,0.00372,0.1391941599999999,0.13989203398011646,0.005013672844583131
28,41,41,3,1,0.32144,0.00041,0.14654078,0.16407804477287816,0.11967497902548455
14,86,86,3,1,0.16856,0.00086,0.4584732000000002,0.16181405402559879,0.6470588596550492
112,95,95,5,1,30.98368,0.00247,0.5768525199999999,0.9820636208974323,0.7024518171428504
56,179,179,5,2,3.648736,0.004654,0.23553893999999992,0.23658871895946013,0.004456923171430623
14,61,61,3,1,0.11956,0.00061,0.09674910000000002,0.15065009133452517,0.5571213720285269
14,46,46,7,1,0.4508,0.0023,0.25842450000000006,0.19858206281705493,0.2315664233961761
14,24,24,5,1,0.122304,0.000624,0.10248528,0.1339401038340128,0.30692040685269933
28,31,31,5,1,0.631904,0.000806,0.14375534,0.1528862265663576,0.06351685138345194
112,71,71,5,1,23.156224,0.001846,1.1613698000000001,0.9290567916402336,0.20003362267536706
112,556,556,7,1,348.7232,0.0278,10.056326880000002,8.453481432810857,0.1593867687790539
7,190,190,7,1,0.4655,0.0095,0.12830651999999998,0.14484243356576626,0.12887820171388237
112,89,89,5,2,7.256704,0.002314,0.34014236000000003,0.5594096009336491,0.6446337378668422
14,74,74,3,1,0.14504,0.00074,0.13772695999999998,0.15121227484383779,0.09791339940878536
14,143,143,3,1,0.28028,0.00143,0.21703785999999997,0.14470668477563275,0.3332652433283632
14,117,117,3,2,0.05733,0.00117,0.21806652000000004,0.13779118040328206,0.36812317450986043
7,113,113,5,1,0.143962,0.002938,0.14231159999999998,0.13276085236261279,0.06711151893020104
56,64,64,3,1,2.00704,0.00064,0.43775680000000017,0.2394813890785338,0.45293507929851984
7,212,212,3,1,0.10388,0.00212,0.12926726000000002,0.15252678836293396,0.17993363797557038
