feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
14,101,101,5,1,0.514696,0.002626,0.12619645999999998,0.13146789833783806,0.041771681533999294
7,61,61,3,1,0.02989,0.00061,0.12340606000000003,0.1778109463128691,0.44086073498229383
112,71,71,3,1,8.90624,0.00071,0.7888882599999999,0.7503156075675678,0.04889495051229706
56,170,170,5,1,13.86112,0.00442,0.49331326,0.8976435941911187,0.8196218650013964
28,75,75,7,1,2.94,0.00375,0.15825722000000003,0.18456211685585666,0.16621609336911533
7,248,248,3,1,0.12152,0.00248,0.13779304,0.17157734363062999,0.24518149560115648
56,113,113,5,1,9.213568,0.002938,0.5966762000000001,0.31918744543243355,0.4650575212612243
28,70,70,5,1,1.42688,0.00182,0.1525974,0.15629852107207176,0.024254155523434653
7,82,82,3,1,0.04018,0.00082,0.1406547,0.13773121825765813,0.020784813748434005
56,104,104,5,1,8.479744,0.002704,0.34215294,0.3015272317837849,0.11873552282267438
14,468,468,3,2,0.22932,0.00468,0.1308241,0.19020960155855846,0.4539339583345764
56,30,30,3,1,0.9408,0.0003,0.16430814000000002,0.17570906817927895,0.0693874824417033
28,1032,1032,3,1,8.09088,0.01032,0.46681314000000007,0.9417562683783813,1.0174159373028386
14,51,51,3,1,0.09996,0.00051,0.14490104000000004,0.1397885061306302,0.03528293426582602
28,73,73,7,1,2.8616,0.00365,0.1739656,0.18835301469819896,0.08270264177629921
28,59,59,3,1,0.46256,0.00059,0.13780103999999996,0.14576404985662794,0.057786282720565726
112,524,524,5,1,170.899456,0.013624,9.9347072,8.435760492972985,0.1508798072103237
56,50,50,3,1,1.568,0.0005,0.2173755399999999,0.2426793498738732,0.11640596671489961
7,153,153,5,1,0.194922,0.003978,0.32446419999999987,0.2765677288918919,0.14761712111261577
112,82,82,7,1,51.4304,0.0041,1.3123575599999997,1.4254872573940751,0.08620341044408313
7,165,165,3,2,0.0202125,0.00165,0.13846756000000002,0.16821351075328136,0.2148225241585924
112,1010,1010,3,1,126.6944,0.0101,22.19338198000001,22.891589971450383,0.031460188991456
28,158,158,7,1,6.1936,0.0079,0.18587376,0.19894399596846915,0.07031781123096209
56,84,84,5,1,6.849024,0.002184,0.28433924,0.2846859563207196,0.0012193755625132384
14,43,43,3,2,0.02107,0.00043,0.15711258,0.1480094926414407,0.057939901175063785
7,176,176,5,2,0.056056,0.004576,0.13690896,0.17104720303513526,0.24934995514636346
14,49,49,3,1,0.09604,0.00049,0.14822429999999998,0.13706773193835217,0.07526814470803914
14,63,63,3,1,0.12348,0.00063,0.12369463999999997,0.12311133984684672,0.004715646152114991
7,43,43,3,1,0.02107,0.00043,0.14382369999999997,0.1464770011189181,0.018448288556879865
28,62,62,3,1,0.48608,0.00062,0.1625389,0.14825753776126224,0.08786427272940658
7,246,246,7,1,0.6027,0.0123,0.18763554000000002,0.15869002921126135,0.1542645427872495
28,123,123,5,1,2.507232,0.003198,0.16647275999999997,0.16876705297297376,0.013781792126073892
7,171,171,7,1,0.41895,0.00855,0.4097981600000001,0.27132401881261214,0.33790815748754927
28,157,157,7,1,6.1544,0.00785,0.18705776,0.21150125258108174,0.13067350202997058
112,164,164,5,1,53.487616,0.004264,2.3962176999999993,2.9663984273773494,0.2379503028365704
112,55,55,5,1,17.93792,0.00143,0.4112812599999999,0.44622700103243185,0.08496798767936066
112,158,158,3,1,19.81952,0.00158,2.1238075799999994,2.4889675481981954,0.17193646526028322
