feature0,feature1,feature2,feature3,True,Pred,Error
2754,800,2.2036,4.4072,0.27255284,0.24414316113513476,0.10423549013418923
894,1000,0.8945,1.789,0.11580410000000003,0.12388265108108047,0.06976049277253944
3387,4001,13.5533875,27.106775,1.20193132,1.2299372478378392,0.023300772158794635
4016,4030,16.186495,32.37299,1.7006407600000002,1.708303233351352,0.0045056390106466265
994,686,0.682227,1.364454,0.11883563999999999,0.11784388524324343,0.008345600333002436
24363,1070,26.068945,52.13789,2.5583496800000005,2.7989110592432276,0.09402990573330344
15739,1100,17.31345,34.6269,1.9804530599999992,1.7032657997297282,0.13996154004794795
3562,1014,3.612375,7.22475,0.39880818000000007,0.3902852682162163,0.02137095528929166
3259,2659,8.6670105,17.334021,0.6742787600000003,0.7285779250270259,0.08052925325280239
707,320,0.2264,0.4528,0.10838320000000001,0.106586386108108,0.016578343247772836
1270,440,0.55902,1.11804,0.11788483999999996,0.0946922972432433,0.196738976417635
1447,1039,1.5039525,3.007905,0.1796907,0.18786236778378368,0.045476297792727556
1962,431,0.8458375,1.691675,0.13620802,0.1273996872972972,0.06466823835118382
454,897,0.4076865,0.815373,0.09867514000000002,0.10868173524324316,0.10140948615064685
3216,843,2.7115095,5.423019,0.3730313999999999,0.31765119978378326,0.14845988894290577
11067,965,10.6801375,21.360275,0.9322825,0.8430095454054058,0.0957574067888158
2763,968,2.675068,5.350136,0.31343008,0.33182029470270175,0.058674058031385326
4048,4052,16.404522,32.809044,1.7211050000000003,1.648945571783785,0.041926220780379594
1376,370,0.509305,1.01861,0.11761632000000001,0.11045795594594585,0.06086199648190118
2138,542,1.159067,2.318134,0.13794028,0.1498615945945941,0.08642373782766073
4717,559,2.6370825,5.274165,0.2774539200000001,0.33177822794594475,0.1957957845610711
1145,2873,3.2910215,6.582043,0.35014971999999994,0.3627376726486495,0.03595020052750446
2112,961,2.0301125,4.060225,0.2510413399999999,0.24664946782882882,0.01749461730554446
4160,3554,14.786417,29.572834,1.3510599600000004,1.4865196179999942,0.10026176632456325
664,587,0.3900615,0.780123,0.1088654,0.0914277943783784,0.1601758283313302
1960,903,1.7703315,3.540663,0.20948511999999994,0.21753142470270276,0.0384099104638211
918,397,0.3646445,0.729289,0.10011289999999999,0.10936127118918894,0.09237941553175413
3277,4784,15.67956,31.35912,1.5676887400000004,1.6127100104864867,0.028718245744679065
1757,1135,1.9947625,3.989525,0.18514716000000006,0.26711704567567507,0.44272829070494507
3468,978,3.392193,6.784386,0.3696677399999999,0.368387518216216,0.00346316880067462
2107,4200,8.8515,17.703,0.8533378399999999,0.7433096937297297,0.12893855295374018
1211,818,0.991007,1.982014,0.12877680000000002,0.12542850286486493,0.026000779139838053
1526,765,1.1677725,2.335545,0.15706988,0.14835015600000032,0.05551493386255646
944,658,0.621481,1.242962,0.11637852,0.10986560297297256,0.05596322265506936
1567,662,1.037685,2.07537,0.15464398,0.13272153027027012,0.1417607703172789
1985,3462,6.873801,13.747602,0.52334012,0.555576940108109,0.061598220499718276
929,623,0.5790785,1.158157,0.10864663999999997,0.11477263313513511,0.056384561318556535
801,1000,0.8015,1.603,0.13736794000000002,0.11765510395675664,0.14350390668480123
