feature0,feature1,feature2,feature3,True,Pred,Error
9341,1000,9.3415,18.683,0.7653591999999996,0.721981164108106,0.05667670277157918
763,1000,0.7635,1.527,0.11796434000000001,0.11967445205405468,0.014496856033396729
2237,4089,9.1491375,18.298275,0.6561456199999999,0.6958374615135131,0.06049242775332897
3837,4063,15.5917625,31.183525,1.7248186200000004,1.7833104071351413,0.03391184815429515
3775,1026,3.873663,7.747326,0.37663923999999993,0.4093873876756756,0.0869483160482049
2112,1000,2.1125,4.225,0.25463447999999994,0.26967326434594546,0.059060282589952176
9120,1058,9.649489,19.298978,0.8731819799999999,0.8252946633513527,0.05484230978821529
1982,1075,2.1311875,4.262375,0.24213683999999994,0.2526033243513517,0.04322549328450703
900,1000,0.9005,1.801,0.11685737999999996,0.1145133605405403,0.020058805523961384
2197,4044,8.88669,17.77338,0.6481908,0.7544023911351355,0.16385852920950988
3751,1000,3.7515,7.503,0.4235333,0.38877164349961363,0.08207537990610507
714,1047,0.7480815,1.496163,0.12119676,0.11838774772972963,0.023177288487500617
2031,4029,8.1849135,16.369827,0.70533368,0.680122929675674,0.035743012192932515
1925,1000,1.9255,3.851,0.22756365999999997,0.23232681178378398,0.020931073897229476
3629,1065,3.8654175,7.730835,0.3668856399999999,0.3638616812432442,0.008242237981175026
4149,1000,4.1495,8.299,0.4246941799999999,0.27998145081080966,0.3407457318797971
24722,4084,100.96669,201.93338,9.93670798,9.982202949567544,0.004578475050199088
2077,1076,2.23539,4.47078,0.29002246,0.2668210849189197,0.07999854590944536
3656,1000,3.6565,7.313,0.44565238000000007,0.4057784494459447,0.08947316864784914
24981,1052,26.280538,52.561076,2.964581159999999,2.772736744702713,0.06471214817316254
651,1000,0.6515,1.303,0.1323854,0.12345152718918909,0.06748382231583619
24813,4059,100.7179965,201.435993,10.084443020000002,9.976964586756795,0.010657845260273684
4175,1075,4.4886625,8.977325,0.4782164399999999,0.42147096940540546,0.11866064369220443
1789,4019,7.1920005,14.384001,0.6311858599999999,0.4828019952432434,0.23508743487497724
675,1000,0.6755,1.351,0.11315760000000001,0.12211354518918989,0.07914576828414423
1098,1000,1.0985,2.197,0.13289889999999996,0.17316693243243178,0.3029974847980821
1890,1000,1.8905,3.781,0.22762778000000006,0.26493019762162084,0.16387462734829983
2122,1000,2.1225,4.245,0.27986529999999993,0.2588985622328824,0.07491724685810479
670,1000,0.6705,1.341,0.12096900000000003,0.11908633767567602,0.015563180024006305
4186,1000,4.1865,8.373,0.4334391800000001,0.3950679140099091,0.08852745151024646
24558,1000,24.5585,49.117,2.9525737399999996,2.8168371261081067,0.045972302758437784
3597,1054,3.791765,7.58353,0.4067562,0.4151487870594584,0.020632966527513015
4083,1000,4.0835,8.167,0.4308429,0.44868560333333113,0.041413478865106414
4157,1072,4.45684,8.91368,0.48391019999999996,0.4170339600000001,0.13819969076907218
25038,1055,26.4156175,52.831235,3.0806031999999988,2.7172688497837973,0.11794259975325662
4016,4030,16.186495,32.37299,1.7006407600000002,1.7537927687027046,0.03125410724761438
4022,4078,16.403755,32.80751,1.580783159999999,1.6747047612973003,0.059414601365883266
1361,1031,1.4037065,2.807413,0.16903346000000002,0.16452613113513498,0.02666530558426151
9711,1067,10.3621705,20.724341,0.9051444999999997,0.8149291932432404,0.09966950774904923
24691,1000,24.6915,49.383,2.4708334599999997,2.7382953832743935,0.10824765311151073
695,1066,0.741403,1.482806,0.1362357,0.07477722902702724,0.45111869335991045
4157,1000,4.1575,8.315,0.4213982200000001,0.29747420102702565,0.294078173782923
24494,4043,99.0312635,198.062527,9.80549474,9.986933478810759,0.018503782177416
3584,1000,3.5845,7.169,0.38809114000000006,0.3921678397441448,0.01050449063110475
817,4044,3.30597,6.61194,0.33742916,0.3589453741621615,0.06376512973022688
1784,1000,1.7845,3.569,0.21089692,0.22216388146177588,0.05342402089976415
3811,4026,15.345099,30.690198,1.5052877600000005,1.6124594311351377,0.07119679969704737
2338,1000,2.3385,4.677,0.2886923600000001,0.1203687135135136,0.5830554244195671
4012,1000,4.0125,8.025,0.42280063999999995,0.42450066632432465,0.0040208697988836995
1076,1000,1.0765,2.153,0.1308298,0.1620745788108113,0.23882004566858092
3760,1000,3.7605,7.521,0.3882353399999999,0.3673322858455609,0.05384119373171695
1344,1000,1.3445,2.689,0.15807468,0.17488145259459464,0.1063217246088662
3842,1000,3.8425,7.685,0.3963809000000002,0.3588188641909888,0.09476247672128346
3962,1000,3.9625,7.925,0.39285750000000014,0.4169948143783795,0.06144038074461946
2233,1000,2.2335,4.467,0.29413588,0.25123192470270234,0.1458644055845811
24960,1000,24.9605,49.921,2.453263980000001,2.735232518918926,0.11493607749416553
4112,1029,4.2317625,8.463525,0.4541312799999999,0.44107558232432426,0.028748730269528365
4082,1000,4.0825,8.165,0.43916067999999997,0.44467871414414195,0.012564954913864286
3776,4031,15.2230715,30.446143,1.5532051600000008,1.4803686790270296,0.046894307879437575
2323,1000,2.3235,4.647,0.28404929999999995,0.22745459718918895,0.19924253575281126
1090,1000,1.0905,2.181,0.12894083999999995,0.241870869567566,0.875828244701726
25060,1000,25.0605,50.121,2.6838971599999994,2.6252207886216277,0.021862376939350312
1117,1000,1.1175,2.235,0.13244818000000003,0.13269606664864791,0.0018715745935345286
4143,1000,4.1435,8.287,0.4393195200000001,0.41638786994594645,0.052198113241254604
3904,1017,3.9708765,7.941753,0.38681450000000006,0.39682309876576566,0.025874414650344277
3793,4054,15.378849,30.757698,1.58812582,1.5163765724864846,0.04517856621304432
1904,1006,1.915927,3.831854,0.23176500000000005,0.20872676540540527,0.09940342413476916
3834,1000,3.8345,7.669,0.3958975799999999,0.3864831420000004,0.023779983701844115
3831,1000,3.8315,7.663,0.3824856400000002,0.3894125566486485,0.018110265913900202
3969,1000,3.9695,7.939,0.4204559200000002,0.4250409225405411,0.01090483525726286
2047,1000,2.0475,4.095,0.27608054000000004,0.24865672464864846,0.09933266340087415
3865,4059,15.6900645,31.380129,1.5589328,1.6627643851351364,0.06660427257360699
4186,1029,4.3079085,8.615817,0.4835745799999999,0.4434391197027027,0.08299745676726267
3858,1000,3.8585,7.717,0.42766708000000003,0.4287384747567562,0.002505207454256617
1290,4091,5.2794355,10.558871,0.5323977199999999,0.4619790319459458,0.13226707292069934
3833,4059,15.5601765,31.120353,1.906656819999999,1.7793192291891924,0.0667857946302086
1114,1000,1.1145,2.229,0.14423876000000002,0.16298487275675652,0.1299658479922907
24605,1023,25.1714265,50.342853,2.838988700000001,2.5658815133423385,0.09619875790899152
3916,4027,15.7717455,31.543491,1.4703399400000001,1.6017802596756752,0.08939451082018152
3857,1051,4.0542325,8.108465,0.4525945199999999,0.39330329756756727,0.13100296139783715
845,1000,0.8455,1.691,0.11842748000000002,0.12395690864864845,0.04669041888460709
1755,1069,1.8766295,3.753259,0.28926627999999993,0.23523345878918878,0.1867926714818304
3923,1069,4.1942215,8.388443,0.45637605999999975,0.43118891983783736,0.05518944215032315
1835,1052,1.930946,3.861892,0.25254817999999996,0.240111034675676,0.04924662424541713
4141,1029,4.2616035,8.523207,0.46788988,0.44137413399999975,0.05667091154012613
24590,4051,99.6161155,199.232231,10.0857741,10.023952495459428,0.006129584494716414
1904,1031,1.9635395,3.927079,0.23790934,0.23225155713513485,0.023781255771064522
25060,1000,25.0605,50.121,2.70081118,2.6252207886216277,0.0279880326096593
4196,1000,4.1965,8.393,0.40130198000000006,0.4237510466148011,0.055940582737222126
1484,1033,1.5334885,3.066977,0.18387494000000004,0.18188753318918935,0.010808470207036876
4179,1000,4.1795,8.359,0.44751826000000006,0.4397567953783775,0.01734334733430225
2057,1069,2.1994675,4.398935,0.26797405999999996,0.26555288000000077,0.009035128250843348
24779,4047,100.2826365,200.565273,9.944640320000001,9.948595600756788,0.0003977298956536011
3792,1000,3.7925,7.585,0.31155745999999995,0.3583498476697771,0.1501886286715047
3846,4060,15.61679,31.23358,1.53660132,1.7561798526486534,0.1428988312001798
