feature0,feature1,True,Pred,Error
7,32,0.004617900000000001,0.006123070898326907,0.3259427225203893
7,502,0.00533892,0.005367930140540573,0.005433709540613724
3,480,0.00481196,0.004843474432432419,0.006549188362417723
3,844,0.004815460000000001,0.004869242270270301,0.0111686672239621
3,531,0.004692179999999999,0.00470660945396825,0.003075213220347652
3,244,0.00461646,0.004665751486250521,0.01067733420207706
3,668,0.0047014,0.010455374329472354,1.223885295757084
3,249,0.00461148,0.0046435641626769684,0.0069574545865900275
7,518,0.005388379999999999,0.005580355621621596,0.03562770658743383
3,162,0.004662180000000002,0.0045867830513513725,0.01617203725480985
3,75,0.00457842,0.004617955873873866,0.008635265850198517
3,25,0.004523599999999999,0.007168528138223921,0.5846954059209308
7,80,0.004648520000000001,0.004689294484813392,0.008771498200156432
7,519,0.005482520000000001,0.0055767267477477185,0.017183110640310906
3,504,0.004697220000000001,0.004691361565250955,0.0012472131918551544
7,270,0.0050545600000000005,0.005087033411711715,0.006424577354253376
7,252,0.00499656,0.005069487171171202,0.014595475921674638
7,235,0.00499896,0.004996419447876469,0.0005082161336620917
7,1758,0.09603067999999998,0.08929813864864897,0.07010823365356794
7,169,0.004882,0.004880785998459493,0.00024866889399973114
7,144,0.004778,0.00483278004903476,0.011465058399907847
3,89,0.004576279999999999,0.004621836755834394,0.009954975620896148
7,2156,0.09785680000000002,0.09975832214594596,0.01943168125205339
3,502,0.004684419999999999,0.004701042117696263,0.0035483832995897436
7,520,0.005174540000000001,0.005653127635135107,0.09248892367922672
7,88,0.004730620000000001,0.004729420918918907,0.0002534722892759161
7,179,0.004909740000000001,0.004995169102445311,0.017399923915586108
3,118,0.00466558,0.004577601389575308,0.01885695035230165
3,686,0.00474984,0.004773175203153142,0.0049128398331611325
7,213,0.00498718,0.0049657705037537535,0.004292906260902226
3,2015,0.005193639999999999,0.005183133891891875,0.0020228795426953773
3,217,0.004593700000000001,0.004630156784813375,0.007936257224758651
3,1144,0.0048680799999999995,0.004915199450450426,0.009679267894206122
7,37,0.00465478,0.005065233367567564,0.08817889729859713
3,143,0.004631399999999999,0.004624039279279267,0.0015893079243278244
7,210,0.0050215200000000015,0.005008293058815969,0.0026340512800969583
7,146,0.0048367,0.004828727126582421,0.0016484118133394464
3,161,0.00471688,0.004612100832432447,0.022213659785187006
7,1842,0.09722583999999998,0.09078577881081125,0.06623816455778353
7,58,0.0048068,0.004774256241441452,0.006770358358689337
3,95,0.004643040000000001,0.006739342448005123,0.4514935145949898
7,221,0.0049765,0.004987821463063055,0.002274985042309819
3,923,0.005010739999999998,0.004921852360360377,0.017739423645932735
3,249,0.004638,0.0046435641626769684,0.0011996900985270995
3,984,0.00481034,0.004870518432432397,0.012510224315203775
7,145,0.004863119999999999,0.004860393022007719,0.0005607465973039283
3,132,0.004598300000000002,0.004607661003603606,0.00203575312693904
7,256,0.004900300000000001,0.005053132311861847,0.03118835823558691
7,10,0.004649940000000002,0.004639172302059217,0.0023156638452937225
3,509,0.00475612,0.00474232923494209,0.0028995830756814145
3,491,0.00471028,0.004763442014929214,0.01128638104936733
7,258,0.004996240000000001,0.0050656299228442675,0.013888428667211083
7,240,0.004877419999999999,0.004953930266023192,0.01568662654091573
3,683,0.03202351999999999,0.004773464986936927,0.8509387791555417
7,250,0.00506266,0.004991155305019315,0.014123937807532995
