feature0,feature1,feature2,feature3,feature4,True,Pred,Error
112,50,50,3,2,1.025506,0.9520094144621627,0.07166860607138069
28,495,495,2,2,0.8319270199999997,0.8006079096288262,0.03764646371405695
224,502,502,3,1,75.00312164,65.05528415654045,0.13263231270835876
56,71,71,3,2,0.8398239800000001,0.8701337959720712,0.03609067696789397
56,489,489,3,2,1.8557277999999997,1.6518284673333339,0.10987566854722221
14,244,244,3,1,0.5571795600000001,0.4793436777297274,0.1396962269582766
56,510,510,3,2,2.1513106000000004,1.754220011613515,0.1845807799145718
56,497,497,2,2,1.1966142800000001,1.3606060069819919,0.13704643987868145
112,65,65,2,2,0.9811582800000003,1.2001049757837863,0.22315124913768852
14,59,59,2,2,0.0901558,0.08604149618918933,0.045635486688717405
112,201,201,3,1,6.59724128,6.121021683490073,0.07218465663119224
224,488,488,2,2,13.671425219999998,15.636771726761344,0.14375578808610462
112,378,378,3,2,3.382692780000001,3.1304953090833885,0.07455523966223516
14,150,150,3,2,0.12203114000000001,0.13110892985855835,0.07438912607518325
28,50,50,2,2,0.14465923999999997,0.13812094760823718,0.04519788982551541
56,142,142,2,2,1.2740674199999997,0.9035821112648608,0.29078940636841577
56,476,476,2,2,2.3004010399999997,1.58353183654054,0.3116279253027376
112,53,53,3,2,1.0395389,0.9574379475297462,0.07897823974673168
112,506,506,3,2,4.87463764,4.66150119291351,0.04372354682070071
56,509,509,2,2,1.9401586799999995,1.9896098483147935,0.025488208168000993
14,46,46,3,2,0.10672433999999996,0.09214558292972991,0.13660198854609976
56,69,69,3,2,1.03121778,0.9185665985040533,0.10924092241305873
14,244,244,2,2,0.15000146000000003,0.14847026445946016,0.01020787091365561
14,465,465,3,1,1.1679711799999999,1.0393122547552134,0.11015590748119873
112,61,61,2,1,1.4156705200000004,1.8378316302162163,0.29820576486696626
14,58,58,2,2,0.13133648,0.09529490272972926,0.2744216783506817
56,833,833,2,2,1.59205666,1.845421512964857,0.1591431130126092
112,60,60,3,1,2.0862274199999993,2.25235403318919,0.0796301551770376
14,58,58,3,1,0.17593738000000003,0.16856578913513526,0.041898946459614055
112,253,253,2,1,5.1974589600000005,5.1950922041621626,0.0004553678741963484
112,495,495,2,2,3.0303390000000014,3.0873897018625547,0.018826508143990887
112,235,235,3,2,2.177889,2.280346705692664,0.04704450304522595
56,481,481,3,2,1.45066852,1.5047512634053983,0.037281255269396976
14,57,57,3,2,0.11382189999999998,0.09258286770270291,0.18659882058986074
14,78,78,3,2,0.10068067999999998,0.10012088904054028,0.0055600633553497735
112,194,194,3,2,2.11243464,1.9068379252027006,0.09732689992117316
112,65,65,2,2,1.2088470199999999,1.2001049757837863,0.00723172086424435
224,255,255,3,1,36.51236726,30.957850119127873,0.15212700675689153
112,512,512,2,2,3.1127072399999984,3.1561632852126134,0.013960852037153018
