feature0,feature1,True,Pred,Error
7,128,0.011716399999999995,0.01097779661114156,0.06304013083015556
14,220,0.00342312,0.0040770832687258745,0.19104304515350748
14,86,0.0034327999999999993,0.005155755069740455,0.5019095402413355
14,4,0.012395559999999998,0.014976824873522861,0.2082410858019213
14,178,0.005397840000000002,0.004702180091634483,0.1288774599405537
7,154,0.00498702,0.008614153401894205,0.7273147895725713
7,198,0.01001056,0.005869371186486489,0.41368203312437174
14,84,0.010006800000000003,0.006643089945356473,0.3361424286128961
14,62,0.0034220399999999995,0.008473660074263067,1.4762013519021018
7,70,0.0102533,0.007580394077037076,0.26068738093715427
14,302,0.0034345599999999997,0.0034611312432432377,0.007736432976345741
14,42,0.003461780000000001,0.009177359961718222,1.6510523377332524
112,834,0.0033944200000000004,0.0034370693513513387,0.012564547507774018
28,208,0.003449300000000001,0.0034453111084942157,0.0011564350754603352
14,226,0.0034434800000000005,0.004299848047447451,0.24869261544932744
14,192,0.0034394399999999993,0.0034647696850925364,0.0073644794188987475
3,170,0.007619919999999998,0.013045540968404086,0.7120312245278283
7,776,0.0034675200000000004,0.005468925646396366,0.5771864751742931
14,122,0.023147279999999996,0.006293176139348892,0.728124594364915
28,496,0.0034900599999999997,0.0034595391909909927,0.008745067136097073
14,160,0.00341458,0.004710485000588898,0.37952105400631947
14,834,0.003438560000000001,0.003481448882882872,0.012472919734677018
7,624,0.008201120000000004,0.006557509429865017,0.20041293995637013
28,48,0.0034452999999999984,0.005054661793650793,0.4671180430298654
28,158,0.0034586400000000002,0.0034531763495495625,0.0015797106522904062
56,36,0.0033922799999999997,0.003553392099485201,0.047493750364121325
56,90,0.0034717800000000003,0.003450517648198212,0.0061243373145154385
224,158,0.0034559200000000008,0.003449200684684687,0.0019442913364064766
3,774,0.013513339999999999,0.014331944081081094,0.0605774798148419
28,36,0.0034411800000000003,0.004735380557433409,0.3760920839460327
14,206,0.0034044400000000003,0.004390493863293159,0.2896376095020498
14,174,0.003401540000000002,0.00456317811110046,0.34150358693428773
112,84,0.0034386999999999994,0.00347128535225223,0.00947606719173838
112,480,0.00341748,0.003461833406649498,0.012978395381830455
14,38,0.009335640000000001,0.009334728901112309,9.75936184013572e-05
7,206,0.006599580000000001,0.006385520533846181,0.03243531651314469
56,198,0.0034554599999999987,0.0034280739485199525,0.007925443061139839
7,62,0.005522660000000001,0.007324056378900679,0.32618274145080034
14,76,0.009334780000000004,0.007829806682364764,0.16122215174168433
14,118,0.008882499999999998,0.005477097303218578,0.3833833601780378
28,24,0.005008140000000001,0.0068080300170706145,0.3593929117537874
28,22,0.0034281800000000007,0.006821641795388247,0.9898727007882451
14,50,0.012327859999999998,0.008992597262107261,0.27054677274829025
7,102,0.011016380000000001,0.010437023518068874,0.05259045911008212
7,74,0.0051029199999999995,0.010682864966513907,1.0934807848278845
14,26,0.010367040000000001,0.008911561059715994,0.14039484175656758
28,268,0.0034425999999999997,0.0034521458614757503,0.002772863962049228
28,514,0.0034515799999999992,0.003402935357657657,0.014093441943209231
14,92,0.00346304,0.005187862987945307,0.4980661464913217
224,456,0.0034415000000000014,0.0034492023783783752,0.00223808757180701
28,502,0.00343054,0.0034587875579150506,0.008234143287951879
56,996,0.003395660000000001,0.003523671441570132,0.0376985450752228
14,60,0.003726779999999999,0.007910823929942084,1.1226967864864807
112,986,0.0034477400000000004,0.0034172130324324292,0.008854196536737429
7,574,0.012476400000000004,0.010189914565765831,0.18326483875430186
14,18,0.003499699999999999,0.008955451676319505,1.558919814932568
14,126,0.005165459999999999,0.004668210055383957,0.0962644071614227
28,130,0.0034457199999999998,0.003474226805405396,0.008273105593430754
56,156,0.003449780000000001,0.0034639291848991872,0.0041014745575620555
14,218,0.003386599999999999,0.005441042190368933,0.6066385727186366
28,520,0.00348734,0.0035014432554697585,0.004044129757855198
14,8,0.013261299999999993,0.011447924215347505,0.13674193213730845
14,92,0.0073190200000000025,0.005187862987945307,0.29118065151546174
28,10,0.008103379999999999,0.003843450679076467,0.5256978348446614
56,802,0.0034533200000000015,0.003428623837837833,0.007151425921191346
7,26,0.007745499999999996,0.00851767730024149,0.09969366732186344
56,228,0.00342594,0.0034453684272629723,0.005670977093285965
1,30,0.00343946,0.013882946566280559,3.036373897728294
14,54,0.003435200000000001,0.008511121872549834,1.4776204798992292
7,260,0.00875142,0.010882332355341046,0.2434933251222141
14,94,0.010382839999999996,0.006989959721481309,0.32677767147704173
7,30,0.0074427799999999995,0.012969825555978264,0.7426049884556933
14,54,0.01205524,0.008511121872549834,0.2939898440387886
7,132,0.01343078,0.007070691632478335,0.47354571867915823
28,18,0.01101656,0.006304089145431155,0.4277624643780677
7,138,0.010660019999999994,0.010015258729852585,0.060484058205088634
28,58,0.0034455000000000006,0.0034984515963963976,0.0153683344641988
14,88,0.0093788,0.007071994101776501,0.24595960018589783
112,82,0.0033547200000000003,0.0034710509990990767,0.03467681329561825
14,214,0.0035311999999999995,0.003556224999120547,0.007086825759103811
7,184,0.014495520000000001,0.007605487781810386,0.4753214936883682
14,150,0.0034770199999999995,0.006057799251364386,0.7422388284693177
14,106,0.005595280000000001,0.006928572311116355,0.23828875607947297
14,102,0.011190919999999998,0.0055763709875540895,0.5017057589944267
28,848,0.00348262,0.003501435567567552,0.005402704735960896
14,160,0.0034149399999999996,0.004710485000588898,0.37937562609852554
14,104,0.00515596,0.005410347511837438,0.04933853479030828
