model_path,HW,CIN,CIN,latency
addrelu_prior_SZ32F8.pt,112,213,213,0.004582040000000001
addrelu_prior_C2MCTM.pt,7,1010,1010,0.004587259999999999
addrelu_prior_OOQ2NY.pt,7,533,533,0.004614980000000001
addrelu_prior_ZMII34.pt,112,53,53,0.0046394800000000005
addrelu_prior_1W5EFJ.pt,3,489,489,0.00464154
addrelu_prior_IMI6TO.pt,14,836,836,0.0046212799999999984
addrelu_prior_2Q210W.pt,14,157,157,0.0046111400000000006
addrelu_prior_T3QDGN.pt,7,168,168,0.004807740000000001
addrelu_prior_Z62AAI.pt,112,262,262,0.004612220000000001
addrelu_prior_7YCNK6.pt,28,60,60,0.0045999000000000005
addrelu_prior_83MXDI.pt,14,993,993,0.00465898
addrelu_prior_KVU05B.pt,56,27,27,0.004584940000000001
addrelu_prior_C8U1G8.pt,14,73,73,0.0044959
addrelu_prior_6EYNHH.pt,14,104,104,0.004529080000000001
addrelu_prior_7576JW.pt,56,17,17,0.0046999799999999994
addrelu_prior_U900KH.pt,56,190,190,0.004655080000000001
addrelu_prior_C7R9Q0.pt,14,51,51,0.00460326
addrelu_prior_5XUG82.pt,112,152,152,0.004620660000000001
addrelu_prior_AMBGM9.pt,56,183,183,0.00459916
addrelu_prior_FSYXU6.pt,14,847,847,0.004663980000000001
addrelu_prior_WIK2DM.pt,56,81,81,0.004631780000000001
addrelu_prior_HB63X9.pt,14,139,139,0.004772339999999999
addrelu_prior_TIZELC.pt,1,164,164,0.00456364
addrelu_prior_TF3NS6.pt,28,497,497,0.00454678
addrelu_prior_BCOS1K.pt,7,148,148,0.004691
addrelu_prior_L1EEGV.pt,14,52,52,0.0045685199999999995
addrelu_prior_BRZ3T5.pt,14,59,59,0.004584919999999999
addrelu_prior_5XNFK7.pt,28,253,253,0.004802900000000001
addrelu_prior_FXY3F9.pt,28,491,491,0.0045945
addrelu_prior_P6PIR8.pt,14,1272,1272,0.0045923000000000005
addrelu_prior_N20OJT.pt,7,110,110,0.004583060000000002
addrelu_prior_X636BF.pt,56,209,209,0.004618400000000001
addrelu_prior_V0AAEU.pt,28,227,227,0.004664820000000001
addrelu_prior_72E7DA.pt,3,64,64,0.0046459399999999994
addrelu_prior_LNVZHO.pt,1,182,182,0.004615039999999999
addrelu_prior_4J8YKU.pt,112,18,18,0.0045673599999999995
addrelu_prior_D9MSQS.pt,14,431,431,0.00467876
addrelu_prior_UWC558.pt,56,244,244,0.0047167599999999995
addrelu_prior_CVJZZV.pt,3,272,272,0.00465022
addrelu_prior_ZC9GOI.pt,14,495,495,0.0047256799999999995
addrelu_prior_JHQZA9.pt,7,50,50,0.00465142
addrelu_prior_ON1ZX9.pt,28,88,88,0.0045634000000000004
addrelu_prior_351VUW.pt,28,1561,1561,0.004604
addrelu_prior_7DJCCO.pt,28,220,220,0.004669839999999999
addrelu_prior_ZQU6YX.pt,28,200,200,0.004639959999999999
addrelu_prior_VP7PPL.pt,14,97,97,0.004602480000000001
addrelu_prior_KNDQP1.pt,56,168,168,0.004700420000000001
addrelu_prior_6VS0SL.pt,28,137,137,0.00463028
addrelu_prior_7K5JZD.pt,56,931,931,0.004667880000000002
addrelu_prior_QV7DTB.pt,14,198,198,0.0045708599999999995
addrelu_prior_KMNKN8.pt,112,2061,2061,0.00453324
