model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
avgpool_prior_RM1M45.pt,112,47,47,3,2,0.004489960000000002
avgpool_prior_ZHW31H.pt,112,478,478,2,2,0.004443600000000001
avgpool_prior_B463EU.pt,224,140,140,3,2,0.004370979999999999
avgpool_prior_E5M090.pt,14,56,56,3,2,0.004577760000000001
avgpool_prior_0PP2LI.pt,14,74,74,3,2,0.004399719999999999
avgpool_prior_946MW5.pt,56,72,72,2,2,0.00456642
avgpool_prior_0XFJ9L.pt,28,498,498,2,2,0.004475380000000001
avgpool_prior_3XA0N0.pt,112,47,47,2,2,0.0044786800000000005
avgpool_prior_ZL0TER.pt,224,238,238,3,2,0.00429326
avgpool_prior_VG123I.pt,112,68,68,3,2,0.004461280000000001
avgpool_prior_3FPCOE.pt,14,366,366,2,2,0.004460940000000001
avgpool_prior_NKFGUV.pt,14,248,248,2,2,0.004452620000000001
avgpool_prior_73N7WU.pt,112,62,62,2,2,0.004537500000000001
avgpool_prior_7NNRUE.pt,28,52,52,2,2,0.0045009
avgpool_prior_3IY0T0.pt,224,234,234,3,2,0.004948780000000001
avgpool_prior_L1IRCZ.pt,14,186,186,2,2,0.004443979999999999
avgpool_prior_3VIN8L.pt,112,180,180,2,2,0.0044640800000000005
avgpool_prior_94F85B.pt,112,490,490,2,1,0.00438382
avgpool_prior_6QJA2B.pt,14,513,513,3,2,0.00453642
avgpool_prior_KN2FZ7.pt,28,74,74,2,2,0.00445894
avgpool_prior_MJ9U7D.pt,28,238,238,2,1,0.004553
avgpool_prior_AUBN2X.pt,112,464,464,3,1,0.00449456
avgpool_prior_PNA4P1.pt,28,245,245,2,2,0.004599440000000001
avgpool_prior_KWN53Q.pt,28,54,54,3,2,0.00450336
avgpool_prior_EVWPWC.pt,14,74,74,2,2,0.004528859999999999
avgpool_prior_S50ZF3.pt,56,496,496,3,2,0.004476480000000001
avgpool_prior_VSOAC2.pt,14,500,500,2,1,0.0044136800000000006
avgpool_prior_GU3QC0.pt,28,41,41,3,2,0.004484319999999999
avgpool_prior_4VR9I3.pt,56,845,845,2,2,0.004460880000000001
avgpool_prior_S2I7A7.pt,56,471,471,3,2,0.0044284
avgpool_prior_RNGEE0.pt,56,253,253,3,2,0.0044217
avgpool_prior_FA65NW.pt,112,55,55,3,2,0.00434876
avgpool_prior_SPNOGQ.pt,14,836,836,2,1,0.0045086599999999985
avgpool_prior_WSP5W0.pt,14,53,53,2,2,0.004433779999999999
avgpool_prior_2O9SHS.pt,14,188,188,3,2,0.0044239200000000005
avgpool_prior_1JPCOC.pt,56,74,74,3,2,0.00441218
avgpool_prior_H3TY3U.pt,112,492,492,2,2,0.00444208
avgpool_prior_4W6L6Y.pt,14,1040,1040,3,2,0.004565359999999999
avgpool_prior_3SLJF2.pt,14,510,510,3,2,0.00450036
avgpool_prior_POOPBI.pt,28,509,509,2,2,0.004474499999999999
avgpool_prior_27SYWJ.pt,14,463,463,2,2,0.00445498
avgpool_prior_3K3HDJ.pt,56,495,495,2,2,0.0044214599999999995
avgpool_prior_265RP4.pt,14,235,235,3,2,0.00453992
avgpool_prior_KNIDNT.pt,14,66,66,2,2,0.004458780000000001
avgpool_prior_TM62MU.pt,14,50,50,3,2,0.004520060000000001
avgpool_prior_HM0GNG.pt,56,525,525,3,2,0.0044532999999999994
avgpool_prior_PHVVPO.pt,14,68,68,2,2,0.0044903
avgpool_prior_L2BIBL.pt,14,188,188,3,1,0.0044635199999999995
avgpool_prior_9KT9R0.pt,28,79,79,2,2,0.004477680000000001
avgpool_prior_4EMV0G.pt,28,186,186,3,2,0.00447188
avgpool_prior_XR0YDY.pt,14,66,66,2,2,0.004452279999999999
avgpool_prior_OJZNMK.pt,28,142,142,2,2,0.0044188000000000005
avgpool_prior_A4Q0PD.pt,112,99,99,3,2,0.004431760000000001
avgpool_prior_4GTY7L.pt,112,64,64,3,2,0.005066479999999999
avgpool_prior_0QMWNB.pt,28,508,508,3,2,0.00450206
avgpool_prior_OSJWKB.pt,112,463,463,3,2,0.00444264
avgpool_prior_TV8FK9.pt,56,62,62,3,2,0.004460519999999999
avgpool_prior_GKU52R.pt,112,144,144,3,2,0.0046288
avgpool_prior_9G59WW.pt,112,148,148,3,2,0.0044594199999999995
avgpool_prior_T7JRUZ.pt,28,502,502,2,2,0.004388740000000001
avgpool_prior_R5GRH7.pt,28,495,495,3,2,0.0045089200000000005
avgpool_prior_XG2FSG.pt,14,56,56,3,2,0.004352500000000001
avgpool_prior_MN05RX.pt,28,64,64,2,2,0.004467820000000001
avgpool_prior_SH4MOL.pt,112,67,67,2,2,0.004539959999999999
avgpool_prior_OMWY7T.pt,56,65,65,2,2,0.004437720000000002
avgpool_prior_NHUT4H.pt,112,45,45,3,1,0.004513219999999999
avgpool_prior_Q0426G.pt,112,497,497,2,2,0.004443520000000001
avgpool_prior_DAHDFB.pt,14,132,132,3,2,0.00450042
avgpool_prior_VIW7MZ.pt,28,201,201,3,1,0.00445146
avgpool_prior_2W67BG.pt,224,376,376,3,1,0.00450096
avgpool_prior_DKBC77.pt,56,847,847,2,1,0.0044255000000000015
avgpool_prior_KH0K2Y.pt,14,61,61,3,2,0.0046281000000000004
avgpool_prior_9SFVER.pt,14,507,507,2,2,0.00443304
avgpool_prior_4BJB56.pt,28,509,509,2,2,0.021350820000000003
avgpool_prior_44Z9Z1.pt,28,64,64,3,2,0.004491660000000001
avgpool_prior_A5RN84.pt,112,182,182,2,2,0.0044615800000000014
avgpool_prior_YK15TF.pt,14,231,231,3,2,0.0044370799999999995
avgpool_prior_IVQC48.pt,14,53,53,3,2,0.00445526
avgpool_prior_S1O746.pt,56,149,149,3,2,0.0044288
avgpool_prior_DZHVJR.pt,112,490,490,3,2,0.00450732
avgpool_prior_236HLY.pt,14,72,72,3,1,0.0044551999999999994
avgpool_prior_XV3HJD.pt,28,64,64,3,2,0.004560540000000001
avgpool_prior_JN0ZEH.pt,112,509,509,3,2,0.00445298
avgpool_prior_M84FJH.pt,28,58,58,3,2,0.004496900000000001
avgpool_prior_8Y1PZE.pt,14,48,48,3,1,0.0044139800000000005
avgpool_prior_H2DE49.pt,224,492,492,3,2,0.00442056
avgpool_prior_AJ75OR.pt,14,487,487,2,2,0.004536600000000002
avgpool_prior_5Y1CJV.pt,112,478,478,2,2,0.0044579599999999995
avgpool_prior_A5EYM0.pt,56,65,65,3,2,0.004474180000000001
avgpool_prior_OWFPXD.pt,112,140,140,2,1,0.00440984
avgpool_prior_2NE2VH.pt,14,382,382,3,2,0.004448799999999999
avgpool_prior_D1PE21.pt,112,88,88,2,2,0.004506200000000001
avgpool_prior_3VVYRA.pt,14,498,498,2,2,0.004553159999999999
avgpool_prior_ELNCJ2.pt,28,492,492,3,2,0.0044999
avgpool_prior_8X50R8.pt,224,235,235,2,2,0.0043684799999999975
avgpool_prior_8CQ55D.pt,56,57,57,2,2,0.00442636
avgpool_prior_6LTH18.pt,112,64,64,3,1,0.00447484
avgpool_prior_F49PPN.pt,14,149,149,2,2,0.004472439999999999
avgpool_prior_2E0TRS.pt,56,67,67,3,2,0.00445334
avgpool_prior_ON76QM.pt,224,238,238,2,2,0.00437886
avgpool_prior_DMN0EK.pt,112,69,69,3,2,0.00446818
avgpool_prior_GZK37O.pt,56,234,234,3,2,0.004458439999999999
avgpool_prior_ZIDPD5.pt,14,247,247,3,2,0.0044157799999999985
avgpool_prior_7HGA39.pt,112,52,52,3,2,0.004445860000000001
avgpool_prior_5IC2D3.pt,112,489,489,2,1,0.00444506
avgpool_prior_TU7W08.pt,56,510,510,2,2,0.004445599999999999
avgpool_prior_5IF6DB.pt,28,73,73,2,1,0.00446212
avgpool_prior_9Q68ID.pt,56,129,129,3,1,0.004491760000000002
avgpool_prior_9MDTSJ.pt,14,500,500,3,2,0.0044670000000000005
avgpool_prior_ENS6F2.pt,112,181,181,3,2,0.00506742
avgpool_prior_6BURIM.pt,112,133,133,2,2,0.004417940000000001
avgpool_prior_3HJTFN.pt,112,185,185,3,2,0.004403519999999999
avgpool_prior_4HU5AC.pt,14,51,51,3,1,0.004524820000000001
avgpool_prior_8ZSMC2.pt,14,1038,1038,2,2,0.004490640000000001
avgpool_prior_S24P5H.pt,112,840,840,2,2,0.00495512
avgpool_prior_7Q1VCZ.pt,56,511,511,3,1,0.004569340000000001
avgpool_prior_9BQZLJ.pt,28,61,61,2,1,0.00455606
avgpool_prior_C21O6M.pt,14,73,73,3,2,0.004491720000000001
avgpool_prior_TPEG8J.pt,14,509,509,3,1,0.004416899999999999
avgpool_prior_9DMJTV.pt,56,249,249,2,2,0.004416819999999999
avgpool_prior_QC7CKV.pt,112,513,513,3,1,0.00451784
avgpool_prior_AV0V43.pt,14,244,244,3,2,0.00455556
avgpool_prior_C4WI8O.pt,14,200,200,2,2,0.00453302
avgpool_prior_F8JPNZ.pt,14,195,195,2,2,0.00445382
avgpool_prior_BJKQGU.pt,112,197,197,2,2,0.00433022
avgpool_prior_SOS4BO.pt,112,490,490,2,2,0.00446362
avgpool_prior_KJ3BV5.pt,56,513,513,3,1,0.00437642
avgpool_prior_4Z53AJ.pt,14,489,489,2,2,0.004444459999999998
avgpool_prior_59LPIY.pt,112,58,58,2,2,0.004512479999999999
avgpool_prior_SX2GGI.pt,28,55,55,3,2,0.004475160000000001
avgpool_prior_1HCYGG.pt,112,199,199,3,2,0.00439996
avgpool_prior_ZTXRE8.pt,56,508,508,3,2,0.004514220000000001
avgpool_prior_8LP96P.pt,28,135,135,3,2,0.004512619999999999
avgpool_prior_I1LKAW.pt,224,492,492,2,2,0.0045220799999999995
avgpool_prior_YECYM4.pt,28,54,54,2,2,0.004407479999999999
avgpool_prior_S44OT4.pt,224,495,495,2,2,0.004401979999999997
avgpool_prior_S47TRJ.pt,14,537,537,3,2,0.0045103
avgpool_prior_XJ4V9Z.pt,112,492,492,3,2,0.004471600000000001
avgpool_prior_PK4GZL.pt,28,50,50,3,1,0.004431920000000001
avgpool_prior_AP8584.pt,28,140,140,2,2,0.00444766
avgpool_prior_EOV1DI.pt,56,381,381,3,2,0.004981900000000001
avgpool_prior_XS9RM6.pt,112,237,237,3,1,0.004595519999999999
avgpool_prior_CRXCM8.pt,56,503,503,3,2,0.005003780000000002
avgpool_prior_0TZOMT.pt,28,145,145,3,2,0.00443988
avgpool_prior_5BOW02.pt,224,477,477,3,1,0.00450466
avgpool_prior_18O7MN.pt,28,504,504,3,2,0.00446126
avgpool_prior_BQHZC5.pt,56,529,529,3,1,0.005017100000000001
avgpool_prior_50QX2D.pt,28,1038,1038,2,2,0.004496700000000001
avgpool_prior_BEETSF.pt,14,243,243,3,2,0.00446206
avgpool_prior_5XB29O.pt,112,68,68,3,1,0.00447614
avgpool_prior_G84040.pt,28,198,198,3,2,0.004443019999999999
avgpool_prior_9QZ35J.pt,14,842,842,2,2,0.004449740000000001
avgpool_prior_47VY5I.pt,14,490,490,3,2,0.004405819999999998
avgpool_prior_C530WV.pt,56,48,48,3,2,0.0044739
avgpool_prior_AMXGA6.pt,14,839,839,2,1,0.02411354
avgpool_prior_T3T28G.pt,14,85,85,2,2,0.004433779999999999
avgpool_prior_3UEN15.pt,14,843,843,2,2,0.004506659999999999
avgpool_prior_JZM6P3.pt,14,368,368,3,2,0.0046028
avgpool_prior_S7DMSQ.pt,14,62,62,2,2,0.0044684
avgpool_prior_PJJ9MD.pt,56,179,179,3,1,0.00448024
avgpool_prior_ASQGPI.pt,14,511,511,3,2,0.00443814
avgpool_prior_E6DFAF.pt,56,182,182,2,2,0.00454154
avgpool_prior_KZ54RP.pt,28,44,44,3,2,0.00432092
avgpool_prior_MWZ3O4.pt,28,231,231,2,2,0.004440059999999999
avgpool_prior_WO1PDX.pt,112,130,130,2,2,0.004956199999999999
avgpool_prior_UFMGPU.pt,56,73,73,3,2,0.00446988
avgpool_prior_IW6YIB.pt,224,28,28,2,2,0.004529240000000001
avgpool_prior_YSW4RA.pt,112,830,830,3,1,0.00440278
avgpool_prior_YK4V9P.pt,112,185,185,2,2,0.004387199999999998
avgpool_prior_S6C8CS.pt,14,492,492,2,2,0.00444278
avgpool_prior_NTLKHS.pt,224,232,232,3,2,0.004327999999999999
avgpool_prior_TI1LNX.pt,112,506,506,3,2,0.00445846
avgpool_prior_NDN97U.pt,28,833,833,2,2,0.004383639999999999
avgpool_prior_FI65OT.pt,224,56,56,3,1,0.004420259999999999
avgpool_prior_F2XN8G.pt,14,471,471,3,2,0.004537160000000001
avgpool_prior_O049LU.pt,112,65,65,2,2,0.004493199999999999
avgpool_prior_SUYDZX.pt,14,251,251,3,2,0.00444732
avgpool_prior_KUTU6F.pt,14,72,72,2,2,0.004423160000000001
avgpool_prior_3HLDL9.pt,224,501,501,3,2,0.00447998
avgpool_prior_WDO94I.pt,14,498,498,3,2,0.00454912
avgpool_prior_L5NTY1.pt,112,133,133,3,2,0.00445504
avgpool_prior_TX4IYK.pt,224,56,56,3,2,0.0044214200000000006
avgpool_prior_BT22B8.pt,14,497,497,2,2,0.004529599999999998
avgpool_prior_PFSDAD.pt,14,831,831,3,1,0.0044686000000000005
avgpool_prior_AN1J8O.pt,56,45,45,3,2,0.004471000000000001
avgpool_prior_V2QUZI.pt,56,252,252,2,1,0.0044932999999999996
avgpool_prior_DSWHJQ.pt,56,194,194,2,2,0.004478940000000001
avgpool_prior_2JLVMQ.pt,28,198,198,3,2,0.004502239999999999
avgpool_prior_70MSIE.pt,112,497,497,2,2,0.00442824
avgpool_prior_YMCXPK.pt,112,61,61,2,2,0.004467480000000001
avgpool_prior_IHLYC1.pt,14,502,502,2,2,0.00448732
avgpool_prior_AETQJ1.pt,112,495,495,2,2,0.00442928
avgpool_prior_S1AL09.pt,28,510,510,2,1,0.004503179999999999
avgpool_prior_CGNSC3.pt,224,241,241,2,1,0.0043916599999999995
avgpool_prior_Z5KFQN.pt,224,94,94,3,2,0.00444528
avgpool_prior_3PXLJ6.pt,56,250,250,2,2,0.00444452
avgpool_prior_GSQW6J.pt,112,58,58,2,2,0.004402679999999999
avgpool_prior_CO7KQQ.pt,112,63,63,2,2,0.004410719999999999
