model_path,HW,CIN,latency
bn_prior_D7TTQQ.pt,56,253,0.009355019999999999
bn_prior_ROZ0YK.pt,14,23,0.00890384
bn_prior_111E75.pt,14,144,0.009085619999999999
bn_prior_YRWRQD.pt,14,29,0.0091369
bn_prior_LCO32K.pt,112,104,0.00904818
bn_prior_XHQ2XZ.pt,7,267,0.00918238
bn_prior_2U2TQP.pt,56,70,0.009510759999999998
bn_prior_3DNUMZ.pt,112,163,0.009117519999999999
bn_prior_7I0B89.pt,28,170,0.009117640000000002
bn_prior_QFY0D4.pt,14,435,0.008985460000000002
bn_prior_8JAJP7.pt,7,808,0.00921162
bn_prior_3UAMMX.pt,28,252,0.009148859999999998
bn_prior_G4TT6A.pt,7,527,0.009015279999999997
bn_prior_0ZNH76.pt,28,135,0.009103619999999998
bn_prior_PH6NEP.pt,28,141,0.008951740000000001
bn_prior_SL8AVO.pt,28,533,0.008958160000000001
bn_prior_34IKCA.pt,7,839,0.0090908
bn_prior_59WCP5.pt,112,210,0.00898724
bn_prior_RX6OK0.pt,14,1008,0.008998759999999995
bn_prior_F9Q2K6.pt,14,130,0.00922678
bn_prior_ID80CM.pt,28,149,0.00901904
bn_prior_4RUNI1.pt,7,1860,0.008992759999999999
bn_prior_9EVAJ6.pt,56,26,0.009024040000000002
bn_prior_96G56J.pt,28,189,0.008931019999999998
bn_prior_XO19T1.pt,28,136,0.008949279999999997
bn_prior_JL5UQF.pt,112,512,0.00924148
bn_prior_8B8H91.pt,28,191,0.009026400000000004
bn_prior_3Q8LR3.pt,14,973,0.00899684
bn_prior_8QK5YL.pt,14,177,0.009167180000000004
bn_prior_UZN3BL.pt,28,488,0.00895954
bn_prior_S95P4Z.pt,28,177,0.009179439999999997
bn_prior_3RKKC8.pt,14,1189,0.009045800000000001
bn_prior_S6KNF1.pt,56,29,0.00904392
bn_prior_NIVA93.pt,7,489,0.008978740000000002
bn_prior_NIDAAY.pt,14,161,0.008995260000000003
bn_prior_T4UQ2D.pt,14,188,0.008975760000000003
bn_prior_S2W4A7.pt,14,61,0.008912140000000002
bn_prior_4UQQ1A.pt,28,766,0.00907568
bn_prior_GESJYQ.pt,56,171,0.008968979999999998
bn_prior_5G84QC.pt,28,68,0.009013339999999998
bn_prior_1J7Z6I.pt,7,520,0.009034160000000003
bn_prior_UXJSHQ.pt,14,698,0.00899774
