model_path,HW,CIN,latency
bnrelu_prior_426BIX.pt,14,246,0.015256460000000001
bnrelu_prior_2VXTO2.pt,56,502,0.014158580000000002
bnrelu_prior_XQA7LA.pt,28,1299,0.014194239999999995
bnrelu_prior_QLQYWV.pt,28,76,0.013995979999999998
bnrelu_prior_2NCZ4C.pt,56,385,0.014290999999999998
bnrelu_prior_HUN05U.pt,14,410,0.014181659999999995
bnrelu_prior_EZ0Y1Z.pt,1,491,0.0140084
bnrelu_prior_39PNOI.pt,3,1569,0.014226780000000003
bnrelu_prior_Y48VDY.pt,3,52,0.014190520000000002
bnrelu_prior_Q681NM.pt,56,155,0.01410198
bnrelu_prior_OLQG6V.pt,112,200,0.014197799999999998
bnrelu_prior_YXDJFE.pt,3,608,0.014046180000000002
bnrelu_prior_F4N6T4.pt,7,89,0.014250400000000002
bnrelu_prior_24OCE5.pt,56,264,0.014106920000000002
bnrelu_prior_RQ8VYR.pt,28,123,0.013959220000000001
bnrelu_prior_DQD50Q.pt,7,174,0.014093320000000003
bnrelu_prior_IY6I0W.pt,14,163,0.014091199999999996
bnrelu_prior_L1GD3H.pt,28,138,0.014094519999999998
bnrelu_prior_FA9XIK.pt,28,201,0.014130499999999997
bnrelu_prior_XCWW9S.pt,14,275,0.014172439999999998
bnrelu_prior_VV1EM6.pt,14,1281,0.014183420000000004
bnrelu_prior_3SRA4M.pt,112,67,0.01415416
bnrelu_prior_NTXSG6.pt,14,259,0.014301799999999998
bnrelu_prior_IX1K9U.pt,14,127,0.014162660000000002
bnrelu_prior_AHHWKO.pt,224,132,0.014054120000000002
bnrelu_prior_R7OZQQ.pt,7,237,0.014235999999999997
bnrelu_prior_3BC78B.pt,28,207,0.014312699999999996
bnrelu_prior_6ERZ30.pt,14,1535,0.013951180000000006
bnrelu_prior_4A2LO2.pt,56,106,0.014048560000000002
bnrelu_prior_L3IHTF.pt,56,651,0.014084299999999994
bnrelu_prior_6LB5C4.pt,1,225,0.01427884
bnrelu_prior_0IV3V2.pt,14,540,0.014095320000000005
bnrelu_prior_5ZVJKR.pt,14,468,0.014096139999999997
bnrelu_prior_I7ANKJ.pt,14,21,0.014120619999999999
bnrelu_prior_DJBPB7.pt,28,1167,0.014128700000000001
bnrelu_prior_N4D2JG.pt,14,846,0.014208760000000003
bnrelu_prior_MCVJZH.pt,14,983,0.030540760000000004
bnrelu_prior_993UFC.pt,112,488,0.014768560000000003
bnrelu_prior_1CF408.pt,56,211,0.01421328
bnrelu_prior_G90OMJ.pt,112,68,0.013992580000000003
bnrelu_prior_E3UFY6.pt,56,219,0.01422388
bnrelu_prior_DGNZL1.pt,7,567,0.01422992
bnrelu_prior_CV9F7C.pt,7,98,0.014307579999999997
bnrelu_prior_44NC74.pt,28,117,0.014226319999999999
bnrelu_prior_W2FEAK.pt,112,533,0.014043019999999996
bnrelu_prior_O0T6BD.pt,56,11,0.014053019999999998
bnrelu_prior_RILH7J.pt,112,782,0.01401792
bnrelu_prior_GC1PPF.pt,112,1820,0.0140398
bnrelu_prior_TB26CZ.pt,14,510,0.014065380000000002
bnrelu_prior_H6DZM3.pt,28,532,0.014001739999999999
bnrelu_prior_L52PIR.pt,7,226,0.014341820000000003
bnrelu_prior_07T00K.pt,28,2065,0.014134599999999999
bnrelu_prior_M594T3.pt,7,1023,0.014216339999999996
bnrelu_prior_MIKC14.pt,56,41,0.01416702
bnrelu_prior_IRPABM.pt,3,248,0.014108379999999997
bnrelu_prior_7RL5DH.pt,14,230,0.014036939999999998
bnrelu_prior_D44W4E.pt,56,79,0.014135599999999995
bnrelu_prior_4APX33.pt,112,380,0.014136399999999999
bnrelu_prior_2F2X4U.pt,14,161,0.01414002
bnrelu_prior_KG9WFZ.pt,14,165,0.014308500000000004
bnrelu_prior_TJZJF0.pt,28,222,0.0145258
bnrelu_prior_ZLYPSS.pt,7,975,0.01430184
bnrelu_prior_JMXUKW.pt,7,15,0.014152580000000001
bnrelu_prior_432LOD.pt,112,510,0.014036400000000003
bnrelu_prior_PFOJOK.pt,3,507,0.014193579999999999
bnrelu_prior_T630K3.pt,7,449,0.014961219999999996
bnrelu_prior_4ZGH4X.pt,7,941,0.014183059999999999
bnrelu_prior_D1UFXQ.pt,14,134,0.01414134
bnrelu_prior_I3MERH.pt,28,76,0.014082199999999998
bnrelu_prior_45EB6B.pt,28,115,0.014193460000000001
bnrelu_prior_YGKXCY.pt,14,800,0.01418238
bnrelu_prior_MFSU75.pt,112,511,0.01410922
bnrelu_prior_XLVYSQ.pt,28,155,0.01412708
bnrelu_prior_69L055.pt,14,15,0.01428678
bnrelu_prior_QAL7T9.pt,14,73,0.01423262
bnrelu_prior_OOWZK7.pt,14,299,0.014188000000000003
bnrelu_prior_DHXX1E.pt,112,186,0.014723060000000003
bnrelu_prior_N6SNCX.pt,14,52,0.014163879999999997
bnrelu_prior_EGJWLZ.pt,14,9,0.014182660000000005
bnrelu_prior_6SIKM9.pt,56,40,0.014088300000000003
bnrelu_prior_GGBD53.pt,14,164,0.014156379999999998
bnrelu_prior_TMV3ZP.pt,3,510,0.014302739999999996
bnrelu_prior_0MBYFC.pt,28,49,0.014176039999999999
bnrelu_prior_UFWK9Z.pt,14,128,0.014070920000000002
