model_path,HW,CIN1,CIN2,CIN3,CIN4,latency
concat_prior_QRFCLJ.pt,14,74,174,0,0,0.00515534
concat_prior_8RRPH3.pt,14,828,120,0,0,0.00506758
concat_prior_6SS31J.pt,7,207,2148,803,0,0.0053668399999999995
concat_prior_D8ZGM1.pt,28,180,144,248,452,0.00549708
concat_prior_BE5YLG.pt,14,50,123,415,115,0.00547362
concat_prior_DC81BA.pt,14,760,520,183,0,0.03344768
concat_prior_WBS46X.pt,28,187,252,0,0,0.00508108
concat_prior_19Q82T.pt,56,178,313,0,0,0.0051349199999999985
concat_prior_00OLQL.pt,28,232,110,150,794,0.0055596000000000005
concat_prior_UF8PMY.pt,14,740,176,796,229,0.005442499999999999
concat_prior_M2DN2G.pt,56,944,229,0,0,0.005089360000000002
concat_prior_BHJQWZ.pt,28,236,25,24,30,0.005492139999999999
concat_prior_SWL6PT.pt,14,857,237,0,0,0.00510516
concat_prior_ETB5MH.pt,7,1292,1734,240,501,0.005494300000000001
concat_prior_MQOUSM.pt,14,249,846,0,0,0.00509486
concat_prior_WJTFMF.pt,7,777,19,110,162,0.005479819999999997
concat_prior_JRKYCN.pt,14,115,500,1213,133,0.005442060000000001
concat_prior_V8J1Q2.pt,14,49,91,53,120,0.0054782400000000005
concat_prior_E8YWBC.pt,56,120,217,78,51,0.00546364
concat_prior_MUOMNU.pt,56,502,247,542,11,0.00559396
concat_prior_Q0IECJ.pt,7,244,129,110,972,0.035049420000000005
concat_prior_BUKQL7.pt,7,236,136,37,0,0.006789520000000001
concat_prior_9WXBLG.pt,14,1018,25,244,0,0.03370904000000001
concat_prior_0BJH82.pt,14,1168,209,0,0,0.00510822
concat_prior_YOVFBE.pt,14,14,2105,0,0,0.005103979999999999
concat_prior_5H63OE.pt,28,106,659,214,0,0.0053051
concat_prior_1KM4RT.pt,14,251,206,238,10,0.005505800000000002
concat_prior_J8CHWY.pt,7,511,1006,0,0,0.005082660000000001
concat_prior_YPB8AU.pt,56,77,265,424,0,0.005412300000000001
concat_prior_12JRTX.pt,28,31,70,0,0,0.005204220000000001
concat_prior_DFIWA0.pt,56,12,991,0,0,0.005074100000000001
concat_prior_8PVEBP.pt,14,48,489,12,0,0.005339739999999999
concat_prior_KSO4HT.pt,7,85,509,0,0,0.007283759999999998
concat_prior_745IHR.pt,56,815,553,523,0,0.005300659999999998
concat_prior_OJEMJX.pt,56,128,819,158,0,0.005265039999999999
concat_prior_0P1J7C.pt,14,242,106,0,0,0.005120199999999998
concat_prior_HMI7FV.pt,7,552,56,658,0,0.00534944
concat_prior_0ECH1T.pt,7,1020,14,358,1042,0.0054928600000000005
concat_prior_T4IHLT.pt,56,217,233,0,0,0.005090680000000001
concat_prior_O7TXUK.pt,7,103,93,456,517,0.0055238399999999995
concat_prior_ZN60FM.pt,7,259,10,0,0,0.005116379999999999
concat_prior_2E2ZHF.pt,7,251,199,83,0,0.0059714600000000005
concat_prior_O8P7AL.pt,14,29,197,0,0,0.005105979999999999
concat_prior_I5FNQ7.pt,7,814,65,91,0,0.005406200000000001
concat_prior_05DEE9.pt,14,8,177,519,135,0.00551512
concat_prior_IWMGZ7.pt,14,130,48,0,0,0.00504978
concat_prior_B9I7JI.pt,14,61,394,426,216,0.0054806199999999985
concat_prior_BFT6A3.pt,14,154,175,166,290,0.0055866
concat_prior_0QTOF0.pt,14,305,176,240,251,0.00548264
concat_prior_47YDR2.pt,7,204,124,32,201,0.00553402
concat_prior_VH0H1G.pt,14,147,202,144,0,0.005318020000000001
concat_prior_6061MG.pt,7,1831,865,0,0,0.00507778
concat_prior_RKXETO.pt,14,56,383,0,0,0.005146179999999998
concat_prior_C5E3T0.pt,28,1961,131,31,50,0.005467919999999999
concat_prior_61T8B5.pt,7,537,234,0,0,0.00510354
concat_prior_QJLYPF.pt,14,228,2012,0,0,0.005008539999999999
concat_prior_NB5D5V.pt,14,742,622,0,0,0.00510834
concat_prior_3VRKFY.pt,28,247,169,531,195,0.005478779999999999
concat_prior_FNZ7QB.pt,7,181,73,1038,0,0.0053098
concat_prior_BD4WAK.pt,28,136,540,483,229,0.005481139999999998
concat_prior_CBN4CK.pt,14,225,261,298,0,0.005307399999999999
concat_prior_PI3AUV.pt,28,40,131,0,0,0.0050817000000000015
concat_prior_PWI4LZ.pt,28,518,978,0,0,0.00503748
concat_prior_A1HYQQ.pt,56,114,136,0,0,0.005676159999999999
concat_prior_TAMKX6.pt,14,155,152,63,0,0.005823819999999996
concat_prior_S39QHV.pt,14,10,931,0,0,0.00508536
concat_prior_C702G3.pt,56,183,1001,851,0,0.00529968
concat_prior_E9HE6I.pt,14,1008,58,147,84,0.005597160000000001
concat_prior_67HKYY.pt,28,98,20,1016,51,0.0054965000000000005
concat_prior_7729DN.pt,28,1020,219,0,0,0.005110960000000001
concat_prior_3R2F3R.pt,14,1375,24,38,0,0.00526748
concat_prior_UP2W77.pt,7,241,81,308,160,0.005471100000000001
concat_prior_CWOO3N.pt,14,666,3,1012,0,0.00524382
concat_prior_HTLD25.pt,7,162,272,824,0,0.005241140000000001
concat_prior_N4ZTMU.pt,28,142,506,0,0,0.00507748
concat_prior_9GFUES.pt,7,976,163,270,42,0.00559972
concat_prior_NZJVHC.pt,14,163,13,161,212,0.005495739999999999
concat_prior_T6TUFT.pt,14,494,511,0,0,0.0051099399999999994
concat_prior_OII4AZ.pt,56,49,47,0,0,0.0051022
concat_prior_DGA3TO.pt,14,236,272,530,0,0.00528996
concat_prior_4EWF92.pt,14,527,172,1248,20,0.006018439999999998
concat_prior_9RIW4L.pt,14,508,112,220,532,0.00544132
concat_prior_MKZ70N.pt,7,521,40,473,636,0.005467940000000002
concat_prior_CLZCKH.pt,14,180,516,852,0,0.005390139999999998
concat_prior_QEYW5I.pt,28,190,2046,0,0,0.005082639999999999
concat_prior_SJN413.pt,28,113,430,0,0,0.005076499999999999
concat_prior_OMD20N.pt,28,210,2026,0,0,0.005138520000000001
concat_prior_PHJG1W.pt,7,830,493,0,0,0.00515802
concat_prior_VI9X95.pt,14,162,494,127,0,0.00534544
concat_prior_CCTXME.pt,14,219,853,112,133,0.005519360000000002
concat_prior_4HXTAV.pt,28,780,243,74,402,0.0055666399999999994
concat_prior_M62ZWN.pt,28,249,45,169,159,0.005465520000000001
concat_prior_EKN2IP.pt,14,234,238,142,26,0.005455559999999999
concat_prior_N51VW1.pt,7,1138,171,0,0,0.005103540000000001
concat_prior_R0BPSO.pt,14,164,33,0,0,0.0050769000000000005
concat_prior_ZJPQPJ.pt,14,122,270,446,161,0.005558700000000003
concat_prior_6YZTMH.pt,14,515,200,0,0,0.0050837999999999986
concat_prior_YBJLLW.pt,14,59,239,22,0,0.00527408
concat_prior_6Y68ZM.pt,7,131,114,0,0,0.00515512
concat_prior_G2R7KB.pt,7,540,21,0,0,0.005136579999999999
concat_prior_UF71XR.pt,14,119,89,0,0,0.005110719999999998
concat_prior_6GXGHM.pt,7,185,515,50,508,0.0054736
concat_prior_WEGAI4.pt,28,44,8,685,0,0.005344540000000001
concat_prior_6Q11AM.pt,14,525,533,67,517,0.005436100000000003
concat_prior_VA1QSI.pt,14,155,131,91,0,0.005237479999999999
concat_prior_28T3VW.pt,28,66,229,0,0,0.00507466
concat_prior_SYBRX3.pt,7,100,66,0,0,0.011001600000000002
concat_prior_9NH3B9.pt,14,92,186,0,0,0.00518738
concat_prior_J8DNHD.pt,14,108,247,1005,139,0.005392339999999999
concat_prior_DCRAF1.pt,7,770,132,107,177,0.0054702
concat_prior_67VYWL.pt,56,691,526,38,26,0.005477399999999998
concat_prior_AO0C31.pt,56,533,83,633,0,0.00535642
concat_prior_C4AG53.pt,14,263,69,0,0,0.0050722599999999994
concat_prior_Q6DCWU.pt,14,356,27,0,0,0.005125579999999999
concat_prior_ACL62N.pt,28,531,162,0,0,0.00511202
concat_prior_OF6ZN5.pt,14,266,179,266,190,0.005560640000000001
concat_prior_IIVBB0.pt,14,33,1003,54,0,0.005321619999999999
concat_prior_CCZXD4.pt,56,231,147,164,98,0.005649620000000002
concat_prior_PLTYWB.pt,28,19,69,0,0,0.005162
concat_prior_R5XDXX.pt,14,1022,165,0,0,0.005062580000000002
concat_prior_ASCBCL.pt,14,77,267,271,0,0.0054570999999999995
concat_prior_EH60BY.pt,7,184,977,0,0,0.03450362
concat_prior_S17MDX.pt,14,194,134,196,223,0.0055379800000000005
concat_prior_ADCDFD.pt,28,109,261,0,0,0.005102940000000001
concat_prior_NRH5NK.pt,7,521,222,253,229,0.005469139999999999
concat_prior_W2DZ5Y.pt,56,1912,232,193,0,0.0053710599999999995
concat_prior_7FZG9Y.pt,28,196,244,142,529,0.0054865
concat_prior_9PC2MY.pt,14,256,184,242,0,0.00530648
concat_prior_Q1EMSY.pt,7,143,149,0,0,0.005116539999999998
concat_prior_6QSI7E.pt,14,136,221,0,0,0.005234439999999999
concat_prior_RLVAUG.pt,14,1152,125,0,0,0.005093620000000001
concat_prior_8043ZI.pt,14,116,1167,55,128,0.00542192
concat_prior_SCRZBC.pt,7,186,103,0,0,0.0051898
concat_prior_QY1AGX.pt,28,87,94,187,76,0.005457140000000002
concat_prior_ICTN5I.pt,14,512,451,0,0,0.005128299999999999
concat_prior_DL6HFV.pt,14,224,109,715,177,0.0055029400000000004
concat_prior_YMY48G.pt,56,68,248,132,0,0.00527876
concat_prior_GN2FTI.pt,56,994,43,224,91,0.005445879999999999
concat_prior_P129Y4.pt,7,38,67,0,0,0.010907939999999998
concat_prior_EU83DB.pt,7,31,494,0,0,0.00695416
concat_prior_FG5FIK.pt,14,145,1738,46,0,0.00524754
concat_prior_BRDHWX.pt,14,199,491,39,0,0.00531606
concat_prior_E3QJ8V.pt,7,493,211,67,75,0.0054581199999999995
concat_prior_MUG9WU.pt,7,983,192,0,0,0.0051037999999999995
concat_prior_E75TDF.pt,14,32,536,268,0,0.00538494
concat_prior_0N96M1.pt,14,121,253,218,83,0.005469019999999999
concat_prior_2Y44LT.pt,14,528,975,84,235,0.03396784000000001
concat_prior_NWBBLE.pt,14,47,94,0,0,0.010882039999999997
concat_prior_ZRCXND.pt,7,258,51,12,0,0.00534544
concat_prior_WNMMH2.pt,28,179,527,0,0,0.00511678
concat_prior_E1O74K.pt,7,268,82,204,0,0.00532782
concat_prior_5ZY9BX.pt,56,702,751,0,0,0.005086619999999999
concat_prior_X5J77F.pt,14,232,1020,0,0,0.005163259999999999
concat_prior_HJQVQH.pt,56,57,159,0,0,0.0051094800000000004
concat_prior_BJ6WJ8.pt,7,52,118,56,376,0.00545024
concat_prior_H167FE.pt,14,150,237,0,0,0.005195880000000001
concat_prior_WTB3ST.pt,56,239,1419,0,0,0.00507666
concat_prior_47HVRI.pt,14,676,242,59,0,0.005423460000000002
concat_prior_T46ETS.pt,14,652,108,638,0,0.005401259999999999
concat_prior_45OR2U.pt,28,202,245,0,0,0.0050723800000000005
concat_prior_SI7XKF.pt,56,212,268,0,0,0.005078540000000001
concat_prior_L9DVJN.pt,7,130,609,530,0,0.005297540000000001
concat_prior_X2F5TR.pt,14,239,261,0,0,0.005119880000000001
concat_prior_W8FCIL.pt,14,535,35,246,125,0.005450380000000001
concat_prior_GC6H6F.pt,7,13,118,0,0,0.01172532
concat_prior_W1FCIS.pt,28,29,327,0,0,0.005160959999999999
concat_prior_9ADROK.pt,56,182,1013,0,0,0.0051613200000000005
concat_prior_DWVKLX.pt,28,110,32,82,1312,0.005688600000000001
concat_prior_3YRPXK.pt,56,126,171,559,0,0.005353679999999999
concat_prior_LDJTUZ.pt,7,269,42,0,0,0.00533236
concat_prior_L88H3D.pt,14,70,213,0,0,0.005189419999999999
concat_prior_IUQFA8.pt,7,722,203,139,0,0.033805459999999996
concat_prior_3VH5L0.pt,7,1284,510,0,0,0.00517024
concat_prior_77RC43.pt,56,838,855,0,0,0.005057519999999999
concat_prior_XJ066T.pt,7,50,101,206,34,0.005428959999999998
concat_prior_PIEGKP.pt,56,1171,113,83,25,0.006119600000000002
concat_prior_PKXO6N.pt,28,1219,160,0,0,0.0050949199999999984
concat_prior_IWXXZ4.pt,14,252,209,153,650,0.005498380000000001
concat_prior_DUDY6U.pt,14,506,203,837,505,0.005446919999999999
concat_prior_1KTL7Z.pt,28,537,87,176,197,0.005510360000000001
concat_prior_DSKRZ3.pt,28,839,133,58,31,0.0055385600000000005
concat_prior_WRO41O.pt,7,550,34,191,139,0.03577284
concat_prior_WB2E8G.pt,28,1918,837,1021,0,0.00528462
concat_prior_CTCELF.pt,28,501,13,0,0,0.005056939999999999
concat_prior_M3JSBG.pt,7,703,381,0,0,0.00514258
concat_prior_X8EYCG.pt,7,599,14,28,0,0.005390240000000001
concat_prior_ONBV0A.pt,56,151,410,811,558,0.0054949000000000005
concat_prior_12RHKO.pt,28,964,84,154,0,0.005516319999999999
concat_prior_76H91F.pt,28,163,436,0,0,0.00505264
concat_prior_Z4OQEQ.pt,14,56,132,2006,192,0.00540538
concat_prior_HPDKCI.pt,14,770,400,149,0,0.00531122
concat_prior_NVGU5Z.pt,7,216,505,114,79,0.0055172200000000015
concat_prior_K4WX2K.pt,14,481,433,0,0,0.0050877000000000006
concat_prior_UUE3YK.pt,7,495,230,257,0,0.0053111799999999995
concat_prior_8SZ6BM.pt,56,1186,939,0,0,0.005009340000000001
concat_prior_E5DESE.pt,14,138,136,106,0,0.005307179999999999
concat_prior_TTYEXD.pt,14,81,682,0,0,0.032948620000000005
concat_prior_KBX6KH.pt,7,231,92,238,246,0.005554740000000002
concat_prior_Z1FNA9.pt,28,18,1012,34,104,0.0055355
concat_prior_PACZB3.pt,56,1684,193,203,0,0.00529264
concat_prior_OYR8ZY.pt,14,808,985,155,119,0.005391420000000001
concat_prior_YTN5QV.pt,28,45,47,207,0,0.005281780000000001
concat_prior_KLXXU1.pt,56,228,504,0,0,0.0051226000000000015
concat_prior_L5LMZU.pt,56,37,410,0,0,0.0050735200000000015
concat_prior_ADPQ5L.pt,56,847,1266,88,59,0.00548602
concat_prior_76DL1M.pt,14,182,2044,260,155,0.005450560000000001
concat_prior_O5MZL9.pt,7,58,500,164,0,0.005402979999999999
concat_prior_V3ESW8.pt,14,2028,157,56,101,0.005514999999999999
concat_prior_0N79GC.pt,14,120,249,0,0,0.005221159999999999
concat_prior_IBDNC1.pt,28,269,234,55,0,0.005349219999999999
concat_prior_8Q3VCZ.pt,14,141,120,0,0,0.005196340000000001
concat_prior_LG3BDH.pt,14,502,508,132,226,0.00548572
concat_prior_UV8O36.pt,56,825,528,0,0,0.0051136
concat_prior_2A7R1J.pt,14,46,262,203,0,0.005394299999999999
concat_prior_J63ZSC.pt,14,102,194,0,0,0.005128739999999998
concat_prior_RUKYR3.pt,14,263,1177,138,0,0.005359300000000001
concat_prior_L9JDMS.pt,7,501,620,492,0,0.00533368
concat_prior_VQ56H5.pt,14,194,68,506,1135,0.0055008999999999995
concat_prior_CM6FFX.pt,14,216,500,0,0,0.0056040000000000005
concat_prior_OWGVD7.pt,28,849,173,66,216,0.005549120000000002
concat_prior_F0RSDK.pt,28,496,22,0,0,0.00506718
concat_prior_G82QIA.pt,56,191,91,0,0,0.01498248
concat_prior_GZDPJO.pt,14,5,39,0,0,0.005116639999999998
concat_prior_VAVN2A.pt,7,94,253,216,0,0.00541398
concat_prior_UAE8B6.pt,7,104,478,0,0,0.005231899999999999
concat_prior_00HXG1.pt,28,152,90,124,204,0.00547856
concat_prior_W89IF7.pt,56,533,138,70,101,0.005448219999999999
concat_prior_7OSCNB.pt,7,257,112,0,0,0.00511012
concat_prior_8Y46F2.pt,28,70,40,0,0,0.0052314399999999995
concat_prior_Z67060.pt,7,502,537,50,1011,0.00549466
concat_prior_RPO0C7.pt,14,948,217,252,0,0.00528198
concat_prior_UCGFXF.pt,7,646,147,183,0,0.005373220000000001
concat_prior_5D0V5T.pt,14,214,500,923,986,0.005438899999999999
concat_prior_3YCE5I.pt,56,112,1802,69,0,0.0052813
concat_prior_CM9XGY.pt,28,100,976,502,112,0.005466680000000002
concat_prior_JKPR1W.pt,28,264,105,0,0,0.0051851000000000015
concat_prior_YAXRGK.pt,14,538,50,2003,199,0.0055479200000000005
concat_prior_9E1X75.pt,14,2103,70,109,695,0.005604519999999998
concat_prior_S3PD2U.pt,56,139,2072,2044,34,0.005371539999999998
concat_prior_DFU52K.pt,28,214,1023,524,144,0.005493760000000002
concat_prior_I6E357.pt,7,497,527,143,219,0.005598580000000001
concat_prior_4TBWR8.pt,14,231,687,0,0,0.0329047
concat_prior_ZTXJK7.pt,14,32,190,0,0,0.005080240000000001
concat_prior_5DX0DF.pt,28,833,23,0,0,0.00510462
concat_prior_IN6XRJ.pt,14,538,106,9,67,0.00565122
concat_prior_6L1JYK.pt,7,401,163,72,141,0.0054572200000000005
concat_prior_5FIS50.pt,28,456,149,199,122,0.01837512
concat_prior_SFJGH9.pt,14,168,168,841,528,0.005431740000000002
concat_prior_QE7FGH.pt,14,794,1199,101,72,0.005435179999999999
concat_prior_CSY9SS.pt,14,863,450,0,0,0.005166160000000002
concat_prior_XYL6LC.pt,14,239,432,511,122,0.005468839999999999
concat_prior_NFSRW0.pt,7,507,1178,184,161,0.00553832
concat_prior_8T8CO3.pt,14,46,1020,101,601,0.005475080000000001
concat_prior_7RNFL8.pt,56,1556,1614,0,0,0.0050769
concat_prior_TG4B05.pt,7,216,19,124,109,0.005504060000000001
concat_prior_SVXZY8.pt,14,23,511,64,0,0.005390579999999999
concat_prior_T1VS34.pt,28,178,595,501,6,0.005487519999999999
concat_prior_JEGN34.pt,28,704,511,0,0,0.005108319999999999
concat_prior_ZUV741.pt,7,401,208,0,0,0.0051453
concat_prior_T8S5WN.pt,14,523,73,0,0,0.005100079999999999
concat_prior_OI5RKQ.pt,14,17,192,468,537,0.00548266
concat_prior_6JXAQ9.pt,14,44,213,439,161,0.005483679999999999
concat_prior_3G40FM.pt,14,483,9,194,147,0.005552499999999999
concat_prior_EKS8FB.pt,7,226,78,0,0,0.012575839999999998
concat_prior_WV6KOY.pt,7,265,453,0,0,0.00522518
concat_prior_09XH9T.pt,7,41,114,586,0,0.00539292
concat_prior_X5L5U1.pt,28,65,115,831,517,0.00559414
concat_prior_GE6YHE.pt,14,3,76,0,0,0.005080140000000002
concat_prior_KA6MM2.pt,56,205,18,0,0,0.00513958
concat_prior_AXE5LB.pt,7,28,540,240,221,0.00545006
concat_prior_MCNZ9K.pt,28,224,154,149,116,0.0054372800000000035
concat_prior_VTFLA5.pt,7,1008,117,518,58,0.03939072000000001
concat_prior_24FNLP.pt,14,436,1024,112,393,0.00546782
concat_prior_LC8W84.pt,14,107,179,0,0,0.0051098
concat_prior_C4JRD1.pt,14,1154,932,0,0,0.00509754
concat_prior_T9NND7.pt,56,44,1989,145,0,0.005265360000000001
concat_prior_VDI0P6.pt,7,40,72,0,0,0.005645940000000001
concat_prior_EDAQWL.pt,14,474,95,508,402,0.00545546
concat_prior_MIW1HX.pt,56,62,1921,0,0,0.00619358
concat_prior_KQD1DS.pt,7,3,611,1003,170,0.00554676
concat_prior_GSQQT4.pt,14,130,51,0,0,0.0050688800000000004
concat_prior_HUY3Z1.pt,14,292,16,199,1712,0.005457620000000001
concat_prior_5NN2F2.pt,56,6,261,213,0,0.005355979999999999
concat_prior_9SC6DQ.pt,28,101,981,147,113,0.00555534
concat_prior_V4ABF4.pt,7,528,1017,0,0,0.005124400000000001
concat_prior_98R3ME.pt,56,919,478,0,0,0.0050983
