model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_1IT0TI.pt,7,40,40,3,2,0.0049,0.0004,0.02055016
dwconv-bn-relu_prior_UQBQ3Y.pt,7,16,16,5,2,0.005096,0.000416,0.01983032
dwconv-bn-relu_prior_P78UG5.pt,7,42,42,3,2,0.005145,0.00042,0.019954780000000002
dwconv-bn-relu_prior_VZ4K9N.pt,7,42,42,3,2,0.005145,0.00042,0.019458680000000003
dwconv-bn-relu_prior_003UK3.pt,7,11,11,3,1,0.00539,0.00011,0.02004299999999999
dwconv-bn-relu_prior_8WG1TM.pt,7,11,11,3,1,0.00539,0.00011,0.01978038
dwconv-bn-relu_prior_HE6SUR.pt,7,47,47,3,2,0.0057575,0.00047,0.019425739999999997
dwconv-bn-relu_prior_DFQJR3.pt,7,47,47,3,2,0.0057575,0.00047,0.0201142
dwconv-bn-relu_prior_912XIA.pt,7,12,12,3,1,0.00588,0.00012,0.019501039999999997
dwconv-bn-relu_prior_3O15DI.pt,7,12,12,3,1,0.00588,0.00012,0.0198071
dwconv-bn-relu_prior_37EKL2.pt,7,49,49,3,2,0.0060025,0.00049,0.0196891
dwconv-bn-relu_prior_B6HVJ2.pt,7,50,50,3,2,0.006125,0.0005,0.0201399
dwconv-bn-relu_prior_VZX5GT.pt,7,13,13,3,1,0.00637,0.00013,0.019404239999999996
dwconv-bn-relu_prior_WYWG3D.pt,7,13,13,3,1,0.00637,0.00013,0.01993878
dwconv-bn-relu_prior_UU13QJ.pt,7,13,13,3,1,0.00637,0.00013,0.019473
dwconv-bn-relu_prior_CN9G1I.pt,7,20,20,5,2,0.00637,0.00052,0.019731779999999994
dwconv-bn-relu_prior_80EDWZ.pt,7,53,53,3,2,0.0064925,0.00053,0.019644139999999997
dwconv-bn-relu_prior_8UKUEV.pt,7,54,54,3,2,0.006615,0.00054,0.02000708
dwconv-bn-relu_prior_KVQKF1.pt,7,55,55,3,2,0.0067375,0.00055,0.01945508
dwconv-bn-relu_prior_J71CVW.pt,7,14,14,3,1,0.00686,0.00014,0.02035858
