model_path,HW,CIN,latency
global-avgpool_prior_61505J.pt,7,177,0.005298499999999999
global-avgpool_prior_4MFIB2.pt,7,460,0.005071820000000001
global-avgpool_prior_0HNIDC.pt,3,1154,0.00512898
global-avgpool_prior_XJWW1I.pt,3,255,0.005062720000000001
global-avgpool_prior_9SR4AR.pt,3,95,0.005095180000000002
global-avgpool_prior_BXZPNQ.pt,3,137,0.00509168
global-avgpool_prior_65ZUIX.pt,3,116,0.00510896
global-avgpool_prior_ASFHBW.pt,7,249,0.005094100000000001
global-avgpool_prior_2REOZB.pt,3,2040,0.00507994
global-avgpool_prior_W1HGR7.pt,7,174,0.00509928
global-avgpool_prior_NXVO7G.pt,3,927,0.005091339999999999
global-avgpool_prior_9LPO8J.pt,7,529,0.005084199999999999
global-avgpool_prior_NHMFP1.pt,3,129,0.005069340000000001
global-avgpool_prior_DPW7I7.pt,7,188,0.005271640000000001
global-avgpool_prior_UOGNFV.pt,7,245,0.005100760000000001
global-avgpool_prior_WFSI0O.pt,3,227,0.00508912
global-avgpool_prior_UTJ48G.pt,7,3,0.005136139999999999
global-avgpool_prior_8WJOHQ.pt,7,992,0.005105599999999998
global-avgpool_prior_5YK6EE.pt,7,1348,0.005237740000000001
global-avgpool_prior_DBWDWQ.pt,7,159,0.005108939999999999
global-avgpool_prior_MP8D5C.pt,7,171,0.005070659999999999
global-avgpool_prior_GO95NI.pt,3,181,0.005129280000000001
global-avgpool_prior_I4SZK6.pt,7,65,0.0051099200000000004
global-avgpool_prior_V29D5N.pt,7,112,0.00512554
global-avgpool_prior_LAIPTI.pt,7,339,0.005171899999999999
global-avgpool_prior_0RHRPO.pt,3,158,0.00510738
global-avgpool_prior_L3AG70.pt,3,125,0.005090180000000001
global-avgpool_prior_AXSR22.pt,7,662,0.005055499999999999
global-avgpool_prior_D4ILKR.pt,7,233,0.0051397000000000005
global-avgpool_prior_IPSML9.pt,7,233,0.005069879999999999
global-avgpool_prior_BO7AST.pt,7,512,0.00508232
global-avgpool_prior_2S2LQ7.pt,7,1826,0.032249860000000005
global-avgpool_prior_SQVDFP.pt,3,242,0.00515106
global-avgpool_prior_OZD71T.pt,7,262,0.0052556799999999996
global-avgpool_prior_FLR80O.pt,3,518,0.005091900000000002
global-avgpool_prior_GB29OB.pt,7,129,0.005115000000000001
global-avgpool_prior_TT3KOM.pt,7,265,0.005120640000000001
global-avgpool_prior_7STBXO.pt,3,786,0.00571058
global-avgpool_prior_76BIQR.pt,7,38,0.00510318
global-avgpool_prior_PESJNX.pt,7,21,0.005129459999999999
global-avgpool_prior_EG78NL.pt,7,202,0.005625400000000002
global-avgpool_prior_BAS034.pt,3,246,0.005098019999999998
global-avgpool_prior_BR565L.pt,7,1295,0.005088260000000001
global-avgpool_prior_5RRRI8.pt,3,785,0.005096119999999999
global-avgpool_prior_04U5T4.pt,7,661,0.005107419999999999
global-avgpool_prior_PPUYAX.pt,3,120,0.005152119999999999
global-avgpool_prior_WY40GI.pt,3,184,0.0050912399999999995
global-avgpool_prior_FEKECB.pt,7,2134,0.03191668
global-avgpool_prior_B2BXTC.pt,3,226,0.0055934800000000005
global-avgpool_prior_OQN9ZY.pt,7,173,0.005156419999999999
global-avgpool_prior_0WT4UM.pt,3,502,0.00510518
global-avgpool_prior_4NG2SD.pt,7,966,0.00508264
global-avgpool_prior_20VCTY.pt,7,1374,0.005086279999999999
global-avgpool_prior_L582YP.pt,3,248,0.005075560000000002
global-avgpool_prior_H5A3SR.pt,7,142,0.0050688
global-avgpool_prior_GO21YQ.pt,7,1185,0.0328589
global-avgpool_prior_AJ4F6C.pt,7,92,0.005079319999999998
global-avgpool_prior_MCA2SJ.pt,3,533,0.00507722
global-avgpool_prior_C2DK6G.pt,7,984,0.005005880000000002
global-avgpool_prior_X17080.pt,7,59,0.00513886
global-avgpool_prior_53PFRH.pt,3,496,0.0051429399999999995
global-avgpool_prior_MY6AO6.pt,3,259,0.005236239999999999
global-avgpool_prior_5AD4PT.pt,3,158,0.005067220000000001
global-avgpool_prior_U4FNZC.pt,3,51,0.00507894
global-avgpool_prior_XY69O5.pt,3,137,0.0050959199999999994
global-avgpool_prior_9V4NZB.pt,3,180,0.005100779999999999
global-avgpool_prior_3B77XK.pt,7,81,0.005089740000000001
global-avgpool_prior_5062T1.pt,3,56,0.0050900400000000005
global-avgpool_prior_IOEB3V.pt,7,36,0.005237040000000001
global-avgpool_prior_FIUJER.pt,7,536,0.005061699999999999
global-avgpool_prior_S69GJ9.pt,7,180,0.005237720000000001
global-avgpool_prior_NTOCLY.pt,3,137,0.00519744
global-avgpool_prior_UNIK6B.pt,7,44,0.005092060000000001
global-avgpool_prior_6GQ4VE.pt,3,290,0.0050924199999999985
global-avgpool_prior_QRDAEC.pt,7,268,0.0051027400000000014
global-avgpool_prior_ZXOF1Q.pt,3,124,0.0051135799999999995
global-avgpool_prior_HRIZYF.pt,7,161,0.0050900400000000005
global-avgpool_prior_XTHKEZ.pt,7,69,0.005098680000000001
global-avgpool_prior_BC0ZLA.pt,3,184,0.005114480000000001
global-avgpool_prior_1LK62M.pt,3,72,0.0050946199999999985
global-avgpool_prior_P5RKDW.pt,3,865,0.005090620000000001
global-avgpool_prior_3PHRSO.pt,3,1136,0.005189160000000001
global-avgpool_prior_DIS3S9.pt,3,183,0.005966880000000001
global-avgpool_prior_VNDF27.pt,7,991,0.005620640000000001
global-avgpool_prior_AFETE4.pt,3,1213,0.0050905
global-avgpool_prior_OMMWVS.pt,7,533,0.0050776
global-avgpool_prior_I5WQTG.pt,7,40,0.005175780000000001
global-avgpool_prior_1J61GA.pt,3,146,0.00510958
global-avgpool_prior_YH7GNH.pt,7,1023,0.005110999999999999
global-avgpool_prior_9I36PK.pt,3,518,0.00510654
global-avgpool_prior_RXSHM1.pt,7,51,0.00521962
global-avgpool_prior_9NZ28I.pt,3,247,0.0051096
global-avgpool_prior_S4JA5J.pt,7,11,0.00571058
global-avgpool_prior_78PUIN.pt,7,228,0.005120280000000001
global-avgpool_prior_SLAUS5.pt,7,172,0.005615999999999998
global-avgpool_prior_MDYR61.pt,7,168,0.00509536
global-avgpool_prior_BYO9RO.pt,7,516,0.00510486
global-avgpool_prior_W35MW1.pt,7,201,0.0050994
global-avgpool_prior_JQNDD4.pt,3,262,0.00558674
global-avgpool_prior_7T15GB.pt,3,408,0.005134419999999998
global-avgpool_prior_QSU1IV.pt,3,146,0.0050778
global-avgpool_prior_836XYF.pt,7,1163,0.005098480000000001
global-avgpool_prior_U5ZNWI.pt,3,233,0.005171960000000001
global-avgpool_prior_EKBOPX.pt,7,106,0.00511074
global-avgpool_prior_RY406P.pt,7,30,0.005063539999999998
