model_path,HW,CIN,latency
hswish_prior_1V844P.pt,7,498,0.004813420000000001
hswish_prior_P6W39R.pt,14,219,0.00451154
hswish_prior_N69GCQ.pt,14,462,0.0045433999999999995
hswish_prior_QSFATJ.pt,14,113,0.00453548
hswish_prior_5RRWBI.pt,14,219,0.0045986
hswish_prior_GMBQOZ.pt,28,221,0.004593360000000001
hswish_prior_3MVI2I.pt,3,113,0.0045657399999999996
hswish_prior_NJ6TPN.pt,28,258,0.0046200600000000005
hswish_prior_OJEMJZ.pt,14,381,0.004513559999999999
hswish_prior_T17TBV.pt,7,22,0.004586759999999999
hswish_prior_K2AKMZ.pt,14,861,0.00463268
hswish_prior_G4FRDA.pt,56,319,0.004659840000000001
hswish_prior_47LLBA.pt,28,20,0.004579000000000001
hswish_prior_8HYR9S.pt,28,206,0.00473468
hswish_prior_W7QIKH.pt,28,128,0.0045527
hswish_prior_9Y8ZJ0.pt,7,133,0.004529360000000001
hswish_prior_D4HCFN.pt,7,826,0.004554719999999999
hswish_prior_C38R6D.pt,56,208,0.00463978
hswish_prior_VNBCEW.pt,14,180,0.004575740000000001
hswish_prior_OUYZR1.pt,7,674,0.0046168400000000005
hswish_prior_5MOXCG.pt,28,272,0.00464912
hswish_prior_IWL0OU.pt,28,39,0.00449616
hswish_prior_TGO9OL.pt,112,228,0.004596200000000001
hswish_prior_JI7G0R.pt,7,201,0.004559480000000001
hswish_prior_751988.pt,14,997,0.00469798
hswish_prior_3YJ36C.pt,14,146,0.004749140000000001
hswish_prior_4FTQKT.pt,14,211,0.004498039999999998
hswish_prior_A2KGEC.pt,56,74,0.00464336
hswish_prior_YHXR6N.pt,56,186,0.00512112
hswish_prior_QMGH5E.pt,28,51,0.0046023999999999995
hswish_prior_D15RDJ.pt,112,190,0.004577519999999999
hswish_prior_UV51MV.pt,56,225,0.004681240000000001
hswish_prior_SI0PNQ.pt,7,126,0.0045179
hswish_prior_W8CX8X.pt,28,57,0.004575299999999999
hswish_prior_18YM3Z.pt,3,527,0.00465246
hswish_prior_2OFV0X.pt,56,29,0.004525220000000002
hswish_prior_1J9KFI.pt,14,517,0.004492920000000001
hswish_prior_UCAGD9.pt,56,258,0.00460016
hswish_prior_63OWLU.pt,7,1285,0.00455584
hswish_prior_XR4TLB.pt,224,120,0.0046340999999999995
hswish_prior_BSBQSC.pt,28,198,0.0045801
hswish_prior_Z4PV0N.pt,28,581,0.0045603
hswish_prior_Z3007B.pt,28,11,0.00449954
hswish_prior_YUSCFM.pt,56,115,0.004586320000000001
hswish_prior_LVUU8M.pt,224,122,0.004585060000000003
hswish_prior_VZIRSD.pt,28,197,0.004548120000000001
hswish_prior_WM4HX7.pt,14,58,0.004524999999999999
hswish_prior_8AI7R6.pt,28,986,0.0046265199999999986
hswish_prior_JF01GP.pt,14,170,0.00452572
hswish_prior_W3SJ3L.pt,3,95,0.004515760000000001
hswish_prior_CB0LRY.pt,14,38,0.0046489999999999995
hswish_prior_U495S7.pt,1,506,0.0045804800000000005
hswish_prior_Q1UGKO.pt,14,596,0.0045496799999999995
hswish_prior_3IB1FH.pt,56,257,0.0046502
hswish_prior_9KJYJ7.pt,112,161,0.004563919999999999
hswish_prior_1HID4J.pt,28,248,0.0046375
hswish_prior_KSW0B0.pt,28,317,0.004591680000000002
hswish_prior_05UQKN.pt,14,159,0.004543820000000001
hswish_prior_JEN0FI.pt,112,434,0.00462762
hswish_prior_KNJ8YR.pt,14,192,0.004436240000000001
hswish_prior_8APWDK.pt,14,36,0.00465372
hswish_prior_0T5BU9.pt,14,164,0.0045479000000000006
hswish_prior_9CS221.pt,14,132,0.005008319999999999
hswish_prior_740W64.pt,112,1682,0.004536079999999999
hswish_prior_VP46R2.pt,28,427,0.0045604999999999995
hswish_prior_TZ23E6.pt,28,474,0.00458102
hswish_prior_ES56KM.pt,14,536,0.0045812399999999994
hswish_prior_1WCAQS.pt,7,79,0.00460078
hswish_prior_9516UB.pt,14,205,0.004561759999999999
hswish_prior_5RQZV9.pt,7,28,0.004513220000000001
hswish_prior_21D26Z.pt,7,35,0.004576320000000002
hswish_prior_KVRH6E.pt,28,235,0.0046332000000000005
hswish_prior_368SZ0.pt,112,120,0.004574279999999999
hswish_prior_8KQ2B1.pt,56,173,0.00484286
hswish_prior_QBSCQ7.pt,14,261,0.004616639999999998
hswish_prior_SQ6UBF.pt,14,223,0.00450272
hswish_prior_RXVT5P.pt,14,177,0.004590740000000001
hswish_prior_BH5G1K.pt,14,173,0.0045469399999999984
hswish_prior_TSA2X1.pt,3,9,0.00451964
hswish_prior_DTX9JV.pt,14,1063,0.00458044
hswish_prior_WCXNE8.pt,56,132,0.00448964
hswish_prior_T2ZT12.pt,112,690,0.004633060000000001
hswish_prior_H7DA5L.pt,3,182,0.004600899999999999
hswish_prior_PABR4P.pt,7,38,0.004528099999999999
hswish_prior_Y666AD.pt,7,216,0.00450876
hswish_prior_F9K4SJ.pt,56,1078,0.00456488
hswish_prior_TCQOW2.pt,7,160,0.00454874
hswish_prior_8TCS2L.pt,56,995,0.004612760000000001
hswish_prior_HLA2O5.pt,112,1716,0.00460682
hswish_prior_EF21GR.pt,56,2048,0.004723
hswish_prior_JR2YIG.pt,28,278,0.004666539999999999
hswish_prior_ZTJWEP.pt,1,131,0.004565640000000001
hswish_prior_YG3Z7B.pt,112,514,0.0045787399999999995
hswish_prior_VQWQQX.pt,7,57,0.004566280000000001
hswish_prior_V3IF21.pt,28,160,0.004576159999999999
hswish_prior_W8U2U8.pt,56,536,0.004613559999999999
hswish_prior_ND9Q6P.pt,7,131,0.004526880000000002
hswish_prior_BPJ8RB.pt,7,253,0.00465212
hswish_prior_VE4GAG.pt,14,51,0.00450406
hswish_prior_HCLJR0.pt,14,954,0.004582859999999999
hswish_prior_UKEFTF.pt,224,514,0.004550339999999999
hswish_prior_QI9CCU.pt,14,517,0.004564299999999999
hswish_prior_RFW3UF.pt,3,1552,0.00458652
hswish_prior_VFTO09.pt,56,47,0.00461626
hswish_prior_5L0FIZ.pt,7,415,0.004551519999999998
hswish_prior_X1HJF6.pt,28,442,0.004543040000000001
hswish_prior_UEOUKT.pt,56,990,0.004582739999999999
hswish_prior_G4E120.pt,28,93,0.004557700000000001
hswish_prior_Y9U60Y.pt,14,930,0.00467872
hswish_prior_7ANRYX.pt,112,163,0.00455496
hswish_prior_73VZ92.pt,28,118,0.004467360000000001
hswish_prior_Q4W28X.pt,28,31,0.0045566999999999995
hswish_prior_MZAQ5F.pt,14,10,0.004508719999999998
hswish_prior_O239OD.pt,112,277,0.00452736
hswish_prior_809IV1.pt,7,1008,0.0045378000000000016
hswish_prior_7A2DDX.pt,14,1052,0.0045764
hswish_prior_RU560L.pt,14,41,0.00446816
hswish_prior_JDNQRP.pt,28,137,0.0046387000000000025
hswish_prior_VTXXW2.pt,14,63,0.00452532
hswish_prior_97EEA6.pt,1,310,0.00450244
hswish_prior_BLWWTJ.pt,7,138,0.004503320000000001
hswish_prior_WJMUNN.pt,7,134,0.004548199999999999
hswish_prior_MC3EQL.pt,56,4,0.004530139999999999
hswish_prior_UAK75G.pt,14,174,0.004520879999999998
hswish_prior_91EJTT.pt,112,56,0.00466298
hswish_prior_BGR0AB.pt,112,125,0.00461468
hswish_prior_9IJJV9.pt,28,809,0.00478344
hswish_prior_HNGEM7.pt,28,520,0.004571440000000001
hswish_prior_GF91EL.pt,14,164,0.004540020000000001
hswish_prior_13Y76P.pt,14,191,0.0045261200000000015
hswish_prior_Y7SAUG.pt,14,201,0.00451026
hswish_prior_ZSSQ82.pt,224,505,0.0045585800000000004
hswish_prior_K9EBJG.pt,14,521,0.0045228199999999994
hswish_prior_EV0Y8Z.pt,14,270,0.004601479999999999
hswish_prior_X80F74.pt,14,116,0.0045324799999999985
hswish_prior_7D476O.pt,14,11,0.0045439600000000005
hswish_prior_ILTVSL.pt,7,1771,0.004589519999999999
hswish_prior_P5UL9H.pt,56,444,0.004551000000000001
hswish_prior_4I21BY.pt,14,224,0.004548879999999999
hswish_prior_JNYBZD.pt,56,115,0.004519940000000001
hswish_prior_9130QH.pt,112,492,0.004602119999999999
hswish_prior_IEP18E.pt,3,206,0.00451158
hswish_prior_0PMWSP.pt,7,23,0.004529340000000001
hswish_prior_HLXGZY.pt,28,56,0.00453818
hswish_prior_2KWI8N.pt,14,519,0.0045246999999999996
hswish_prior_HH5JE0.pt,112,114,0.004554200000000001
hswish_prior_H6V34U.pt,56,517,0.00458458
hswish_prior_1RGSWJ.pt,14,60,0.004537720000000001
hswish_prior_YJ8A7P.pt,56,141,0.004565659999999999
hswish_prior_WT8583.pt,14,618,0.0045853000000000005
hswish_prior_BSX2N7.pt,28,951,0.00460024
hswish_prior_YYHIOT.pt,7,111,0.0045366600000000005
hswish_prior_UYIZHK.pt,7,168,0.0046351
hswish_prior_O3CIFE.pt,224,198,0.004538539999999999
hswish_prior_UEHE4I.pt,7,1142,0.004538200000000001
hswish_prior_9W9P9U.pt,14,697,0.00456826
hswish_prior_VW5WP8.pt,56,47,0.00461542
hswish_prior_3BAQVX.pt,56,532,0.00459338
hswish_prior_MSOQD6.pt,112,118,0.0045035399999999995
hswish_prior_MRZEB8.pt,7,64,0.004576579999999999
hswish_prior_RTEJ0F.pt,28,481,0.004539820000000001
hswish_prior_MD8ILQ.pt,7,130,0.004540619999999999
hswish_prior_D3K5M8.pt,14,14,0.00457746
hswish_prior_9POFJM.pt,28,33,0.00457302
hswish_prior_QAITAI.pt,56,511,0.004556459999999999
hswish_prior_E2B1IP.pt,14,28,0.0045543599999999995
hswish_prior_3K28SV.pt,56,98,0.004697860000000001
hswish_prior_K8A44Q.pt,14,244,0.004715100000000001
hswish_prior_BUIE94.pt,28,160,0.00471322
hswish_prior_JZXOVJ.pt,7,46,0.004620080000000001
hswish_prior_BM06HN.pt,14,136,0.004584820000000001
hswish_prior_ER3ZM0.pt,112,190,0.00467984
hswish_prior_NGX2IJ.pt,28,494,0.0047630799999999985
hswish_prior_PNLLSN.pt,56,28,0.004632799999999999
hswish_prior_MA16RC.pt,14,306,0.00464132
hswish_prior_YXPHY0.pt,14,210,0.004537740000000001
hswish_prior_E1GLWS.pt,14,455,0.004514099999999998
hswish_prior_VY26YM.pt,112,540,0.004600260000000001
hswish_prior_NZCFQ0.pt,14,93,0.004589319999999999
hswish_prior_UMOZ8R.pt,112,1027,0.0045850199999999995
hswish_prior_ZWMXOK.pt,14,151,0.0045108399999999995
hswish_prior_KS79A2.pt,14,163,0.004552400000000001
hswish_prior_3UL2Q3.pt,28,829,0.004650260000000001
hswish_prior_W9RA2J.pt,14,1606,0.0045576800000000015
hswish_prior_U48TT5.pt,14,857,0.00459178
hswish_prior_8SLQA9.pt,56,185,0.00457814
hswish_prior_1NPV5A.pt,7,28,0.0045596000000000005
hswish_prior_JXP8ZF.pt,56,1392,0.00469814
hswish_prior_WX8VW5.pt,14,160,0.0049485
hswish_prior_WAT639.pt,28,217,0.0050437599999999996
hswish_prior_0S7Z0D.pt,56,209,0.004613799999999999
hswish_prior_3OFP1L.pt,112,477,0.004562880000000001
hswish_prior_NK2KRJ.pt,14,119,0.004532959999999999
hswish_prior_DUAT83.pt,7,81,0.004545179999999999
hswish_prior_ZUDJ20.pt,28,194,0.0045845799999999996
hswish_prior_KXCKC2.pt,112,241,0.00455588
hswish_prior_PRBZJ1.pt,14,460,0.0045114199999999995
hswish_prior_CQNO83.pt,56,10,0.004619839999999999
hswish_prior_7V9G0G.pt,7,194,0.004554659999999999
hswish_prior_YYOOZD.pt,14,8,0.004578399999999999
hswish_prior_KUIRVB.pt,28,1157,0.004589519999999999
hswish_prior_8JTCZ2.pt,28,844,0.00464022
hswish_prior_19WOZP.pt,28,32,0.00454372
hswish_prior_7S2RF1.pt,28,503,0.004582999999999999
hswish_prior_QUAACN.pt,14,824,0.004630240000000001
hswish_prior_4T489M.pt,224,143,0.00458776
hswish_prior_VUWGY9.pt,14,493,0.00455664
hswish_prior_XRTUZK.pt,7,147,0.004560700000000001
hswish_prior_5M4BZG.pt,7,306,0.0045179
hswish_prior_6DC3JQ.pt,1,691,0.004542739999999999
hswish_prior_PB71X8.pt,14,195,0.004544219999999999
hswish_prior_KG852M.pt,14,775,0.004568080000000001
hswish_prior_YFOQRA.pt,7,81,0.00463032
hswish_prior_J7KPCK.pt,28,839,0.0045559599999999995
hswish_prior_THYKX0.pt,14,50,0.00457396
hswish_prior_794OFC.pt,3,126,0.004530059999999999
hswish_prior_X22UAA.pt,7,1249,0.00455254
hswish_prior_90ZO78.pt,14,437,0.004592099999999999
hswish_prior_SC893V.pt,7,523,0.0045016000000000006
hswish_prior_I0X0JF.pt,28,22,0.004542560000000001
hswish_prior_VGHQUZ.pt,3,217,0.004527800000000001
hswish_prior_F5D5FF.pt,56,119,0.00468424
hswish_prior_4V45DQ.pt,112,33,0.00456772
hswish_prior_9O7U6E.pt,28,232,0.00460812
hswish_prior_JGV0C3.pt,7,20,0.004514519999999999
hswish_prior_N09BD0.pt,56,183,0.004598999999999999
hswish_prior_HK0R51.pt,14,771,0.004581699999999999
hswish_prior_C58HR7.pt,56,2144,0.0045624199999999985
hswish_prior_O2TF1G.pt,7,167,0.004549579999999999
hswish_prior_1HD3IH.pt,28,632,0.004593579999999999
hswish_prior_QQ4NLV.pt,7,202,0.004542139999999998
hswish_prior_84YLVB.pt,112,208,0.0044995799999999996
hswish_prior_0JFPH6.pt,14,186,0.00454014
hswish_prior_C6EJ6B.pt,56,449,0.004563040000000001
hswish_prior_RJIILC.pt,7,525,0.004498800000000001
hswish_prior_860PQJ.pt,112,135,0.0045635
hswish_prior_K5M6S0.pt,14,47,0.00454412
hswish_prior_S782H8.pt,28,181,0.00459282
hswish_prior_14IUKP.pt,28,7,0.00458136
hswish_prior_QTJLTY.pt,7,498,0.00452464
hswish_prior_A1HF9P.pt,14,31,0.00468798
hswish_prior_WEXPBY.pt,7,534,0.00451488
hswish_prior_D74PGF.pt,14,44,0.0046
hswish_prior_4HM6EO.pt,14,262,0.004537240000000001
hswish_prior_90WY0C.pt,7,28,0.00456068
hswish_prior_6QTTW3.pt,112,113,0.004549540000000001
hswish_prior_F5H1CF.pt,28,698,0.00458924
hswish_prior_76EATP.pt,28,261,0.004606539999999999
hswish_prior_S0J40F.pt,14,696,0.0046006
hswish_prior_LSOUJ2.pt,28,86,0.0045439799999999995
hswish_prior_TM3OER.pt,56,473,0.00458788
hswish_prior_E5RYLJ.pt,14,171,0.004601320000000001
hswish_prior_55FCHX.pt,14,217,0.004528300000000001
hswish_prior_8T4EJL.pt,7,658,0.00451766
hswish_prior_T8415R.pt,28,56,0.004515159999999998
hswish_prior_HX9TFN.pt,28,141,0.004525239999999999
hswish_prior_W7X2KW.pt,7,51,0.00453758
hswish_prior_3MCQZH.pt,7,225,0.0045368599999999985
hswish_prior_ZCQSQJ.pt,14,1186,0.004590640000000001
hswish_prior_6KDSKQ.pt,112,123,0.0046191
hswish_prior_TZDN6K.pt,28,90,0.004583299999999999
hswish_prior_05FVCD.pt,28,201,0.004612260000000001
hswish_prior_VV143I.pt,7,72,0.0045654
hswish_prior_0PHBYR.pt,112,2036,0.00452302
hswish_prior_UN74P5.pt,7,151,0.00503314
hswish_prior_6J6VUO.pt,14,448,0.00444784
hswish_prior_IHMS46.pt,28,534,0.0046593
hswish_prior_89RS9D.pt,28,578,0.004613860000000001
hswish_prior_KWQI2M.pt,56,70,0.0046816400000000025
hswish_prior_OEDO0M.pt,14,203,0.00447038
hswish_prior_6RQ49T.pt,14,163,0.00456306
hswish_prior_AC76VM.pt,7,59,0.00451838
hswish_prior_M7G1C1.pt,7,947,0.0045569799999999995
hswish_prior_FN8EBP.pt,7,496,0.004602419999999999
hswish_prior_RV0F3S.pt,14,264,0.00452792
hswish_prior_QD2CNA.pt,7,2003,0.0044912
hswish_prior_8W22I5.pt,56,1054,0.004562019999999999
