model_path,HW,CIN,latency
relu_prior_YY2VCH.pt,14,220,0.0046219600000000005
relu_prior_DNWTKZ.pt,112,167,0.004547799999999999
relu_prior_A0QPFP.pt,14,105,0.004515319999999999
relu_prior_IPMDO7.pt,28,92,0.004507379999999999
relu_prior_LNSCL5.pt,7,1271,0.00460572
relu_prior_7VILDB.pt,112,214,0.00457102
relu_prior_DHRQMQ.pt,28,510,0.004532719999999999
relu_prior_FJ10YX.pt,28,67,0.0045329800000000016
relu_prior_Z7PIWN.pt,112,691,0.00458404
relu_prior_36D9XV.pt,7,770,0.004527739999999999
relu_prior_AKWW8D.pt,112,529,0.004526999999999999
relu_prior_76GYWD.pt,56,210,0.004586279999999999
relu_prior_CN9L93.pt,1,91,0.00452598
relu_prior_FA1K67.pt,14,481,0.004509600000000001
relu_prior_L4GA1L.pt,224,212,0.0045654400000000005
relu_prior_T150U1.pt,14,2009,0.0045708599999999995
relu_prior_Z7T2NC.pt,28,139,0.004505520000000002
relu_prior_YDITJ0.pt,3,242,0.004560840000000002
relu_prior_0YYL3T.pt,1,977,0.00450964
relu_prior_CGNMZW.pt,224,22,0.004565640000000001
relu_prior_6NXEDZ.pt,14,6,0.004525360000000001
relu_prior_M0ZVB4.pt,14,76,0.00464128
relu_prior_OKG7IJ.pt,56,258,0.0046948599999999995
relu_prior_FNWIMU.pt,56,182,0.004579099999999999
relu_prior_K1IS12.pt,112,122,0.004571820000000001
relu_prior_Z4S1OA.pt,14,172,0.00450286
relu_prior_XUK6Z1.pt,7,154,0.004672479999999999
relu_prior_IXDVA8.pt,28,965,0.0046428599999999995
relu_prior_DKC0UM.pt,14,627,0.0046140800000000004
relu_prior_DQYQUR.pt,14,165,0.0045176
relu_prior_6IHCBI.pt,14,64,0.0045800599999999995
relu_prior_UVFJDI.pt,28,537,0.00452068
relu_prior_T36SL3.pt,112,95,0.00458182
relu_prior_X5WKUA.pt,56,538,0.0045739199999999995
relu_prior_WDEAC2.pt,7,107,0.004587659999999999
relu_prior_QCDFW9.pt,14,252,0.00453598
relu_prior_MSDYIZ.pt,14,986,0.004581079999999999
relu_prior_H4MMOA.pt,28,176,0.004550080000000001
relu_prior_8PDZML.pt,7,107,0.0045460399999999995
relu_prior_5WFSQK.pt,224,448,0.00458484
relu_prior_EEHJV2.pt,14,24,0.00450788
relu_prior_H478PI.pt,28,192,0.00458256
relu_prior_09T9NF.pt,28,37,0.004554860000000001
relu_prior_WFM8Q7.pt,14,174,0.00447222
relu_prior_9Z3NGS.pt,7,524,0.00450992
relu_prior_70K626.pt,56,493,0.004547680000000001
relu_prior_X0S7MF.pt,14,78,0.004577580000000001
relu_prior_99397P.pt,14,859,0.004604800000000001
relu_prior_GYO0QN.pt,28,225,0.004581940000000001
relu_prior_NSY3IG.pt,112,21,0.004512440000000001
relu_prior_1PF9RG.pt,14,445,0.004534980000000001
relu_prior_4PQ5PN.pt,56,4,0.0046250000000000015
relu_prior_5OLZCN.pt,14,46,0.004551259999999999
relu_prior_Q00X35.pt,7,35,0.004513699999999999
relu_prior_GBF1OR.pt,28,168,0.004558500000000001
relu_prior_AOBB8W.pt,14,145,0.00450616
relu_prior_APLJK1.pt,14,179,0.00450602
relu_prior_ORA0ZU.pt,28,228,0.004579259999999999
relu_prior_4RY91H.pt,28,184,0.004594760000000001
relu_prior_QZZ8PK.pt,56,1161,0.00451454
relu_prior_9KH5EG.pt,28,921,0.004604639999999999
relu_prior_DVSCCT.pt,14,851,0.00464308
relu_prior_H4VSPB.pt,14,948,0.004571380000000001
relu_prior_L59XQX.pt,56,82,0.00457914
relu_prior_R7X6CU.pt,14,541,0.00452028
relu_prior_6838UP.pt,3,32,0.004521980000000002
relu_prior_RL8UYJ.pt,28,249,0.004535400000000001
relu_prior_YTM7WR.pt,14,99,0.0044973600000000015
relu_prior_VW1I1X.pt,112,90,0.00456482
relu_prior_5F3XQC.pt,28,246,0.004562500000000001
relu_prior_MEGVTC.pt,56,247,0.004564519999999999
relu_prior_IOCOI7.pt,28,1923,0.004541559999999999
relu_prior_7DMG2C.pt,56,223,0.0045648400000000006
relu_prior_XRVV9D.pt,28,143,0.004533939999999999
relu_prior_TIRFCK.pt,14,101,0.00450854
relu_prior_KYYA57.pt,14,1778,0.004579620000000002
relu_prior_DKAZWD.pt,14,29,0.00451732
relu_prior_9VJULQ.pt,3,41,0.004524880000000001
relu_prior_EX5XM6.pt,112,169,0.00454706
relu_prior_HU3PQ6.pt,28,1004,0.004589880000000001
relu_prior_AP8440.pt,224,690,0.004681739999999999
relu_prior_OMFORK.pt,56,503,0.004600019999999999
relu_prior_CFXLSO.pt,56,208,0.00459086
relu_prior_BUB2NZ.pt,28,157,0.004570659999999999
relu_prior_VJP474.pt,7,69,0.00451132
relu_prior_U2U6TV.pt,14,235,0.004566659999999999
relu_prior_K0KD7Q.pt,14,183,0.004511179999999999
relu_prior_P4DZ1D.pt,14,231,0.004581519999999999
relu_prior_KWCCFL.pt,14,12,0.00458108
relu_prior_P5QP0Y.pt,7,587,0.0045169
relu_prior_388J6D.pt,28,139,0.00457764
relu_prior_32W0IT.pt,7,130,0.004658439999999999
relu_prior_IE1OIK.pt,7,513,0.004503080000000002
relu_prior_VM3Q11.pt,56,541,0.00458222
relu_prior_DHWY92.pt,56,535,0.00464628
relu_prior_ZP3MXJ.pt,28,199,0.004561519999999999
relu_prior_Q4FSLG.pt,14,948,0.0045654400000000005
relu_prior_X2YD42.pt,28,207,0.0045977
relu_prior_JGTTP3.pt,7,90,0.004505079999999999
relu_prior_E0JFGP.pt,14,55,0.004520720000000001
relu_prior_F3DBAV.pt,14,434,0.004495440000000001
relu_prior_XAKAB0.pt,14,67,0.004521720000000001
relu_prior_DSSFQL.pt,28,164,0.004544600000000002
relu_prior_WZJ8HL.pt,112,84,0.004589739999999998
relu_prior_EN93P9.pt,56,1769,0.004489340000000001
relu_prior_0UYE36.pt,3,161,0.0045742000000000005
relu_prior_1QMG4W.pt,14,1413,0.004540779999999999
relu_prior_MAYT6J.pt,14,181,0.00452884
relu_prior_250MIC.pt,7,1727,0.0046133
relu_prior_YQXAR0.pt,3,133,0.004564279999999999
relu_prior_H0132Z.pt,14,105,0.00467492
relu_prior_Y8U6ET.pt,224,547,0.004590239999999999
relu_prior_GRU7XH.pt,14,97,0.00454854
relu_prior_CJYZ7M.pt,56,128,0.004488819999999999
relu_prior_8JGLHK.pt,56,831,0.004506839999999999
relu_prior_CVWZKX.pt,14,234,0.00454126
relu_prior_YKAHX0.pt,112,247,0.00463216
relu_prior_UMZ0AD.pt,7,186,0.00504382
relu_prior_S2H57B.pt,112,183,0.004678839999999999
relu_prior_Z2IYWJ.pt,1,224,0.004525359999999999
relu_prior_DV9U62.pt,112,202,0.00445388
relu_prior_VYAUU2.pt,14,93,0.004483340000000001
relu_prior_AVC7E7.pt,28,180,0.004576020000000001
relu_prior_AO4VQ9.pt,14,195,0.0045856000000000004
relu_prior_WE624S.pt,1,178,0.004504320000000001
relu_prior_CDN67X.pt,28,812,0.004563780000000001
relu_prior_31CCPF.pt,112,202,0.004491640000000002
relu_prior_L7DKDQ.pt,7,88,0.004519259999999999
relu_prior_C39D6T.pt,56,306,0.00461542
relu_prior_HRGWKP.pt,14,829,0.004572540000000001
relu_prior_9PH5QP.pt,14,855,0.0046349
relu_prior_VR0PP1.pt,14,1047,0.00455806
