model_path,HW,CIN,latency
se_prior_7BWJ53.pt,14,42,0.036879199999999994
se_prior_4O9UUV.pt,28,26,0.037525
se_prior_887NEA.pt,14,6,0.03634284000000001
se_prior_854R2S.pt,56,28,0.03680227999999999
se_prior_F1YIUX.pt,14,2064,0.03632033999999999
se_prior_FKMRQD.pt,14,174,0.03649138
se_prior_QCL1R1.pt,56,82,0.036609100000000006
se_prior_ENFRZ6.pt,28,206,0.03680525999999999
se_prior_2DLF0R.pt,56,520,0.03632442
se_prior_0IXROM.pt,14,1520,0.0381793
se_prior_298NHO.pt,7,708,0.03745358
se_prior_X9WPGY.pt,1,682,0.03665496000000001
se_prior_X1VPVW.pt,14,132,0.03629412
se_prior_28BFIT.pt,28,122,0.03675788
se_prior_PVR1CS.pt,224,130,0.036353579999999996
se_prior_G8NMOM.pt,56,236,0.03740388
se_prior_4CLI43.pt,7,112,0.03668188
se_prior_KA8Z2H.pt,56,56,0.03649895999999999
se_prior_37FXEJ.pt,28,512,0.03680462000000001
se_prior_F3BAZJ.pt,14,232,0.039942860000000004
se_prior_TCMJHQ.pt,14,34,0.036310499999999996
se_prior_YJZ5SI.pt,28,228,0.03853754
se_prior_68NLEI.pt,28,44,0.03667883999999999
se_prior_1WR04C.pt,56,506,0.03686942
se_prior_MWSW4W.pt,14,108,0.036872180000000004
se_prior_862N1Y.pt,14,114,0.03650377999999999
se_prior_9MPWX8.pt,7,230,0.03974791999999999
se_prior_QT5RUD.pt,14,144,0.03736587999999999
se_prior_QAO0C8.pt,14,38,0.03614594
se_prior_5TIDXK.pt,112,174,0.03663306
se_prior_HJBXRM.pt,7,128,0.036472260000000006
se_prior_Z6VUKX.pt,56,242,0.03742636
se_prior_42KNBF.pt,112,224,0.03814996
se_prior_5BD5JJ.pt,14,64,0.036779900000000004
se_prior_9Q50CV.pt,56,1026,0.03684048000000001
se_prior_UT5UFD.pt,14,58,0.037003119999999994
se_prior_3USZGP.pt,112,784,0.03682548
se_prior_QDJNAO.pt,28,172,0.03763104000000002
se_prior_4IS7SN.pt,28,112,0.036315560000000004
se_prior_CP9NSS.pt,7,824,0.036970720000000006
se_prior_31DG8S.pt,7,160,0.03647056
se_prior_YP6CQ4.pt,28,162,0.037143760000000005
se_prior_C2A5U0.pt,14,456,0.03700192
se_prior_7QHJ1O.pt,56,186,0.03825314
se_prior_MV4CXC.pt,28,138,0.03917466
se_prior_PADIYA.pt,112,2032,0.03661921999999999
se_prior_F9JUZB.pt,28,392,0.03853072000000001
se_prior_31BRPQ.pt,112,12,0.03642886000000001
se_prior_COG9YC.pt,224,162,0.03677620000000001
se_prior_ND7ZF0.pt,28,138,0.03721752000000001
se_prior_8TE4IW.pt,56,270,0.039118560000000004
se_prior_DQO0OI.pt,28,592,0.036611700000000004
se_prior_524M9S.pt,112,508,0.03638539999999999
se_prior_MWQQ8Y.pt,112,42,0.03734504000000001
se_prior_5Q6QXX.pt,14,1000,0.03705076000000001
se_prior_WNPQ23.pt,7,532,0.03673504
se_prior_SZSQ2G.pt,28,1504,0.03714272
se_prior_D7NRV8.pt,7,92,0.03682474
se_prior_3IMBVR.pt,3,32,0.03641594
se_prior_7XOU0X.pt,112,162,0.03691813999999999
se_prior_46K61G.pt,7,10,0.03714156
se_prior_5YHPB8.pt,14,152,0.03792901999999999
se_prior_46FFXI.pt,14,208,0.03724094
se_prior_WAJ97Q.pt,14,346,0.03664001999999999
se_prior_Q1YGRN.pt,56,18,0.03682803999999999
se_prior_IU3GSS.pt,3,224,0.038355439999999984
se_prior_LXP7KZ.pt,56,222,0.03860948
se_prior_X9Z6QS.pt,14,120,0.03649549999999999
se_prior_NQFOA8.pt,14,1250,0.038943500000000006
se_prior_LC5HX7.pt,56,200,0.037077160000000005
se_prior_85W7DG.pt,14,8,0.0363039
se_prior_J8MXLZ.pt,56,190,0.0368199
se_prior_MPGCM3.pt,112,512,0.036586719999999996
se_prior_0NTKQ8.pt,14,126,0.03640348
