model_path,HW,CIN,latency
split_prior_9CTBK8.pt,56,1026,0.003334779999999999
split_prior_NF1X8W.pt,14,44,0.003447679999999999
split_prior_E0PVK2.pt,28,1178,0.00342304
split_prior_7Z5V8R.pt,56,506,0.0034581000000000004
split_prior_RK3HV8.pt,28,226,0.003443519999999999
split_prior_B1UZOO.pt,56,52,0.0034275599999999996
split_prior_X5OSN3.pt,28,24,0.02273287999999999
split_prior_AWE9A3.pt,112,144,0.0034640599999999997
split_prior_NEY4U0.pt,112,760,0.00345996
split_prior_E5RLKI.pt,14,1026,0.0034592800000000008
split_prior_Q3ERGB.pt,14,490,0.0034890200000000007
split_prior_I9RX1K.pt,14,20,0.010973459999999999
split_prior_R4NJTE.pt,14,508,0.0034425400000000004
split_prior_94XHSK.pt,112,500,0.003489300000000002
split_prior_K2TYDX.pt,28,354,0.0034643200000000008
split_prior_SZ54ME.pt,7,532,0.00350422
split_prior_2B2KQF.pt,14,74,0.0034924400000000007
split_prior_IJ4TML.pt,28,496,0.00350396
split_prior_3AECMZ.pt,14,150,0.003326879999999999
split_prior_UDPFEZ.pt,28,132,0.003444700000000001
split_prior_9MRKIF.pt,1,136,0.0034982999999999998
split_prior_KHD1IB.pt,224,340,0.003439900000000001
split_prior_PAPHSB.pt,14,540,0.0034784399999999997
split_prior_9OJJ6P.pt,28,28,0.0034813199999999996
split_prior_SDJ2CO.pt,28,64,0.0034455200000000014
split_prior_GUFVI9.pt,7,60,0.004609080000000001
split_prior_MLTM76.pt,3,176,0.0034468199999999997
split_prior_5EL71K.pt,28,56,0.0034334799999999987
split_prior_YDFBS0.pt,28,242,0.0035357399999999995
split_prior_1RW6DE.pt,7,236,0.0034427600000000004
split_prior_TYY075.pt,14,1266,0.003472260000000001
split_prior_ML4FMP.pt,3,82,0.0034261800000000005
split_prior_D2TEJ2.pt,7,412,0.0034865799999999995
split_prior_IMOGDG.pt,112,204,0.00346294
split_prior_G26S3S.pt,56,214,0.0034432200000000003
split_prior_34SB5Y.pt,1,106,0.0034232
split_prior_XBO69S.pt,14,52,0.0035032799999999997
split_prior_RYF2KT.pt,56,16,0.003471340000000001
split_prior_N0BW7H.pt,7,254,0.0034939199999999998
split_prior_D53GYR.pt,56,132,0.00345762
split_prior_6SZQXN.pt,7,104,0.00344602
