feature0,feature1,feature2,True,Pred,Error
14,438,438,0.004418459999999999,0.004594903181981976,0.03993318531388252
28,415,415,0.00445936,0.0044553162193050186,0.0009068074107004892
14,43,43,0.023681660000000007,0.017618001827699445,0.2560486964300881
7,135,135,0.027579140000000005,0.0223793057630886,0.18854229090941207
28,106,106,0.004505020000000002,0.004524134172972986,0.004242860847007068
14,107,107,0.013298080000000004,0.014116837633414096,0.06156961256166992
7,251,251,0.02275588000000001,0.01603193129648881,0.2954818140854671
7,141,141,0.01641874,0.009153554053970205,0.44249351326775355
7,161,161,0.00927588,0.018102785118768415,0.9515975970763328
7,286,286,0.022946120000000004,0.01599386773433639,0.3029816049799972
14,51,51,0.01130966,0.016776599165191117,0.4833866946655442
7,515,515,0.01121786,0.008101404818103822,0.2778119161672706
14,29,29,0.019944920000000005,0.017666987548567773,0.11421116010654499
7,748,748,0.015116640000000004,0.007224340979729748,0.522093469201506
14,133,133,0.010323140000000001,0.010844760937059642,0.050529290221738764
14,134,134,0.01813744,0.011770891528511372,0.3510169280498587
7,126,126,0.012548380000000001,0.01694544346356592,0.3504088546542197
14,122,122,0.015360819999999999,0.012128988091765991,0.21039449119474143
1,149,149,0.023382940000000005,0.01976617335675681,0.15467544471495862
3,229,229,0.014262040000000005,0.02462778864298585,0.7268068693529005
7,58,58,0.0283094,0.015965410319045942,0.4360385483604053
14,37,37,0.01697324,0.018725624835180095,0.10324397906234133
14,135,135,0.010803119999999998,0.013761472664576677,0.273842432980165
14,210,210,0.011611119999999999,0.006079892653818704,0.47637328235185716
14,35,35,0.01326354,0.016395051659694453,0.2360992359275466
14,120,120,0.01664622000000001,0.013020207114579213,0.2178280045211943
7,60,60,0.018444839999999997,0.017048128600123145,0.07572369290689714
7,95,95,0.01595354,0.0191444001544041,0.2000095373443199
28,59,59,0.009793239999999998,0.006090193364121517,0.37812272913545286
14,74,74,0.020152720000000002,0.014032169683951195,0.3037083984717104
14,108,108,0.013734079999999997,0.0146636927392905,0.06768656796017658
1,308,308,0.016405979999999997,0.022377788918918857,0.364001962633068
7,599,599,0.00741388,0.014281866726941235,0.9263687471258282
14,124,124,0.01566032,0.01394903829732987,0.10927501498501493
14,65,65,0.007357640000000001,0.017280830840237994,1.3486920860816771
14,11,11,0.02371716000000001,0.021236309186794203,0.10460151271087292
14,149,149,0.020702639999999998,0.011102624986917718,0.4637097014236967
7,615,615,0.011940880000000004,0.01304079247733708,0.09211318406491611
14,27,27,0.004660600000000002,0.020367630307515632,3.3701734342178313
14,15,15,0.017305160000000003,0.020235688455243945,0.16934419879642493
7,252,252,0.024015400000000006,0.015359048996433,0.3604500030633262
7,458,458,0.014422260000000004,0.014312897828185319,0.007582873406434616
14,11,11,0.01593662,0.021236309186794203,0.3325478794621573
14,111,111,0.014077020000000003,0.01365056393169498,0.03029448479188221
14,266,266,0.009849799999999997,0.0059338762747144684,0.3975637805118408
14,57,57,0.013182479999999996,0.017139762589105646,0.3001925729533176
7,91,91,0.022372179999999995,0.01922885523656685,0.14050149620793087
14,48,48,0.00936446,0.016549595327737227,0.767277058980147
3,51,51,0.01867696,0.02110835373067351,0.13018144980090507
14,117,117,0.006438380000000001,0.012888968932272926,1.0018962739498016
14,208,208,0.010246460000000004,0.008251533521213932,0.19469421427361955
7,615,615,0.009763120000000002,0.01304079247733708,0.33571977783096774
14,68,68,0.02236076,0.015841281993785795,0.2915588739476746
14,38,38,0.01283122,0.01663075051420217,0.29611607580589916
28,32,32,0.01277222,0.0128474006674188,0.005886264675898034
14,32,32,0.027466199999999993,0.018159340186435953,0.33884774062535195
1,989,989,0.02260982,0.02025789464864855,0.10402229435490637
7,135,135,0.02496346,0.0223793057630886,0.10351747061150171
14,14,14,0.01893622,0.01924214035423529,0.016155302073766125
14,90,90,0.012077079999999995,0.015049882658546314,0.24615243573333284
7,124,124,0.020258659999999998,0.019373597469731826,0.04368810820992959
14,194,194,0.009932479999999999,0.009434204050272997,0.05016631795150873
7,154,154,0.007683400000000002,0.017748218711830282,1.3099433469336854
14,179,179,0.01687676,0.010171047429102029,0.3973341192798838
14,26,26,0.02147106,0.018111291928582948,0.15647891028282032
14,323,323,0.0152413,0.010483288799999926,0.31217882988984363
14,61,61,0.018869120000000003,0.017692527638465405,0.062355444320381544
14,121,121,0.013296560000000002,0.01280331922981037,0.03709536678581777
7,213,213,0.01953022,0.018156770236588418,0.07032433651088327
14,109,109,0.007261000000000001,0.013352473615513076,0.8389303973988534
7,132,132,0.017552519999999995,0.018597734936609277,0.059547856183002935
14,37,37,0.018710700000000004,0.018725624835180095,0.000797663111486542
7,77,77,0.010905819999999997,0.016863641158484117,0.5462974043661203
7,133,133,0.019147500000000005,0.020744292993951915,0.08339433314803027
112,27,27,0.00444626,0.004436077783783791,0.002290063157846866
1,133,133,0.019661859999999996,0.02106408976061781,0.07131724875560162
7,206,206,0.0140889,0.018914432812681462,0.3425060020783356
14,217,217,0.008794979999999996,0.007390725533585172,0.15966545306695692
28,31,31,0.015428919999999999,0.014638960869690017,0.051199898003877226
14,38,38,0.01439648,0.01663075051420217,0.15519561130235798
7,136,136,0.0119571,0.020910612127158324,0.7488029812545118
3,159,159,0.016613059999999995,0.019983380021621578,0.20287171789071873
14,13,13,0.021675859999999995,0.0193528703506477,0.10716943407792336
3,1171,1171,0.01922116,0.016890020162162112,0.12127987269435812
7,238,238,0.01968082,0.018521773267584973,0.05889219719579917
14,26,26,0.011204900000000002,0.018111291928582948,0.6163724735234536
7,977,977,0.006867400000000001,0.004529186935135124,0.3404801038041874
56,452,452,0.004479340000000002,0.004512551189189179,0.007414304158464715
7,510,510,0.013199840000000004,0.01586717104401542,0.20207298300702234
14,500,500,0.004515759999999998,0.004485761022651247,0.006643173540832829
14,20,20,0.01631844,0.01854690464017502,0.1365611320797221
7,93,93,0.01885292,0.021860479378765528,0.15952750973141186
56,862,862,0.004449679999999998,0.00447967994594594,0.006742045707992833
7,683,683,0.011214979999999996,0.006808842868082371,0.3928796245662165
7,640,640,0.007087839999999997,0.009976964913256083,0.40761711794511263
14,141,141,0.00867254,0.011992669711389011,0.38283244717107234
14,13,13,0.013748960000000001,0.0193528703506477,0.4075879448807545
224,8,8,0.004418599999999999,0.00474842031988418,0.07464362465128788
7,696,696,0.01649994,0.00814521869897041,0.5063485867845332
14,4,4,0.017326659999999997,0.02063786992037353,0.1911049169530385
14,60,60,0.0123295,0.01718757331693663,0.3940203022780024
7,114,114,0.018625519999999996,0.015281737271398354,0.17952694628668855
14,32,32,0.009192079999999997,0.018159340186435953,0.9755420086026187
3,1050,1050,0.025194000000000008,0.020214115685714257,0.1976615191825732
14,75,75,0.021689720000000003,0.01612565967491228,0.2565298364887939
28,32,32,0.005012020000000001,0.0128474006674188,1.5633179172107847
224,266,266,0.0044828,0.004455315297297296,0.006131146315406564
14,28,28,0.016672259999999998,0.018377918713031446,0.1023051891604047
14,867,867,0.00466432,0.009953509675675631,1.1339680115591624
14,33,33,0.02568016,0.019005638652267984,0.2599096480602931
7,703,703,0.009798740000000002,0.014008548349785517,0.42962751841415475
7,614,614,0.011643919999999999,0.011503322558022288,0.012074751628120998
7,696,696,0.004424740000000002,0.00814521869897041,0.8408355516867448
14,9,9,0.013347059999999997,0.019879462068732007,0.489426290788534
7,159,159,0.01290156,0.01729437308525865,0.3404869709754983
14,139,139,0.013549699999999991,0.011579124798388527,0.1454331240995347
7,73,73,0.02149114000000001,0.016000423706595702,0.25548743777223104
7,209,209,0.012603200000000004,0.017817430409561165,0.4137227378412752
3,264,264,0.013822839999999998,0.02289734153153161,0.6564860427764202
14,110,110,0.015339680000000001,0.012674447625519506,0.1737475862912717
7,2,2,0.028257140000000004,0.019186985155555576,0.3209863009647978
28,196,196,0.00449292,0.004586682490090111,0.02086894271211388
28,38,38,0.008124780000000002,0.013273633369027317,0.6337221892811024
3,147,147,0.020035999999999995,0.017777142678378315,0.1127399341995249
1,524,524,0.011484300000000001,0.024162430594594612,1.1039532748704413
7,833,833,0.018102959999999998,0.007265099153153165,0.5986789368615317
28,26,26,0.015956139999999997,0.013381211458038774,0.1613754041993379
7,191,191,0.02100128000000001,0.019045925729972088,0.09310643303779208
1,350,350,0.027960660000000005,0.01977968590990978,0.29258873324485984
14,36,36,0.027590519999999997,0.018088782056866322,0.34438415597580896
14,32,32,0.0117354,0.018159340186435953,0.5473984854743726
14,86,86,0.014763579999999997,0.015615006169386696,0.057670711940240774
14,46,46,0.028165200000000005,0.018375300227539814,0.3475885054059687
7,412,412,0.022241840000000002,0.016262013741613027,0.2688548365776831
7,25,25,0.023741699999999994,0.019832327518489293,0.16466270239749897
3,226,226,0.015521300000000005,0.01676456052342341,0.08010028305769519
14,17,17,0.015052899999999998,0.020003031751994957,0.3288490425097463
14,274,274,0.004475979999999999,0.006648628264736163,0.48540169186103693
7,384,384,0.019727280000000003,0.018848044643362184,0.04456951777628841
7,272,272,0.0174279,0.015802955829341665,0.09323809355449218
28,293,293,0.0044575000000000005,0.0044650627567567654,0.0016966364008446238
7,236,236,0.015923080000000006,0.01406470287188291,0.11670965216007806
28,31,31,0.013973160000000002,0.014638960869690017,0.04764855406293319
7,636,636,0.00540208,0.010155123225096544,0.8798542829977608
7,120,120,0.023408499999999992,0.01774640408612475,0.24188204771237984
7,20,20,0.02277142,0.019122291611008632,0.16025036598470224
7,118,118,0.017342,0.019630007958687336,0.13193449190908407
7,75,75,0.016734299999999997,0.019274570996942172,0.1518002543842393
7,100,100,0.017151819999999998,0.01666876356499358,0.028163567190328427
14,28,28,0.02244992,0.018377918713031446,0.18138154999966838
14,178,178,0.009871119999999999,0.01138407567356118,0.15327092301189538
7,162,162,0.013221220000000002,0.014441008383273314,0.09225989608170136
7,150,150,0.021409240000000006,0.019090637280645088,0.10829916051923927
7,122,122,0.01667032,0.019025001852183688,0.1412499491421694
7,708,708,0.016425000000000002,0.010625804031660182,0.35307129183195246
14,30,30,0.0082063,0.018964963209294968,1.3110248478967341
7,839,839,0.006386219999999995,0.013113028930072919,1.0533318504644262
14,107,107,0.011488760000000004,0.014116837633414096,0.22875207014630738
14,49,49,0.015774300000000005,0.018961909229197455,0.20207611299375877
14,20,20,0.011143339999999996,0.01854690464017502,0.6643936773153315
14,29,29,0.012506080000000001,0.017666987548567773,0.4126718802828522
28,47,47,0.009580679999999998,0.008602801101242933,0.10206779672810962
14,321,321,0.004513640000000002,0.010545721864864794,1.3364118239081515
14,118,118,0.018311019999999997,0.01610455493658778,0.12049929842314726
14,97,97,0.010409680000000001,0.014787240089149499,0.42052782498112307
14,261,261,0.004420879999999999,0.008416335815442351,0.9037693435339462
56,10,10,0.011840819999999998,0.013131747555133653,0.10902349289438192
14,286,286,0.006242699999999999,0.005888909919819811,0.05667260643314395
7,392,392,0.023729280000000012,0.02125150221728869,0.10441858255755429
7,165,165,0.017138140000000003,0.018850447147655037,0.09991207608614666
7,280,280,0.010942520000000002,0.016475757874599272,0.5056639489440521
14,240,240,0.004929480000000001,0.012784556298945367,1.593489840499478
14,74,74,0.01880506,0.014032169683951195,0.2538088320935325
112,508,508,0.004468700000000001,0.004489304362162163,0.004610817947537723
14,31,31,0.020621860000000006,0.018279145126752053,0.11360347094044629
7,649,649,0.012429979999999998,0.01564278415023603,0.25847218983747605
14,13,13,0.024880839999999994,0.0193528703506477,0.2221777741166414
14,77,77,0.023595219999999997,0.01636880306216474,0.3062661394060008
56,19,19,0.005863739999999999,0.007570174854997853,0.29101475423498546
14,55,55,0.01193602,0.01786061590705407,0.4963627664040501
112,210,210,0.0044896400000000005,0.0044695352634062805,0.004478028660142016
56,1025,1025,0.0045201799999999995,0.004459885567567592,0.013338945004935068
7,119,119,0.020403139999999997,0.0168413046441901,0.17457290180873625
