feature0,feature1,feature2,True,Pred,Error
14,162,162,0.01782438,0.009448348903732293,0.4699199128535022
56,688,688,0.004484760000000002,0.004493232594594586,0.001889196878893034
28,1141,1141,0.0045209000000000004,0.004481293045045065,0.008760856235469846
14,504,504,0.0045674800000000005,0.004472874486743882,0.020712846746152883
28,61,61,0.00704098,0.0059398183254397285,0.15639323994106946
28,34,34,0.008118859999999999,0.00719047518970402,0.11434915866217411
14,33,33,0.00873164,0.019068985089446603,1.183895017367482
7,237,237,0.018232220000000004,0.020313894702702756,0.11417560246106902
112,206,206,0.004362700000000001,0.004363923762934352,0.0002805058643390167
14,500,500,0.004515759999999998,0.004488458886036056,0.0060457406868261385
56,1156,1156,0.004463720000000001,0.004434975513513533,0.006439580996672755
56,471,471,0.00445068,0.004459582810810786,0.0020003259750837102
112,210,210,0.0044896400000000005,0.00447472652329474,0.003321753348878844
7,977,977,0.004538400000000001,0.005226488482368078,0.1516147722475052
14,499,499,0.004458180000000002,0.004509316938738758,0.011470362062266714
28,519,519,0.004450720000000001,0.004494942949485196,0.009936133813224677
7,974,974,0.0046269,0.005226488482368078,0.12958751699152316
7,151,151,0.015713179999999997,0.020861115726898225,0.32761896235505666
112,2120,2120,0.00448492,0.004484391783783798,0.00011777606204830865
14,1936,1936,0.004414820000000001,0.004613804972972987,0.045072046645839726
14,777,777,0.004521479999999999,0.00455903281081079,0.008305424509406545
14,130,130,0.006713399999999998,0.007180801435135141,0.06962216390132324
14,396,396,0.0044234800000000005,0.004474475324967834,0.01152832723734113
28,236,236,0.00451722,0.004569527432561141,0.011579562775587889
56,232,232,0.004486359999999998,0.004559889748648669,0.016389622912265398
28,382,382,0.00440248,0.004416349016216239,0.00315027353133665
7,931,931,0.014404199999999999,0.009964497333333312,0.3082227868723489
7,232,232,0.0202006,0.008955505081081123,0.5566713324811577
7,753,753,0.01038152,0.005953447351351387,0.4265341345630132
28,355,355,0.0044031999999999995,0.004453631621621649,0.011453402439509723
28,428,428,0.004927239999999999,0.004489427724324317,0.08885548008127919
112,14,14,0.00446768,0.004929737778035175,0.1034223082304855
56,125,125,0.00437256,0.004462193299999993,0.020499044038273493
56,157,157,0.0044106000000000015,0.00449478966795368,0.019088030642923547
1,841,841,0.013240320000000002,0.016720924324324277,0.2628791694101257
28,12,12,0.02582518,0.011499681891891869,0.5547104844228823
28,105,105,0.004455620000000001,0.00446296232900043,0.0016478804297558858
56,115,115,0.004471660000000001,0.004426671148906046,0.010060883674956278
56,30,30,0.004491219999999999,0.004487766067567568,0.000769041025029108
7,1022,1022,0.00454698,0.004682528618918917,0.02981069169402924
1,993,993,0.024898860000000002,0.015118718594594639,0.3927947466432344
28,512,512,0.004567559999999999,0.004436657216216239,0.028659236831866598
7,577,577,0.004440200000000001,0.006733904880308873,0.5165769290367263
112,189,189,0.004474280000000001,0.004538542733333336,0.014362698206937365
56,788,788,0.004485759999999999,0.0044980645369369476,0.0027430216812643427
112,661,661,0.004549940000000001,0.004806728054054063,0.056437679190068965
28,257,257,0.00451366,0.0045048160135134924,0.001959382515853571
14,292,292,0.005747019999999999,0.005436351228442708,0.054057367393412804
14,139,139,0.012133740000000004,0.016011978133848186,0.31962429834891637
56,114,114,0.0046271,0.004472311219819821,0.03345265504963788
112,232,232,0.00446492,0.004491108054054074,0.0058652907676004255
7,144,144,0.019577419999999998,0.0156000921405405,0.2031589381777322
