feature0,feature1,feature2,True,Pred,Error
28,148,148,0.00463176,0.0046340312332904445,0.0004903607463348974
28,205,205,0.004663959999999999,0.004694129059459452,0.006468550214721615
7,218,218,0.0046478199999999996,0.004635993662998699,0.0025444911810914585
7,536,536,0.0047046399999999995,0.004669524751351319,0.0074639608235019615
56,5,5,0.004649540000000001,0.0046178832072072224,0.0068085859660908755
56,158,158,0.004625120000000002,0.004667669091119672,0.009199564793923224
3,990,990,0.004551960000000001,0.00459981762162163,0.010513629650003355
14,123,123,0.004568139999999999,0.004625002354169108,0.012447594462759136
28,16,16,0.0045685799999999974,0.004626940683783781,0.01277435960052871
28,84,84,0.004598779999999998,0.00462290838738737,0.005246693120212793
56,107,107,0.004613860000000001,0.0045876568666666775,0.005679221591752537
28,31,31,0.0046237399999999994,0.004639721948005144,0.0034564979875911827
56,45,45,0.004583940000000002,0.004658995499999995,0.01637357818819481
1,210,210,0.0045458600000000005,0.0046250965065422625,0.017430476640781286
112,256,256,0.0046256000000000005,0.0046492567789575235,0.0051143157552583415
14,431,431,0.00467876,0.004616647594594592,0.013275398910268452
14,267,267,0.004688260000000001,0.004649645754954932,0.008236370219456574
14,179,179,0.0046373,0.004593466575348071,0.009452359056331976
7,167,167,0.004661440000000001,0.004640703818918931,0.004448449638109634
14,161,161,0.0047694,0.004687148529897424,0.017245664046332033
7,180,180,0.004598460000000002,0.004630816495495515,0.0070363764163464595
7,179,179,0.004636140000000001,0.004636835998369811,0.00015012453675035183
14,235,235,0.004595240000000001,0.004781216150450463,0.040471477104669605
28,215,215,0.004695899999999999,0.004640472899613896,0.01180329657490648
112,71,71,0.004644800000000001,0.004663395323037326,0.004003471201628683
28,116,116,0.004729539999999999,0.004698216538481332,0.006622940395612851
14,155,155,0.00464936,0.004600159220720715,0.010582269232600899
56,216,216,0.00466074,0.004699530136658086,0.008322742023388183
7,261,261,0.004577160000000001,0.00459280480836552,0.0034180164917807193
14,524,524,0.004697939999999999,0.00462731622522524,0.015032923957044933
7,110,110,0.004610139999999999,0.004595713659073371,0.0031292630867235604
56,376,376,0.004621840000000001,0.00462417554054056,0.0005053269997573486
56,457,457,0.00462966,0.00462483991441441,0.0010411316566637352
56,2050,2050,0.004602120000000001,0.004672684054054068,0.015332945263067272
28,62,62,0.0045778,0.0046451569280780815,0.014713820629577873
7,489,489,0.004614420000000001,0.0046530235099099026,0.00836584227484744
56,145,145,0.0045971599999999994,0.004961371339510952,0.07922529116040185
28,179,179,0.004621140000000001,0.004634599264350081,0.0029125420026401287
28,204,204,0.004634000000000001,0.004710766037837834,0.016565826033196666
56,184,184,0.004674619999999999,0.004661938350514777,0.0027128728078907333
14,284,284,0.004744259999999999,0.004611202540540542,0.02804598809075752
7,187,187,0.0047171,0.004609148061647366,0.022885234222856106
28,171,171,0.004667559999999999,0.004607549999999985,0.012856824550732043
3,685,685,0.0047316599999999995,0.004696463189189167,0.0074385756395922145
7,2106,2106,0.004605799999999999,0.004601525351351357,0.0009281012307616561
224,1691,1691,0.004614380000000001,0.004650751270270274,0.007882157574857862
7,120,120,0.0046176,0.004603283119691118,0.0031005024923948677
14,104,104,0.00463514,0.004586317665637074,0.010533087320539763
7,50,50,0.004646539999999999,0.004641642651866162,0.0010539773969097646
14,1266,1266,0.00470364,0.004615123837837813,0.018818651546926978
56,234,234,0.00466896,0.004699274488288282,0.006492771042862273
28,112,112,0.00454554,0.004638594522522513,0.020471610088683305
112,18,18,0.0045673599999999995,0.004673212513513519,0.023175863849908905
112,32,32,0.004591780000000002,0.004591950172565415,3.706026103454552e-05
14,215,215,0.00463758,0.004595488198777344,0.009076242614177058
28,1033,1033,0.004640279999999999,0.004724356864864876,0.01811892059635982
7,2037,2037,0.0045762,0.004583182432432448,0.0015258145256868913
14,499,499,0.004627580000000001,0.004613134592857138,0.0031215899331535936
56,95,95,0.0045724200000000015,0.0045705520702702986,0.00040852103037406043
56,244,244,0.0047167599999999995,0.00467367906216215,0.009133587004182944
14,324,324,0.004570940000000001,0.004692540720720727,0.026603000853375122
7,8,8,0.00470386,0.004669837418918903,0.007232906821439664
28,510,510,0.0046300399999999985,0.004582116554054035,0.010350546851855144
14,1391,1391,0.00465406,0.004618764432432438,0.0075838230636394496
56,143,143,0.004605280000000001,0.004750763269626783,0.03159053730213622
112,2048,2048,0.004715499999999998,0.004650802486486497,0.013720181001696863
28,157,157,0.004600719999999999,0.004886231629729742,0.062058032162301296
7,984,984,0.0046292600000000005,0.004608932108108127,0.004391175240075821
56,275,275,0.004637779999999999,0.004643105558558542,0.0011482990910614064
14,255,255,0.00470686,0.004616295386014596,0.01924098315764748
28,83,83,0.004540639999999999,0.004826479495495488,0.06295136709703672
28,129,129,0.004595380000000001,0.004616077903346194,0.004504067856454321
3,1047,1047,0.00463762,0.00463527847567566,0.0005048978407761618
56,536,536,0.004646279999999999,0.004642959189189197,0.0007147246422519548
28,497,497,0.004580879999999999,0.004582734624324319,0.0004048620187212046
28,259,259,0.0046381600000000005,0.0046629947808236585,0.005354446768472401
7,463,463,0.0046813600000000025,0.004613992441441432,0.014390595587301658
28,129,129,0.004624940000000001,0.004616077903346194,0.0019161538644407474
56,222,222,0.00465808,0.00467459878378378,0.0035462645089350446
7,539,539,0.004680680000000001,0.004635468576576581,0.00965915709328993
7,35,35,0.004562020000000001,0.004612585800450433,0.011084081273302682
7,64,64,0.004624619999999999,0.004722031206949814,0.021063613215748418
7,142,142,0.004595919999999998,0.004618864682110679,0.004992402415768961
7,209,209,0.00458754,0.004631031538532036,0.009480361704101865
28,253,253,0.004802900000000001,0.004744911458815974,0.012073651582174633
14,134,134,0.004698720000000001,0.004624046275160852,0.015892354692160562
28,36,36,0.004747159999999999,0.004641234801801789,0.02231338278006434
14,202,202,0.004585720000000001,0.004641116102895744,0.012080131995791986
112,178,178,0.00468402,0.0046560539731660315,0.005970518237319256
7,270,270,0.004702420000000001,0.004682895315315335,0.004152050366548825
28,108,108,0.004704020000000001,0.004588188609009016,0.024623915500143416
7,90,90,0.0046362999999999994,0.004625925894122706,0.0022375829599666844
28,1255,1255,0.00460314,0.004659392216216198,0.012220400903773817
