feature0,feature1,feature2,True,Pred,Error
7,539,539,0.004680680000000001,0.004636399022522524,0.009460372740173919
7,192,192,0.00465342,0.004576348145559861,0.01656241096658781
7,510,510,0.004501559999999999,0.0047227170360360235,0.049128976629440574
7,261,261,0.004577160000000001,0.004594035862162174,0.003686972306446088
7,99,99,0.004782839999999999,0.004683140245945946,0.020845304056596826
3,180,180,0.004646279999999999,0.004660427180823683,0.003044840350492028
7,103,103,0.00471622,0.004638815865830116,0.016412324736734943
56,137,137,0.004557999999999998,0.004749707634234228,0.04205959504919493
14,431,431,0.00467876,0.004619110428828832,0.01274901280919898
56,184,184,0.004674619999999999,0.0046595312036035825,0.003227812398957906
28,265,265,0.004631940000000001,0.004667039632432445,0.007577739010532158
56,147,147,0.004690399999999999,0.0045992304382239425,0.01943748119052886
28,170,170,0.004612619999999999,0.004631042138138132,0.003993855582756321
56,546,546,0.004629640000000001,0.004662008270270263,0.0069915307173478705
28,93,93,0.004584600000000003,0.004614331056756753,0.006484983805948213
7,463,463,0.0046813600000000025,0.004609040270270263,0.015448444411397467
14,184,184,0.0046606999999999985,0.00466945763063064,0.0018790376189502269
56,16,16,0.0046133200000000015,0.004742060572072087,0.027906274022197773
14,418,418,0.00461944,0.0045980207711711725,0.00463675874755974
28,490,490,0.004587399999999999,0.004586278218468459,0.00024453536459446165
7,192,192,0.0046400600000000005,0.004576348145559861,0.013730825558320246
28,761,761,0.00468298,0.004714253621621628,0.006678145459008659
14,1727,1727,0.0045052799999999995,0.0045661652900900965,0.013514207793987727
7,540,540,0.004627219999999999,0.004615503167567573,0.002532153740783041
14,559,559,0.004601760000000001,0.004594062432432414,0.0016727442473285794
28,208,208,0.0046856599999999995,0.004673770775675656,0.002537363855752045
112,227,227,0.0045887,0.004652207206692417,0.013839912544384384
14,1735,1735,0.004661719999999999,0.0045661652900900965,0.020497736867487296
14,161,161,0.004608620000000001,0.00470167214240819,0.02019089063715149
7,259,259,0.004602339999999999,0.004597607130630644,0.0010283615224765297
7,168,168,0.00463066,0.004732341043243228,0.021958218319468013
14,493,493,0.004665740000000001,0.004692038351351344,0.005636480247794155
28,261,261,0.00465554,0.004670083869433708,0.0031239919394331767
28,2010,2010,0.0046377599999999995,0.0046179785945945715,0.004265293030563881
56,136,136,0.004610600000000001,0.004694525273873875,0.01820267945036948
56,82,82,0.0047814599999999995,0.0046721159657657566,0.022868336080243898
28,112,112,0.00454554,0.004648392892621178,0.02262721098509264
112,242,242,0.0046653,0.004680450621621643,0.003247512833396198
14,220,220,0.00451794,0.004632676886872587,0.0253958412180302
14,515,515,0.004652859999999998,0.004617664796439302,0.007564208585836692
56,244,244,0.0047167599999999995,0.004672460579150569,0.009391917513172221
14,141,141,0.0045934999999999995,0.004639820136121833,0.010083843718696701
7,172,172,0.004609659999999998,0.004596645709137704,0.0028232648096158685
56,28,28,0.00459536,0.004610199630888031,0.003229264059405803
112,18,18,0.0045673599999999995,0.004673336716216227,0.023203057393379904
56,497,497,0.00465448,0.004712527100128682,0.01247123204497209
112,380,380,0.004666199999999999,0.004674648013513534,0.0018104696570089625
14,225,225,0.004626140000000001,0.004646781274839143,0.004461878550831137
14,1455,1455,0.004642459999999999,0.004615582648648652,0.005789463205142776
28,19,19,0.00467448,0.004610617793693693,0.013661884595999279
112,143,143,0.004755380000000001,0.004647562072072062,0.02267283117814748
14,14,14,0.00459262,0.0046671909658944554,0.016237129545761474
112,196,196,0.00465928,0.004653377854504492,0.0012667505484770909
28,253,253,0.004802900000000001,0.004745909970831887,0.011865753850405778
14,171,171,0.004572159999999999,0.004579585705405423,0.0016241131993246778
7,1703,1703,0.004613399999999999,0.004576973794594603,0.007895739672561816
56,236,236,0.004598479999999999,0.00465554363404118,0.01240923827899224
14,1266,1266,0.00470364,0.004613100162162135,0.019248887635504766
56,1277,1277,0.00467528,0.004679176648648648,0.0008334578140020652
3,1047,1047,0.00463762,0.0046104475675675495,0.0058591330105637685
56,535,535,0.004594699999999999,0.004647108702702723,0.011406338325184145
14,248,248,0.004669639999999998,0.004619762672715564,0.010681193257817348
7,1026,1026,0.0046688,0.004594323243243249,0.01595201267065425
28,38,38,0.00463292,0.004632511306048904,8.821519713177104e-05
56,139,139,0.004613919999999998,0.004688279560875166,0.01611635244546241
14,921,921,0.004664579999999999,0.0046635843783783965,0.00021344292982486
28,1116,1116,0.004648100000000001,0.004709064054054033,0.013115908447329308
28,129,129,0.004595380000000001,0.004615730707614754,0.004428514641825693
14,1478,1478,0.004584540000000001,0.004611435783783783,0.005866626484616239
112,178,178,0.00468402,0.0046563022558558645,0.005917511911592013
14,513,513,0.0046773399999999994,0.004628496448670099,0.010442591586222258
56,117,117,0.00455686,0.004579916533333353,0.005059741430141099
112,540,540,0.004659919999999999,0.004663920944594599,0.0008585865410994436
28,99,99,0.004604800000000002,0.00466877703783782,0.013893554082222589
28,515,515,0.0046053599999999984,0.004583139978378361,0.00482481752167855
7,204,204,0.004622079999999999,0.004680941593693698,0.012734871247078958
14,580,580,0.00460708,0.004627610648648652,0.0044563256224445106
112,190,190,0.004643320000000001,0.004667466492149275,0.005200264498090515
28,1174,1174,0.00468262,0.004673727513513509,0.001899040811872579
14,239,239,0.00461136,0.004644056109781211,0.00709033989565131
14,996,996,0.00468162,0.004689463763577872,0.0016754378992469212
7,270,270,0.004702420000000001,0.004665730953796664,0.007802162759459489
56,192,192,0.004742279999999999,0.004724741904510359,0.0036982412446417627
7,245,245,0.004608879999999998,0.0046366862432432295,0.006033188810129822
28,614,614,0.004625460000000001,0.004580659837837841,0.009685558228189336
112,1448,1448,0.004611459999999999,0.0046796881621621505,0.014795349447279565
7,115,115,0.004604100000000001,0.004613540678078095,0.002050493707368213
28,510,510,0.0046300399999999985,0.004582755081081062,0.010212637238325476
56,511,511,0.0045984,0.004651781873873876,0.011608793031027305
14,215,215,0.00463758,0.004595588279343625,0.0090546622713516
56,991,991,0.004610520000000002,0.0046403483918918825,0.00646963724089276
112,181,181,0.004650959999999999,0.004642119672844292,0.0019007532113171153
14,791,791,0.00462672,0.004644915037837871,0.003932599733260544
3,188,188,0.004642880000000001,0.004630875334749036,0.002585607478755624
7,161,161,0.0046054,0.004638731964264255,0.0072375828949180114
14,64,64,0.004582420000000001,0.004679635070720745,0.021214788413271547
14,165,165,0.0046476799999999995,0.004727793757764905,0.017237365258560233
28,820,820,0.004713559999999999,0.004710782000000015,0.0005893634535221099
7,180,180,0.004598460000000002,0.004610461823873869,0.002609965917691334
56,864,864,0.00465144,0.004626372486486494,0.005389194209428945
112,503,503,0.00466604,0.004584316621621604,0.01751450445739771
14,516,516,0.00462658,0.004587464352166456,0.008454549112636961
7,1008,1008,0.004718900000000001,0.004571055297297309,0.03133033179399679
14,195,195,0.004618860000000001,0.004679162637451706,0.013055740475291533
56,498,498,0.00457516,0.0046432078352638346,0.014873323613564238
56,135,135,0.00456902,0.004608440540540551,0.008627789009579903
112,1253,1253,0.0045863599999999985,0.004808330756756737,0.04839802299791953
14,153,153,0.0046377200000000006,0.0046925428803088875,0.01182108456502051
7,268,268,0.004618420000000001,0.004612775079407978,0.0012222622871074333
14,233,233,0.00459904,0.004676056374774746,0.016746185024427956
14,524,524,0.004615419999999999,0.004629485778378396,0.0030475619506775548
56,173,173,0.0046078199999999995,0.004622754500900896,0.003241120725396518
7,179,179,0.004636140000000001,0.0046190822664307195,0.003679296477086911
1,677,677,0.0047830799999999995,0.004722426864864867,0.012680769532420989
28,205,205,0.004663959999999999,0.004676449566666649,0.0026778888898383165
