feature0,feature1,feature2,feature3,feature4,True,Pred,Error
56,511,511,3,1,0.004569340000000001,0.00446784795315316,0.022211533141950596
14,482,482,3,2,0.004567700000000001,0.004459022303603588,0.023792651968477206
28,492,492,3,2,0.004398080000000001,0.0044791257819819545,0.018427537012049168
28,504,504,3,2,0.00446126,0.004444545016087528,0.003746695756909842
112,492,492,3,2,0.00450498,0.004456644906306317,0.010729258219499799
14,55,55,2,2,0.004486259999999999,0.004498331486186186,0.0026907682983570835
112,197,197,2,2,0.0044082,0.004362987657142851,0.010256418233553178
28,1052,1052,3,2,0.00445004,0.004443697567567566,0.0014252529038916366
112,492,492,2,2,0.00444208,0.004426935721943378,0.0034092762977303245
56,89,89,3,2,0.00440328,0.004452742495495487,0.01123310248166975
14,527,527,3,2,0.0051844199999999995,0.00448578715701415,0.13475622017233363
14,146,146,2,1,0.004486859999999999,0.0044668819808237024,0.004452561295938882
112,138,138,2,2,0.0044318199999999995,0.004473915729729747,0.009498519734499097
112,56,56,2,2,0.004446879999999999,0.004482753014800499,0.008067007609942223
112,71,71,3,1,0.00455754,0.004446992926640908,0.024255864646079088
224,376,376,3,1,0.00450096,0.0046628674774774614,0.035971765462803805
14,73,73,2,2,0.004505220000000002,0.004461536537794935,0.009696188466948747
112,517,517,2,2,0.00448932,0.004424374137987391,0.014466748196299027
112,508,508,2,2,0.004460179999999999,0.0044586381049978524,0.0003457024160789287
56,1039,1039,3,2,0.004455299999999999,0.004458194157528961,0.0006495987989499946
56,508,508,2,2,0.004455600000000001,0.004467807548648639,0.002739821493993624
14,136,136,3,2,0.004450040000000001,0.00451301568519947,0.014151712164265723
28,68,68,3,2,0.004420300000000001,0.004467229037473195,0.010616708701489503
28,196,196,2,2,0.004427519999999999,0.0044788223819819785,0.01158715985065669
112,500,500,2,2,0.004441560000000001,0.004405579276083214,0.008100920378602664
112,505,505,3,2,0.004411559999999999,0.004467153079021877,0.012601682629699715
112,1053,1053,2,2,0.0044275600000000005,0.0044819773513513385,0.01229059602836279
14,188,188,2,1,0.004495560000000001,0.004466704486486496,0.006418669423498887
14,512,512,3,2,0.00445926,0.004480734794208503,0.004815775309917627
56,233,233,2,2,0.004450320000000002,0.0044618456706563584,0.002589852113186477
14,238,238,3,2,0.004479540000000001,0.005239072230716426,0.16955585410922222
28,245,245,2,2,0.004455120000000002,0.0045143934471042505,0.013304568026057407
112,56,56,3,2,0.004406,0.004416648200257375,0.002416749944933085
224,230,230,2,2,0.004362959999999999,0.004408206348648677,0.010370562335817466
224,72,72,3,2,0.0044418800000000005,0.00445308997837837,0.0025237013107894655
14,57,57,3,2,0.004469819999999999,0.004461587838416981,0.001841721049845
224,235,235,2,2,0.0043684799999999975,0.005204797618018037,0.1914436183793996
28,68,68,2,2,0.00444118,0.004474230620205933,0.007441855589265097
14,246,246,2,2,0.004424020000000001,0.00445523476705276,0.007055747273465959
14,251,251,3,2,0.00444732,0.004449593811750717,0.0005112768477907317
14,1040,1040,3,2,0.004565359999999999,0.004448325729729739,0.02563527745243758
224,488,488,3,2,0.00441436,0.004422513807207215,0.0018471097072315333
224,182,182,3,2,0.004407459999999999,0.004481567400900906,0.016814083599376188
224,503,503,2,2,0.004419339999999999,0.0044103577536679815,0.002032485921431152
56,74,74,3,2,0.00441218,0.004466318105748612,0.012270148939665134
14,52,52,3,2,0.004563819999999999,0.007664408393994027,0.6793844616996352
28,50,50,2,2,0.00449328,0.004454827072072046,0.008557874854884111
56,513,513,2,2,0.0044109200000000005,0.004469768009395123,0.01334143656994979
