feature0,feature1,True,Pred,Error
28,92,0.008924280000000001,0.009052579583140284,0.014376463214991315
28,986,0.00960968,0.009052622989189177,0.057968320569553214
112,7,0.0090817,0.009033072319819814,0.005354468896812875
14,415,0.008999580000000002,0.009012843621621584,0.001473804513275264
56,484,0.00901432,0.009104890918918924,0.010047448827967636
28,997,0.00906916,0.009208616468983258,0.015376999521814379
7,838,0.009143239999999999,0.009072903117117127,0.007692774430384819
14,689,0.0091906,0.009000897513513509,0.020640925128554352
14,241,0.008962280000000001,0.009083737340540566,0.013552058241938954
28,478,0.009021460000000002,0.008902321396396401,0.013206133331367722
28,567,0.008976940000000001,0.00898962713513516,0.0014133028777243782
28,421,0.00892364,0.008931509560360372,0.0008818778391297248
14,973,0.00899684,0.00912394315315317,0.01412753290635033
28,301,0.0090016,0.009044613594594627,0.0047784387880628705
28,265,0.00902716,0.009378966108108082,0.03897195885617214
14,175,0.009497079999999998,0.009029447742489037,0.04923958285188304
224,220,0.008983360000000003,0.009023810828828829,0.004502861827737718
56,992,0.009048579999999995,0.009086420643243245,0.004181942718443049
112,463,0.00897622,0.008978999666666699,0.000309670068993285
7,119,0.008998020000000002,0.009018181024453039,0.002240606761602692
1,184,0.009000379999999997,0.009042908072072066,0.004725141835352376
14,1077,0.009064900000000002,0.009059629675675685,0.000581399058380934
14,123,0.0090745,0.009019107322844269,0.0061042125908568395
112,12,0.008962159999999999,0.009031691848619378,0.007758380638080447
56,117,0.00894346,0.008943244261711735,2.4122463595206173e-05
3,76,0.00906506,0.008974591423423401,0.009979920328889027
14,2128,0.009030619999999998,0.008962432108108109,0.007550743126373304
112,25,0.00895568,0.009054702347361637,0.011056932288964844
56,170,0.00904214,0.00897179741171168,0.007779418178475462
14,1027,0.00896102,0.008972842567567535,0.001319332795544984
7,537,0.00898796,0.009033072606821083,0.005019226478653988
14,782,0.009109260000000003,0.009045781189189226,0.0069686023684444875
14,167,0.008997600000000001,0.008994453060337266,0.00034975323005418334
112,195,0.008967719999999998,0.009015732646846878,0.005353941341487016
28,149,0.00901904,0.008952685219519542,0.007357188844983407
7,839,0.0090908,0.009077592268468477,0.001452867902882289
7,57,0.009757459999999999,0.008996810069217286,0.0779557313873399
56,107,0.008884379999999999,0.008925294978378354,0.004605271091326047
56,77,0.0089987,0.009020051216216192,0.002372700080699638
28,102,0.008903040000000001,0.009013736318060945,0.012433541583655054
56,197,0.00898312,0.009189835553024462,0.02301155422887159
14,489,0.00908556,0.009011552870785073,0.008145577071190565
112,988,0.00897428,0.009049257405405357,0.008354698695088323
14,157,0.008969079999999999,0.009005385155666706,0.0040478126704976795
112,416,0.008985800000000002,0.009349195675675671,0.040441104373085186
28,603,0.00890324,0.00901796215070784,0.01288543841431206
14,146,0.008925460000000001,0.008995656382410984,0.007864735533068646
14,98,0.00895228,0.008993442819240667,0.004598026339733281
14,1650,0.00940434,0.008969925945945943,0.0461929336938113
7,19,0.00898872,0.008996885957657718,0.000908467240910604
56,639,0.009339040000000002,0.009067176864864863,0.02911039412350071
56,25,0.00903512,0.009022804904504508,0.0013630251170424202
14,36,0.008963360000000002,0.008971866766216191,0.0009490599748520188
28,200,0.00903362,0.00901712581651654,0.0018258664282380605
14,156,0.008945480000000002,0.00908051811582817,0.015095681375193615
14,177,0.009167180000000004,0.009041660492149318,0.013692270452929482
14,620,0.008973060000000001,0.009008035567567567,0.003897841713703625
112,718,0.008926460000000004,0.009084216486486532,0.0176729057752489
56,132,0.00889024,0.008962397848198203,0.008116524210617758
7,168,0.00894884,0.009063922995056725,0.012860101986036765
112,1003,0.009149639999999997,0.008965042702702665,0.02017536179536381
14,216,0.008990540000000002,0.009035503369884124,0.005001186790128499
56,589,0.009556100000000001,0.00902502699099101,0.055574241480205455
28,119,0.008954000000000002,0.008988207192192158,0.003820325239240107
112,14,0.00897532,0.009126224341505803,0.01681325473696794
56,80,0.009344199999999999,0.009037020480180168,0.03287381689388399
14,585,0.008959040000000003,0.009033102648648662,0.008266806337359673
14,674,0.008987660000000001,0.009130559819562433,0.01589955778950605
3,233,0.00895592,0.008973203472972969,0.001929837802589762
7,83,0.008975419999999998,0.009154800702702708,0.019985772554678233
112,216,0.008895320000000002,0.009009719232175004,0.012860608969098646
112,458,0.008922079999999999,0.008903303045045096,0.002104549046287773
7,184,0.00895656,0.008983829145302425,0.0030446003044053197
14,160,0.008978839999999998,0.009000945318018032,0.002461934728543273
56,178,0.009045780000000002,0.009012286027284416,0.0037027180315667542
14,196,0.009046219999999997,0.008993485910896618,0.0058294059953637725
56,120,0.008939240000000001,0.009054516203217476,0.012895526154066235
56,87,0.008865439999999997,0.008957425493436307,0.010375739211625167
56,49,0.008924480000000002,0.009024260735135093,0.011180565717564568
28,497,0.009035679999999997,0.008890991891891879,0.016012973910997118
14,47,0.009020219999999997,0.008983547428978974,0.004065596074266883
14,233,0.008957879999999996,0.009062272541891918,0.011653710687341428
224,127,0.009017899999999999,0.009096709255855866,0.008739202680875469
14,867,0.0088837,0.008990246000000032,0.011993426162525973
3,102,0.009002779999999998,0.008962900702702703,0.004429664758807366
112,512,0.00924148,0.00912275066666664,0.012847437134891882
14,1730,0.008971159999999999,0.009054241621621656,0.009260967547302401
112,536,0.009028740000000002,0.009043743077992255,0.001661702296472467
28,1126,0.008928780000000002,0.009074056216216177,0.01627055613602025
56,156,0.008999700000000001,0.008947438892792797,0.00580698325579792
28,112,0.009013499999999999,0.009093119081981963,0.008833314692623748
28,82,0.00899864,0.009017755697297312,0.0021242873697927696
7,77,0.009069359999999999,0.009145450368682919,0.008389827802945319
28,154,0.009001240000000002,0.009191296586786772,0.021114489424431452
56,30,0.00902032,0.009016724656113263,0.00039858274282255274
28,147,0.009505459999999999,0.008943713879279308,0.059097205261048974
56,158,0.009424299999999998,0.009372748949549568,0.005470013735813872
56,764,0.009477320000000001,0.009297886391891858,0.01893294814442726
28,575,0.008892180000000001,0.008969192918918878,0.00866074673689425
28,37,0.00901408,0.009052681237451747,0.0042823269209666115
28,819,0.009717500000000002,0.00902658709189192,0.07109986190975887
56,149,0.008910260000000001,0.008998392662612605,0.009891143761529194
56,126,0.00912368,0.009031199076081124,0.01013636207307535
112,16,0.009114459999999998,0.00907542146364225,0.004283143088866272
28,205,0.008989559999999997,0.00901712351891886,0.003066169970372554
1,523,0.00909686,0.009013489513513476,0.00916475426537552
7,106,0.008957860000000003,0.00900322675418279,0.005064463407866074
7,32,0.008886999999999999,0.009129817299999983,0.02732275233486939
56,262,0.008976879999999998,0.009051757810810869,0.008341184332515397
14,31,0.009190999999999998,0.008982250422265104,0.022712390135447076
28,45,0.009009280000000003,0.009021167606949772,0.0013194846813250974
3,19,0.008995099999999999,0.009033935135135163,0.004317365580723331
3,145,0.008930360000000002,0.008998391337837863,0.007617983803325005
7,224,0.009040240000000003,0.00904969327091379,0.0010456880474177094
14,879,0.008948219999999998,0.008992914864864907,0.004994833035498513
14,127,0.00901484,0.00897776059909906,0.004113151303954348
7,253,0.00914814,0.009007054621621631,0.015422302061224405
28,103,0.009138039999999997,0.009011909625353951,0.01380278206771315
56,1016,0.008948039999999997,0.009544263304504487,0.0666317209695631
112,1023,0.009109840000000001,0.009118142594594546,0.0009113875320033542
56,84,0.009224300000000001,0.008973569639639661,0.027181505410745516
28,363,0.009628440000000004,0.00899839594594595,0.0654357355972571
112,266,0.008988959999999997,0.008987075760617745,0.00020961706162364458
14,195,0.00921036,0.008961113249249269,0.027061564450329003
28,56,0.00898996,0.009056294192406696,0.007378697169586513
56,111,0.008883659999999998,0.009022952755405394,0.015679658542244464
112,159,0.009068199999999997,0.009126272057657633,0.006403923342850473
14,524,0.00901992,0.0089930401228657,0.0029800571550857922
7,240,0.008980959999999998,0.009018168549120539,0.004143048084006731
7,96,0.00909044,0.00920108856447876,0.01217197016632421
112,157,0.00897436,0.009031038491891864,0.006315602660453033
14,557,0.009649500000000002,0.009112529567567605,0.055647487686656984
14,530,0.009035220000000002,0.009016313736422164,0.002092507274625019
7,438,0.008981160000000002,0.009100761351351325,0.013316915782741143
112,309,0.00972596,0.00899494514414412,0.07516120319802685
14,1771,0.0089696,0.009055353567567596,0.00956046730819616
56,115,0.008944299999999999,0.009181204671414915,0.02648666429065621
14,134,0.00899048,0.009047869688288237,0.006383384234016078
28,54,0.00899504,0.009139449260810801,0.016054321138183003
28,535,0.008921559999999997,0.008939582694594616,0.0020201281608394897
28,228,0.00896184,0.008992587987902142,0.003430990499957755
28,884,0.00907126,0.00913333259459457,0.006842775380109414
14,701,0.0090077,0.0089850524108108,0.0025142477201949226
7,99,0.009499539999999999,0.009563262986486434,0.006708007596834651
14,130,0.00908748,0.009106811653196047,0.0021272842631892192
56,38,0.008981639999999996,0.00893440642265121,0.005258903423961082
7,303,0.008977800000000001,0.008971270540540487,0.000727289476209511
28,139,0.00905828,0.009036879418918948,0.0023625435602622805
224,429,0.008971360000000003,0.009061239477477504,0.010018489669069267
14,145,0.008956800000000001,0.009016707409571955,0.006688483562427892
28,728,0.00903336,0.009403118108108153,0.040932511059910394
3,153,0.00894864,0.019404663427155747,1.168448325908266
7,11,0.00900748,0.009071627965765798,0.007121632883536539
112,834,0.008897579999999999,0.009081271516216245,0.020645109818202993
28,1007,0.00904616,0.009042766729729741,0.0003751061522522709
7,136,0.008976320000000003,0.009032522341312778,0.006261178446487523
7,1017,0.008974280000000001,0.009566843274774788,0.06602906024492071
28,88,0.008995139999999999,0.008963010687387371,0.0035718524239341794
28,814,0.00932508,0.009024774540540523,0.032204062534528004
56,755,0.00912198,0.009336624675675682,0.02353049180941879
112,113,0.009006120000000001,0.009009716418918958,0.00039933055732730886
28,254,0.009076299999999999,0.009050194038223961,0.0028762779740684544
14,176,0.009542259999999999,0.00914438658609494,0.0416959309330345
14,55,0.00899104,0.008964674403708907,0.0029324300960838017
56,272,0.009139979999999999,0.009079627438674392,0.0066031393203931695
112,167,0.00901642,0.008984671760553438,0.0035211580035716078
14,845,0.009091160000000003,0.02272367435057907,1.4995351913924144
14,10,0.00908112,0.009318251226640907,0.02611255292749212
112,1169,0.009104099999999999,0.009067320108108075,0.004039926175231362
14,138,0.008904259999999999,0.008966195824453035,0.0069557520167915325
14,179,0.00914396,0.009016802324195647,0.013906193356527449
56,158,0.00919724,0.009372748949549568,0.019082784569019292
7,170,0.009054959999999997,0.009188563036036015,0.014754679870040007
14,256,0.008992040000000001,0.009017523350965246,0.0028339899472471725
14,796,0.009019160000000003,0.009021881729729704,0.0003017719754057965
3,511,0.009350039999999999,0.009008007774774757,0.03658083015957601
14,782,0.008933320000000002,0.009045781189189226,0.012588957877835396
56,130,0.009525440000000001,0.008914617543648834,0.06412537965187616
112,99,0.009051359999999998,0.009006816783783764,0.004921162810476379
28,1020,0.00903572,0.012197760162162168,0.34994888754434256
28,142,0.00889328,0.009002960099356505,0.012332918715761206
224,259,0.0090403,0.00897723054774771,0.006976477799662634
28,253,0.009015880000000002,0.00900574514774778,0.0011241112628187268
56,126,0.00897956,0.009031199076081124,0.005750735679824506
28,132,0.009023699999999997,0.00912074189369367,0.010754113467166685
56,207,0.009031779999999998,0.009036354397297306,0.0005064779364984693
56,703,0.00902606,0.009076911189189206,0.005633819095951643
7,1005,0.00899024,0.009025764040154437,0.00395140064719489
28,174,0.009003060000000002,0.009064401308108127,0.006813384350223733
56,45,0.009006380000000001,0.009087870959073312,0.00904813688444307
56,814,0.00881394,0.008937744021621655,0.014046388065003369
14,1573,0.00891526,0.008924262756756694,0.001009814268646655
1,56,0.008925059999999999,0.00920068812841933,0.0308824958509333
14,362,0.008982480000000003,0.009030797675675628,0.00537910194908596
56,175,0.009096980000000001,0.008937219900900899,0.01756188307538351
56,217,0.00905508,0.00904729127027023,0.0008601502946157911
28,207,0.00905588,0.009003966140540502,0.00573261344667763
14,12,0.00890176,0.008979430886958389,0.00872534048978953
14,101,0.009005660000000002,0.009052278281981999,0.00517655363204882
112,126,0.00951786,0.009061554346343719,0.04794204302818919
14,19,0.00889136,0.009049776072072128,0.017816855022418313
