feature0,feature1,True,Pred,Error
56,30,0.00902032,0.00901754580090091,0.0003075499648671191
14,512,0.008999360000000001,0.008997647140540518,0.00019033125238724578
7,516,0.00954108,0.009004107222651212,0.0562800833185329
14,674,0.008987660000000001,0.00914203271274132,0.01717607394375387
56,1254,0.008960140000000004,0.009043861837837864,0.009343809118815103
28,132,0.009023699999999997,0.009044782006306278,0.002336292907153446
14,70,0.008939220000000001,0.009027914741698806,0.009921977722754901
14,586,0.009012759999999998,0.009026351783783757,0.0015080601040922737
14,61,0.008912140000000002,0.009077108805019276,0.018510571537169875
28,32,0.008985180000000002,0.00903260432432433,0.00527806057578444
7,121,0.008997819999999997,0.009048990540540517,0.005686993131727467
56,4,0.00896396,0.008981802695495525,0.001990492538512507
112,239,0.009023239999999998,0.008987624855855829,0.003947046088120212
28,59,0.008959180000000002,0.009028639063320435,0.007752837125767436
28,530,0.008934619999999999,0.008886414220334617,0.005395392267984725
14,601,0.00904554,0.009041968702702742,0.0003948130567392418
28,984,0.00928106,0.009047289146718146,0.025187947635491457
56,201,0.009010679999999998,0.009167267589446552,0.017377999157283778
56,136,0.00891426,0.008930485298069496,0.0018201508672055884
14,12,0.00893928,0.009013984068503575,0.008356832821387676
14,72,0.0090781,0.008976054742728482,0.011240816610471199
28,814,0.00932508,0.009034436270270224,0.031167960996557137
14,11,0.009044980000000001,0.0092510618166023,0.022784109705305953
7,118,0.009050539999999998,0.008990567747747775,0.006626372818884039
28,679,0.009056859999999998,0.009060726337837815,0.00042689605865793323
56,515,0.008983099999999999,0.008987515531531537,0.0004915376130220306
112,438,0.009006779999999999,0.009021289639639673,0.0016109685858513162
224,143,0.009093839999999997,0.0093988336282926,0.033538486304201934
28,301,0.0090016,0.009053999369369395,0.0058211172868594795
14,187,0.009030119999999999,0.009060465468468466,0.003360472337960789
56,84,0.00895962,0.009134126963964003,0.019477049692286474
7,8,0.00900776,0.008976137797297334,0.003510551202814647
