feature0,feature1,True,Pred,Error
56,245,0.0142615,0.014456334018790254,0.013661537621586348
7,36,0.014193360000000004,0.01420277425160875,0.0006632856214981498
28,456,0.014396139999999995,0.014215725612612558,0.012532136210639568
56,27,0.014104500000000002,0.014390334783783812,0.020265502767472018
56,175,0.014264080000000004,0.014275849242728442,0.0008250965171562453
28,250,0.014173200000000004,0.01416354529922785,0.0006811941390902132
14,496,0.032390880000000004,0.014158526703989763,0.5628853953955631
28,202,0.014587619999999999,0.014073798533333315,0.03522311841593652
14,983,0.030540760000000004,0.014241369488288325,0.5336930224300795
28,85,0.01415654,0.014130100128828838,0.0018676789082051556
56,1258,0.01421726,0.014485365243243219,0.018857729495220483
56,1065,0.014133260000000003,0.014344346108108159,0.014935415332920733
14,247,0.014096539999999998,0.014453373896460758,0.025313580244567865
14,14,0.014247820000000001,0.01410317959594598,0.010151756833959219
14,1011,0.0140617,0.014219907675675627,0.011250963658421603
28,115,0.014193460000000001,0.01441020563848128,0.015270810533955714
7,492,0.014096839999999998,0.014196415232797075,0.007063656308582478
28,258,0.014237640000000003,0.014132576905405467,0.007379249271265184
14,129,0.01419594,0.014047390648777336,0.010464213797935542
14,515,0.014183040000000003,0.014346556766967018,0.011529035169259544
14,174,0.0142648,0.014142214866537942,0.008593540285321707
14,386,0.014439399999999996,0.014272102243243297,0.011586198647914684
112,1056,0.01419654,0.014110439243243317,0.00606491136267596
14,453,0.014073660000000003,0.014283067396396324,0.014879384353204513
14,489,0.014456299999999998,0.01423680908648648,0.015183062990773407
14,109,0.01420158,0.014245101390862264,0.0030645456957791965
56,39,0.014445499999999995,0.01438457992097811,0.004217235749671891
28,66,0.014309559999999999,0.014188867343243296,0.008434407260370215
112,52,0.014183860000000003,0.01447359499099096,0.02042709043877742
7,64,0.014199579999999998,0.01433012610450455,0.00919365956630769
224,156,0.01421546,0.014185225320720772,0.0021268871551977306
7,776,0.01417844,0.014236797783783839,0.004115952374438823
56,117,0.014003779999999999,0.014193992825654263,0.013582963003864964
1,765,0.014392559999999997,0.01462192491891896,0.0159363531518342
56,60,0.013976880000000002,0.014157880864864837,0.012950019236398599
112,630,0.01410424,0.014211777405405445,0.007624473591306223
14,484,0.014141279999999999,0.014066890324324316,0.005260462679169295
14,532,0.01421622,0.014162735142342378,0.0037622418376770674
3,12,0.014159199999999999,0.014287159603603666,0.009037205746346366
112,236,0.01413492,0.014099779549034732,0.0024860735656988564
112,488,0.014768560000000003,0.014046851783783771,0.04886787988918567
7,319,0.014149940000000001,0.014119021189189144,0.0021850842343400225
14,214,0.01415258,0.014207378806306402,0.003872001169143849
56,164,0.014193399999999998,0.014406423404804799,0.015008624065044352
14,846,0.014208760000000003,0.014094165459459435,0.008065062717687399
56,32,0.014287419999999997,0.014154744967052785,0.009286143540766035
7,24,0.014179599999999999,0.014272473738738734,0.006549813728083683
14,260,0.01421182,0.014181518784041204,0.00213211368838023
28,489,0.014095519999999999,0.014145396498198192,0.003538464575850593
56,156,0.014164320000000006,0.01420899395225226,0.0031539779002629853
56,55,0.014191819999999996,0.014245937417760595,0.0038132824232973497
14,106,0.014104319999999997,0.01407494580090086,0.0020826384468827213
56,60,0.014236859999999995,0.014157880864864837,0.005547510837021517
14,1535,0.013951180000000006,0.014101515675675679,0.010775839439794557
1,163,0.01409498,0.014172256607207166,0.005482562387968332
28,113,0.013996000000000001,0.014243943945516863,0.017715343349304188
112,169,0.014213879999999998,0.014239638108108082,0.0018121799331416882
56,235,0.014223360000000003,0.014202541081081047,0.0014637131394378956
14,522,0.014180180000000004,0.014193464363320493,0.0009368261418747035
28,263,0.014052520000000004,0.014116345235135153,0.0045419067281277075
112,74,0.01423852,0.014057491731531476,0.012713980699435279
28,16,0.014194359999999996,0.014167742502702741,0.0018752164449298931
14,527,0.01425074,0.014198863059459482,0.003640298015437658
28,149,0.014261379999999999,0.014082243556756753,0.012560947344734228
112,235,0.01413,0.01409631585714287,0.002383874229096231
56,141,0.01398208,0.014118185961518669,0.009734314316515816
14,85,0.014009400000000003,0.014137251955855936,0.009126154999923806
14,714,0.014165079999999997,0.014143418378378333,0.0015292269172968369
28,171,0.01482954,0.01410994495345347,0.04852443477994128
28,232,0.014086459999999999,0.014255868181081049,0.012026313288154055
56,235,0.014262619999999998,0.014202541081081047,0.004212333983444221
14,218,0.014107460000000002,0.014086768976576566,0.001466672485581144
56,124,0.01418712,0.014098478000257382,0.006248061603949021
112,150,0.01418818,0.014349451890090117,0.011366636882962947
14,247,0.014110819999999998,0.014453373896460758,0.024275973788961982
14,180,0.014107479999999999,0.014286533900000014,0.012692125028709287
56,316,0.014742319999999998,0.01425344486486488,0.033161343339116106
7,50,0.014143400000000004,0.014134412307722062,0.0006354690016503667
14,48,0.014205979999999998,0.014016995611325626,0.013303157450198572
28,56,0.014116900000000003,0.014134105479086253,0.001218785929364743
14,136,0.014149760000000003,0.014157745342342364,0.0005643447197946353
224,12,0.014050580000000009,0.014102443711711736,0.0036912150040586886
28,95,0.01418008,0.014150033024324351,0.0021189567107977175
14,740,0.01418138,0.014232021297297283,0.00357097104070851
112,91,0.014106459999999998,0.014224182057657598,0.008345258672806633
14,134,0.01414134,0.014152468068468493,0.0007869175388253281
14,72,0.014174279999999997,0.014095964610810882,0.005525175824741408
28,491,0.01417452,0.014186160294165577,0.0008212125818424593
56,150,0.014207380000000002,0.014077295414414373,0.009156127701633193
14,298,0.014219020000000002,0.014182481567567498,0.0025696871115241334
7,141,0.01413914,0.014119043064864877,0.0014213689895653352
28,1495,0.014353120000000006,0.014178802972972934,0.01214488745492769
14,126,0.014180120000000001,0.014136531171778658,0.0030739393052627803
28,987,0.014055140000000004,0.014499798972973037,0.03163675160638972
56,235,0.015060519999999999,0.014202541081081047,0.05696874469931662
28,122,0.014226819999999998,0.014111562429729767,0.008101428869573869
28,154,0.014391420000000002,0.01417095529639635,0.01531917653738497
7,829,0.014014259999999994,0.014197178864864922,0.013052338465600659
14,186,0.014196460000000001,0.01424313536229086,0.0032878169833083924
28,114,0.014227100000000001,0.014380785098476977,0.010802278642659112
14,37,0.013906800000000002,0.01422265062252253,0.022711955483830048
224,518,0.013936220000000001,0.01407518460540535,0.009971470413451367
7,539,0.014146,0.014320995445945933,0.0123706663329515
112,531,0.014061439999999998,0.01409744966216208,0.002560880120534039
7,949,0.014157879999999996,0.014200338216216196,0.002998910586627369
14,195,0.014137539999999997,0.014194072776319218,0.0039987703885697575
112,225,0.014117119999999999,0.01413899874324326,0.0015498021723454613
28,227,0.014085299999999999,0.014371112476447866,0.020291543413904368
14,30,0.01470464,0.014308878215615614,0.02691407503919751
14,1018,0.01413004,0.014174672918918834,0.003158725588804733
1,130,0.01421872,0.01405076594594601,0.011812178174546661
7,303,0.014193519999999998,0.014221289297297249,0.0019564771316242526
28,210,0.013966820000000001,0.014374903079729712,0.029218038159703547
14,90,0.01413912,0.014387928233333354,0.017597151260711704
56,1025,0.014153399999999998,0.014362305459459523,0.014760090116828805
28,265,0.014754260000000005,0.014117216327927954,0.04317693141316819
28,133,0.014052539999999997,0.014088367483912491,0.002549537942072668
14,661,0.014178399999999996,0.014241934972972934,0.004481110207988127
14,369,0.014572780000000002,0.01422199675675678,0.02407112735135113
14,355,0.014247100000000002,0.014218143081081144,0.002032478112658561
7,67,0.014195320000000004,0.014242978289832672,0.0033573240922125957
7,179,0.014029800000000002,0.014218569386486506,0.013454887916185855
14,23,0.014161399999999996,0.014253548424324329,0.006507013736236027
56,8,0.01405102,0.01415499415907339,0.007399758812768849
7,1745,0.01411718,0.014231119027027023,0.008070948094946965
14,141,0.01417148,0.014166958192792806,0.0003190779796601226
14,239,0.014138480000000002,0.014273611886615191,0.00955773793329901
112,244,0.014264039999999995,0.014157270134569655,0.0074852471971713404
56,38,0.014209459999999998,0.014727382517117105,0.036449134387732306
14,934,0.014125079999999995,0.01412256843243243,0.00017780908621857776
1,124,0.014100719999999997,0.014260603729729787,0.011338692614972149
112,200,0.014197799999999998,0.014010683103603636,0.013179288086630516
28,519,0.0141871,0.014461980893693747,0.019375411020839173
112,516,0.014234779999999997,0.014187290769583881,0.0033361408055562693
3,950,0.014182279999999998,0.014258760378378397,0.0053926715858379866
28,62,0.014101840000000001,0.014097341702702729,0.0003189865504978229
14,161,0.01409982,0.014193635912308416,0.0066536957428119745
1,58,0.0141868,0.014244183668468418,0.0040448634271589715
7,179,0.014219499999999998,0.014218569386486506,6.544628949621484e-05
14,200,0.01395784,0.014274623299099105,0.022695725061979928
7,257,0.01413004,0.014229063077348779,0.0070079828046331494
112,95,0.01409822,0.014174430162162103,0.005405658456323093
14,350,0.014350839999999991,0.014219642810810867,0.009142126118688807
14,261,0.01425114,0.014148318929729722,0.007214936508256788
14,19,0.014234280000000002,0.014087175725740036,0.010334507559213795
56,168,0.01429924,0.014324769276576619,0.0017853589824787246
14,852,0.014244659999999998,0.01410631740540538,0.00971189165586388
28,84,0.01406942,0.014151827216023148,0.005857186438612867
14,87,0.014249539999999998,0.014162173118854567,0.006131207122856676
7,47,0.01447198,0.014243604225225219,0.015780547981325426
28,210,0.013976500000000001,0.014374903079729712,0.0285052108703689
28,46,0.013961279999999998,0.014981873585135135,0.07310172026742082
14,14,0.014494379999999998,0.01410317959594598,0.026989799084473933
14,1067,0.014755040000000002,0.014108405675675612,0.043824640551593914
7,499,0.014102399999999998,0.014223978927155712,0.008621151517168283
28,20,0.014907860000000002,0.01425689441981982,0.04366593060172161
7,213,0.01430888,0.014159945220720721,0.01040855603508298
3,155,0.014141980000000005,0.014212418349549555,0.004980798272204444
14,31,0.01417908,0.01416427901068215,0.0010438610486611572
14,525,0.014155380000000002,0.014074696322522508,0.005699859521785641
14,388,0.014101240000000004,0.014248559810810874,0.01044729476350092
112,158,0.014205480000000001,0.014130193968468463,0.00529978793617242
7,247,0.014096799999999996,0.014356290686486526,0.018407772436760842
14,25,0.014195140000000002,0.014106482652252266,0.00624561277646686
14,136,0.01413774,0.014157745342342364,0.001415031139514841
14,1011,0.014241299999999995,0.014219907675675627,0.001502132833685689
112,46,0.01465392,0.014401085180630616,0.01725373274655418
14,151,0.014167,0.014064569240411856,0.007230236435952897
112,238,0.014076959999999998,0.014184866182754201,0.007665446428362642
56,267,0.01428596,0.014286003286486458,3.030001936008409e-06
28,97,0.014111979999999994,0.01420758889189181,0.006775016113388493
7,153,0.014263560000000003,0.01414415553114543,0.008371295024143568
14,39,0.014045499999999999,0.014082669954955026,0.002646395995516472
14,232,0.01420434,0.014144325228228309,0.004225101044588524
28,766,0.01434866,0.014226835513513444,0.00849030407623816
14,228,0.01421958,0.014256521616216171,0.002597940038747312
28,139,0.014660059999999999,0.014105352725225243,0.0378379948495952
14,176,0.014294260000000001,0.014352288254054092,0.004059549361358347
56,524,0.01423588,0.014201363652702689,0.0024246022934522322
56,112,0.014142519999999997,0.01412531315714286,0.0012166744580977811
28,29,0.014179140000000002,0.014138580219819823,0.0028605246989717413
7,173,0.014138199999999995,0.01418751055315318,0.0034877532608949555
7,140,0.014243279999999999,0.01411820096936938,0.00878161705945667
14,174,0.014385339999999993,0.014142214866537942,0.016900895874692626
56,693,0.014176020000000001,0.014183731459459475,0.000543979160545376
14,123,0.014272460000000002,0.014228855932132184,0.003055119290424928
7,237,0.014203359999999998,0.014217347167567595,0.000984778782456896
56,526,0.01407606,0.014150255133783794,0.005271015737627854
14,983,0.014113060000000002,0.014241369488288325,0.009091542747520595
3,72,0.014067920000000003,0.014140935618018035,0.005190221299099779
56,500,0.014324840000000004,0.014157276058558573,0.011697438955089953
1,579,0.01440878,0.028996920605405364,1.0124480077706346
7,521,0.014342619999999999,0.014160242331531556,0.01271578473587413
14,16,0.014193180000000003,0.014213197899099082,0.0014103885879752681
7,1791,0.01415302,0.0141850229189189,0.002261207778898004
14,540,0.014095320000000005,0.014233508589961393,0.009803863265352463
56,140,0.014217979999999998,0.014147062521106838,0.0049878730236756355
56,659,0.01410516,0.014170759459459463,0.004650741959641936
28,10,0.014113160000000003,0.014120793330373247,0.0005408661400596557
14,981,0.0141069,0.014144044255855852,0.002633055870237366
14,69,0.01430528,0.014158653780952333,0.010249797211076439
56,514,0.01424326,0.01418479731814668,0.0041045857376275354
28,199,0.014051219999999991,0.014180832406821126,0.009224281366396322
14,462,0.014114519999999997,0.014119614270270243,0.00036092408882810377
14,800,0.014119,0.014208026864864854,0.006305465320833917
28,227,0.014099080000000002,0.014371112476447866,0.01929434235764773
28,99,0.01402444,0.014178790299549486,0.011005808399443057
7,289,0.01404114,0.014050370918918895,0.0006574194772571741
28,45,0.014381019999999993,0.029756110295495505,1.0691237683763406
56,126,0.014890820000000004,0.014116277485456838,0.05201476577805427
7,235,0.01424236,0.014317477777863628,0.005274250746619747
3,505,0.014362920000000001,0.01415147458378381,0.01472161762484168
14,542,0.014079020000000003,0.014166661709909933,0.006224986533858932
112,129,0.014430419999999998,0.014263205632432484,0.011587629990500174
28,270,0.014173580000000002,0.014043858324324318,0.00915235781472875
28,107,0.014060179999999999,0.014020085712774454,0.002851619767708851
14,165,0.014275340000000003,0.014248079986314898,0.0019095877005454555
14,35,0.014244599999999994,0.014135918668468504,0.007629651343771738
7,566,0.01418636,0.014145022108108087,0.0029139181503862457
56,78,0.014053880000000001,0.014149002190990996,0.006768393567541145
14,166,0.014129099999999999,0.014116315901179781,0.0009048063089805928
14,1117,0.014186060000000006,0.014153260702702758,0.002312079414386207
14,760,0.014220600000000005,0.014232413621621606,0.0008307400265530863
112,187,0.014033140000000001,0.014486795054054048,0.03232740883751225
56,266,0.014267779999999997,0.014172682886486463,0.006665165394583758
14,56,0.014226099999999997,0.014131589035607055,0.0066434907945917224
28,122,0.014205179999999994,0.014111562429729767,0.006590382541455132
7,1182,0.0142086,0.014166466054054071,0.0029653833555683866
56,206,0.014186759999999998,0.014239955924581717,0.0037496880599741703
7,48,0.014311700000000004,0.014194781864864869,0.008169409303935558
7,255,0.014132160000000003,0.014216626766537965,0.005976918357700565
28,222,0.0145258,0.014236690450450411,0.019903175697695757
14,525,0.014157760000000002,0.014074696322522508,0.005867007032008861
224,10,0.01416664,0.014090676186615213,0.0053621616265244745
56,75,0.014157260000000003,0.014152638916087463,0.0003264108953667519
28,62,0.014098760000000004,0.014097341702702729,0.00010059730765506311
56,988,0.014233240000000005,0.01417458729729727,0.004120825806543966
28,525,0.013997400000000004,0.014350574837837781,0.02523145997383641
112,264,0.014248500000000006,0.014520448405405407,0.019086107688907682
56,51,0.014054379999999998,0.014097209870270301,0.0030474393228518922
112,110,0.014124079999999997,0.014192339671814665,0.004832857914615853
28,215,0.014128060000000003,0.014142780075225214,0.001041903504459267
14,161,0.014259319999999997,0.014193635912308416,0.004606396917355198
56,69,0.014114580000000002,0.014076349698069522,0.002708568156507603
28,233,0.014056640000000004,0.014237639319819782,0.01287642849356444
56,216,0.014359360000000002,0.014297476774774765,0.004309608870119312
1,978,0.014887080000000004,0.014210714963963996,0.04543302219347295
14,491,0.01419426,0.014363579885027873,0.011928757471532386
56,651,0.014084299999999994,0.014144027783783809,0.004240734987455156
56,1134,0.01420452,0.0141347666486487,0.004910644735006834
28,33,0.014072620000000004,0.014175297067739253,0.007296229681413189
14,256,0.014242360000000003,0.014185240322393808,0.004010548645462878
