feature0,feature1,True,Pred,Error
112,40,0.00875842,0.008727061674388647,0.0035803633088333908
14,166,0.00872486,0.008712078613384813,0.0014649388775505798
14,58,0.008819180000000001,0.008861985511003869,0.004853683789634367
7,88,0.00860518,0.008676568220106491,0.008295958958033495
14,522,0.0087138,0.008674429872072098,0.0045181353632058364
56,760,0.008877099999999999,0.008828212468468499,0.0055071511565151126
28,856,0.008823540000000001,0.00877177839639642,0.0058663080355028895
7,214,0.008748200000000001,0.008715688915186598,0.0037163170496106075
7,102,0.008600519999999999,0.015906097724453047,0.8494344207621225
14,154,0.00869434,0.008770572334034724,0.008768041511457365
7,484,0.008771740000000002,0.008662437060360342,0.012460804770736458
112,140,0.008786539999999999,0.008702439167567612,0.009571552901641267
14,858,0.008699040000000002,0.00870376768288287,0.0005434717949184987
14,130,0.00865878,0.008710117726662383,0.005928979216746851
3,986,0.008648700000000004,0.008615410918918874,0.0038490271464070003
3,122,0.008782779999999997,0.008743304184684653,0.00449468338218009
112,328,0.00870734,0.008708816499999977,0.00016956958152288074
14,1320,0.008696100000000002,0.008711816648648658,0.001807321517537322
14,122,0.0088634,0.008695935914135556,0.018893887883255283
14,216,0.009034660000000002,0.008742022817310157,0.0323905030947312
14,442,0.00866866,0.00889885672612615,0.026555053044663275
7,216,0.008769079999999999,0.008756937614157023,0.0013846818415358664
14,130,0.0087988,0.008710117726662383,0.010078905457291655
7,764,0.008742640000000001,0.008748008805920183,0.0006140943605343089
112,96,0.008752059999999999,0.008773184576126154,0.002413669024910086
28,954,0.0087516,0.008938177567567571,0.021319252201605573
28,38,0.008671759999999995,0.008685283883783793,0.001559531604172342
28,82,0.0087002,0.008659232623337615,0.004708785621294304
56,172,0.00874872,0.011153719274932746,0.2748972735363283
224,162,0.008836619999999996,0.00875274297329472,0.00949198072399588
56,464,0.00874548,0.008781488972972977,0.0041174381478177365
14,834,0.008700000000000001,0.008693303308108087,0.0007697347002200037
14,784,0.00869902,0.008973394391891846,0.03154083930050123
56,10,0.008622519999999998,0.009252299650643492,0.07303893184863526
7,76,0.00865868,0.008616337519347917,0.004890177330965359
7,98,0.00864846,0.008741888106048923,0.010802860399299145
7,248,0.008691699999999998,0.008752308741441396,0.00697317457360448
56,1828,0.0087075,0.008653491351351315,0.006202543628904347
14,1450,0.00857984,0.008658812972973011,0.009204480849644196
14,200,0.008612459999999999,0.008964318521857565,0.040854589961238245
56,516,0.009296700000000001,0.008789958755855878,0.05450764724516474
14,790,0.008634820000000001,0.008734494594594576,0.011543332066513742
14,918,0.00863722,0.008838360972972933,0.023287698237735504
56,128,0.00861334,0.008682877809073378,0.008073268798558684
7,366,0.00862136,0.008877948670270228,0.029761971460445742
7,40,0.008636920000000001,0.00868325612445302,0.005364889851129606
14,664,0.008690419999999999,0.008828049945945927,0.015836972890369824
7,118,0.00867244,0.00865184754414415,0.002374470835871961
14,44,0.008606800000000003,0.008754758235006441,0.017190853163363617
14,226,0.008701080000000002,0.008818225365765786,0.013463313262926527
28,774,0.00874532,0.008697328648648653,0.00548766098339984
14,502,0.008626940000000003,0.008647396967996551,0.0023712890082170255
14,1262,0.008635999999999998,0.0086925434594595,0.006547413091651531
112,540,0.008690559999999996,0.008771561575675709,0.009320639369121515
14,138,0.00931768,0.008679872503989728,0.06845132007219304
7,834,0.00883716,0.008703662270270297,0.015106406326207009
56,768,0.00883602,0.008767529427927937,0.007751292105728881
14,70,0.00866864,0.00866051912850711,0.0009368103292892951
28,982,0.00875308,0.008762085254954973,0.0010288098537855508
14,90,0.008634780000000005,0.008663232161389957,0.0032950650033876628
14,294,0.008752099999999997,0.008743700364864883,0.0009597279664439227
7,542,0.008713740000000003,0.008670563295495525,0.004955014093199704
112,506,0.008781419999999998,0.008706454108108132,0.008536875800481663
28,70,0.008646759999999998,0.00895261866454308,0.035372632586434825
28,422,0.00870614,0.008646744930501915,0.006822204731153491
28,128,0.00862582,0.008660689850793648,0.004042496921295477
7,312,0.00865744,0.008690696848262578,0.003841418278680199
112,62,0.008696800000000003,0.008749430874517405,0.006051751738271848
112,114,0.008810019999999998,0.00867886784594593,0.014886703328036582
28,984,0.00866922,0.00878112184954953,0.012907948990743197
14,148,0.008656080000000002,0.008672705607829269,0.0019206855561948477
14,30,0.00875214,0.008717555212870045,0.003951580656840003
7,254,0.008811780000000002,0.008689190750965272,0.013911973407725755
14,166,0.00896068,0.008712078613384813,0.027743584930517227
28,506,0.008595759999999997,0.008651244716216174,0.0064548936005863825
14,46,0.00861812,0.008667123068725883,0.005686050870245855
112,60,0.008719059999999999,0.0087823916720721,0.0072635894318998735
28,214,0.008591380000000001,0.008692717641698829,0.011795269409434537
7,226,0.0086759,0.00874861765495493,0.008381569053922991
14,372,0.0086562,0.008649292810810774,0.000797947042492721
14,76,0.008668640000000002,0.0087421387774775,0.008478697636249631
14,232,0.00865576,0.008739936906346656,0.009724958449247178
28,22,0.00874764,0.008719332478208733,0.003236018147896625
56,168,0.00867658,0.008767226475675656,0.010447258675152726
28,228,0.009644939999999998,0.008678763909909957,0.10017440130161936
56,170,0.008752419999999997,0.008723815099742621,0.0032682275596206973
14,1998,0.008610959999999999,0.008656105243243215,0.005242765410966421
14,498,0.008693159999999997,0.008738335581652143,0.005196681258845613
28,272,0.009507680000000001,0.008764672466666694,0.07814814269446455
14,2010,0.008605560000000002,0.008654175729729702,0.005649339465380566
14,150,0.00935934,0.008770125439403689,0.06295471268233784
56,8,0.008689080000000002,0.008670901677863599,0.0020920882459826884
7,12,0.0086501,0.008662657529472298,0.0014517207283496663
28,4,0.00864384,0.008639999260089324,0.0004443326010981089
14,172,0.00866924,0.011302528838329225,0.3037508291764012
7,498,0.0085475,0.008761218115958808,0.025003581861223565
56,30,0.00864856,0.008941435810682104,0.03386411271727369
14,980,0.008802319999999999,0.008724295140411842,0.008864124411309411
7,224,0.008809559999999998,0.008662324715315327,0.016713125818391697
28,112,0.008688899999999994,0.008636720403071252,0.006005316775281336
28,126,0.008769640000000002,0.008704361396238307,0.007443703933308021
14,538,0.008682839999999999,0.008720699517374518,0.004360268918293948
28,82,0.008623939999999998,0.008659232623337615,0.004092401308174327
7,68,0.008667280000000001,0.008684001181638795,0.001929230582004197
56,234,0.00874246,0.00877651838018017,0.0038957433239809316
28,166,0.008693020000000001,0.0087089837056628,0.0018363820240606611
14,144,0.008686860000000001,0.00878107606454641,0.010845813624993296
28,80,0.008705520000000001,0.008672868964371529,0.003750612901753399
14,1554,0.008638259999999998,0.0086195497297297,0.0021659767441937505
56,432,0.008658279999999997,0.008693073837837866,0.004018562328530437
112,514,0.008859479999999998,0.008852536235499794,0.0007837665980625615
14,82,0.00865732,0.00872443821690261,0.007752770707633558
56,582,0.00874966,0.008733848679279276,0.0018070783002680723
112,164,0.009126120000000001,0.008742952524517376,0.04198580289133012
14,506,0.00862618,0.008674855255727181,0.0056427359187010365
14,308,0.0087117,0.008904743711711748,0.022159132168434285
112,220,0.008881179999999999,0.008720577835135133,0.018083426398841803
7,266,0.00867202,0.008744464284684672,0.008353795849717977
7,82,0.008711920000000001,0.00872130476996994,0.0010772332585627434
28,2018,0.008699339999999998,0.008830598648648658,0.015088345627215345
56,96,0.008526239999999997,0.008606028312470265,0.009357971681569774
14,500,0.008791159999999998,0.008746866770648284,0.005038382801781993
3,254,0.008786879999999999,0.00869390462458169,0.01058115911658153
14,160,0.00867322,0.008876271733699922,0.023411343618623903
28,256,0.0086654,0.008788021165765754,0.014150664223896577
112,396,0.008882159999999998,0.008673016824324295,0.023546431912474373
7,536,0.008632879999999999,0.008684862549549565,0.006021460920291531
56,100,0.008648040000000001,0.008669514591486299,0.002483174394001176
7,156,0.008691459999999998,0.008670989435006401,0.002355250440501011
28,826,0.008715500000000001,0.008716549513513513,0.00012041919723624078
28,206,0.008692420000000001,0.00870305349658947,0.0012233068109305204
28,14,0.00863756,0.008717916313528706,0.009303126522849613
14,12,0.00880148,0.00871739755051483,0.00955321712770699
56,722,0.008752239999999998,0.00875835216216219,0.0006983540399020694
14,154,0.008976340000000001,0.008770572334034724,0.02292333690181931
28,138,0.0087028,0.008658373546975545,0.005104845914470624
28,698,0.00881636,0.008767714000900916,0.005517696543594483
7,146,0.008629559999999998,0.008638870301339797,0.001078884826086014
28,30,0.00868518,0.008743289246803941,0.006690620897199685
7,1616,0.008676359999999998,0.008645613729729716,0.003543683096400075
14,136,0.008789859999999997,0.008629762935474438,0.018213835547501125
28,170,0.00863424,0.008670603861325616,0.004211587971334601
224,22,0.008806900000000001,0.00880639648648651,5.717261618629326e-05
56,220,0.00880268,0.008742212162162118,0.006869253209009326
56,16,0.00875088,0.00869190535773507,0.006739281336840443
28,266,0.00868244,0.008702235434749036,0.00227993913566194
7,250,0.008675480000000001,0.008651375627027039,0.0027784483363412775
7,204,0.008749639999999998,0.008705278703045887,0.0050700711062524086
28,2004,0.008641799999999998,0.008888921405405363,0.028596057002634293
7,54,0.00873928,0.00868013757316604,0.006767425558393873
28,56,0.008607719999999998,0.009313301822801358,0.08197081489655339
14,988,0.008711880000000003,0.008701940891891856,0.0011408683439335604
7,108,0.008641880000000001,0.008772363373487763,0.015098956880651226
56,538,0.00867094,0.008716726347876454,0.005280436478219677
28,146,0.00863896,0.008696182258103174,0.006623743842218869
14,114,0.0087822,0.008810535430732042,0.003226461562255605
14,108,0.00882874,0.008661890574903483,0.018898441351372582
7,266,0.00889068,0.008744464284684672,0.016445954113220553
28,44,0.008695099999999999,0.00867976171426426,0.0017640148745545247
28,190,0.00865442,0.008748641367910766,0.010887080579723001
14,118,0.008831500000000003,0.008705201722516664,0.014300886314141283
7,440,0.008617380000000001,0.00866268910926641,0.00525787527838029
56,82,0.008661080000000002,0.008719149634706123,0.006704664395909269
28,200,0.00864438,0.008675231335585575,0.003568947175572464
7,80,0.008694239999999999,0.00868389211196909,0.0011902004121013819
28,218,0.0087136,0.008662001525225234,0.005921602411720334
28,504,0.0085329,0.008597280888159576,0.007545018476669882
14,6,0.008636880000000001,0.008749019308231774,0.012983775186383552
56,532,0.00864522,0.008680749183783766,0.004109691110667561
14,1266,0.008708440000000001,0.008658417405405428,0.005744151029871422
56,232,0.008986240000000001,0.008781400181703132,0.022794830573951902
7,42,0.0088682,0.008705560343243228,0.01833964691332755
112,926,0.00880444,0.008705737994594582,0.011210480780767237
56,148,0.008525760000000002,0.008656855960455902,0.015376454469267258
112,10,0.00873496,0.009283409755920215,0.06278789552788047
14,72,0.0087702,0.008836860999023052,0.007600852776795446
14,154,0.00873218,0.008770572334034724,0.004396649408821557
7,126,0.00866352,0.008749024581874707,0.009869496679722362
56,64,0.008749320000000001,0.008703162471621593,0.0052755560864625505
7,148,0.00867594,0.008653401605855848,0.0025978042891205
7,496,0.00930432,0.008732665218275391,0.06143971636020776
28,206,0.0088438,0.00870305349658947,0.015914708995062178
28,94,0.008581800000000002,0.008945699757944302,0.04240366332754202
14,168,0.008687580000000002,0.008684830790053322,0.0003164529071018211
7,168,0.008628259999999999,0.008692142069969966,0.007403818379368124
7,198,0.008736920000000002,0.008745532219819867,0.000985727215067242
14,16,0.008684040000000002,0.008637057830630632,0.005410174224136482
14,998,0.00861568,0.008705481243243263,0.010423001230693665
7,512,0.00863228,0.008654308809631079,0.0025519109240059153
112,1004,0.00874354,0.008896871306306264,0.017536524829332822
112,658,0.008752899999999997,0.008779549632432463,0.003044663189624684
7,258,0.009157139999999998,0.008719208418018022,0.047824056635802845
7,204,0.00874954,0.008705278703045887,0.005058699880692316
56,528,0.008686619999999999,0.008743182645688513,0.006511467715695449
14,380,0.008741839999999999,0.008734247135135128,0.0008685659843775912
7,82,0.0086414,0.00872130476996994,0.009246738950857376
14,184,0.008987219999999997,0.008753334277208386,0.026024256977309
28,186,0.0087096,0.008692358377906474,0.0019796112443195364
112,248,0.008750919999999999,0.008783997517117129,0.0037798902420693803
56,4,0.008861139999999998,0.008713179713277576,0.01669765817066683
14,62,0.008702080000000001,0.008688819465315339,0.0015238350698525153
28,170,0.00867382,0.008670603861325616,0.0003707868821793403
28,52,0.008697200000000002,0.00866720705675679,0.0034485746266858545
28,1338,0.008706899999999998,0.008686577297297255,0.0023340916632490234
14,78,0.00868626,0.009017271235649946,0.03810745195860435
56,502,0.008899419999999998,0.008828412435263798,0.007978898033377478
28,22,0.00861244,0.008719332478208733,0.012411404690045107
56,84,0.00860684,0.008714967070334576,0.012562923248785413
112,90,0.00863548,0.00874864377516085,0.013104514764767174
28,540,0.00878068,0.008728857583612191,0.005901868236606917
14,210,0.008625119999999997,0.00878852025978706,0.018944694078118655
14,44,0.008756179999999999,0.008754758235006441,0.00016237274628408708
56,160,0.00880902,0.009050526946803906,0.027415869961006454
112,986,0.008587359999999999,0.008871340510424706,0.03306959419713479
7,270,0.00864536,0.008617992689189155,0.0031655490125158977
14,122,0.008819,0.008695935914135556,0.013954426336823322
14,42,0.008574599999999998,0.008703239974774773,0.015002446151980809
7,158,0.00882562,0.008675796385328175,0.016975987485505176
7,150,0.008740459999999999,0.008680250628700127,0.006888581527730963
28,814,0.00865606,0.008739488540540515,0.009638165694382328
14,122,0.008664199999999999,0.008695935914135556,0.0036628787580569398
56,194,0.008678320000000002,0.00873390778290435,0.006405362201940961
7,516,0.03706574000000001,0.008695966538898642,0.7653907209488159
7,542,0.008654639999999998,0.008670563295495525,0.0018398564810929907
28,986,0.009081279999999999,0.00876747325495494,0.034555342974234744
28,1174,0.00871538,0.008737564148648656,0.0025454023403059453
56,250,0.008790800000000001,0.008870384715315307,0.009053182340094853
14,758,0.00871026,0.008779398728442717,0.007937619364142683
7,40,0.0088355,0.00868325612445302,0.017230929267950907
7,596,0.00861622,0.008668002972973009,0.006009940899026247
