feature0,feature1,True,Pred,Error
28,826,0.008715500000000001,0.00871100035405405,0.0005162808726924518
14,646,0.0086538,0.008729696702702664,0.008770332420747425
7,804,0.0086911,0.008797123675933109,0.01219910896585108
7,266,0.00867202,0.008839670484427254,0.019332345223748746
14,514,0.008731059999999999,0.008667654809609581,0.007262026648587655
28,60,0.008674300000000001,0.008631481178378411,0.00493628553561558
28,186,0.0087096,0.008703161256756735,0.0007392696844016694
14,166,0.00888216,0.008749939016924061,0.014886129395995902
28,2032,0.0086274,0.008764279783783798,0.01586570505410642
14,784,0.00869902,0.008932105243243215,0.026794425491976647
14,18,0.0088106,0.008709105755469763,0.011519561043542655
7,182,0.008658899999999999,0.00872276466036036,0.007375608952679952
3,662,0.008585659999999998,0.008735245743243246,0.017422742484939677
7,536,0.008643139999999999,0.0086978725225225,0.006332481311479511
7,114,0.0086494,0.00865356549369367,0.00048159336990654815
28,88,0.008703120000000002,0.008641813455341053,0.007044203074178995
56,2002,0.008781539999999997,0.008768439675675654,0.0014918026137037115
56,468,0.00880628,0.00868732268494208,0.013508236742179458
28,234,0.00876182,0.008744267493693681,0.0020032945559619567
14,298,0.008693300000000001,0.008700896108108131,0.0008737887923033168
28,112,0.00867106,0.00867634183230375,0.0006091334051144038
14,168,0.00861646,0.008684160779654882,0.007857145469819709
28,148,0.008610320000000001,0.008677226185585581,0.00777046446422202
28,244,0.00875608,0.00876043684749032,0.0004975796806698592
14,12,0.00880148,0.008734348923680873,0.007627248635357677
14,522,0.0087138,0.008716125257057067,0.0002668476505159411
14,142,0.00870378,0.00875081404327834,0.00540386398534207
28,986,0.009081279999999999,0.008776690324324292,0.033540390305739645
56,202,0.008849379999999999,0.008748735313749464,0.01137307769024884
56,180,0.00875154,0.008844335065894474,0.010603284209918892
56,44,0.00872622,0.008689562881209792,0.004200801583068905
112,490,0.00895634,0.008888524030630606,0.007571839542647372
3,242,0.0087541,0.008635606803603584,0.013535737128478912
56,512,0.009671740000000002,0.008703151252981536,0.10014627636996708
7,440,0.008617380000000001,0.008726758918918949,0.012692827624979764
112,1174,0.008731079999999997,0.008725418924753342,0.0006483820153583463
28,218,0.009176120000000001,0.00867434443564994,0.05468275963588759
14,776,0.00859704,0.008708343288288265,0.012946698897325694
14,498,0.008693159999999997,0.008867169168468476,0.020016791186229153
56,96,0.008526239999999997,0.008631466015637069,0.012341432523254267
224,156,0.008608640000000002,0.008720829816473598,0.013032234647237621
28,116,0.008615620000000001,0.00872076382672669,0.012203860746723867
14,272,0.00872788,0.008727152181081072,8.339011523166849e-05
7,254,0.008710100000000002,0.008721204066666705,0.001274849504219588
28,32,0.00860908,0.008693583210810773,0.009815591307174869
7,312,0.00865744,0.008685110246246255,0.003196123362824895
14,20,0.00869328,0.008780802915422568,0.010067881791748218
112,98,0.00873268,0.008783756002574012,0.005848834787718407
7,28,0.008707799999999998,0.00871792110514803,0.0011623033542376947
7,138,0.008629700000000002,0.008792139845945943,0.01882334796643456
14,1016,0.008663959999999997,0.00875127513770912,0.010077971009691055
28,152,0.00861324,0.008723781982110717,0.01283396052016638
28,52,0.0086593,0.008678824248777355,0.0022547144431252584
7,40,0.008636920000000001,0.008778346783783786,0.01637467798518273
7,152,0.008820600000000001,0.008693765681467194,0.014379330037957399
112,66,0.00877448,0.008799189401286985,0.0028160530637696794
14,136,0.008566579999999999,0.008704672181744085,0.01611987301164364
14,162,0.008709940000000001,0.008773396821485164,0.00728556356130614
14,270,0.00873752,0.00881029475804379,0.008328994731204088
112,218,0.00880074,0.008744027627284434,0.006444045922907101
14,172,0.00876458,0.008734572731402854,0.0034236972675410374
14,124,0.008675299999999999,0.00868563658099918,0.0011914955101472845
112,162,0.00863156,0.008840143624324292,0.02416522903441463
56,538,0.008723540000000002,0.008695457445045043,0.003219169620929023
14,148,0.008656080000000002,0.00868216721759188,0.003013744973692229
112,90,0.00863548,0.008745533827927908,0.012744378763879844
28,78,0.008829759999999997,0.00866568082676966,0.018582517897466906
14,1448,0.0086151,0.008638055837837793,0.002664604919013366
28,136,0.008672600000000003,0.008722494681145379,0.005753139905608028
14,94,0.00870004,0.008701740966044612,0.00019551243955345872
3,40,0.008607300000000002,0.008725765413513543,0.013763365226440461
7,512,0.00863228,0.008848643640626333,0.02506448361572286
112,770,0.0087787,0.00881389541441442,0.004009182955838503
14,976,0.00865236,0.008723711925611343,0.008246527607651962
14,268,0.008625760000000003,0.00874486399227804,0.013807941825188314
7,204,0.008749639999999998,0.009437489589468048,0.07861461608341029
28,22,0.00861244,0.008720195114580921,0.01251156635993057
56,502,0.00884808,0.008840896720720765,0.0008118461043790634
28,984,0.00866922,0.008769409567567542,0.01155692986999316
28,34,0.008655199999999997,0.008688517261132534,0.0038493924037038083
112,156,0.008736500000000001,0.008702661136293428,0.0038732746187343727
7,172,0.008801740000000002,0.008677401213513514,0.014126614338356805
56,94,0.008594639999999997,0.008707195597297289,0.013096022322900299
28,770,0.00869498,0.008832526518017993,0.015819072386364732
14,762,0.008754060000000001,0.00879111626126129,0.004233037157763281
14,226,0.00862948,0.00891523701801804,0.03311404835726365
14,1156,0.00877536,0.008714716918918904,0.0069106089187333415
28,774,0.00874532,0.00871094837837834,0.003930287470516655
7,202,0.0086793,0.00871257764015447,0.0038341387156188935
14,72,0.0087702,0.008638310998562848,0.015038311718906306
56,4,0.0087288,0.00875137101634492,0.0025858097728117518
7,254,0.008811780000000002,0.008721204066666705,0.010278959907453065
14,254,0.00875486,0.008696460216216189,0.006670555986481916
14,6,0.008636880000000001,0.00872965929184315,0.010742223099446562
112,222,0.009063560000000002,0.008779399360102965,0.03135198971453123
112,266,0.0086655,0.00873021944594595,0.007468633771386515
56,124,0.008634399999999997,0.008647920692535348,0.001565909910978353
112,506,0.008781419999999998,0.00873831411981986,0.004908759651643895
7,156,0.008685219999999999,0.008647538589253516,0.004338567214933322
28,22,0.00874764,0.008720195114580921,0.0031374045364324626
14,254,0.008740119999999999,0.008696460216216189,0.0049953300164997895
