feature0,feature1,feature2,feature3,feature4,True,Pred,Error
7,1831,865,0,0,0.00507778,0.005141899189189184,0.012627405911478005
7,127,346,59,367,0.005475199999999999,0.00554496384864865,0.012741790007424562
14,113,500,0,0,0.00508904,0.005230344972972967,0.027766528259350713
14,1468,245,204,792,0.005468079999999999,0.005566287135135118,0.017960076504937514
7,550,34,191,139,0.03577284,0.0056153798378378375,0.8430267253637721
14,23,169,0,0,0.005052419999999999,0.005160676702702687,0.021426702986427865
14,1267,78,665,0,0.00521794,0.005304971783783788,0.016679337781536067
14,16,186,151,158,0.00546164,0.005501748810810813,0.007343730236854331
14,768,163,136,64,0.005463220000000002,0.005579630810810811,0.021308095008220247
14,234,1035,0,0,0.00508072,0.005114268864864853,0.00660317137430382
14,57,70,0,0,0.005104199999999999,0.005377559405405416,0.053555778653935494
7,159,218,0,0,0.00512056,0.005824461216216224,0.1374656709844674
28,72,153,529,113,0.00546736,0.005617600216216218,0.027479481178524542
14,170,137,934,823,0.005447200000000001,0.005470948756756753,0.004359809949469892
28,34,82,780,0,0.0054315000000000006,0.005367144108108123,0.011848640687080457
28,608,804,54,16,0.005551319999999999,0.005493846432432435,0.010353135392584957
14,451,5,0,0,0.005100880000000001,0.005120288162162183,0.0038048654667785795
14,1102,107,89,103,0.0054597000000000005,0.00555574854054053,0.017592274399789273
28,538,771,0,0,0.005105480000000001,0.005196605054054041,0.0178484792916709
14,15,112,0,0,0.00617148,0.01084206118918918,0.7568008304635484
14,104,163,101,149,0.005477779999999999,0.005531515054054052,0.009809640776747694
56,56,1901,0,0,0.00512356,0.005066302756756744,0.011175285005592998
28,335,1177,68,546,0.005523439999999999,0.005543533891891892,0.0036379306902749884
14,509,815,111,517,0.005460560000000001,0.005471667621621627,0.0020341543031532207
14,37,123,0,0,0.00508724,0.006413158162162173,0.26063605455260086
7,95,68,0,0,0.00836334,0.008326860108108127,0.00436188076675988
14,137,89,0,0,0.005101559999999998,0.005186095243243243,0.016570469276700694
14,327,175,49,10,0.005532840000000001,0.005509428297297295,0.004231407866973563
14,168,1945,537,137,0.00552614,0.005484250837837858,0.0075801847514073185
14,150,645,211,431,0.0054708000000000005,0.005466469459459462,0.0007915735432731685
56,16,1007,0,0,0.005131559999999999,0.005105134108108121,0.005149679998261371
14,20,98,0,0,0.011456880000000001,0.005284386675675679,0.538758660675884
28,214,40,164,9,0.005499379999999999,0.0061210090810810795,0.11303621155131681
7,140,157,15,0,0.007114099999999999,0.006675368324324332,0.06167072091700523
28,235,247,0,0,0.00507162,0.005112787945945957,0.008117316744148206
7,176,523,0,0,0.005104579999999998,0.00518290181531532,0.015343439678743692
14,29,197,0,0,0.005105979999999999,0.005738703459459464,0.12391812334937963
14,175,181,676,427,0.006084340000000001,0.005470836720720717,0.10083316831066036
56,152,854,137,0,0.005258259999999999,0.005380613567567569,0.023268831812723174
14,49,102,0,0,0.007503860000000001,0.005513351513513503,0.2652646086795993
14,475,355,93,0,0.005315659999999999,0.0053327094054054025,0.0032073920087822734
14,114,150,175,262,0.005551360000000001,0.005585947081081081,0.00623037977740233
14,24,94,0,0,0.005221139999999998,0.005347340864864863,0.024171132140655985
14,176,19,138,0,0.005277959999999998,0.005298461351351362,0.0038843324601482076
28,109,70,0,0,0.005114179999999999,0.005159858054054051,0.0089316477038453
14,1001,45,102,55,0.0055623800000000004,0.008279504756756732,0.4884824044306091
14,25,112,0,0,0.005213899999999999,0.0053215809729729715,0.020652673233658644
56,925,668,0,0,0.005073520000000001,0.005086411189189186,0.002540876785581858
14,538,50,2003,199,0.0055479200000000005,0.007049802378378385,0.27071089315966784
7,226,78,0,0,0.012575839999999998,0.00620895529729731,0.5062790797833535
14,284,296,120,0,0.005267459999999999,0.005440452378378371,0.03284170708052313
14,79,262,201,0,0.00534718,0.005688088378378386,0.0637547975528009
7,1017,534,0,0,0.0051019,0.005194157945945946,0.018083056497764715
14,152,29,169,0,0.00529496,0.00537208254054054,0.014565273494141611
14,13,166,0,0,0.005092080000000001,0.005903974648648629,0.1594426341786907
14,48,55,0,0,0.006639219999999998,0.005860307675675677,0.11731985448958172
14,481,372,95,0,0.00540358,0.005330704486486483,0.013486524399290184
7,410,1182,31,73,0.005511940000000001,0.00550012684324325,0.0021431940036994385
28,228,60,1024,390,0.005516899999999999,0.005588572918918918,0.012991520404379148
14,236,272,530,0,0.00528996,0.005329316968468458,0.00743993687446751
14,501,487,0,0,0.00512814,0.005141339567567578,0.002573948364821983
14,2104,93,539,92,0.0054925,0.005856434216216218,0.06626021232885176
14,431,495,891,0,0.027825520000000006,0.005307211513513515,0.8092682000726845
56,55,503,519,0,0.005329199999999999,0.005317899135135127,0.0021205555927478995
14,235,192,537,0,0.005286380000000002,0.005324660752252245,0.007241392456131234
14,21,109,0,0,0.005106660000000001,0.007039655513513515,0.3785244197799568
14,1158,25,44,379,0.005449079999999999,0.006310694216216204,0.1581210435919834
7,814,65,91,0,0.005406200000000001,0.005687693243243255,0.05206859591640234
14,1016,40,93,74,0.005518459999999999,0.006708282648648634,0.21560773270960287
7,55,457,36,0,0.005861539999999999,0.005616680054054058,0.04177399556190719
28,113,430,0,0,0.005076499999999999,0.005135411243243227,0.011604696787792313
14,87,178,1142,0,0.005875760000000001,0.005308837891891891,0.09648489865278863
14,623,568,94,423,0.005421879999999999,0.005469427513513513,0.008769562128544722
56,509,272,0,0,0.0050728399999999995,0.005133387729729725,0.011935667146948385
56,154,1016,0,0,0.005052700000000001,0.00510721670270271,0.010789617967167776
7,81,85,0,0,0.008340080000000001,0.00639218843243246,0.23355789963256246
56,72,214,0,0,0.005192500000000001,0.005137345405405432,0.010621972959955484
14,80,194,1125,727,0.0054531200000000005,0.005737270918918926,0.05210795268010344
7,103,133,0,0,0.007426840000000001,0.008352560702702747,0.12464530038384364
14,392,122,0,0,0.005241419999999999,0.005171336648648663,0.013371061916682189
56,136,1895,134,0,0.00544526,0.005898918108108118,0.08331247876283555
28,160,1951,535,540,0.00550266,0.005519599783783799,0.003078471827043433
14,127,92,0,0,0.00528648,0.00526870432432434,0.003362478563365373
14,83,90,0,0,0.00510358,0.005372630324324351,0.05271795961351661
14,87,83,0,0,0.00750836,0.005258441027027032,0.2996551807549143
28,136,54,0,0,0.005102940000000001,0.005122486972972977,0.0038305316098124053
56,414,144,60,105,0.005448419999999998,0.00566193951351351,0.039189253676022016
14,1171,56,0,0,0.005175420000000001,0.00509038740540538,0.016430085789099352
28,909,9,1110,472,0.00546602,0.005952285405405396,0.08896151228963588
28,174,70,514,678,0.005505220000000001,0.005512008216216207,0.0012330508528644007
7,243,86,49,0,0.005712739999999998,0.005947245081081078,0.0410494930770663
7,82,255,150,0,0.005396020000000001,0.005582202054054058,0.03450358858085336
7,109,580,512,0,0.0052585999999999996,0.005371231729729721,0.02141857713644721
14,16,202,0,0,0.00511266,0.005141339729729737,0.0056095515308541765
28,35,110,0,0,0.005272540000000001,0.006468504648648648,0.22682893797840256
7,75,20,0,0,0.012578660000000002,0.010682319081081084,0.15075857992178165
28,1158,500,0,0,0.005687079999999998,0.005218926054054056,0.08231886063602802
14,1014,28,70,217,0.005465679999999998,0.006795218756756743,0.24325221322081522
14,102,18,0,0,0.005128559999999999,0.005392075729729733,0.051382011662091095
28,198,502,4,254,0.00556322,0.005508292702702708,0.0098732923194286
7,212,159,243,0,0.005337659999999999,0.005530005135135135,0.03603547905545422
14,22,97,0,0,0.0051205800000000004,0.0053647229459459446,0.047678768019627484
56,179,258,0,0,0.005130000000000001,0.005139188486486483,0.0017911279700745467
7,206,60,153,2073,0.0055026400000000005,0.006631120594594603,0.20507985159752445
14,218,27,172,0,0.005307920000000001,0.005323387783783778,0.0029140951227180087
7,40,95,230,25,0.00544894,0.005584285351351358,0.024838840462797898
14,488,237,0,0,0.005108200000000002,0.005119295945945951,0.0021721831459122977
7,40,204,0,0,0.0076983400000000006,0.00645419908108109,0.16161158365555572
28,34,1285,23,21,0.005522959999999999,0.0054759707027027095,0.008507991601838346
14,39,132,0,0,0.0051115200000000005,0.0051025709189189165,0.0017507671066696344
28,46,745,0,0,0.00511778,0.006073686270270259,0.186781430673116
7,185,515,50,508,0.0054736,0.005689147351351336,0.0393794488730152
14,163,975,0,0,0.005101179999999999,0.00692937675675675,0.35838703138425837
7,495,230,257,0,0.0053111799999999995,0.005456873459459451,0.027431467105135034
56,880,29,681,583,0.005492359999999998,0.0054539309729729705,0.006996815035254016
14,28,102,0,0,0.005098619999999999,0.005347596918918919,0.048832217133051664
14,8,4,64,150,0.00550742,0.006333155513513514,0.1499314585619971
56,74,120,25,102,0.0054792,0.005510333783783771,0.0056821769206764775
14,138,136,106,0,0.005307179999999999,0.005298466270270258,0.0016418756721536952
7,552,250,197,0,0.005351340000000001,0.005422664702702695,0.01332838180767695
14,200,95,17,256,0.00548394,0.0057863547027027055,0.055145516308111674
7,3,89,108,699,0.005469820000000001,0.005849372648648667,0.06939033618083702
7,206,124,0,0,0.005134600000000001,0.006142662378378366,0.19632734358632892
7,175,23,154,182,0.005485880000000002,0.00563032091891892,0.02632958047185107
7,474,267,2066,138,0.00546172,0.005551599518918923,0.016456266326161654
56,195,42,1637,38,0.005462840000000001,0.006252517621621629,0.1445544115554598
56,753,581,44,16,0.005424880000000001,0.006008961027027042,0.10766708701889098
14,33,83,0,0,0.011454099999999998,0.0053343581621621535,0.5342839540285004
14,330,103,35,0,0.005831900000000001,0.005867763297297295,0.006149504843583413
14,108,756,0,0,0.00515562,0.007252884918918918,0.4067919898904338
56,477,407,40,14,0.005511360000000001,0.005495731351351352,0.0028357154402268857
14,164,228,0,0,0.00516622,0.005181283135135109,0.0029156975767793258
14,15,81,0,0,0.005130579999999999,0.009778601405405433,0.9059446310953995
7,145,26,0,0,0.005114799999999999,0.007680873945945956,0.5016958524176814
14,85,130,0,0,0.005098959999999999,0.005176945459459466,0.015294385415744986
