feature0,feature1,feature2,feature3,feature4,True,Pred,Error
14,266,179,266,190,0.005560640000000001,0.005503517567567562,0.01027263632107804
14,168,78,41,0,0.005287459999999999,0.005484524594594576,0.03727018163628226
14,144,110,128,0,0.005252840000000001,0.005340777405405403,0.016740925938235802
14,121,253,218,83,0.005469019999999999,0.005514462324324324,0.008309043361392886
7,259,922,0,0,0.00511726,0.005932778810810821,0.15936630360990464
7,504,442,0,0,0.0051271,0.005208681081081095,0.015911739790738393
14,87,178,1142,0,0.005875760000000001,0.005325079459459454,0.09372073409066176
14,988,540,0,0,0.005139519999999998,0.005125567783783779,0.0027146924647085294
7,552,56,658,0,0.00534944,0.00996585124324324,0.8629709358817447
14,193,84,0,0,0.0050927,0.005790292108108115,0.13697883403854827
14,247,516,244,0,0.00530154,0.00547314978378377,0.032369798923288194
14,148,1077,514,0,0.0053117799999999995,0.005305341891891894,0.0012120434408249283
14,43,2036,0,0,0.005091379999999999,0.005126406216216227,0.006879513258925594
14,212,138,195,111,0.005493900000000001,0.005880945891891886,0.07045011592709821
28,500,105,235,72,0.005478080000000001,0.005602318054054062,0.022679123717445012
28,1020,219,0,0,0.005110960000000001,0.005121035567567579,0.0019713649818386405
28,499,52,234,0,0.005312579999999999,0.005336030594594591,0.004414163098643565
28,30,171,89,512,0.00558908,0.005717762540540549,0.02302392174392737
56,417,101,205,175,0.00544028,0.006108690486486488,0.12286325087798582
14,203,27,0,0,0.00510786,0.005248017351351345,0.027439544418082273
14,2003,232,502,37,0.00553412,0.005597984540540545,0.011540143788090049
14,235,942,0,0,0.005071759999999998,0.0054652461621621596,0.07758375044603089
28,277,244,0,0,0.0050642399999999985,0.005110879675675694,0.009209610065023641
14,158,176,1024,760,0.005489919999999999,0.007620146972972988,0.3880251393413729
7,530,216,120,0,0.005297519999999997,0.005783557621621616,0.09174814283317834
28,163,206,269,0,0.00531202,0.005490667027027032,0.03363071430962839
56,191,58,255,400,0.0054616000000000005,0.005738576918918921,0.05071351232586072
7,538,1005,0,0,0.005168679999999998,0.005516975459459452,0.0673857657002278
28,198,502,4,254,0.00556322,0.005501188574324334,0.011150273704017718
7,12,3,21,157,0.00547836,0.006363241189189181,0.16152300856263213
28,249,88,1017,42,0.005499780000000001,0.005601390000000001,0.01847528446592413
28,93,98,1577,141,0.00548966,0.0057038988108108245,0.03902587971036897
7,36,1060,139,153,0.00553602,0.00947389427027026,0.711318649547917
28,130,15,176,0,0.00538544,0.005321014162162143,0.01196296641274569
28,140,89,0,0,0.005109,0.005628661621621626,0.1017149386615044
7,213,106,0,0,0.00512096,0.008495258270270258,0.6589190835839878
14,164,33,0,0,0.0050769000000000005,0.0051269536216216405,0.009859091497102563
14,1022,260,0,0,0.0051474400000000005,0.005092606756756751,0.010652526934408
14,1180,247,159,517,0.005466119999999999,0.0056250783243243134,0.029080650319479755
28,1219,160,0,0,0.0050949199999999984,0.00520363551351349,0.02133802169876894
7,1020,14,358,1042,0.0054928600000000005,0.012252215297297302,1.230571195569758
14,2010,1002,321,175,0.005523499999999999,0.0057381148468468495,0.038854865003503325
14,520,185,515,208,0.00547484,0.005500287143243241,0.0046480158768549724
56,127,259,497,98,0.00550392,0.005488404054054058,0.0028190718516878945
14,242,106,0,0,0.005120199999999998,0.0051155756216216125,0.0009031636221994969
7,1986,97,851,233,0.005492499999999999,0.008443454486486488,0.5372698200248501
7,149,1010,0,0,0.005089519999999999,0.005607447891891893,0.10176360283325213
14,203,70,62,0,0.0053300199999999995,0.006130441135135129,0.1501722573527172
14,455,145,0,0,0.005098120000000001,0.005132702216216237,0.006783327229691709
14,181,211,0,0,0.00510426,0.005131673999999981,0.005370807913386236
28,273,283,235,81,0.005516280000000001,0.005536371729729731,0.0036422606774365375
14,143,1977,202,0,0.005233779999999998,0.005328642162162167,0.018124980828802394
28,236,213,143,671,0.005504279999999999,0.005548548981981975,0.00804264717310454
7,511,1006,0,0,0.005082660000000001,0.005382556324324321,0.05900381381487645
28,388,256,0,0,0.005038860000000001,0.005115411189189202,0.015192164336616016
14,174,77,213,0,0.005389219999999999,0.005381393675675675,0.0014522183774876851
56,925,668,0,0,0.005073520000000001,0.00516468783783783,0.017969346299576847
56,701,211,45,231,0.00543366,0.005703040141891883,0.049576186565203434
7,253,531,512,215,0.0055660399999999995,0.0055140122162162224,0.009347360741887786
14,535,35,246,125,0.005450380000000001,0.006429216972972971,0.17959059239410272
7,188,750,494,0,0.005354540000000002,0.005906549315315321,0.10309182774156488
14,1165,189,0,0,0.0050758,0.005091747945945942,0.0031419571192603923
14,1267,206,0,0,0.005086380000000001,0.005118751513513528,0.006364352154877829
56,235,509,108,0,0.0052356799999999995,0.005357707729729726,0.023306949570968155
14,132,495,525,516,0.0054359199999999995,0.0054941287837837905,0.010708175209309749
56,164,1387,0,0,0.005066559999999999,0.005099038810810821,0.006410426563747787
56,102,122,30,178,0.0054376,0.008249490378378382,0.5171197547407648
56,72,214,0,0,0.005192500000000001,0.0051328979459459734,0.011478488984887333
14,66,180,0,0,0.00510236,0.005131510378378383,0.0057131167495791755
28,39,1001,0,0,0.005104340000000001,0.005178983459459469,0.014623528107349425
14,979,181,167,209,0.005423260000000001,0.005535667567567556,0.020726936854872292
14,138,136,106,0,0.005307179999999999,0.005320368864864853,0.002485098463751772
28,19,11,164,0,0.00534782,0.005315834216216223,0.005981088328286404
56,495,144,81,67,0.005610259999999998,0.0055186183783783715,0.0163346478811368
56,182,78,159,0,0.005294560000000001,0.005457037621621616,0.03068765329349647
28,166,150,51,1621,0.005523399999999999,0.005581716756756768,0.01055812665328771
28,76,201,0,0,0.005106080000000001,0.0051504341621621715,0.008686538824728708
14,527,531,107,0,0.00529632,0.006082119729729717,0.1483671171171147
14,2038,479,0,0,0.0051321399999999994,0.005108681297297294,0.004570939744961275
14,2005,137,399,56,0.005496759999999998,0.005594812864864863,0.017838301993331532
14,25,96,0,0,0.0050709599999999985,0.006854000378378372,0.35161791423682576
28,224,154,149,116,0.0054372800000000035,0.005661585135135139,0.04125318819982339
28,694,263,175,0,0.005292220000000001,0.005506066756756756,0.04040776021343682
7,199,283,701,127,0.005535840000000001,0.005514274900900903,0.0038955423384884943
