feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
28,68,49,7,2,32.010132,0.163317,0.03348087999999999,0.0327470206,0.021918760797206886
8,2002,7,7,1,43.948352,0.686693,0.03443863999999999,0.03207680894999999,0.06858084552700125
27,152,138,1,1,15.392106,0.021114,0.02494715999999999,0.024773913800000043,0.006944525950045843
8,983,51,7,2,39.305088,2.456568,0.03516922,0.0331544852,0.05728687755941135
14,18,60,7,2,2.59602,0.05298,0.028949179999999998,0.026012611999999925,0.10143872814359763
14,121,195,1,1,4.66284,0.02379,0.02434501999999999,0.024948248400000043,0.024778307842838142
28,154,388,1,1,47.14976,0.06014,0.025053919999999997,0.025067998250000053,0.0005619180551409154
28,137,12,1,2,0.324576,0.001656,0.02396478,0.02418874569999997,0.009345618862345795
13,513,151,1,2,3.2791915,0.077614,0.03302026000000002,0.03111629004999994,0.05766065894090707
14,167,207,1,1,6.816096,0.034776,0.024403040000000008,0.02511650964999999,0.029236916793972473
7,132,124,3,1,7.224364,0.147436,0.029279059999999996,0.033965153699999966,0.16004932193861315
56,4,251,3,1,29.124032,0.009287,0.02378222,0.02453841219999993,0.03179653539492651
8,221,79,1,1,1.122432,0.017538,0.024353479999999997,0.02471972259999991,0.015038614604562208
8,160,1163,1,1,11.983552,0.187243,0.025296379999999993,0.025180920450000026,0.004564271646771891
8,165,24,3,1,2.282496,0.035664,0.03039175999999999,0.03371295209999998,0.10927936058984374
56,232,503,1,1,367.536064,0.117199,0.024852559999999996,0.024876062849999946,0.0009456913090623476
14,472,66,1,1,6.118728,0.031218,0.026047640000000004,0.026279994799999994,0.008920378199329783
28,119,165,1,1,15.5232,0.0198,0.024316099999999986,0.024510125799999987,0.007979314116984255
27,149,56,7,1,298.096848,0.408912,0.0297859,0.031515989950000066,0.05808419252062437
8,96,148,1,2,0.229696,0.014356,0.023918279999999993,0.024842949150000106,0.03865951690506645
56,1007,155,1,1,489.96864,0.15624,0.02497034,0.024812434399999913,0.00632372646908643
14,142,1999,1,1,56.027972,0.285857,0.024994480000000006,0.025096172050000067,0.004068580342542036
13,126,31,3,1,5.946265,0.035185,0.03589178,0.03355649800000004,0.06506453566805434
8,271,190,1,1,3.30752,0.05168,0.02565226,0.02561832650000003,0.0013228269166135223
56,19,82,5,1,122.404352,0.039032,0.03187812,0.029911523149999977,0.061691117606685275
56,270,123,1,1,104.532288,0.033333,0.024680520000000004,0.025309559750000026,0.02548729726926425
56,1021,144,1,2,115.379712,0.147168,0.025105460000000003,0.025339552500000032,0.009324366094069942
28,124,199,3,1,174.269872,0.222283,0.03137656000000001,0.03204467700000005,0.02129350700013122
14,245,239,1,1,11.523624,0.058794,0.024979200000000007,0.02550273890000002,0.020958993882911076
56,944,7,1,1,20.74464,0.006615,0.02436482,0.024696997299999947,0.013633480567471788
14,238,29,5,2,8.456371,0.172579,0.03473536,0.03407809839999994,0.018921974610312454
14,206,89,7,1,176.09718,0.898455,0.03469876000000001,0.03342518259999996,0.036703830338607246
14,2149,127,7,2,655.294346,13.373354,0.03430382,0.032334694700000076,0.05740250794226191
56,647,38,1,2,19.305216,0.024624,0.02523504,0.02548485220000003,0.009899417635162416
14,69,1025,5,1,346.7534,1.76915,0.03513684,0.03276620694999998,0.06746858994718995
7,129,37,1,1,0.23569,0.00481,0.024142860000000006,0.024651319750000008,0.02106046052538938
3,1869,186,1,1,3.13038,0.34782,0.02607886000000001,0.025588812499999967,0.018790986262437914
14,11,18,1,1,0.042336,0.000216,0.023794720000000002,0.024007004099999996,0.008921479218918922
27,632,113,3,1,468.642753,0.642857,0.03095576,0.03086010450000011,0.0030900711208475826
112,270,5,3,1,152.47232,0.012155,0.03432738,0.027946960950000075,0.1858696774994166
