feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
14,29,107,7,1,29.822184,0.152154,0.0336042,0.03176998459459461,0.05458292134332583
3,105,26,1,1,0.024804,0.002756,0.024872660000000008,0.024699553999999988,0.006959689876355002
224,19,152,1,1,152.53504,0.00304,0.024433859999999995,0.02487087686486485,0.017885707164764605
28,182,99,3,1,127.212624,0.162261,0.026179199999999993,0.028891846162162116,0.10361837497563424
56,100,7,1,1,2.217152,0.000707,0.025153,0.02465294924324326,0.019880362452062938
28,233,14,7,1,125.323968,0.159852,0.03477539999999999,0.03254315621621623,0.064190312225992
56,111,115,1,1,40.39168,0.01288,0.024274559999999997,0.02482693870270269,0.022755456852881942
56,134,596,3,1,2255.950592,0.719372,0.029664079999999995,0.032693685891891804,0.10213045177506967
28,135,224,1,1,23.883776,0.030464,0.0253625,0.02476149227027025,0.023696706938580562
56,14,175,7,1,377.0256,0.120225,0.03173046,0.030653996972972917,0.03392522601396529
14,1025,489,3,1,884.256744,4.511514,0.025086139999999993,0.028872194270270234,0.15092215343892051
112,123,39,1,2,15.165696,0.004836,0.023983880000000003,0.024243663621621593,0.010831592787388468
28,92,45,5,1,81.17928,0.103545,0.033008659999999995,0.03282765956756759,0.005483422605837469
13,313,27,7,1,69.987294,0.414126,0.034830620000000014,0.034257413405405404,0.016456973622479564
14,191,4,1,1,0.150528,0.000768,0.02455206,0.024538313081081065,0.0005599089819321059
56,196,214,1,1,132.207488,0.042158,0.02499194,0.02491950264864864,0.0028984285074051598
27,171,152,1,2,4.764744,0.026144,0.024439280000000004,0.024606667513513474,0.006849118039216757
56,429,472,1,2,159.12064,0.20296,0.025481420000000005,0.025757883837837794,0.010849624465111826
14,325,135,3,1,77.42196,0.39501,0.025378620000000005,0.02574048886486486,0.014258807802191553
13,1127,129,3,1,221.149344,1.308576,0.035107320000000004,0.028585239675675726,0.18577551132710438
27,1999,12,3,1,157.394016,0.215904,0.030959740000000003,0.033348885945945865,0.07716944476749035
112,193,434,1,2,264.038656,0.084196,0.026301680000000004,0.02752515427027025,0.046516962805046885
27,129,2040,1,1,193.3308,0.2652,0.025144079999999992,0.02564656864864859,0.019984372013157736
14,1981,32,3,1,111.82976,0.57056,0.025812379999999996,0.025820226054054013,0.0003039647662872258
3,10,96,3,1,0.078624,0.008736,0.023768579999999994,0.02403667464864865,0.01127937170199716
14,2120,149,3,1,557.241524,2.843069,0.025391840000000002,0.027538274810810892,0.08453246439844019
14,162,62,1,1,1.980776,0.010106,0.02457344000000001,0.02495678329729729,0.015599903688587421
56,168,245,3,1,1162.46816,0.370685,0.03170493999999999,0.03186275243243242,0.0049775344924932975
14,698,195,5,1,666.97722,3.402945,0.03445842,0.03262707308108113,0.05314657256249327
28,2139,200,7,1,16434.5216,20.9624,0.03081844,0.033654669081081064,0.0920302611384958
56,66,29,1,1,6.093248,0.001943,0.025476600000000002,0.025034113135135167,0.017368364101364973
112,270,255,1,2,216.71328,0.069105,0.0257526,0.02774479578378377,0.07735901554731442
112,1185,137,3,1,18329.819648,1.461242,0.034583760000000005,0.033185956000000044,0.0404179302655339
8,166,179,1,1,1.913152,0.029893,0.024543120000000012,0.025023860270270263,0.019587577710993988
14,181,78,5,1,69.193488,0.353028,0.034634780000000004,0.03347966972972974,0.0333511652238087
28,224,170,7,1,1463.01456,1.86609,0.03397378,0.03413604967567568,0.0047763209061716045
28,1019,66,1,1,52.77888,0.06732,0.02639284,0.025579694108108057,0.03080933661902029
28,212,85,3,1,127.21576,0.162265,0.03397966,0.03134889767567566,0.07742167886095211
14,991,31,5,2,37.634744,0.768056,0.03537694,0.0334617083783784,0.05413785425256126
27,765,148,1,1,82.645272,0.113368,0.024422379999999997,0.02511869978378387,0.028511544893817558
14,495,944,7,1,4487.942144,22.897664,0.031172439999999996,0.03317216254054052,0.0641503373024545
13,839,317,1,1,45.00132,0.26628,0.02551374,0.025744589945945934,0.009048063747060776
56,32,38,5,1,95.453568,0.030438,0.03312862,0.0308628991891892,0.06839164477152372
112,174,1009,3,1,19833.356032,1.581103,0.03540051999999999,0.03334016745945943,0.05820119423501572
13,520,17,3,1,13.448513,0.079577,0.025123180000000002,0.02684065821621622,0.0683622939538791
14,515,37,1,1,3.742032,0.019092,0.02562979999999999,0.025886499189189283,0.010015653231367078
28,30,381,3,1,80.948784,0.103251,0.03217491999999999,0.031440314162162204,0.022831629040189837
56,1086,1776,3,2,13610.5536,17.3604,0.03073264,0.0323571884864865,0.05286068774067247
14,211,8,3,1,2.9792,0.0152,0.02639384,0.028207231567567593,0.06870510572041032
112,108,6,5,1,203.288064,0.016206,0.032941279999999996,0.03228709627027033,0.01985908652395014
13,166,130,1,1,3.66899,0.02171,0.024431939999999996,0.024707713891891844,0.011287433248929418
7,98,113,3,1,4.889171,0.099779,0.03686532,0.0325635127027027,0.1166898130084671
56,257,99,3,1,718.413696,0.229086,0.032043020000000005,0.03232783551351354,0.008888535272690838
56,578,74,1,1,134.365056,0.042846,0.02468748000000001,0.025002203675675686,0.012748311114608472
112,565,39,3,2,622.038144,0.198354,0.033991020000000004,0.03359593427027032,0.011623238423844967
13,516,129,7,2,137.80957125,3.261765,0.03388739999999999,0.03388314275675679,0.00012562909055294664
28,140,195,1,2,5.38902,0.027495,0.024284939999999988,0.024135153081081082,0.006167893308318048
8,4,480,7,1,6.05184,0.09456,0.02378294000000001,0.024066241459459493,0.011911961240262302
8,779,72,7,2,43.974144,2.748384,0.031394780000000004,0.0325377853513513,0.03640749676701979
13,300,150,7,1,372.67035,2.20515,0.03357819999999999,0.03384581118918917,0.007969789601264488
27,245,497,3,1,799.262478,1.096382,0.033816840000000015,0.03175496140540548,0.06097194754431625
28,452,49,1,1,17.402448,0.022197,0.024599720000000002,0.025354622432432403,0.03068744003721996
7,79,79,3,1,2.756152,0.056248,0.034378639999999995,0.03166876129729724,0.07882448819100338
56,903,1338,5,1,94728.173568,30.206688,0.03447632,0.03361233902702692,0.025060127443215445
1,1294,994,5,1,32.156894,32.156894,0.033941900000000004,0.03114817070270276,0.0823091605743121
8,815,36,7,2,23.003136,1.437696,0.0319823,0.032902414756756745,0.02876949927793646
28,211,257,7,1,2083.38592,2.65738,0.034461900000000004,0.03334873308108107,0.0323013797532618
27,215,236,1,1,37.161504,0.050976,0.024538,0.025195416594594608,0.026791775800578985
8,975,147,1,1,9.182208,0.143472,0.025622619999999992,0.025815261513513543,0.007518415896327211
14,121,195,1,1,4.66284,0.02379,0.02434501999999999,0.024821056378378406,0.019553747681390884
13,509,1005,7,1,4236.27399,25.06671,0.03152966,0.03251060027027027,0.031111666610749086
8,1309,155,3,1,116.87744,1.82621,0.03443961999999999,0.0318649274234234,0.07475961048863458
13,45,26,1,2,0.050531,0.001196,0.03270846000000001,0.03245789751351337,0.007660479474932125
28,7,203,3,1,10.185728,0.012992,0.023902700000000002,0.024302692702702675,0.01673420587225176
7,181,926,1,1,8.258068,0.168532,0.02535904,0.02533371648648652,0.000998599060275112
27,169,120,1,2,3.7179,0.0204,0.02382624,0.024336310702702656,0.021407939427398444
28,89,713,1,1,50.30928,0.06417,0.025259039999999993,0.025050964594594577,0.00823766086935276
7,244,53,5,1,15.844297,0.323353,0.03363692000000001,0.03397797464864875,0.01013929481797796
28,192,59,1,1,8.927408,0.011387,0.026151139999999993,0.02560076427027024,0.021045955538831373
27,110,41,3,1,29.619999,0.040631,0.025251900000000008,0.028781041297297305,0.13975745576757775
56,397,24,3,1,268.993536,0.085776,0.029979940000000007,0.03181433059459457,0.06118726703904552
28,257,132,1,2,6.674976,0.034056,0.03081952,0.031349950486486526,0.017210861378974318
13,29,230,3,1,10.18394,0.06026,0.03447076,0.03007954389189193,0.12738959361812952
7,179,98,5,1,21.493752,0.438648,0.034511460000000015,0.03411905718918924,0.011370217626573103
56,191,32,1,1,19.267584,0.006144,0.026536659999999993,0.025296485999999983,0.04673436672135871
56,343,263,3,1,2546.883584,0.812144,0.034788679999999995,0.031078810648648616,0.10664012981669267
14,516,11,1,1,1.114652,0.005687,0.025643939999999997,0.0258682081621621,0.008745464314847988
3,10,154,1,1,0.015246,0.001694,0.024444619999999997,0.0243184606486486,0.005161027307906468
112,317,35,3,2,313.25504,0.09989,0.03362265999999999,0.03302501654054047,0.017775020163768158
14,167,104,1,1,3.424512,0.017472,0.024685379999999996,0.024669025621621606,0.0006625127252807449
13,151,5,1,1,0.12844,0.00076,0.024115659999999997,0.024335847351351338,0.009130471708066069
28,690,2024,1,1,1096.489856,1.398584,0.024977159999999995,0.02571779059459461,0.02965231413798109
14,103,24,3,1,4.365312,0.022272,0.04134112,0.036480373891891876,0.11757654625970766
27,183,502,7,1,3281.911344,4.501936,0.03185068000000001,0.03197084648648649,0.0037728075660071934
14,89,119,7,1,101.739288,0.519078,0.03488426000000001,0.033977551405405364,0.025991911383375862
7,231,8,1,2,0.022736,0.001856,0.031140599999999997,0.031993314432432494,0.027382723275482718
27,515,8,5,1,75.092832,0.103008,0.031439,0.032193260810810684,0.02399124688478266
56,1013,19,1,2,15.104544,0.019266,0.025045139999999987,0.02543387908108119,0.015521537555038763
8,557,2261,1,2,20.186208,1.261638,0.02409884,0.025325579729729795,0.0509045136500261
13,1546,173,7,1,2214.848935,13.105615,0.03421116,0.033101479567567614,0.03243621182188454
7,15,146,7,1,5.265344,0.107456,0.023425040000000005,0.023996219729729807,0.024383297946547894
56,998,136,5,1,10641.501696,3.393336,0.030546099999999993,0.03142169054054051,0.028664560796321552
14,118,24,3,1,5.000352,0.025512,0.03074452,0.03162428021621614,0.02861518788441449
56,232,16,1,2,2.922752,0.003728,0.023832020000000002,0.02405603935135134,0.009399931325642529
56,224,58,1,1,40.9248,0.01305,0.025521820000000008,0.025130093675675716,0.015348682982808103
27,118,999,3,2,193.53801825,1.061937,0.03478648,0.03207063475675676,0.07807186134507542
56,180,254,3,1,1291.197824,0.411734,0.031020480000000007,0.031511448756756724,0.015827245637614812
14,157,7,5,1,5.386472,0.027482,0.03437972,0.03238884837837841,0.05790831401831058
