feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
13,53,146,1,2,0.333099,0.007884,0.03269026,0.03090635518918928,0.054569918098256794
56,528,162,3,1,2414.676096,0.769986,0.03313056,0.03155055108108108,0.04769037767302819
112,127,230,3,1,3300.57728,0.26312,0.03489634,0.03413554454054052,0.02180158318779216
14,442,45,3,1,35.09478,0.179055,0.03548644000000001,0.0282145934054055,0.2049190224377116
56,181,42,3,1,214.69056,0.06846,0.03371014000000001,0.031589817351351385,0.06289866042231293
8,158,244,1,1,2.482944,0.038796,0.026621359999999993,0.02539589891891891,0.04603300060857461
14,510,19,1,1,1.902964,0.009709,0.02632014,0.025536286270270245,0.029781518249133682
7,231,93,1,1,1.057224,0.021576,0.024601339999999996,0.024522060108108115,0.003222584293858845
27,479,474,1,1,165.86208,0.22752,0.02563817999999999,0.02532590427027027,0.012180105207534953
27,60,26,1,1,1.156194,0.001586,0.02376303999999999,0.02419782951351361,0.018296880934157503
112,991,981,1,1,12207.218688,0.973152,0.024725979999999995,0.025147555837837843,0.017049914213222214
112,492,36,3,2,500.016384,0.159444,0.028876420000000003,0.033276133837837875,0.15236354914625397
7,28,11,1,1,0.015631,0.000319,0.02414758,0.02432642848648646,0.007406476611174331
14,2017,32,7,1,619.886848,3.162688,0.030811300000000003,0.03341098989189193,0.08437456036882335
14,517,96,1,1,9.746688,0.049728,0.02584208,0.026354116918918803,0.01981407529575029
14,271,1007,5,1,1337.392672,6.823432,0.03447726,0.03288630783783786,0.04614497097977462
14,669,7,1,1,0.91924,0.00469,0.027186239999999987,0.02552500951351349,0.06110556246419135
27,235,109,3,1,168.139476,0.230644,0.03197218000000001,0.032854748513513506,0.027604264504750554
28,140,54,1,1,5.969376,0.007614,0.02574444,0.025190829999999987,0.021504060682617815
7,530,15,1,1,0.390285,0.007965,0.02604492,0.025598742162162156,0.01713108882030904
27,1009,253,3,1,1675.056834,2.297746,0.03261924000000001,0.031799986432432474,0.025115654673975647
56,1006,39,3,2,276.86568,0.353145,0.034461019999999995,0.033326550000000024,0.03292038366827131
14,862,478,7,1,3957.287432,20.190242,0.03331888,0.03263737470270287,0.02045402778536164
14,157,7,5,1,5.386472,0.027482,0.03437972,0.03266137070270275,0.04998148028248194
14,440,147,1,1,12.706092,0.064827,0.026742979999999993,0.0259926185405405,0.028058259007017652
14,765,199,1,1,29.877064,0.152434,0.02581684,0.026044784270270283,0.00882928624379601
56,217,161,3,1,986.566784,0.314594,0.033808959999999985,0.03217327675675682,0.048380170322990364
14,495,163,5,1,395.388448,2.017288,0.034133460000000004,0.03405231254054054,0.0023773581541240516
27,968,92,1,1,64.988892,0.089148,0.02498434,0.025721179783783715,0.029492065180977946
14,544,212,1,1,22.64584,0.11554,0.02632468,0.026333239621621662,0.0003251557709974871
56,761,218,1,1,520.939776,0.166116,0.024630939999999994,0.0250754903783784,0.018048453626958897
3,139,52,1,1,0.06552,0.00728,0.024281860000000006,0.024683416918918937,0.01653732123152556
3,137,127,5,1,3.915918,0.435102,0.03506346,0.033872370432432394,0.0339695388751596
8,509,216,1,1,7.05024,0.11016,0.02657495999999999,0.025942036270270197,0.02381654496299504
13,824,213,1,1,29.697525,0.175725,0.02570034000000001,0.025975901513513526,0.010722096031162113
14,152,112,3,1,30.052288,0.153328,0.029329499999999998,0.030960507675675705,0.05560980158801571
14,673,13,7,1,84.027944,0.428714,0.03460062,0.032815378540540514,0.05159564942649826
28,64,258,1,1,13.14768,0.01677,0.02486387999999999,0.024749625189189176,0.004595212445153994
28,100,122,1,1,9.660448,0.012322,0.02535166000000001,0.02482977897297303,0.020585674745834375
28,54,466,1,1,20.09392,0.02563,0.02419704,0.02484997113513514,0.026983925932062006
28,662,208,3,1,971.746048,1.239472,0.030421740000000003,0.031734699297297296,0.0431585865008804
27,119,215,3,1,168.01992,0.23048,0.032223879999999996,0.032356173675675705,0.004105454578272649
14,1403,65,1,1,17.88696,0.09126,0.02668866000000001,0.026264555405405395,0.015890816346516255
27,1160,969,1,1,820.131561,1.125009,0.026034399999999996,0.02804535145945951,0.0772420896759486
14,998,503,3,1,885.616004,4.518449,0.025815159999999997,0.02805696010810817,0.08684044987937994
56,73,7,3,1,14.444416,0.004606,0.02662442,0.02857059502702707,0.07309736801879889
28,111,2045,7,1,8721.8432,11.1248,0.03190029999999999,0.03211253367567575,0.00665303071368475
56,202,198,7,1,6146.566272,1.960002,0.03221364,0.03114235848648656,0.03325552509786042
28,1953,334,7,1,25059.095488,31.963132,0.03446472,0.0326960859459458,0.05131723263830946
14,1602,206,7,1,3169.475624,16.170794,0.03496886000000001,0.03364488935135137,0.03786141866359504
28,978,985,1,1,756.02296,0.964315,0.025834080000000002,0.02571991832432431,0.004419033914724038
112,103,81,3,1,942.907392,0.075168,0.03206909999999999,0.031396426594594656,0.02097574941003437
56,539,21,3,1,319.533312,0.101892,0.02577044,0.032217956054054135,0.25019037525374566
56,209,688,3,1,4060.542976,1.294816,0.030059040000000002,0.03318223843243246,0.10390213501271027
27,169,27,3,1,29.957526,0.041094,0.033473020000000006,0.03215845675675678,0.03927232270178277
112,1163,2003,1,1,29246.235648,2.331492,0.03327326,0.03345033102702708,0.005321721617511564
56,10,108,3,1,30.820608,0.009828,0.026569079999999995,0.024679997729729654,0.07110077843381636
56,163,252,7,1,6312.692736,2.012976,0.030847940000000004,0.032106711027026946,0.04080567542036654
14,197,256,7,1,484.399104,2.471424,0.03104861999999999,0.03257407713513513,0.0491312378822358
112,1431,8,1,1,143.704064,0.011456,0.023554960000000003,0.025194223567567568,0.06959313739304011
28,230,256,1,1,46.362624,0.059136,0.025686680000000007,0.02528513524324328,0.01563241169184678
56,754,200,1,1,473.536,0.151,0.02440285999999999,0.024859242702702716,0.018702017005495432
7,515,43,7,1,53.172252,1.085148,0.03478045999999999,0.033593206054054095,0.03413565967632106
27,1158,36,1,1,30.416796,0.041724,0.025848960000000004,0.025074186756756683,0.029973091499360928
13,520,17,3,1,13.448513,0.079577,0.025123180000000002,0.026976267135135103,0.07376005486308265
14,236,199,1,1,9.243948,0.047163,0.02539968,0.025855813945945907,0.017958255613689064
3,215,212,7,1,20.102688,2.233632,0.030990320000000016,0.033716073513513495,0.08795499735122057
56,139,14,7,1,299.074048,0.095368,0.03341572,0.03206250702702698,0.04049629853772479
14,122,214,3,1,46.096456,0.235186,0.034697240000000004,0.03418586156756749,0.01473830288612331
13,500,40,7,1,165.62676,0.98004,0.02936366,0.03341921589189189,0.13811479535902163
56,271,686,1,1,585.152512,0.186592,0.024487959999999996,0.025170878378378357,0.027887924448519237
13,194,17,1,1,0.560235,0.003315,0.024619759999999994,0.024638005405405432,0.0007410878662277154
13,516,129,7,2,137.80957125,3.261765,0.03388739999999999,0.033592883351351424,0.00869103704174906
1,1294,994,5,1,32.156894,32.156894,0.033941900000000004,0.03105015664864869,0.0851968614412073
56,202,10,1,1,6.36608,0.00203,0.024421880000000007,0.024362431891891884,0.002434215060762041
56,55,36,3,1,55.996416,0.017856,0.025570500000000006,0.026670774216216168,0.04302904582296635
14,432,135,1,2,2.864295,0.058455,0.024500460000000005,0.02704368583783788,0.10380318728047859
14,495,94,5,1,228.015424,1.163344,0.03460256,0.033415153027027064,0.034315581649823984
14,23,102,7,1,22.550976,0.115056,0.02429909999999999,0.025585185675675637,0.052927296717806306
3,128,20,1,1,0.02322,0.00258,0.02447564,0.024784584162162126,0.012622516190061873
27,108,174,7,1,671.395878,0.920982,0.03364118,0.03185348264864855,0.0531401499992406
13,1394,45,7,1,519.474735,3.073815,0.034716119999999996,0.03393221600000003,0.022580403570444142
27,804,490,3,2,646.2821925,3.54613,0.03272796,0.032618424000000056,0.003346863049207615
14,325,135,3,1,77.42196,0.39501,0.025378620000000005,0.027775525351351388,0.0944458505368449
13,156,217,7,1,280.365085,1.658965,0.03377215999999999,0.032686445189189214,0.03214821944497404
13,1240,482,3,1,909.152738,5.379602,0.032851979999999996,0.029003432648648738,0.11714810953103157
8,144,178,1,1,1.65184,0.02581,0.024855280000000007,0.02478724340540542,0.0027373095211394053
13,46,138,1,1,1.096134,0.006486,0.024441780000000003,0.024260033135135108,0.007435909531339164
28,462,41,7,1,727.708016,0.928199,0.0349544,0.033276194378378414,0.048011283890485396
8,206,487,1,1,6.451776,0.100809,0.025548480000000002,0.025108158540540573,0.017234741928264588
8,78,50,1,1,0.2528,0.00395,0.024332100000000002,0.02458785200000001,0.010510888908068287
56,48,50,1,1,7.6832,0.00245,0.024770159999999996,0.02492630772972978,0.006303864396910735
56,232,16,1,2,2.922752,0.003728,0.023832020000000002,0.02406219583783785,0.009658259679114352
56,1591,221,1,1,1103.345152,0.351832,0.025033119999999992,0.02498495978378379,0.0019238599190273989
112,52,718,7,1,22957.803008,1.830182,0.03132428,0.03212127362162159,0.02544331814239913
28,196,207,7,1,1558.77624,1.988235,0.03436528,0.03211008929729721,0.06562410382522095
112,697,16,7,1,6854.844416,0.546464,0.031452680000000004,0.03426649118918913,0.08946173073929245
27,974,179,3,2,286.00364925,1.569293,0.03477524000000001,0.03310800145945948,0.0479432648211926
13,254,11,7,1,23.138973,0.136917,0.03436044000000001,0.032882242648648745,0.043020326612559896
3,10,96,3,1,0.078624,0.008736,0.023768579999999994,0.024049580216216247,0.011822339248548011
56,449,482,5,2,4242.170688,5.410932,0.033596959999999995,0.03316675189189187,0.012804971286334479
112,30,172,1,1,66.884608,0.005332,0.024610400000000004,0.024679583405405336,0.002811145101474631
14,1025,172,5,1,863.903712,4.407672,0.030711699999999998,0.03403888983783783,0.10833623139838666
14,89,43,1,1,0.75852,0.00387,0.025051100000000007,0.02466462378378379,0.015427514808380277
3,105,26,1,1,0.024804,0.002756,0.024872660000000008,0.024989919999999954,0.004714413335764869
8,13,476,5,1,9.931264,0.155176,0.023786780000000004,0.023921238378378378,0.005652651530739942
27,229,151,1,2,6.3295425,0.03473,0.02379212,0.031095664972972937,0.3069732740492624
27,457,137,1,1,45.741834,0.062746,0.025191559999999998,0.02493106362162155,0.010340621159564913
56,142,511,1,1,229.156928,0.073073,0.024967620000000003,0.025124266108108157,0.006273970370750365
14,1160,102,1,1,23.210712,0.118422,0.026356340000000006,0.026410143189189144,0.002041375592708932
28,991,237,1,1,184.321536,0.235104,0.025936019999999997,0.025252243135135077,0.02636398587234741
14,316,257,7,1,780.01042,3.979645,0.03389324000000001,0.03273713697297304,0.034110136033821764
14,224,1130,1,1,49.833,0.25425,0.025261920000000004,0.02538560854054055,0.00489624464571761
28,145,250,3,1,255.976,0.3265,0.032626379999999996,0.031840256378378264,0.024094724012340106
14,812,34,1,1,5.417832,0.027642,0.02652078,0.025946929351351355,0.021637774177405263
112,515,101,1,1,653.743104,0.052116,0.025867060000000004,0.024953300216216213,0.035325227675035015
14,862,171,3,2,65.012661,1.326789,0.034599139999999994,0.032358443837837765,0.06476161436851403
8,526,161,3,1,48.78944,0.762335,0.035519579999999995,0.03344290145945958,0.05846574031957632
28,1173,714,1,1,657.177024,0.838236,0.025863759999999996,0.025936849297297275,0.002825934717043421
112,205,235,1,2,151.81376,0.04841,0.025768580000000006,0.0252990008108108,0.018222936195522108
28,237,96,1,1,17.912832,0.022848,0.02671392,0.02583825502702698,0.03277935147567335
56,247,42,1,1,32.664576,0.010416,0.025446079999999996,0.025111944054053995,0.013131136345794771
14,577,55,5,1,155.51228,0.79343,0.03458028000000001,0.03263892199999999,0.05614060961912466
28,1800,160,5,1,5644.92544,7.20016,0.029946640000000004,0.03418289897297299,0.14146024305140698
56,175,122,1,1,67.336192,0.021472,0.024641439999999997,0.025053379297297253,0.01671733864974029
14,516,11,1,1,1.114652,0.005687,0.025643939999999997,0.025466175351351296,0.00693203340238283
14,493,151,1,1,14.620424,0.074594,0.025731719999999996,0.026376025783783768,0.025039359350396004
8,1261,186,3,1,135.1104,2.1111,0.03487262000000001,0.030820367783783692,0.11620154196089408
8,229,64,7,1,45.965312,0.718208,0.03173232,0.03331274659459453,0.04980494948350859
56,112,206,3,2,162.957536,0.207854,0.0325901,0.03275582924324321,0.005085263415675731
14,2014,67,7,1,1295.957684,6.612029,0.034713160000000014,0.032915500162162215,0.051786119092522793
7,1187,192,1,1,11.176704,0.228096,0.02661699999999999,0.02625731405405406,0.01351339166494839
28,235,2039,7,1,18409.201216,23.481124,0.0329998,0.03354235929729735,0.01644129047137693
8,975,147,1,1,9.182208,0.143472,0.025622619999999992,0.025835069459459497,0.008291480709603671
112,220,33,5,1,2277.149952,0.181533,0.03353656,0.03332396000000001,0.006339350249399263
27,80,491,7,1,1403.478819,1.925211,0.03131041999999999,0.03177271481081078,0.014764886922972885
14,186,185,5,1,168.64526,0.860435,0.034708220000000005,0.03331614778378376,0.04010785388061523
56,764,16,1,1,38.38464,0.01224,0.024787879999999998,0.024913506054054048,0.005068043497630683
56,258,17,3,2,30.960944,0.039491,0.03445986000000001,0.0336688950270271,0.02295322653582773
28,141,512,7,1,2773.72928,3.53792,0.030351739999999995,0.031888636810810764,0.05063620111436013
7,258,50,1,2,0.1586375,0.01295,0.03282488,0.027600106108108053,0.15917114980746153
56,529,182,3,1,2717.921024,0.866684,0.03211532,0.0313730249189189,0.023113426273850112
28,47,181,1,1,6.811392,0.008688,0.023949159999999997,0.02464732524324326,0.029151972062621948
28,90,105,1,1,7.49112,0.009555,0.024082499999999993,0.024491429675675625,0.016980366476720958
14,38,16,1,1,0.122304,0.000624,0.02450774,0.02416749556756754,0.01388314191485879
28,521,24,3,1,88.24704,0.11256,0.030868220000000002,0.032035471567567655,0.03781402256325935
28,494,502,3,1,1750.196896,2.232394,0.032245119999999995,0.03222946318918916,0.0004855559790392444
27,528,182,7,1,3432.777894,4.708886,0.0341604,0.03444687135135147,0.008386065483761085
13,65,499,1,1,5.565846,0.032934,0.02434542000000001,0.024837643621621625,0.02021832532039353
28,200,236,1,2,9.297456,0.047436,0.02906099999999999,0.027260551351351307,0.06195411887576765
56,203,1015,1,1,649.34016,0.20706,0.02517364,0.025269108648648578,0.0037924054148934026
14,67,38,1,1,0.506464,0.002584,0.024466740000000008,0.024555946702702745,0.003646039591001402
56,2003,178,1,1,1118.648832,0.356712,0.02611567999999999,0.02497079454054057,0.04383900627743245
28,891,493,5,1,8609.941312,10.982068,0.034270260000000004,0.0327510063243243,0.044331547985795874
14,254,191,7,1,465.965892,2.377377,0.03449165999999998,0.033741566540540495,0.021747096528827115
28,232,259,5,1,1177.927856,1.502459,0.033893900000000005,0.03326971886486487,0.0184157366114591
56,209,212,7,1,6809.209344,2.171304,0.030138460000000006,0.03195280329729728,0.06020026561732991
13,123,46,3,1,8.613592,0.050968,0.03440824000000001,0.03331321081081087,0.03182462076494275
28,118,203,3,1,169.178576,0.215789,0.032205720000000014,0.032001001729729715,0.006356581075358622
56,200,9,1,1,5.673024,0.001809,0.024433259999999995,0.024368643729729727,0.0026446029007290866
28,151,155,1,1,18.47104,0.02356,0.024616240000000005,0.024756361243243284,0.005692227701845597
14,39,250,1,1,1.96,0.01,0.024577099999999998,0.02455530394594591,0.000886844015530254
56,2024,24,1,2,38.1024,0.0486,0.0254184,0.02536232032432438,0.0022062630093011427
56,479,155,1,2,58.3296,0.0744,0.025737740000000005,0.025788628270270238,0.001977184875992694
56,166,225,7,2,1435.014,1.830375,0.03280636,0.0331800158378378,0.011389737777607746
27,37,966,5,1,652.102164,0.894516,0.03174006,0.03141677594594597,0.010185363671462251
56,188,236,1,1,139.878144,0.044604,0.024831660000000002,0.025042594378378337,0.008494574199966293
28,112,162,3,2,32.037768,0.163458,0.03553788000000001,0.033362476648648665,0.061213650092558775
27,258,103,1,1,19.447533,0.026677,0.025266060000000007,0.025328540000000038,0.002472882594279891
8,263,150,3,2,5.6832,0.3552,0.03553198,0.033310831081081106,0.06251126221839852
28,259,240,7,1,2388.12672,3.04608,0.03116485999999999,0.03417593572972975,0.09661765622337998
56,31,170,7,1,810.3424,0.2584,0.031848760000000004,0.0311880695675675,0.020744620275090928
8,119,14,5,1,2.666496,0.041664,0.03366124000000001,0.033290875783783744,0.01100269081638897
28,2010,22,3,1,312.033568,0.398002,0.03422296,0.03280100724324321,0.041549671821396704
28,98,139,3,1,96.225808,0.122737,0.0318205,0.032582831189189275,0.023957234775986342
7,514,994,3,1,225.362662,4.599238,0.02542148,0.02817322621621632,0.10824492579567824
56,24,76,5,1,143.239936,0.045676,0.028500740000000004,0.03045801399999996,0.06867449757444742
56,142,6,3,1,24.065664,0.007674,0.025100539999999994,0.030036893621621673,0.19666324396294582
28,154,5,1,1,0.6076,0.000775,0.024929839999999998,0.02444946167567566,0.0192692100841537
28,79,242,1,1,15.17824,0.01936,0.025185960000000004,0.024661351459459437,0.020829404181558552
28,259,42,1,1,8.56128,0.01092,0.025802220000000008,0.02615641762162162,0.013727408789693765
14,90,195,1,1,3.47802,0.017745,0.02437537999999999,0.024627978864864876,0.010362868798963724
56,58,78,7,2,173.855136,0.221754,0.03376834,0.032730021135135214,0.0307482945523762
224,175,51,7,1,21945.778176,0.437376,0.032029440000000006,0.03298186637837838,0.02973596723446855
56,180,99,3,2,125.815536,0.160479,0.03315798,0.03363448183783789,0.0143706533943833
28,141,234,5,1,646.865856,0.825084,0.0319305,0.0318245236216216,0.0033189702127557896
56,103,613,1,1,199.926272,0.063752,0.024885759999999996,0.024885767675675723,3.084364603274786e-07
27,108,62,5,1,122.079798,0.167462,0.028979400000000002,0.033273959513513585,0.1481935275924823
28,123,499,5,1,1203.380416,1.534924,0.032487739999999994,0.03157603864864868,0.028062935475084358
56,538,147,3,1,2232.584256,0.711921,0.03380604,0.03321164897297306,0.017582391401860225
56,495,382,1,1,594.184192,0.189472,0.024579060000000003,0.025096742000000064,0.02106191205034126
13,33,191,7,1,52.227422,0.309038,0.034668080000000004,0.03431495059459472,0.0101860098801343
56,52,1003,1,1,166.706624,0.053159,0.024727420000000007,0.024805172648648625,0.003144389857438334
28,150,502,1,1,59.428768,0.075802,0.025168660000000002,0.02506666508108111,0.0040524572591029255
7,181,87,1,1,0.775866,0.015834,0.02446368,0.02457642102702699,0.004608506448211709
27,47,166,5,1,142.312464,0.195216,0.033635700000000004,0.032231831729729814,0.04173744771983905
112,58,145,1,1,107.31392,0.008555,0.024453700000000002,0.024524379621621625,0.0028903446767410577
112,237,401,1,1,1197.174272,0.095438,0.025270580000000008,0.025266830702702706,0.00014836609596226784
8,967,224,1,1,13.877248,0.216832,0.02578118,0.026260793081081108,0.018603224564628436
13,122,4,3,1,0.742924,0.004396,0.030469860000000005,0.03125352772972985,0.025719439791644733
14,227,508,1,1,22.701504,0.115824,0.025495079999999993,0.02530750016216216,0.007357491635163887
14,375,976,1,1,71.927296,0.366976,0.025063879999999993,0.025614059297297286,0.021951082485923666
28,828,56,3,1,327.216512,0.417368,0.030888639999999995,0.033081890864864745,0.07100509652949273
7,180,202,1,1,1.791538,0.036562,0.02522148,0.02525309010810811,0.0012533010794017888
28,463,93,1,1,33.831168,0.043152,0.0246535,0.025550123513513566,0.03636901508968575
27,113,27,3,2,5.0093235,0.027486,0.03428466000000001,0.03320893081081083,0.031376399508969186
14,120,48,1,1,1.138368,0.005808,0.025204680000000007,0.024728402108108102,0.018896407012186013
14,178,250,1,1,8.771,0.04475,0.024273,0.02521087578378378,0.03863864309248062
8,409,168,7,2,53.872896,3.367056,0.031058880000000007,0.03350181854054051,0.0786550751521144
13,621,83,1,1,8.724794,0.051626,0.02570160000000001,0.0262230137297297,0.02028720895701791
27,541,32,1,1,12.643776,0.017344,0.02585243999999999,0.025782447081081107,0.0027074008843607543
56,531,90,7,1,7343.8848,2.3418,0.03465613999999999,0.0328604440000001,0.051814656796743346
14,429,178,7,1,733.415536,3.741916,0.03452563999999999,0.032916005729729796,0.04662141730812794
28,220,20,1,1,3.46528,0.00442,0.025170139999999997,0.02576859670270267,0.023776455065513128
112,15,203,5,1,957.458432,0.076328,0.03373192,0.02884074221621618,0.14500146400749853
27,2088,376,1,1,572.603256,0.785464,0.02465979999999999,0.025674347675675734,0.04114176415363247
28,1008,152,1,1,120.240512,0.153368,0.0252312,0.025098887027027044,0.0052440222015978115
28,203,487,1,1,77.888832,0.099348,0.024707480000000004,0.025707677783783755,0.04048157820157097
28,116,508,1,1,46.597824,0.059436,0.02489106,0.0249716824864865,0.0032390137859335576
56,466,4,1,1,5.858048,0.001868,0.02459416,0.02474971475675675,0.006324865608613985
27,499,194,3,2,158.821398,0.871448,0.034687779999999994,0.032436909189189116,0.06488944552839297
56,210,157,7,1,5066.794432,1.615687,0.0336765,0.03229941459459461,0.04089158331196502
3,1660,151,1,1,2.257299,0.250811,0.02672006000000001,0.026005716108108173,0.02673436705949901
8,1668,127,1,1,13.565632,0.211963,0.026043739999999985,0.026158500486486443,0.004406451857008912
56,85,96,3,2,57.652224,0.073536,0.03010923999999999,0.030387365243243213,0.009237205696431557
8,124,77,1,1,0.616,0.009625,0.024695899999999993,0.025032093027027042,0.013613313425590861
7,272,19,5,1,6.331731,0.129219,0.03370194,0.03380478643243247,0.0030516472473830435
28,114,166,7,1,727.114528,0.927442,0.03177452,0.0323454543243242,0.017968306817040872
8,843,145,7,1,383.33824,5.98966,0.03431056,0.03380374708108116,0.014771339171346641
27,500,113,1,1,41.270877,0.056613,0.025896020000000006,0.025852180486486496,0.001692905454718905
28,981,175,3,1,1211.476,1.54525,0.03179858,0.03169287232432436,0.0033242891876189753
7,40,14,1,1,0.028126,0.000574,0.0247005,0.024391187405405395,0.012522523616712427
28,1160,58,3,1,474.773152,0.605578,0.03279807999999999,0.03282283010810804,0.0007546206396242491
28,70,105,5,1,144.14232,0.183855,0.033203060000000006,0.03231032702702706,0.026887069233165417
28,528,156,7,1,3164.371392,4.036188,0.029154100000000002,0.03376348789189186,0.1581042766503462
14,92,86,7,1,76.003704,0.387774,0.03384608000000001,0.0338531227567568,0.00020808190362945684
14,1704,130,1,1,43.4434,0.22165,0.025905719999999993,0.025967740486486476,0.002394084645649011
56,126,60,1,1,23.89632,0.00762,0.025695779999999998,0.02531838259459462,0.014687135607690348
13,191,236,1,1,7.657728,0.045312,0.025160799999999997,0.02539140010810811,0.009165054692542118
