feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
14,44,44,5,1,0.224224,0.001144,0.019787920000000004,0.019879658407786296,0.004636081396442464
7,75,75,7,1,0.18375,0.00375,0.020171480000000006,0.020067293648157316,0.005165032602599786
56,132,132,5,1,10.762752,0.003432,0.020368940000000002,0.019762355301801784,0.029779885364590312
28,560,560,3,1,4.3904,0.0056,0.02058842,0.019924507490090112,0.03224688975209791
14,210,210,3,1,0.4116,0.0021,0.019757480000000008,0.01997219855675681,0.010867709685486353
56,91,91,3,1,2.85376,0.00091,0.020371679999999993,0.019897307881513983,0.023285861474655504
14,93,93,5,1,0.473928,0.002418,0.019581659999999997,0.02158714376532163,0.10241643279076604
112,17,17,7,1,10.6624,0.00085,0.019684579999999997,0.019986656568468403,0.015345847788899034
7,497,497,3,1,0.24353,0.00497,0.019829279999999998,0.0198874615675675,0.0029341240613628356
7,135,135,7,1,0.33075,0.00675,0.01969049999999999,0.019838665995752784,0.00752474521991798
112,403,403,3,1,50.55232,0.00403,0.019605620000000004,0.019809245732432493,0.010386089928933058
56,60,60,5,1,4.89216,0.00156,0.019934800000000003,0.019985928717503328,0.0025647971137571024
28,22,22,5,1,0.448448,0.000572,0.019763740000000002,0.01988737911544405,0.00625585620151087
112,67,67,5,1,21.851648,0.001742,0.01971694,0.0199917275682169,0.013936623442425786
56,65,65,5,1,5.29984,0.00169,0.019840979999999998,0.020060642513513586,0.01107115240847923
14,41,41,5,1,0.208936,0.001066,0.020241480000000003,0.019977179353506107,0.013057377548178055
14,170,170,3,1,0.3332,0.0017,0.019601440000000005,0.01991259250990091,0.01587396180591348
56,158,158,3,1,4.95488,0.00158,0.02036898000000001,0.019782090204761894,0.028812920197187824
14,155,155,5,1,0.78988,0.00403,0.019788299999999998,0.01985671611021561,0.003457402112137609
14,230,230,3,1,0.4508,0.0023,0.019815999999999997,0.019908473400128655,0.004666602751749019
112,57,57,3,2,1.78752,0.00057,0.02001512,0.020100941260360373,0.004287821425021282
28,89,89,5,1,1.814176,0.002314,0.02015828,0.019716306867567562,0.02192514105531019
14,60,60,5,1,0.30576,0.00156,0.01952136,0.019775422644551687,0.01301459757679207
28,24,24,5,1,0.489216,0.000624,0.019785540000000004,0.01980403480501931,0.0009347637223601443
112,15,15,5,1,4.89216,0.00039,0.019688839999999996,0.019956502045752878,0.01359460718624777
28,82,82,5,1,1.671488,0.002132,0.020003899999999998,0.020050034883054464,0.0023062944253103702
14,44,44,5,2,0.056056,0.001144,0.01971202,0.01994436754491641,0.01178709969431907
14,26,26,5,1,0.132496,0.000676,0.020471979999999997,0.01974485131827539,0.03551823916028679
112,94,94,5,1,30.657536,0.002444,0.019901659999999995,0.019830088857657704,0.003596239828350509
28,24,24,3,1,0.18816,0.00024,0.01972608,0.019730679329150645,0.00023315981434959222
