feature0,feature1,feature2,feature3,True,Pred,Error
3993,731,2.9192485,5.838497,0.0076538399999999986,0.007790689513513497,0.01787985031219607
24635,1000,24.6355,49.271,0.00751294,0.00783923399999996,0.043430933828828726
2660,615,1.6362075,3.272415,0.028448899999999996,0.009626331243243243,0.6616272951417016
1719,2063,3.5473285,7.094657,0.00763242,0.00762623940540542,0.0008097817723054937
2606,4447,11.5911055,23.182211,0.007554760000000001,0.007570900972972963,0.002136530210484803
3610,1013,3.6574365,7.314873,0.03603811999999999,0.036368727027027065,0.00917381447830996
3558,1125,4.0033125,8.006625,0.007634799999999997,0.0076314457297297226,0.00043933963827141447
2595,564,1.463862,2.927724,0.00960828,0.009655744270270277,0.004939934126636315
24668,1000,24.6685,49.337,0.007764760000000001,0.007640873027027022,0.015955029256922087
2147,562,1.206895,2.41379,0.009546359999999999,0.009715474378378311,0.01771506400118085
923,4738,4.375543,8.751086,0.008135660000000003,0.007747470324324329,0.04771458931121431
580,1001,0.5810805,1.162161,0.00957714,0.031336831582882765,2.272044846674766
1561,4041,6.3100215,12.620043,0.027464100000000012,0.019094271027027047,0.30475526134018455
3904,1048,4.091916,8.183832,0.032807499999999996,0.03501382799999992,0.0672507201097287
1174,1223,1.4364135,2.872827,0.00961906,0.009818592270270267,0.02074342714051755
1094,1075,1.1765875,2.353175,0.06029932000000002,0.05258091081081074,0.1280015958586146
1769,1010,1.787195,3.57439,0.052704039999999994,0.042388477567567515,0.19572621818806452
5738,556,3.190606,6.381212,0.007668100000000002,0.010037297027027027,0.3089679356068679
1720,1037,1.7841585,3.568317,0.009587000000000002,0.02401565708108113,1.505023164814971
2009,2292,4.605774,9.211548,0.007659639999999999,0.007727728648648666,0.008889275298665069
1181,1188,1.403622,2.807244,0.009662040000000004,0.009826807189189195,0.01705304357974007
3590,1000,3.5905,7.181,0.03721302,0.03825618005405397,0.028032125692942174
930,4030,3.749915,7.49983,0.03752856,0.038511412918918825,0.0261894652744156
2240,1000,2.2405,4.481,0.048709200000000015,0.042891093873874145,0.11944573358063504
4173,3972,16.577142,33.154284,0.007633,0.007994715891891872,0.04738843074700279
3683,1000,3.6835,7.367,0.035067300000000017,0.04017493967567564,0.1456524932251876
3271,612,2.002158,4.004316,0.00966164,0.009621816486486481,0.0041218171566648615
1617,4079,6.5977825,13.195565,0.007647959999999999,0.029817503351351436,2.898752523725469
1129,1000,1.1295,2.259,0.058995059999999995,0.05952508023423445,0.008984146032472166
972,848,0.82468,1.64936,0.009664059999999997,0.009684681729729727,0.00213385779162484
1502,656,0.98564,1.97128,0.0095102,0.009654404162162157,0.015163105104220434
1483,1083,1.6066305,3.213261,0.00981032,0.014990175621621625,0.5280006790422356
429,1045,0.4488275,0.897655,0.009803479999999996,0.009929813783783775,0.01288662635959665
