feature0,feature1,feature2,feature3,True,Pred,Error
958,1000,0.9585,1.917,0.05969797999999999,0.05917685702702716,0.008729323387036433
3846,4082,15.701413,31.402826,0.008969719999999999,0.00930924156756759,0.03785196946700575
3820,1039,3.9694995,7.938999,0.03506904,0.03682608044594603,0.05010232518329628
1029,1000,1.0295,2.059,0.06008090000000002,0.058531456270270274,0.02578928960334725
599,1016,0.609092,1.218184,0.059185240000000014,0.05877952609639632,0.0068549845130930235
24596,1003,24.6702895,49.340579,0.007579660000000003,0.007752193297297295,0.022762669736807788
3760,1000,3.7605,7.521,0.036701040000000004,0.03656066298352642,0.003824878435967576
2233,1000,2.2335,4.467,0.04902808,0.04297247654054076,0.12351296358044699
634,1000,0.6345,1.269,0.06118996000000001,0.060256356477477395,0.015257462539975732
2309,1000,2.3095,4.619,0.04769697999999998,0.04554416819459459,0.04513518057968003
9513,1000,9.5135,19.027,0.015860440000000007,0.014233401135135167,0.10258472431186269
4040,4076,16.469078,32.938156,0.00883432,0.009321950432432405,0.055197279749024844
2269,1000,2.2695,4.539,0.04901180000000002,0.03040547713223935,0.3796294538817318
3980,1000,3.9805,7.961,0.03331646,0.0329747922162164,0.010255224708255241
24576,1009,24.7976885,49.595377,0.007913400000000001,0.007663416108108101,0.031589947670015446
782,1000,0.7825,1.565,0.05794294,0.06057053802702716,0.045348027335636754
9629,1000,9.6295,19.259,0.013762719999999992,0.013723687837837858,0.002836079071733934
4160,1046,4.351883,8.703766,0.03165964000000001,0.03523323778378374,0.11287550281000444
1908,1076,2.053546,4.107092,0.05402276000000002,0.04913379578378371,0.09049823104588331
3676,1057,3.8860605,7.772121,0.03580401999999999,0.0389869055135135,0.08889743424100162
3862,1000,3.8625,7.725,0.038748359999999996,0.03765790486216211,0.028141968791398762
4169,1000,4.1695,8.339,0.035674660000000004,0.04019010092342354,0.12657278088770949
24539,1000,24.5395,49.079,0.007579260000000001,0.007545386324324363,0.004469258961381199
3829,1000,3.8295,7.659,0.036328820000000005,0.03686128665830124,0.014656866319941996
1070,1010,1.081205,2.16241,0.05987293999999999,0.05458905232432415,0.08825168224035505
3835,1023,3.9237165,7.847433,0.03746514,0.03752665245045062,0.001641858283476878
1785,1010,1.803355,3.60671,0.05165128,0.04174019900090089,0.1918845186237226
4089,1000,4.0895,8.179,0.036580100000000004,0.03635921887876463,0.006038286424459612
2006,1000,2.0065,4.013,0.05457589999999998,0.056044431837837715,0.02690806450901831
1902,4055,7.7146375,15.429275,0.02382630000000001,0.02582870891891895,0.08404195863054444
3912,4036,15.79085,31.5817,0.009411919999999999,0.008451298432432407,0.10206435749215803
3663,1070,3.919945,7.83989,0.03864079999999999,0.038518411261261196,0.0031673448463487674
25077,1000,25.0775,50.155,0.007833979999999999,0.007606627967567596,0.02902126791648731
3675,1005,3.6938775,7.387755,0.040310240000000004,0.03606058870900909,0.10542361670361952
24591,1000,24.5915,49.183,0.007091939999999999,0.007554089513513529,0.06516545733798236
24503,1000,24.5035,49.007,0.007488579999999999,0.007640246662162189,0.020253060281413784
870,1000,0.8705,1.741,0.060430940000000016,0.06094600333494214,0.008523172648681712
1257,4079,5.1293425,10.258685,0.03331898,0.030208898594594594,0.09334263550100887
3766,4058,15.284457,30.568914,0.010742319999999998,0.011006113405405417,0.024556465028543122
1129,1000,1.1295,2.259,0.058995059999999995,0.05831265717503234,0.011567118076795843
639,1000,0.6395,1.279,0.059309,0.06000907202252248,0.011803807559096931
9157,1001,9.1666575,18.333315,0.007801159999999999,0.014147508216216251,0.8135134026498948
1437,1014,1.457625,2.91525,0.032564880000000004,0.0561847736756757,0.7253180013461034
995,1005,1.0004775,2.000955,0.06004218000000001,0.05761884567927929,0.040360531891425654
621,1000,0.6215,1.243,0.06049544000000002,0.06035579532007699,0.002308350512419264
3996,1000,3.9965,7.993,0.03480260000000001,0.03426175647232954,0.015540319621823336
24978,4067,101.5875595,203.175119,0.007628460000000001,0.007588896108108104,0.005186353719085705
24516,4069,99.7576385,199.515277,0.007658860000000002,0.007319372324324361,0.044326136745630636
2240,1000,2.2405,4.481,0.04056355999999999,0.04773688768828826,0.17684166991970796
4034,1000,4.0345,8.069,0.0344542,0.035434238657657435,0.02844467895517638
1571,1010,1.587215,3.17443,0.05262520000000001,0.05328933221621626,0.012620041657157615
2106,1000,2.1065,4.213,0.043479739999999996,0.04060578199999976,0.06609878531932893
1800,1075,1.9355375,3.871075,0.04816162,0.04458741314234236,0.07421276231276362
602,1000,0.6025,1.205,0.00951976,0.032007355833333404,2.3622019707779818
3815,1000,3.8155,7.631,0.03550765999999999,0.03547586918918916,0.0008953226095673995
25086,1000,25.0865,50.173,0.007631460000000001,0.007572629805405452,0.007708904271862653
4043,1000,4.0435,8.087,0.03531531999999999,0.03474550671827536,0.01613501680643506
3784,1000,3.7845,7.569,0.040830700000000004,0.03832909032432436,0.06126786157659903
