feature0,feature1,True,Pred,Error
14,208,0.004531379999999999,0.004577402891891879,0.010156484755610963
7,21,0.004531939999999999,0.004545681866924079,0.0030322261380511823
14,85,0.00455682,0.004576794624152718,0.004383456917920411
112,162,0.004705380000000001,0.004612415413513507,0.01975708369706463
7,39,0.0045391,0.004549495807722008,0.0022902795095961865
112,1077,0.0044607200000000005,0.0045800921621621665,0.02676073866150891
112,1261,0.004585820000000001,0.004601104783783783,0.0033330535833900493
112,113,0.004549540000000001,0.004776771488545678,0.04994603598290741
14,803,0.0046548,0.004648448882882866,0.0013644232012403597
7,826,0.004554719999999999,0.004578624540540561,0.0052483007826083505
56,142,0.004570059999999999,0.012165669256456438,1.6620370972058225
112,45,0.0046266599999999995,0.004703721029729722,0.016655866160410066
7,498,0.00453908,0.004683451155812957,0.03180625937700086
14,35,0.0050492,0.004554396213642212,0.09799647198720354
28,126,0.0045898,0.004569149108880311,0.0044993008670724186
224,987,0.004605579999999999,0.004771063656756777,0.03593112197742271
112,33,0.00456772,0.004534926901801818,0.007179314449699617
7,2003,0.0044912,0.004600327189189167,0.024298002580416696
14,36,0.004552840000000001,0.0045834499137709225,0.006723257081496778
28,158,0.004584980000000001,0.004562103543494795,0.004989434306192356
28,800,0.004688200000000001,0.004607873401801786,0.017133782304128507
28,15,0.004609900000000003,0.00455663195452596,0.011555141212183007
14,223,0.005053180000000001,0.004535532013770916,0.10244004492796316
14,136,0.004499620000000001,0.004578476860617772,0.01752522671198257
14,455,0.004514099999999998,0.00456709210810809,0.01173924106867192
7,271,0.00453396,0.00460279366666669,0.015181798398461753
112,114,0.004554200000000001,0.004622869063813818,0.015078183613766756
28,211,0.004613979999999998,0.00461789811351353,0.0008491830293003796
14,786,0.00463504,0.004645987238738759,0.002361843422874164
14,226,0.0052996599999999994,0.004558602028828822,0.13983122901680056
28,193,0.004583959999999999,0.004594298468597151,0.0022553575068612938
112,229,0.004722200000000001,0.004593736433333333,0.027204177431423508
7,252,0.00457598,0.004544293067567547,0.006924622142678439
56,123,0.004563499999999999,0.004585397657571849,0.004798434879336072
14,115,0.00451528,0.004540592938288285,0.005606061703434818
14,292,0.004559980000000001,0.004520688720720728,0.008616546405745808
7,534,0.00451488,0.004557122792792793,0.00935634896005937
14,117,0.004502260000000001,0.004584317349034733,0.018225813043833902
56,175,0.0046706399999999985,0.004647054008517621,0.005049841452644082
14,522,0.0045606200000000005,0.004654720471900472,0.020633262999432436
7,524,0.004593179999999999,0.004571326423423428,0.0047578315190283955
14,185,0.00451782,0.004556527941441453,0.008567836133678024
14,139,0.004547079999999998,0.004538603387387359,0.0018641881411012979
7,143,0.004594680000000001,0.004557225347490354,0.008151743431457062
7,74,0.004558339999999999,0.004540196685971668,0.003980245885197483
14,10,0.0045822400000000004,0.004576288411518663,0.0012988382278835556
28,51,0.004501079999999999,0.004565359915315313,0.01428099818606058
7,177,0.004552960000000001,0.004557396603603597,0.0009744437912030739
14,494,0.00454592,0.004636946886486466,0.020023864583289183
28,272,0.00464912,0.004590287976576552,0.012654442867348674
112,32,0.00465182,0.004550833144144167,0.021709106512253957
14,853,0.004609879999999999,0.004620430270270295,0.002288621454418667
14,195,0.0046180000000000014,0.004545877326126133,0.015617729292738875
7,800,0.004620159999999999,0.0045795222486486676,0.008795745461484336
112,200,0.00446036,0.0045580584566923925,0.021903715550402315
28,39,0.004547120000000001,0.004549988765444767,0.0006308972371008943
7,901,0.004517320000000001,0.004554270054054055,0.008179640595320625
56,186,0.00512112,0.004627041384942058,0.09647862480432824
28,22,0.004542560000000001,0.004540841486486483,0.0003783138832547456
7,145,0.004567579999999999,0.004544722995495504,0.005004182631611297
14,413,0.00456144,0.004576953618017992,0.0034010352033550374
224,974,0.0045981600000000004,0.004688660909909913,0.019681983643438348
112,279,0.004563079999999999,0.004560344770270269,0.0005994262054862656
56,104,0.0045441399999999995,0.0045102436263835186,0.007459359442376536
56,74,0.00464336,0.004680369630115837,0.007970441687880605
28,32,0.0045798800000000014,0.004547647954826252,0.007037748843583101
14,225,0.004524239999999999,0.004558212632432427,0.007509025257817398
112,1964,0.004576719999999999,0.004572757027027032,0.0008658980608312362
56,138,0.0045674,0.004557005571428573,0.00227578678710579
112,202,0.00451428,0.00452671593262547,0.0027547986889315205
28,37,0.004546379999999999,0.0045755381468468356,0.006413486520448443
56,395,0.00463374,0.004575069735135131,0.01266153579287336
14,254,0.004544840000000001,0.004533395574131272,0.0025181141401522116
14,205,0.0045386,0.004537507957593308,0.0002406121726285977
112,267,0.0045687,0.004626510716988415,0.012653646986760999
7,184,0.004516780000000001,0.004556936063063048,0.008890418187967392
56,173,0.004683399999999999,0.004699487264548967,0.0034349542103959455
28,317,0.004591680000000002,0.004601645513513497,0.002170341468372232
14,493,0.004567679999999999,0.004550304004054026,0.00380411849034374
14,143,0.004545880000000001,0.004540291182625484,0.0012294247482372994
14,9,0.00453994,0.004637311014157009,0.021447643395509332
14,122,0.00454992,0.004600752788288293,0.011172237816993032
14,122,0.00455398,0.004600752788288293,0.010270749605464398
14,12,0.00460046,0.004546497431274147,0.0117298202192505
14,195,0.004544219999999999,0.004545877326126133,0.0003647108032036973
28,204,0.0045993,0.004583124676705274,0.0035169098112159264
7,104,0.0045545199999999985,0.0049814991621621625,0.09374844377940246
7,27,0.004572920000000001,0.004639958321921922,0.01465985014431057
112,169,0.00466082,0.004625805797747741,0.007512455373144444
7,43,0.004545220000000001,0.004594257211454322,0.010788743219100746
7,45,0.00455144,0.004570160462162161,0.0041130855646039095
56,190,0.0046634,0.004603736766666655,0.012793934325458799
56,92,0.00454144,0.004490286594594614,0.011263697286628538
3,676,0.00453264,0.004571692810810793,0.008615908347186847
28,239,0.004617760000000001,0.004672826281853291,0.011924890391291479
56,162,0.004632000000000001,0.0046615904709137726,0.006388270922662319
112,1078,0.004497480000000001,0.0045800921621621665,0.018368544643259283
56,183,0.00465188,0.004636114417503218,0.003389077641035831
28,175,0.0045659,0.004580036702702706,0.003096148120349894
14,76,0.004580099999999998,0.004570597817760601,0.002074666980938807
14,125,0.00457118,0.004563463245774342,0.0016881317790281975
14,884,0.0046241,0.0046298211351351575,0.0012372429521761213
112,229,0.004522979999999999,0.004593736433333333,0.01564376436184409
14,159,0.004564240000000002,0.004562152406037209,0.00045738041005588087
7,303,0.0046438,0.004571748810810779,0.01551556681795529
7,58,0.0045834199999999995,0.0045702588523809365,0.002871468820021525
7,472,0.004544620000000002,0.004535635783783797,0.00197689052466537
7,48,0.004557460000000001,0.004523712923938227,0.007404799178001306
7,202,0.004542139999999998,0.0045868013963963755,0.009832677195413881
112,844,0.004619979999999999,0.004574628324324319,0.009816422511716553
112,1177,0.0046511799999999996,0.0049112074999999875,0.055905705648886514
28,8,0.0045577000000000005,0.004558725479794078,0.00022499940629653464
28,4,0.00454256,0.0045759777144144306,0.007356581842491983
14,208,0.004666080000000001,0.004577402891891879,0.019004626604799305
14,92,0.004542579999999999,0.004542300599099125,6.1507095279304e-05
56,14,0.00461156,0.004578726193693688,0.007119891383027
56,241,0.004633440000000001,0.004675423927927901,0.00906107080870802
14,1269,0.0046632800000000005,0.0046434920998712995,0.004243343768485061
56,36,0.004565240000000001,0.004641139273938233,0.016625472907937425
28,121,0.005103939999999998,0.004571696749549525,0.10428085958112224
14,163,0.004552400000000001,0.004556713685478352,0.0009475629290815563
28,228,0.004616959999999999,0.004701981624324339,0.018415066260989887
28,178,0.004611039999999999,0.0045956165585585695,0.0033448943061500096
28,986,0.0046265199999999986,0.004731532729729754,0.022697995411185
14,265,0.004524520000000001,0.004514473211711725,0.0022205202514908686
