feature0,feature1,feature2,feature3,feature4,True,Pred,Error
224,506,506,3,1,0.005182879999999998,0.0051438076706563805,0.007538729305640442
224,28,28,3,2,0.005112640000000001,0.005108678990990987,0.0007747482727149564
28,1051,1051,2,2,0.005070119999999999,0.005157383945945937,0.017211416287176175
56,492,492,2,1,0.0048692200000000005,0.005095044855083689,0.046378034897517094
28,32,32,3,2,0.0050984,0.005045141799313594,0.010446061644124888
56,195,195,3,2,0.005085940000000001,0.005059086401801781,0.00527996755726956
14,59,59,2,1,0.00520624,0.005086363356756741,0.02302556993977586
28,81,81,2,2,0.00516242,0.005072282962676943,0.017460229373638073
112,488,488,2,2,0.005120059999999998,0.004983255128442712,0.02671938835820017
224,568,568,3,1,0.00518698,0.005148886837837812,0.007343996345115588
14,216,216,2,1,0.0051223,0.0051593475333333565,0.007232597335836786
14,70,70,3,2,0.005440940000000002,0.005008020279279262,0.07956708229106356
14,50,50,3,2,0.004697420000000001,0.005092647464350047,0.08413713577879899
28,62,62,2,1,0.0050992799999999994,0.0049096212063063135,0.03719324957517257
56,137,137,2,2,0.00478212,0.004855185057657648,0.015278800544036616
14,435,435,2,2,0.00510536,0.005108895931531512,0.0006925920075200064
112,53,53,3,2,0.00512552,0.004746163597525449,0.07401325182119103
56,503,503,3,2,0.005171839999999999,0.005116435891505795,0.010712649365448938
112,503,503,2,2,0.005161639999999999,0.0050201826698198105,0.02740550099971872
224,841,841,3,2,0.004758559999999999,0.00494720553513512,0.03964340790808996
28,193,193,3,1,0.005120939999999999,0.005058567551351343,0.012179882726346375
112,233,233,3,2,0.0055809,0.004845942745817248,0.13169152899760822
112,74,74,2,2,0.004712720000000001,0.005087137973959673,0.07944838096888245
112,240,240,3,2,0.005132639999999999,0.004889212864864846,0.04742727624286004
28,497,497,2,2,0.0047517,0.004828495888288286,0.01616177121625649
14,61,61,3,2,0.005096360000000001,0.005150301906842581,0.010584398834183661
112,509,509,3,2,0.005105439999999999,0.005045856653539259,0.011670560512069581
14,28,28,2,2,0.00513464,0.0051536385810810595,0.00370008044985807
28,512,512,2,2,0.005647719999999999,0.004925941710489075,0.12779994219099464
14,240,240,3,2,0.005089140000000001,0.004821369631402825,0.05261603504662395
112,188,188,3,2,0.005047959999999999,0.004841711693693689,0.04085775368788783
14,508,508,3,2,0.0047153,0.005107218682882883,0.08311638345023281
28,34,34,3,2,0.005141880000000001,0.0050697080335907205,0.014036104772822404
112,193,193,2,2,0.0046853200000000015,0.0050970279598455655,0.0878718977242886
14,37,37,2,2,0.00509626,0.005130423581853273,0.00670365755539813
112,32,32,3,2,0.0050757200000000014,0.005103516748005149,0.005476414775666795
14,25,25,2,2,0.005087099999999998,0.005038742992084959,0.009505810366424691
112,53,53,3,2,0.004759680000000001,0.004746163597525449,0.002839771260789105
14,56,56,3,2,0.00507064,0.005034921604118403,0.007044159293816393
14,305,305,2,2,0.00510242,0.005178782810810784,0.014965998645894285
28,74,74,3,2,0.004715840000000001,0.005042242007721995,0.06921396988065624
28,197,197,3,2,0.00510404,0.0048542911459459335,0.04893160203565535
56,243,243,2,2,0.005113040000000001,0.004798741554054071,0.061469975972401864
14,64,64,2,2,0.005091720000000001,0.004944700293545496,0.02887427165172183
112,509,509,2,2,0.0052105599999999995,0.004930495099034752,0.05374948200678003
112,185,185,3,2,0.0051125599999999995,0.0050385641756756526,0.014473341012007085
14,200,200,2,2,0.004747360000000002,0.004913271949549539,0.03494825535656394
14,195,195,2,1,0.004811640000000001,0.006657616354504487,0.3836480606413793
28,95,95,2,1,0.004716719999999999,0.005118072182882886,0.08509137342960522
112,246,246,3,2,0.00475022,0.005038496812419545,0.060687044477844065
14,121,121,2,1,0.00508724,0.005088428851351357,0.00023369279832630743
14,64,64,3,1,0.00474162,0.004985872834620327,0.051512528338484985
224,1054,1054,2,2,0.004783960000000001,0.004944016921492929,0.03345699409964287
224,234,234,2,2,0.00469504,0.004883542496846855,0.04014928453151721
14,276,276,3,2,0.005066280000000002,0.005131750972972962,0.012922888780912179
14,505,505,3,2,0.005117019999999999,0.004900962262162167,0.04222335223193032
14,55,55,2,2,0.005102560000000002,0.004910608999099092,0.0376185681110873
224,52,52,3,2,0.005185380000000002,0.005066916825166729,0.02284561108988597
56,129,129,2,2,0.00509708,0.004985483376576577,0.02189422638518983
224,232,232,2,2,0.004704379999999999,0.005073172135135126,0.07839335579505202
224,150,150,2,2,0.00514362,0.005101324558558551,0.008222893884355542
224,497,497,2,2,0.004773320000000001,0.004951215086550838,0.03726862782106306
14,25,25,2,2,0.005139099999999997,0.005038742992084959,0.019528129033301197
14,252,252,3,2,0.0050964,0.0050043520065636915,0.01806137537012568
28,509,509,2,2,0.0051005999999999985,0.005118567483011586,0.0035226214585709795
112,492,492,2,2,0.0050126400000000005,0.005063612867310194,0.010168866567356343
14,239,239,3,2,0.005056519999999998,0.0048393879063063005,0.04294101352188816
56,134,134,2,2,0.005076479999999999,0.005049606979150577,0.005293632763139287
28,839,839,3,2,0.004707580000000001,0.0052466133468468505,0.11450327914700319
14,280,280,2,2,0.00515916,0.005129906324324294,0.005670240053750276
224,251,251,3,1,0.00478636,0.00495614655405403,0.03547300120635096
14,518,518,2,2,0.00516804,0.005092909113899625,0.014537597638635732
14,61,61,2,2,0.005088479999999999,0.005096526359911863,0.0015812894836697013
112,99,99,3,2,0.00513852,0.0051257400360360285,0.0024870904392648536
14,143,143,3,1,0.005047140000000001,0.00507182122076363,0.004890139913620205
14,31,31,2,1,0.0051458599999999995,0.005128361048005155,0.0034005884331956967
14,43,43,2,2,0.00509956,0.005099779135135165,4.297138089647548e-05
56,190,190,2,1,0.004760580000000001,0.005132077135135138,0.07803610802363087
112,63,63,2,2,0.0051966600000000005,0.005099520995881613,0.018692584105634673
14,644,644,3,2,0.005370319999999999,0.005090136810810827,0.05217253146724442
112,183,183,2,1,0.0051953599999999996,0.005035943432432414,0.0306844121615414
14,250,250,3,2,0.005106399999999999,0.004820145399871315,0.056058005665181626
224,31,31,2,2,0.0051102000000000005,0.005143946790090081,0.006603810044632394
14,505,505,2,2,0.00511666,0.005030422059716868,0.01685434253656331
112,56,56,2,2,0.005116259999999999,0.005027065616315666,0.017433512699576128
14,192,192,3,2,0.0050851,0.004932296143028727,0.03004933176757063
112,59,59,2,2,0.005118039999999999,0.005041571367310162,0.014940999423575596
14,338,338,2,2,0.005097179999999999,0.005108215351351338,0.002164991495560101
56,497,497,2,2,0.00508902,0.004818225574131253,0.053211507494320506
14,471,471,2,2,0.0047825,0.005118895094594603,0.07033875475057036
28,434,434,2,2,0.00509246,0.005107081297297283,0.0028711658603666067
14,384,384,3,2,0.00510596,0.005134025135135149,0.005496544261049726
14,485,485,2,2,0.005061380000000002,0.005138135873873881,0.015165009122784501
14,122,122,2,2,0.00507606,0.005180818882882876,0.020637833848078255
112,68,68,2,2,0.00532138,0.004999518994851996,0.06048449934941765
28,54,54,3,2,0.0050871,0.0047661321616044566,0.06309446214848209
14,66,66,2,2,0.005072159999999999,0.005001881877953277,0.013855659530993221
112,504,504,3,2,0.005158719999999999,0.0048753926124195665,0.05492203251590164
14,476,476,3,2,0.004709340000000002,0.005122052810810835,0.08763708095207252
14,254,254,2,2,0.00514364,0.00500191254375805,0.027553922172226276
28,234,234,3,2,0.005093799999999998,0.005077346220334646,0.003230158165878491
14,149,149,2,2,0.00470448,0.005120441397683391,0.08841814561511405
14,281,281,3,2,0.005108819999999999,0.00517781205405403,0.013504498896815844
224,842,842,3,2,0.0047772000000000005,0.005016091864864842,0.05000667019694419
28,53,53,2,2,0.005100840000000001,0.005118073224967827,0.0033785072591625423
112,144,144,3,2,0.00509986,0.005020599558558577,0.015541689662348302
112,61,61,2,2,0.004750480000000002,0.004928377355212354,0.03744829053324115
28,364,364,3,2,0.005072199999999999,0.005081344625225239,0.0018028912947518824
14,283,283,2,1,0.005090559999999999,0.005114223297297274,0.004648466435377372
28,141,141,3,2,0.004730459999999999,0.0053416130099098865,0.12919526006136567
28,190,190,3,2,0.00472244,0.00505356034234236,0.07011636830586732
28,370,370,2,2,0.005059379999999999,0.004801036912483899,0.051062202782969406
112,467,467,2,2,0.005072719999999999,0.004924725423423414,0.02917459993387874
112,254,254,2,2,0.005145479999999999,0.005085818169776932,0.011594997983291607
14,513,513,3,2,0.0055118599999999995,0.0048880660404547254,0.11317304132276113
28,58,58,2,2,0.005121799999999998,0.005216218535135149,0.01843463921573478
14,412,412,2,2,0.00519606,0.0051230831516087824,0.014044650829901367
14,491,491,3,2,0.005091119999999999,0.004755022984255676,0.06601632170216436
14,38,38,3,2,0.005090699999999999,0.005100956296267678,0.002014712371123607
56,500,500,2,2,0.00474366,0.005009369072329487,0.05601351537198838
14,468,468,2,2,0.0050892,0.0050940956324324405,0.0009619650303466498
14,194,194,3,2,0.005233380000000002,0.004830761454954932,0.07693279392000392
112,63,63,2,2,0.004723179999999999,0.005099520995881613,0.07967957941082374
56,243,243,2,2,0.004753699999999999,0.004798741554054071,0.009475051865719883
112,131,131,3,2,0.004768639999999999,0.0049895543996138995,0.046326499717718295
112,59,59,2,2,0.005203020000000002,0.005041571367310162,0.031029792829902536
28,68,68,3,1,0.005170160000000002,0.005108447981981993,0.011936191146504009
14,80,80,2,2,0.0047307799999999995,0.005115041773616455,0.08122588106326126
112,492,492,3,2,0.00509312,0.00480768864169884,0.05604253547946242
224,501,501,3,2,0.005116360000000001,0.0050780120036035955,0.007495171644764185
56,53,53,3,2,0.02418168,0.0050753489380952425,0.790115949839083
28,143,143,2,2,0.0050944000000000015,0.00501233007297295,0.01610983178137782
112,479,479,2,2,0.00502632,0.0048564572432432266,0.0337946562806931
14,188,188,2,1,0.005251360000000002,0.005019508558558548,0.04415074217754135
14,242,242,2,1,0.005071260000000001,0.00502923354954954,0.008287181183859897
224,459,459,3,1,0.005191520000000001,0.005140964108108119,0.009738167606381444
56,189,189,2,1,0.0051150399999999995,0.005140401135135153,0.0049581499138137185
14,161,161,3,1,0.00521632,0.0052449122432432225,0.005481305449669972
112,479,479,2,2,0.004983240000000001,0.0048564572432432266,0.02544183237347071
112,142,142,3,2,0.0049956,0.004992320034298599,0.0006565709226921529
56,228,228,2,1,0.005033720000000002,0.005040674140540545,0.0013815111965986846
14,384,384,2,2,0.005089759999999999,0.005126153891891916,0.007150414143676149
112,53,53,3,2,0.005157419999999999,0.004746163597525449,0.07974072355451965
14,225,225,2,2,0.005098699999999999,0.005117044783783776,0.003597933548507776
28,60,60,2,1,0.00513198,0.004868928529729726,0.05125730619960996
14,142,142,3,1,0.0050851,0.005061298835178044,0.004680569668631257
28,827,827,3,2,0.004751079999999998,0.005032990216216216,0.05933602806440188
28,231,231,2,2,0.004808799999999999,0.005206529773873861,0.08270873687278782
56,497,497,3,1,0.00550884,0.005102813536936925,0.07370453000324481
28,190,190,2,2,0.004877319999999999,0.005010557037837843,0.027317674017256113
112,54,54,3,2,0.005644360000000002,0.004927902730150927,0.12693330507782538
14,302,302,3,2,0.00506904,0.005099434486486476,0.00599610310561283
14,337,337,3,2,0.005089560000000001,0.005133993081081097,0.008730240154570492
14,254,254,3,2,0.007017619999999997,0.004973353406692418,0.29130482888893666
112,208,208,2,2,0.005125739999999998,0.004891133972972974,0.04577017699435103
14,69,69,2,2,0.0050996800000000005,0.00510930518198199,0.0018874090103672108
14,29,29,2,1,0.00509194,0.005124318545945932,0.006358783871359862
56,28,28,3,2,0.005083819999999999,0.00509216760540539,0.0016419946822252647
