feature0,feature1,feature2,feature3,feature4,True,Pred,Error
28,251,251,2,2,0.00517364,0.004893046721793219,0.05423517643415108
14,150,150,2,2,0.005131920000000002,0.004954707184813396,0.034531484354121886
14,127,127,2,1,0.005069520000000001,0.005010061180180173,0.011728688282091311
56,203,203,3,2,0.0051013,0.004903166486486509,0.038839808188793234
112,506,506,3,2,0.004753160000000001,0.0050496031819819796,0.06236760007699687
28,237,237,3,2,0.005128399999999998,0.005087766872972953,0.007923158690243572
28,1041,1041,2,2,0.004765599999999999,0.004959642486486477,0.040717325517558765
14,57,57,3,2,0.00511116,0.004955312043500632,0.03049169982926932
224,518,518,2,2,0.00497218,0.005047996729729723,0.015248186857620418
28,365,365,3,2,0.00516646,0.004964664326383537,0.039058789503153654
224,64,64,3,2,0.005111720000000002,0.00508015264864864,0.006175485228330535
28,235,235,3,1,0.005210780000000002,0.00492173543333333,0.05547049897840082
112,52,52,2,2,0.005092600000000002,0.005007725470956673,0.016666246915785377
28,58,58,2,1,0.00476842,0.0050512072583011585,0.059304184258341074
14,198,198,3,1,0.00512346,0.00825356632432432,0.6109360323539795
56,503,503,3,2,0.0051148,0.005055105729729715,0.011670890410237979
112,53,53,3,2,0.004759680000000001,0.004859695274448899,0.02101302491951093
28,151,151,2,2,0.00515418,0.005019250648648629,0.02617862615418386
112,69,69,2,2,0.005069199999999999,0.004806070801179767,0.05190744078360152
112,59,59,3,2,0.005064979999999999,0.00531533763384816,0.04942914559349912
224,60,60,2,2,0.004866779999999999,0.005064019911711713,0.040527805183656146
224,234,234,2,2,0.00469504,0.004859318609395115,0.034989821044147565
28,194,194,3,2,0.0047842,0.0051249750900900755,0.07122927346057352
112,490,490,3,2,0.00477086,0.0049917812455598405,0.04630637779348807
14,75,75,3,2,0.004876639999999999,0.005127493637837852,0.051439851585897964
112,255,255,2,2,0.005235420000000002,0.0050469122004289935,0.03600624201515989
112,56,56,2,2,0.00513758,0.0050149313059607075,0.023872853374408292
28,92,92,2,2,0.00475084,0.0048655964234234315,0.024154975419806064
28,67,67,3,2,0.005086599999999999,0.00480771173272943,0.054828031940897484
56,493,493,3,2,0.005091079999999999,0.005075761842535413,0.0030088227772075713
28,35,35,2,1,0.0050906200000000006,0.005075957781081072,0.0028802422728328725
28,62,62,2,1,0.0050992799999999994,0.005047408729343653,0.010172273469263603
28,508,508,2,2,0.00530342,0.005143205759459486,0.030209608241571175
56,134,134,2,2,0.005076479999999999,0.005049703877563273,0.00527454504631669
28,497,497,2,2,0.0047517,0.0048387449196267696,0.018318690074451114
28,499,499,2,2,0.0046960000000000005,0.0053552814297297335,0.14039212728486647
112,91,91,2,2,0.00530038,0.0048674035675675955,0.08168780963485728
14,500,500,3,2,0.005096239999999998,0.005064923685599243,0.0061449842238111676
112,492,492,2,2,0.0050126400000000005,0.004882518307400272,0.025958714888707112
14,252,252,2,2,0.0050958999999999996,0.004814898748262521,0.055142614991950084
14,254,254,2,2,0.00514364,0.005068977081081098,0.014515580195912148
14,539,539,3,2,0.005736299999999999,0.00512171200000001,0.10714014260062914
28,501,501,3,2,0.00510738,0.005057885236164742,0.009690832449368917
14,151,151,3,1,0.00476112,0.005045324432432443,0.059692768179008905
112,490,490,2,1,0.00520578,0.005048688284684662,0.030176403020361606
224,1049,1049,3,2,0.00479398,0.005105841837837834,0.06505280327365444
112,238,238,2,1,0.005160240000000002,0.004954877545945971,0.039797074177563646
112,146,146,2,2,0.005139020000000002,0.005018335945945945,0.023483865416763616
112,506,506,3,2,0.0051392,0.0050496031819819796,0.017434001015337104
224,500,500,3,1,0.0047279999999999996,0.0051171827612612655,0.08231445881160447
56,64,64,3,2,0.005076499999999999,0.005069686441441459,0.001342176412595327
56,59,59,2,2,0.005080039999999999,0.004949510582882864,0.02569456482963422
14,231,231,2,2,0.005080480000000001,0.004900652234234235,0.035395822002205764
224,51,51,2,2,0.005171959999999996,0.005336285035006435,0.03177229425719432
14,513,513,2,2,0.0046735200000000005,0.005107458120592019,0.0928503827076846
56,838,838,2,2,0.004756800000000001,0.004948125728442726,0.04022152044288692
112,69,69,3,2,0.00476908,0.00481128427522522,0.008849563275352877
56,491,491,2,2,0.0047453600000000005,0.005134588442213636,0.08202295341420579
56,71,71,2,2,0.005088960000000001,0.0049744538350707706,0.022500897025960177
28,474,474,3,2,0.005096980000000001,0.004888765378378394,0.040850586351448614
14,34,34,3,2,0.0047516599999999996,0.00640641407207207,0.34824757496792075
14,74,74,2,2,0.00508796,0.004936934429729714,0.029682931915794502
112,479,479,2,2,0.004690979999999999,0.00516034695585588,0.10005733468398527
14,194,194,2,2,0.0047028999999999994,0.0051893058702702916,0.10342679416323804
224,252,252,2,2,0.005162660000000001,0.005020778909067512,0.02748216828776036
224,497,497,2,2,0.004773320000000001,0.004898981111840425,0.026325725457422518
56,245,245,2,1,0.005833280000000003,0.005091173378378372,0.1272194411414557
28,364,364,3,2,0.005072199999999999,0.005035376619626765,0.007259843928321803
112,51,51,3,2,0.00469012,0.004872549636197865,0.03889658179276113
14,36,36,3,2,0.0050979,0.005021057747747739,0.01507331494385148
56,53,53,3,2,0.0050917,0.005041789584556001,0.009802308746390966
28,140,140,3,2,0.005069399999999998,0.005080307181081064,0.002151572391420296
112,508,508,3,2,0.0052131999999999986,0.005079919022007707,0.025566058849131386
112,507,507,3,2,0.0051332,0.005058708605748606,0.014511687495401309
112,191,191,3,1,0.00476842,0.005015260378378369,0.051765653692076065
14,68,68,2,1,0.005271200000000001,0.004901579163191765,0.07012081438917811
28,141,141,2,2,0.0051209,0.005078291432303719,0.008320523286195983
224,842,842,3,2,0.0047772000000000005,0.004958768178507051,0.03800723823726247
14,202,202,2,2,0.00515802,0.00499180444684686,0.03222468178741851
14,190,190,3,2,0.0047186,0.0048734679974260136,0.032820751372443877
56,240,240,3,2,0.00474242,0.004994408490990987,0.05313500090480964
56,506,506,3,2,0.00512548,0.005182704515165147,0.011164713385896996
224,54,54,3,2,0.005050679999999998,0.004948074178528534,0.020315248931126937
112,253,253,2,2,0.0051239,0.0050628550045045155,0.011913775736350113
14,250,250,2,2,0.00471698,0.005051016911196887,0.07081584216954222
14,203,203,3,2,0.005068800000000001,0.005150315909909899,0.01608189510533029
14,52,52,3,2,0.00512838,0.00504802622095862,0.015668452618834806
14,143,143,3,1,0.005047140000000001,0.005061214554054067,0.00278861970424158
14,250,250,2,2,0.005185920000000002,0.005051016911196887,0.02601333780758565
14,499,499,2,2,0.00528266,0.013328651581274146,1.523094725247157
28,503,503,3,2,0.00507076,0.004891701766280551,0.035311912557377687
28,130,130,3,1,0.00474062,0.0050557911351351275,0.06648310455913518
56,239,239,3,2,0.00510972,0.00489425243243243,0.04216817507956792
14,47,47,2,2,0.0050925200000000006,0.005115693376662378,0.004550473373178131
112,57,57,2,2,0.00509742,0.005017891532016653,0.015601709881341365
28,64,64,2,2,0.00510722,0.005096686497275817,0.002062472876473437
28,194,194,3,2,0.005087759999999998,0.0051249750900900755,0.0073146316041004175
28,507,507,3,2,0.005600819999999999,0.0051643595746421736,0.07792795079253143
56,94,94,2,2,0.004732059999999999,0.00476494623423423,0.006949665522886687
112,468,468,2,1,0.00512458,0.005077001819819836,0.009284308212607414
112,509,509,2,2,0.00513196,0.004959467254182758,0.03361147511228497
56,479,479,2,2,0.0051202800000000005,0.005182947783783792,0.012239132192729908
28,55,55,3,2,0.0047192,0.005096915172972969,0.0800379668106817
14,515,515,3,1,0.005085020000000001,0.00511196669819819,0.005299231507091276
14,71,71,2,2,0.0050812800000000005,0.005094974534620351,0.0026950954523959417
112,149,149,2,2,0.005169979999999999,0.0048943670054054185,0.05331026321080177
14,75,75,3,2,0.004743899999999999,0.005127493637837852,0.08086039710741239
28,503,503,3,2,0.004720819999999999,0.004891701766280551,0.0361974754980178
14,836,836,2,2,0.005082659999999999,0.005111347017245836,0.005644095266226157
14,497,497,2,1,0.005161520000000003,0.0051573314110896626,0.0008115029894953846
14,61,61,3,2,0.005096360000000001,0.00511822297528957,0.004289919724974063
14,239,239,3,2,0.00506764,0.004918928230888026,0.02934536966161249
112,835,835,3,1,0.0046853599999999995,0.005139618662162154,0.0969527767689473
112,183,183,3,2,0.0051950799999999995,0.005141384360360378,0.010335863863428685
112,499,499,3,2,0.005245260000000001,0.005019485284684679,0.04304356987362332
14,151,151,3,1,0.005193219999999999,0.005045324432432443,0.02847858699757697
224,59,59,2,2,0.0051050800000000006,0.005075224274388681,0.0058482385410845265
14,67,67,2,2,0.004741880000000001,0.005151711745752894,0.0864281141135779
56,95,95,3,2,0.004737039999999999,0.004767780619691106,0.006489415265884825
112,243,243,3,2,0.00514826,0.0049544235985199405,0.03765085708182171
224,241,241,3,2,0.0046604,0.005077904238996162,0.08958549459191514
56,503,503,3,2,0.005171839999999999,0.005055105729729715,0.022571129476218116
56,509,509,3,1,0.004782360000000002,0.004982386827027018,0.04182596605588372
224,40,40,3,2,0.0051672800000000015,0.004884137776576578,0.05479521594018962
56,130,130,2,2,0.005189339999999998,0.005082121385585587,0.020661320016497463
14,490,490,2,2,0.0051312599999999995,0.005121773808365534,0.0018487060945003044
14,198,198,3,2,0.005101439999999998,0.004966335909909901,0.026483520357016326
112,141,141,2,2,0.004639019999999999,0.00500338066435006,0.07854259398538083
14,848,848,3,2,0.00514426,0.00498550610990991,0.03086039393228382
28,40,40,2,2,0.005099200000000001,0.0050751954272844286,0.004707517397939329
112,236,236,2,2,0.0050875799999999995,0.005027183686808213,0.011871324518098317
28,508,508,3,1,0.005121879999999998,0.005058131864736162,0.012446237565861827
112,74,74,2,1,0.00521396,0.004950833880180156,0.050465695904810155
14,51,51,2,2,0.005073500000000001,0.00508675977576928,0.00261353617212563
28,99,99,2,2,0.00517552,0.005015891072072074,0.030843070440830397
28,381,381,2,2,0.004785780000000001,0.0049280937657657405,0.029736796460710622
112,65,65,2,1,0.00518944,0.0050137601279279425,0.03385333910249614
28,71,71,3,2,0.0047537000000000005,0.005058527090090106,0.06412417487222694
224,88,88,3,2,0.0051589999999999995,0.005357626878378403,0.038501042523435426
28,31,31,3,2,0.0047456,0.004986808583783772,0.05082783710885281
28,232,232,2,2,0.005097480000000001,0.005155713460360343,0.011423970346198959
112,53,53,3,2,0.00474258,0.004859695274448899,0.024694422539819988
28,496,496,2,2,0.00512634,0.004996642750064354,0.02530016540760967
28,498,498,3,2,0.004776119999999998,0.004901069742084956,0.026161348978869424
56,249,249,3,2,0.0051040799999999996,0.004918555809909899,0.03634821360364653
28,508,508,3,1,0.005138520000000001,0.005058131864736162,0.015644219593158926
112,479,479,2,2,0.004983240000000001,0.00516034695585588,0.035540523004286256
112,499,499,2,2,0.005090840000000001,0.005383731401930485,0.057533020470194235
112,837,837,2,1,0.0048130199999999995,0.005063673039253522,0.0520781212738618
224,185,185,3,2,0.00494746,0.00496635136486487,0.0038183966853436177
112,56,56,2,2,0.00511486,0.0050149313059607075,0.019536936307013718
28,243,243,3,2,0.005085019999999999,0.0051098196527026895,0.004877001998554645
112,488,488,2,2,0.005120059999999998,0.004933880177348767,0.03636282048476615
112,233,233,2,2,0.005186039999999999,0.0051144275405405285,0.013808697861850447
56,492,492,3,2,0.005071280000000001,0.004997964062247974,0.01445708731366185
14,194,194,3,2,0.00477756,0.0051408016756756564,0.07603079305663484
