feature0,feature1,True,Pred,Error
14,948,0.0045654400000000005,0.0045813958378378514,0.003494917869438864
3,199,0.0045958399999999995,0.004551634638223913,0.00961855977929754
56,535,0.00464628,0.004543554119047599,0.022109274721368706
7,230,0.00450324,0.004746165022522516,0.05394449829956113
28,226,0.00456612,0.004596115178378374,0.00656907360699549
28,217,0.00457794,0.004583398281853269,0.0011923008718482276
7,643,0.004532320000000001,0.004606752990991001,0.016422713089764063
28,21,0.004532199999999998,0.004526838153603599,0.00118305599849957
28,250,0.004561599999999999,0.004580973167567546,0.004247011480083113
112,95,0.004571960000000001,0.004578719889189212,0.0014785538782516152
56,74,0.004586640000000001,0.004580058794594612,0.0014348641718968944
14,231,0.004583459999999999,0.009023901474045457,0.9687968203159748
14,48,0.00454298,0.004533291424324336,0.002132647662033322
56,84,0.004528740000000001,0.0045776293180179945,0.010795346612522192
14,192,0.0046995000000000006,0.004600169526126103,0.02113639192975795
14,504,0.004499019999999999,0.004555665666666669,0.012590667893601257
14,41,0.004528420000000001,0.004536410180180167,0.0017644521003277475
28,189,0.004641560000000001,0.0045784692432432215,0.01359257593498299
14,171,0.00456868,0.004543690498712998,0.00546974208896266
14,126,0.004513299999999999,0.0045835228931788785,0.015559101583958485
224,167,0.004622620000000001,0.004573604932432441,0.01060330885246019
56,81,0.00467214,0.004585191621621603,0.018609968532277945
14,154,0.00451552,0.004566802848005157,0.011357019347751117
14,758,0.0045791799999999995,0.004601162867567565,0.004800612242271713
112,561,0.004571259999999999,0.004540469853281849,0.006735592969586054
7,15,0.00464696,0.004640889265379662,0.0013063883959272366
112,243,0.0045792800000000015,0.004565567063063076,0.002994561795069429
112,74,0.00467352,0.004587327463963969,0.018442744662701852
112,142,0.0045563600000000015,0.0045520765393822615,0.0009401058339859055
14,912,0.0046518,0.0049354650360360335,0.060979628538637365
14,533,0.004535040000000001,0.004514706358687259,0.004483674082861807
28,1070,0.0045493800000000004,0.004584978918918927,0.007825004488287764
14,534,0.004598799999999999,0.004502574683011584,0.02092400560764
112,662,0.0045259,0.0045252825405405536,0.00013642799430979094
7,812,0.004510439999999999,0.004530213567567561,0.004383955349713414
14,212,0.00453936,0.004587923905984552,0.010698403736331083
7,941,0.00463826,0.004638212810810812,1.0173899088918725e-05
