feature0,feature1,True,Pred,Error
14,234,0.00454126,0.004765883171171173,0.04946274187586108
28,457,0.00451346,0.004509831073873885,0.0008040231055809389
28,139,0.004564260000000001,0.004560158455984546,0.0008986219048554106
56,27,0.0046557,0.004559079216216202,0.020753223743754497
28,150,0.004573819999999999,0.0045465326486486286,0.005965987151083933
14,923,0.0045736200000000005,0.0046059794594594415,0.007075240063547258
14,183,0.004562899999999999,0.0045155726870656325,0.01037220034065322
112,739,0.0044522599999999996,0.004543388286915501,0.02046787180342144
14,986,0.004581079999999999,0.019253357959459524,3.202798894465831
28,530,0.004460220000000002,0.004557620221621638,0.021837537525421623
56,142,0.0045215199999999985,0.004502232126383508,0.004265794161364002
56,21,0.004556099999999999,0.004550794634598878,0.0011644532387613399
14,492,0.0045618,0.004512067877348761,0.010901863880757428
7,169,0.004612360000000001,0.00456881260450449,0.009441456325072418
112,527,0.004687299999999998,0.004511605019819806,0.037483195054763475
28,246,0.004562500000000001,0.004619380756374556,0.01246701509579298
3,199,0.0045958399999999995,0.004557134540540519,0.008421846595939126
112,158,0.00461838,0.0045535177666666754,0.01404436909334542
3,66,0.00454092,0.004545573794465907,0.0010248571800222316
7,520,0.004489360000000001,0.004540403082882914,0.011369790545403564
7,697,0.004509379999999999,0.0045449278072072,0.007883080868589833
28,491,0.00454786,0.004561542442471032,0.003008545221495855
7,72,0.0045114,0.004546603178378404,0.007803160521878842
112,114,0.0045581599999999995,0.004559898409266399,0.0003813839940677108
7,494,0.00455226,0.004532844516988408,0.004265020673597668
56,175,0.00457706,0.004685376123423423,0.02366499967739623
14,50,0.0045487,0.004555075107400251,0.001401522940675458
112,1093,0.00453996,0.004573055513513511,0.007289824913327586
112,154,0.004563640000000001,0.004522747337837846,0.008960536361797776
14,96,0.0044925799999999995,0.004524505133590713,0.007106191451396192
14,5,0.004511479999999999,0.004579417515186614,0.015058808902314825
56,849,0.004511940000000001,0.004565449621621608,0.011859559662053945
14,204,0.0045289399999999995,0.004513560362162186,0.0033958581561719103
28,538,0.0045866599999999985,0.004528228239639643,0.012739501153422253
14,247,0.0045046999999999995,0.0045952491368082375,0.02010103598646703
7,974,0.004571519999999998,0.0046172423783783605,0.010001570238861973
56,535,0.00464628,0.0045595315999999745,0.018670506297516615
14,492,0.004524200000000002,0.004512067877348761,0.002681606173741322
7,1355,0.0045232000000000015,0.004561005459459455,0.008358122448588
7,263,0.0045009199999999985,0.004511769434620319,0.0024104926593496545
28,176,0.004550080000000001,0.004590122535135162,0.008800402440212381
14,185,0.00448766,0.004575642698198208,0.019605473275205322
14,201,0.0045893,0.004546866329343606,0.00924621852055735
14,28,0.004564400000000001,0.004505098732110679,0.012992127747200351
14,252,0.00453598,0.004560378021685993,0.005378776292221866
14,129,0.00454076,0.004617676387387398,0.01693909992763282
14,99,0.00453068,0.004541343569111982,0.002353635461339696
14,828,0.00459268,0.004574232117117129,0.00401680127569772
56,134,0.004450460000000001,0.004515815390990994,0.014685086708114104
56,269,0.00456958,0.004539986148648664,0.006476273826333335
112,996,0.004550239999999999,0.004543888918918917,0.0013957683728950299
112,48,0.005045299999999999,0.004667488810810776,0.07488379069415554
28,178,0.00457224,0.004576496756756755,0.0009310002879889743
28,965,0.0046428599999999995,0.004608371864864852,0.0074282091502108445
